	OrthologID	Saccharomyces_cerevisiae	Tetrapisispora_phaffii
0	OG0000000	YBL100W-B, YBR012W-B, YCL019W, YDR034C-D, YDR098C-B, YDR210C-D, YDR210W-B, YDR261W-B, YDR316W-B, YDR365W-B, YER138C, YER160C, YFL002W-A, YGR027W-B, YGR038C-B, YGR161C-D, YGR161W-B, YHL009W-A, YHL009W-B, YHR214C-B, YJL113W, YJL114W, YJR027W, YJR029W, YLR157C-B, YLR227W-B, YLR410W-B, YML039W, YML045W, YMR050C, YNL054W-B, YOL103W-B, YOR142W-B, YOR192C-B, YOR343W-B, YPL060C-A, YPL257W-B, YPR137C-B, YPR158C-D, YPR158W-B	
1	OG0000001		augustus_masked-NC_016520.1-processed-gene-9.49-mRNA-1_1&gene=augustus_masked-NC_016520.1-processed-gene-9.49&CDS=1-507, augustus_masked-NC_016522.1-processed-gene-4.111-mRNA-1_1&gene=augustus_masked-NC_016522.1-processed-gene-4.111&CDS=1-699, augustus_masked-NC_016526.1-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-NC_016526.1-processed-gene-2.114&CDS=1-2805, augustus_masked-NC_016527.1-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-NC_016527.1-processed-gene-3.84&CDS=1-2046, augustus_masked-NC_016528.1-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-NC_016528.1-processed-gene-5.66&CDS=1-2907, augustus_masked-NC_016530.1-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-NC_016530.1-processed-gene-4.136&CDS=1-3210, augustus_masked-NC_016531.1-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-NC_016531.1-processed-gene-3.59&CDS=1-2856, augustus_masked-NC_016534.1-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-NC_016534.1-processed-gene-2.7&CDS=1-2865, augustus_masked-NC_016535.1-processed-gene-2.153-mRNA-1_1&gene=augustus_masked-NC_016535.1-processed-gene-2.153&CDS=1-603, augustus_masked-NC_016535.1-processed-gene-2.168-mRNA-1_1&gene=augustus_masked-NC_016535.1-processed-gene-2.168&CDS=1-2934, snap_masked-NC_016520.1-processed-gene-12.108-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-12.108&CDS=1-189, snap_masked-NC_016520.1-processed-gene-4.78-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-4.78&CDS=1-201, snap_masked-NC_016521.1-processed-gene-8.31-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-8.31&CDS=1-1575, snap_masked-NC_016521.1-processed-gene-8.32-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-8.32&CDS=1-1182, snap_masked-NC_016521.1-processed-gene-9.55-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-9.55&CDS=1-213, snap_masked-NC_016522.1-processed-gene-3.18-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-3.18&CDS=1-225, snap_masked-NC_016522.1-processed-gene-4.61-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-4.61&CDS=1-609, snap_masked-NC_016523.1-processed-gene-9.153-mRNA-1_1&gene=snap_masked-NC_016523.1-processed-gene-9.153&CDS=1-180, snap_masked-NC_016525.1-processed-gene-1.16-mRNA-1_1&gene=snap_masked-NC_016525.1-processed-gene-1.16&CDS=1-360, snap_masked-NC_016526.1-processed-gene-6.90-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-6.90&CDS=1-204, snap_masked-NC_016527.1-processed-gene-6.143-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-6.143&CDS=1-186, snap_masked-NC_016528.1-processed-gene-1.43-mRNA-1_1&gene=snap_masked-NC_016528.1-processed-gene-1.43&CDS=1-1395, snap_masked-NC_016528.1-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NC_016528.1-processed-gene-1.44&CDS=1-177, snap_masked-NC_016528.1-processed-gene-5.18-mRNA-1_1&gene=snap_masked-NC_016528.1-processed-gene-5.18&CDS=1-246, snap_masked-NC_016528.1-processed-gene-6.62-mRNA-1_1&gene=snap_masked-NC_016528.1-processed-gene-6.62&CDS=1-213, snap_masked-NC_016529.1-processed-gene-4.96-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-4.96&CDS=1-495, snap_masked-NC_016531.1-processed-gene-3.13-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-3.13&CDS=1-264, snap_masked-NC_016533.1-processed-gene-1.105-mRNA-1_1&gene=snap_masked-NC_016533.1-processed-gene-1.105&CDS=1-186, snap_masked-NC_016533.1-processed-gene-1.82-mRNA-1_1&gene=snap_masked-NC_016533.1-processed-gene-1.82&CDS=1-228, snap_masked-NC_016534.1-processed-gene-2.46-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-2.46&CDS=1-402, snap_masked-NC_016535.1-processed-gene-2.74-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-2.74&CDS=1-204
2	OG0000002	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	
3	OG0000003	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	augustus_masked-NC_016528.1-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-NC_016528.1-processed-gene-4.73&CDS=1-669, augustus_masked-NC_016528.1-processed-gene-5.53-mRNA-1_1&gene=augustus_masked-NC_016528.1-processed-gene-5.53&CDS=1-798, maker-NC_016528.1-snap-gene-5.0-mRNA-1_1&gene=maker-NC_016528.1-snap-gene-5.0&CDS=1-1356, snap_masked-NC_016522.1-processed-gene-9.262-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-9.262&CDS=1-606, snap_masked-NC_016528.1-processed-gene-4.118-mRNA-1_1&gene=snap_masked-NC_016528.1-processed-gene-4.118&CDS=1-732, snap_masked-NC_016531.1-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-1.64&CDS=1-861, snap_masked-NC_016531.1-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NC_016531.1-processed-gene-1.79&CDS=1-636
4	OG0000004	YFL011W, YHR096C, YLR081W, YMR011W	snap_masked-NC_016527.1-processed-gene-3.76-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-3.76&CDS=1-1929, snap_masked-NC_016527.1-processed-gene-6.158-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-6.158&CDS=1-1683, snap_masked-NC_016533.1-processed-gene-3.147-mRNA-1_1&gene=snap_masked-NC_016533.1-processed-gene-3.147&CDS=1-1683, snap_masked-NC_016535.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NC_016535.1-processed-gene-0.19&CDS=1-1674
5	OG0000005	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-NC_016535.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NC_016535.1-processed-gene-0.44&CDS=1-2880
6	OG0000006	YIL123W, YJL116C, YKR042W, YNL066W	augustus_masked-NC_016525.1-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-NC_016525.1-processed-gene-3.108&CDS=1-1179, snap_masked-NC_016521.1-processed-gene-7.32-mRNA-1_1&gene=snap_masked-NC_016521.1-processed-gene-7.32&CDS=1-1122, snap_masked-NC_016522.1-processed-gene-6.67-mRNA-1_1&gene=snap_masked-NC_016522.1-processed-gene-6.67&CDS=1-1203
7	OG0000007	YDL080C, YLR044C, YLR134W	snap_masked-NC_016526.1-processed-gene-5.80-mRNA-1_1&gene=snap_masked-NC_016526.1-processed-gene-5.80&CDS=1-2064, snap_masked-NC_016527.1-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NC_016527.1-processed-gene-2.75&CDS=1-1689, snap_masked-NW_003780271.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NW_003780271.1-processed-gene-0.2&CDS=1-1689
8	OG0000008	YER056C, YER060W, YER060W-A	genemark-NC_016522.1-processed-gene-2.83-mRNA-1_1&gene=genemark-NC_016522.1-processed-gene-2.83&CDS=1-1653, snap_masked-NC_016529.1-processed-gene-2.3-mRNA-1_1&gene=snap_masked-NC_016529.1-processed-gene-2.3&CDS=1-1617, snap_masked-NC_016530.1-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NC_016530.1-processed-gene-1.91&CDS=1-1587
9	OG0000009	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-NC_016520.1-processed-gene-9.99-mRNA-1_1&gene=snap_masked-NC_016520.1-processed-gene-9.99&CDS=1-378, snap_masked-NC_016534.1-processed-gene-1.122-mRNA-1_1&gene=snap_masked-NC_016534.1-processed-gene-1.122&CDS=1-534
