	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034757_Lipomyces_doorenjongii
0	OG0000000	YAL067C, YGR065C	augustus_masked-NODE_14_length_308588_cov_40.2987_ID_27-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_14_length_308588_cov_40.2987_ID_27-processed-gene-0.114&CDS=1-1602, augustus_masked-NODE_22_length_197649_cov_39.6061_ID_43-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-NODE_22_length_197649_cov_39.6061_ID_43-processed-gene-0.197&CDS=1-1686, augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-2.19&CDS=1-1599, augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-4.155-mRNA-1_1&gene=augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-4.155&CDS=1-1527, augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-4.86-mRNA-1_1&gene=augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-4.86&CDS=1-1608, maker-NODE_16_length_276531_cov_39.2154_ID_31-augustus-gene-1.252-mRNA-1_1&gene=maker-NODE_16_length_276531_cov_39.2154_ID_31-augustus-gene-1.252&CDS=1-1590, maker-NODE_18_length_224789_cov_39.7186_ID_35-augustus-gene-0.126-mRNA-1_1&gene=maker-NODE_18_length_224789_cov_39.7186_ID_35-augustus-gene-0.126&CDS=1-1569, maker-NODE_22_length_197649_cov_39.6061_ID_43-augustus-gene-0.101-mRNA-1_1&gene=maker-NODE_22_length_197649_cov_39.6061_ID_43-augustus-gene-0.101&CDS=1-1641, maker-NODE_24_length_163499_cov_40.3896_ID_47-augustus-gene-0.157-mRNA-1_1&gene=maker-NODE_24_length_163499_cov_40.3896_ID_47-augustus-gene-0.157&CDS=1-1521, maker-NODE_30_length_125363_cov_43.2967_ID_59-augustus-gene-0.33-mRNA-1_1&gene=maker-NODE_30_length_125363_cov_43.2967_ID_59-augustus-gene-0.33&CDS=1-1593, maker-NODE_41_length_43364_cov_39.3452_ID_81-augustus-gene-0.45-mRNA-1_1&gene=maker-NODE_41_length_43364_cov_39.3452_ID_81-augustus-gene-0.45&CDS=1-1512, snap_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-4.199-mRNA-1_1&gene=snap_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-4.199&CDS=1-1656
1	OG0000001	YFL040W, YPL248C	augustus_masked-NODE_14_length_308588_cov_40.2987_ID_27-processed-gene-2.205-mRNA-1_1&gene=augustus_masked-NODE_14_length_308588_cov_40.2987_ID_27-processed-gene-2.205&CDS=1-1692, augustus_masked-NODE_17_length_258504_cov_40.0266_ID_33-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-NODE_17_length_258504_cov_40.0266_ID_33-processed-gene-1.235&CDS=1-1605, augustus_masked-NODE_3_length_758203_cov_39.7359_ID_5-processed-gene-2.83-mRNA-1_1&gene=augustus_masked-NODE_3_length_758203_cov_39.7359_ID_5-processed-gene-2.83&CDS=1-1563, augustus_masked-NODE_3_length_758203_cov_39.7359_ID_5-processed-gene-5.178-mRNA-1_1&gene=augustus_masked-NODE_3_length_758203_cov_39.7359_ID_5-processed-gene-5.178&CDS=1-1566, augustus_masked-NODE_8_length_512697_cov_40.1668_ID_15-processed-gene-4.97-mRNA-1_1&gene=augustus_masked-NODE_8_length_512697_cov_40.1668_ID_15-processed-gene-4.97&CDS=1-1563, genemark-NODE_32_length_91051_cov_42.4973_ID_63-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_32_length_91051_cov_42.4973_ID_63-processed-gene-0.26&CDS=1-4017, maker-NODE_11_length_429286_cov_39.6439_ID_21-snap-gene-3.95-mRNA-1_1&gene=maker-NODE_11_length_429286_cov_39.6439_ID_21-snap-gene-3.95&CDS=1-2976, maker-NODE_16_length_276531_cov_39.2154_ID_31-snap-gene-1.13-mRNA-1_1&gene=maker-NODE_16_length_276531_cov_39.2154_ID_31-snap-gene-1.13&CDS=1-1620, maker-NODE_22_length_197649_cov_39.6061_ID_43-augustus-gene-0.100-mRNA-1_1&gene=maker-NODE_22_length_197649_cov_39.6061_ID_43-augustus-gene-0.100&CDS=1-1557, maker-NODE_32_length_91051_cov_42.4973_ID_63-snap-gene-0.123-mRNA-1_1&gene=maker-NODE_32_length_91051_cov_42.4973_ID_63-snap-gene-0.123&CDS=1-2781, maker-NODE_3_length_758203_cov_39.7359_ID_5-augustus-gene-2.22-mRNA-1_1&gene=maker-NODE_3_length_758203_cov_39.7359_ID_5-augustus-gene-2.22&CDS=1-1566
2	OG0000002	YPR194C	augustus_masked-NODE_18_length_224789_cov_39.7186_ID_35-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_18_length_224789_cov_39.7186_ID_35-processed-gene-0.139&CDS=1-2565, augustus_masked-NODE_31_length_106054_cov_39.6293_ID_61-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NODE_31_length_106054_cov_39.6293_ID_61-processed-gene-0.157&CDS=1-2592, augustus_masked-NODE_37_length_59946_cov_42.6348_ID_73-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-NODE_37_length_59946_cov_42.6348_ID_73-processed-gene-0.120&CDS=1-2622, augustus_masked-NODE_5_length_661308_cov_39.7071_ID_9-processed-gene-5.345-mRNA-1_1&gene=augustus_masked-NODE_5_length_661308_cov_39.7071_ID_9-processed-gene-5.345&CDS=1-2595, augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-2.26&CDS=1-2589, augustus_masked-NODE_8_length_512697_cov_40.1668_ID_15-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-NODE_8_length_512697_cov_40.1668_ID_15-processed-gene-3.127&CDS=1-2580, maker-NODE_28_length_141241_cov_40.0398_ID_55-snap-gene-0.113-mRNA-1_1&gene=maker-NODE_28_length_141241_cov_40.0398_ID_55-snap-gene-0.113&CDS=1-5235, maker-NODE_8_length_512697_cov_40.1668_ID_15-snap-gene-1.16-mRNA-1_1&gene=maker-NODE_8_length_512697_cov_40.1668_ID_15-snap-gene-1.16&CDS=1-5103, snap_masked-NODE_14_length_308588_cov_40.2987_ID_27-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_14_length_308588_cov_40.2987_ID_27-processed-gene-1.40&CDS=1-2577, snap_masked-NODE_21_length_198108_cov_39.0493_ID_41-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_21_length_198108_cov_39.0493_ID_41-processed-gene-0.40&CDS=1-2589, snap_masked-NODE_6_length_613793_cov_40.4829_ID_11-processed-gene-0.128-mRNA-1_1&gene=snap_masked-NODE_6_length_613793_cov_40.4829_ID_11-processed-gene-0.128&CDS=1-2586
3	OG0000003	YDL170W, YML099C	augustus_masked-NODE_3_length_758203_cov_39.7359_ID_5-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-NODE_3_length_758203_cov_39.7359_ID_5-processed-gene-4.22&CDS=1-2040, augustus_masked-NODE_6_length_613793_cov_40.4829_ID_11-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-NODE_6_length_613793_cov_40.4829_ID_11-processed-gene-3.88&CDS=1-942, maker-NODE_2_length_773517_cov_39.7013_ID_3-augustus-gene-5.31-mRNA-1_1&gene=maker-NODE_2_length_773517_cov_39.7013_ID_3-augustus-gene-5.31&CDS=1-1866, maker-NODE_32_length_91051_cov_42.4973_ID_63-augustus-gene-0.45-mRNA-1_1&gene=maker-NODE_32_length_91051_cov_42.4973_ID_63-augustus-gene-0.45&CDS=1-1827, maker-NODE_34_length_80442_cov_40.3074_ID_67-augustus-gene-0.101-mRNA-1_1&gene=maker-NODE_34_length_80442_cov_40.3074_ID_67-augustus-gene-0.101&CDS=1-1791, maker-NODE_9_length_462379_cov_39.3331_ID_17-augustus-gene-0.146-mRNA-1_1&gene=maker-NODE_9_length_462379_cov_39.3331_ID_17-augustus-gene-0.146&CDS=1-2193, maker-NODE_9_length_462379_cov_39.3331_ID_17-snap-gene-0.166-mRNA-1_1&gene=maker-NODE_9_length_462379_cov_39.3331_ID_17-snap-gene-0.166&CDS=1-2067, snap_masked-NODE_2_length_773517_cov_39.7013_ID_3-processed-gene-6.314-mRNA-1_1&gene=snap_masked-NODE_2_length_773517_cov_39.7013_ID_3-processed-gene-6.314&CDS=1-2016, snap_masked-NODE_4_length_728525_cov_39.2039_ID_7-processed-gene-2.7-mRNA-1_1&gene=snap_masked-NODE_4_length_728525_cov_39.2039_ID_7-processed-gene-2.7&CDS=1-858
4	OG0000004	YGR260W	augustus_masked-NODE_19_length_216096_cov_39.1045_ID_37-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NODE_19_length_216096_cov_39.1045_ID_37-processed-gene-1.95&CDS=1-1428, augustus_masked-NODE_20_length_198982_cov_39.0335_ID_39-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-NODE_20_length_198982_cov_39.0335_ID_39-processed-gene-0.187&CDS=1-1164, augustus_masked-NODE_23_length_165425_cov_41.1239_ID_45-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_23_length_165425_cov_41.1239_ID_45-processed-gene-0.68&CDS=1-1485, maker-NODE_14_length_308588_cov_40.2987_ID_27-augustus-gene-0.125-mRNA-1_1&gene=maker-NODE_14_length_308588_cov_40.2987_ID_27-augustus-gene-0.125&CDS=1-1677, maker-NODE_32_length_91051_cov_42.4973_ID_63-snap-gene-0.124-mRNA-1_1&gene=maker-NODE_32_length_91051_cov_42.4973_ID_63-snap-gene-0.124&CDS=1-1497, maker-NODE_3_length_758203_cov_39.7359_ID_5-snap-gene-5.137-mRNA-1_1&gene=maker-NODE_3_length_758203_cov_39.7359_ID_5-snap-gene-5.137&CDS=1-1446, maker-NODE_47_length_29859_cov_40.255_ID_93-augustus-gene-0.23-mRNA-1_1&gene=maker-NODE_47_length_29859_cov_40.255_ID_93-augustus-gene-0.23&CDS=1-1674, maker-NODE_8_length_512697_cov_40.1668_ID_15-augustus-gene-4.49-mRNA-1_1&gene=maker-NODE_8_length_512697_cov_40.1668_ID_15-augustus-gene-4.49&CDS=1-1449, snap_masked-NODE_37_length_59946_cov_42.6348_ID_73-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_37_length_59946_cov_42.6348_ID_73-processed-gene-0.24&CDS=1-1491
5	OG0000005	YBR293W, YMR088C	augustus_masked-NODE_24_length_163499_cov_40.3896_ID_47-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_24_length_163499_cov_40.3896_ID_47-processed-gene-0.34&CDS=1-1596, augustus_masked-NODE_3_length_758203_cov_39.7359_ID_5-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-NODE_3_length_758203_cov_39.7359_ID_5-processed-gene-2.94&CDS=1-1593, genemark-NODE_32_length_91051_cov_42.4973_ID_63-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_32_length_91051_cov_42.4973_ID_63-processed-gene-0.29&CDS=1-1662, maker-NODE_11_length_429286_cov_39.6439_ID_21-augustus-gene-3.196-mRNA-1_1&gene=maker-NODE_11_length_429286_cov_39.6439_ID_21-augustus-gene-3.196&CDS=1-1800, maker-NODE_14_length_308588_cov_40.2987_ID_27-augustus-gene-1.192-mRNA-1_1&gene=maker-NODE_14_length_308588_cov_40.2987_ID_27-augustus-gene-1.192&CDS=1-2958, maker-NODE_15_length_292928_cov_39.1004_ID_29-augustus-gene-0.102-mRNA-1_1&gene=maker-NODE_15_length_292928_cov_39.1004_ID_29-augustus-gene-0.102&CDS=1-1896, maker-NODE_7_length_553805_cov_38.9959_ID_13-augustus-gene-0.104-mRNA-1_1&gene=maker-NODE_7_length_553805_cov_38.9959_ID_13-augustus-gene-0.104&CDS=1-1734
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_14_length_308588_cov_40.2987_ID_27-processed-gene-2.195-mRNA-1_1&gene=augustus_masked-NODE_14_length_308588_cov_40.2987_ID_27-processed-gene-2.195&CDS=1-2166, augustus_masked-NODE_1_length_894220_cov_39.3355_ID_1-processed-gene-1.0-mRNA-1_1&gene=augustus_masked-NODE_1_length_894220_cov_39.3355_ID_1-processed-gene-1.0&CDS=1-2079, augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-NODE_7_length_553805_cov_38.9959_ID_13-processed-gene-4.84&CDS=1-2040, maker-NODE_5_length_661308_cov_39.7071_ID_9-augustus-gene-0.10-mRNA-1_1&gene=maker-NODE_5_length_661308_cov_39.7071_ID_9-augustus-gene-0.10&CDS=1-2082
7	OG0000007	YER013W, YKR086W, YNR011C	augustus_masked-NODE_28_length_141241_cov_40.0398_ID_55-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_28_length_141241_cov_40.0398_ID_55-processed-gene-0.30&CDS=1-3156, augustus_masked-NODE_40_length_44733_cov_38.1864_ID_79-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_40_length_44733_cov_38.1864_ID_79-processed-gene-0.78&CDS=1-3501, maker-NODE_20_length_198982_cov_39.0335_ID_39-augustus-gene-0.76-mRNA-1_1&gene=maker-NODE_20_length_198982_cov_39.0335_ID_39-augustus-gene-0.76&CDS=1-1992, maker-NODE_8_length_512697_cov_40.1668_ID_15-augustus-gene-2.184-mRNA-1_1&gene=maker-NODE_8_length_512697_cov_40.1668_ID_15-augustus-gene-2.184&CDS=1-2685
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_3_length_758203_cov_39.7359_ID_5-augustus-gene-2.16-mRNA-1_1&gene=maker-NODE_3_length_758203_cov_39.7359_ID_5-augustus-gene-2.16&CDS=1-1389
9	OG0000009	YBL042C, YBR021W, YIR028W	augustus_masked-NODE_11_length_429286_cov_39.6439_ID_21-processed-gene-3.254-mRNA-1_1&gene=augustus_masked-NODE_11_length_429286_cov_39.6439_ID_21-processed-gene-3.254&CDS=1-1707, snap_masked-NODE_17_length_258504_cov_40.0266_ID_33-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_17_length_258504_cov_40.0266_ID_33-processed-gene-1.153&CDS=1-1677, snap_masked-NODE_42_length_42368_cov_39.6833_ID_83-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_42_length_42368_cov_39.6833_ID_83-processed-gene-0.76&CDS=1-1674
