	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034998_Cephaloascus_albidus
0	OG0000000	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	
1	OG0000001	YHR180C-B	augustus_masked-flattened_line_1478-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1478-processed-gene-0.1&CDS=1-765, augustus_masked-flattened_line_1492-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1492-processed-gene-0.2&CDS=1-741, augustus_masked-flattened_line_37-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-flattened_line_37-processed-gene-0.236&CDS=1-399, genemark-flattened_line_723-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_723-processed-gene-0.8&CDS=1-765, maker-flattened_line_1522-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_1522-augustus-gene-0.1&CDS=1-261, maker-flattened_line_911-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_911-augustus-gene-0.2&CDS=1-285, snap_masked-flattened_line_1157-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1157-processed-gene-0.0&CDS=1-177, snap_masked-flattened_line_1279-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1279-processed-gene-0.1&CDS=1-177, snap_masked-flattened_line_26-processed-gene-0.172-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.172&CDS=1-177, snap_masked-flattened_line_61-processed-gene-0.162-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.162&CDS=1-234
2	OG0000002	YLR144C	augustus_masked-flattened_line_18-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.57&CDS=1-609, augustus_masked-flattened_line_871-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_871-processed-gene-0.1&CDS=1-474, genemark-flattened_line_1498-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1498-processed-gene-0.0&CDS=1-492, genemark-flattened_line_435-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_435-processed-gene-0.4&CDS=1-486, maker-flattened_line_1041-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_1041-snap-gene-0.2&CDS=1-687, maker-flattened_line_1275-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_1275-augustus-gene-0.2&CDS=1-567, maker-flattened_line_189-snap-gene-0.23-mRNA-1_1&gene=maker-flattened_line_189-snap-gene-0.23&CDS=1-2667, maker-flattened_line_207-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_207-augustus-gene-0.3&CDS=1-3579, maker-flattened_line_387-snap-gene-0.9-mRNA-1_1&gene=maker-flattened_line_387-snap-gene-0.9&CDS=1-627, maker-flattened_line_985-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_985-snap-gene-0.2&CDS=1-744
3	OG0000003		augustus_masked-flattened_line_1598-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1598-processed-gene-0.1&CDS=1-750, augustus_masked-flattened_line_1664-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1664-processed-gene-0.1&CDS=1-702, augustus_masked-flattened_line_1686-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1686-processed-gene-0.1&CDS=1-618, augustus_masked-flattened_line_1700-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1700-processed-gene-0.2&CDS=1-669, augustus_masked-flattened_line_2105-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2105-processed-gene-0.1&CDS=1-408, augustus_masked-flattened_line_379-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_379-processed-gene-0.11&CDS=1-2400, genemark-flattened_line_2023-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_2023-processed-gene-0.1&CDS=1-414, genemark-flattened_line_2199-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_2199-processed-gene-0.0&CDS=1-345, maker-flattened_line_1488-augustus-gene-0.3-mRNA-1_1&gene=maker-flattened_line_1488-augustus-gene-0.3&CDS=1-825, snap_masked-flattened_line_133-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.18&CDS=1-588, snap_masked-flattened_line_2185-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_2185-processed-gene-0.1&CDS=1-321
4	OG0000004		augustus_masked-flattened_line_125-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_125-processed-gene-0.93&CDS=1-1611, augustus_masked-flattened_line_2365-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2365-processed-gene-0.0&CDS=1-393, augustus_masked-flattened_line_3393-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_3393-processed-gene-0.2&CDS=1-228, augustus_masked-flattened_line_35-processed-gene-0.237-mRNA-1_1&gene=augustus_masked-flattened_line_35-processed-gene-0.237&CDS=1-2928, augustus_masked-flattened_line_425-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_425-processed-gene-0.8&CDS=1-1953, augustus_masked-flattened_line_427-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_427-processed-gene-0.3&CDS=1-1953, augustus_masked-flattened_line_55-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_55-processed-gene-0.41&CDS=1-1047, augustus_masked-flattened_line_843-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_843-processed-gene-0.2&CDS=1-1542, maker-flattened_line_149-snap-gene-0.113-mRNA-1_1&gene=maker-flattened_line_149-snap-gene-0.113&CDS=1-726, snap_masked-flattened_line_355-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_355-processed-gene-0.19&CDS=1-780
5	OG0000005	YCL074W	augustus_masked-flattened_line_1508-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1508-processed-gene-0.0&CDS=1-915, augustus_masked-flattened_line_1981-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1981-processed-gene-0.0&CDS=1-417, augustus_masked-flattened_line_2233-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2233-processed-gene-0.1&CDS=1-396, augustus_masked-flattened_line_2425-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2425-processed-gene-0.0&CDS=1-375, augustus_masked-flattened_line_2499-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2499-processed-gene-0.1&CDS=1-363, augustus_masked-flattened_line_2699-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2699-processed-gene-0.0&CDS=1-234, snap_masked-flattened_line_2231-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_2231-processed-gene-0.0&CDS=1-270, snap_masked-flattened_line_3453-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_3453-processed-gene-0.0&CDS=1-192
6	OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_3451-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_3451-processed-gene-0.1&CDS=1-207, augustus_masked-flattened_line_651-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_651-processed-gene-0.0&CDS=1-1155, augustus_masked-flattened_line_811-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_811-processed-gene-0.3&CDS=1-1083
7	OG0000007	YGR177C, YGR212W, YOR377W	augustus_masked-flattened_line_14-processed-gene-1.216-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.216&CDS=1-1311, augustus_masked-flattened_line_189-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-flattened_line_189-processed-gene-0.29&CDS=1-1371, augustus_masked-flattened_line_41-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.43&CDS=1-1200, maker-flattened_line_189-snap-gene-0.25-mRNA-1_1&gene=maker-flattened_line_189-snap-gene-0.25&CDS=1-3273, maker-flattened_line_41-augustus-gene-0.65-mRNA-1_1&gene=maker-flattened_line_41-augustus-gene-0.65&CDS=1-1308
8	OG0000008	YKL126W, YMR104C	augustus_masked-flattened_line_2255-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2255-processed-gene-0.1&CDS=1-384, augustus_masked-flattened_line_538-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_538-processed-gene-0.5&CDS=1-1293, genemark-flattened_line_1947-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_1947-processed-gene-0.2&CDS=1-498, genemark-flattened_line_520-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_520-processed-gene-0.5&CDS=1-1518, snap_masked-flattened_line_1823-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_1823-processed-gene-0.2&CDS=1-585, snap_masked-flattened_line_3199-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_3199-processed-gene-0.1&CDS=1-210
9	OG0000009	YAL051W, YCR106W, YLL054C, YOR363C	augustus_masked-flattened_line_273-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_273-processed-gene-0.39&CDS=1-2829, maker-flattened_line_273-snap-gene-0.26-mRNA-1_1&gene=maker-flattened_line_273-snap-gene-0.26&CDS=1-9558, snap_masked-flattened_line_20-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.9&CDS=1-2574
