	OrthologID	Aspergillus_nidulans	Saccharomyces_cerevisiae
0	OG0000000	AN0364, AN0928, AN10294, AN10300, AN10467, AN10775, AN10911, AN10912, AN11165, AN11222, AN1749, AN2354, AN2597, AN2695, AN2782, AN3506, AN5182, AN5349, AN5924, AN6806, AN7376, AN7872, AN7923, AN7942, AN8529, AN8774, AN8973, AN9050, AN9373	YDL170W, YDR034C
1	OG0000001	AN0376, AN10000, AN10256, AN10632, AN10649, AN10846, AN2670, AN2713, AN2714, AN3471, AN3500, AN5066, AN5095, AN5254, AN5470, AN5471, AN6966, AN6968, AN7830, AN7845, AN7846, AN8305, AN8576	
2	OG0000002	AN3357, AN4277, AN5860	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W
3	OG0000003	AN0783, AN10210, AN10833, AN12070, AN2662, AN2829, AN2879, AN3957, AN4195, AN8303, AN8777, AN9138	YDR242W
4	OG0000004	AN0614, AN0993, AN10075, AN1110, AN11116, AN1681, AN2282, AN2344, AN5650, AN8955, AN9010, AN9392	YGR260W
5	OG0000005	AN0018, AN1031, AN11217, AN11821, AN2643, AN3254, AN3491, AN5370, AN7200, AN8095, AN8459	
6	OG0000006	AN0739, AN11120, AN2613, AN2675, AN6451, AN6477, AN6942, AN7295, AN7972, AN8610	YBR008C
7	OG0000007	AN0098, AN0937, AN3768, AN4175, AN4185, AN5955, AN7379, AN8636	YLR098C, YOR337W
8	OG0000008	AN0102, AN3855, AN4120, AN4268, AN4811, AN5854, AN6031, AN8801	YJR149W
9	OG0000009	AN10514, AN10815, AN11791, AN2813, AN3226, AN3305, AN7339, AN8603	YOR246C
10	OG0000010	AN10098, AN10947, AN1312, AN2351, AN3339, AN3873, AN5257, AN7895, AN9075	
11	OG0000011	AN0007, AN0902, AN10596, AN10606, AN6154, AN6218, AN6322, AN8469	
12	OG0000012	AN10038, AN1595, AN6563, AN7807, AN9304	YGR201C, YKL081W, YPL048W
13	OG0000013	AN0404, AN2300, AN2349, AN3608, AN6237, AN6436, AN9342	YKL209C
14	OG0000014	AN10770, AN2355, AN2798, AN3508, AN3509, AN8104, AN9111	YER185W
15	OG0000015	AN3515, AN5917, AN6834, AN7119, AN7344	YBR298C, YDL247W, YJR160C
16	OG0000016	AN10420	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
17	OG0000017	AN0853, AN10423, AN2826, AN3217, AN5299, AN7343	YMR019W
18	OG0000018	AN11823, AN2358, AN2840, AN4098, AN4481	YOL119C, YOR306C
19	OG0000019	AN12129, AN4119, AN4313, AN7779, AN8083	YLL028W, YOR273C
20	OG0000020	AN0497, AN10720, AN3503, AN6461, AN8318, AN8814	YJR152W
21	OG0000021	AN10507, AN2530, AN3555, AN5781, AN7892	YBR072W
22	OG0000022	AN11208, AN2651, AN2669, AN4912, AN5350	YOR049C
