	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034710_Kluyveromyces_dobzhanskii
0	OG0000000	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YNL318C, YOL156W	maker-NODE_2_length_1173375_cov_22.3644_ID_3-snap-gene-5.40-mRNA-1_1&gene=maker-NODE_2_length_1173375_cov_22.3644_ID_3-snap-gene-5.40&CDS=1-3387, snap_masked-NODE_14_length_237296_cov_18.7603_ID_27-processed-gene-1.1-mRNA-1_1&gene=snap_masked-NODE_14_length_237296_cov_18.7603_ID_27-processed-gene-1.1&CDS=1-1578
1	OG0000001	YAL005C, YDL229W, YER103W, YJL034W, YJR045C, YLL024C, YLR369W, YNL209W	snap_masked-NODE_14_length_237296_cov_18.7603_ID_27-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_14_length_237296_cov_18.7603_ID_27-processed-gene-0.52&CDS=1-1956, snap_masked-NODE_14_length_237296_cov_18.7603_ID_27-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_14_length_237296_cov_18.7603_ID_27-processed-gene-1.29&CDS=1-1920, snap_masked-NODE_17_length_192782_cov_28.4375_ID_33-processed-gene-0.177-mRNA-1_1&gene=snap_masked-NODE_17_length_192782_cov_28.4375_ID_33-processed-gene-0.177&CDS=1-1929, snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-1.46&CDS=1-1839, snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-8.66-mRNA-1_1&gene=snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-8.66&CDS=1-2034, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-2.98&CDS=1-1932
2	OG0000002	YCL025C, YDR508C, YGR191W, YKR039W, YLL061W, YOL020W, YPL274W	genemark-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.202-mRNA-1_1&gene=genemark-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.202&CDS=1-3180, snap_masked-NODE_10_length_295244_cov_19.1389_ID_19-processed-gene-1.101-mRNA-1_1&gene=snap_masked-NODE_10_length_295244_cov_19.1389_ID_19-processed-gene-1.101&CDS=1-1749, snap_masked-NODE_12_length_260850_cov_26.5876_ID_23-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NODE_12_length_260850_cov_26.5876_ID_23-processed-gene-1.44&CDS=1-1863, snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-5.86-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-5.86&CDS=1-1761, snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.106-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.106&CDS=1-1722, snap_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-1.80-mRNA-1_1&gene=snap_masked-NODE_9_length_330969_cov_17.5382_ID_17-processed-gene-1.80&CDS=1-1680
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C	maker-NODE_7_length_356351_cov_27.068_ID_13-snap-gene-0.58-mRNA-1_1&gene=maker-NODE_7_length_356351_cov_27.068_ID_13-snap-gene-0.58&CDS=1-3486, snap_masked-NODE_15_length_222901_cov_30.7808_ID_29-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NODE_15_length_222901_cov_30.7808_ID_29-processed-gene-1.74&CDS=1-1776, snap_masked-NODE_37_length_12395_cov_74.8073_ID_73-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_37_length_12395_cov_74.8073_ID_73-processed-gene-0.5&CDS=1-1776
4	OG0000004	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_17_length_192782_cov_28.4375_ID_33-processed-gene-0.129-mRNA-1_1&gene=snap_masked-NODE_17_length_192782_cov_28.4375_ID_33-processed-gene-0.129&CDS=1-1407, snap_masked-NODE_17_length_192782_cov_28.4375_ID_33-processed-gene-0.130-mRNA-1_1&gene=snap_masked-NODE_17_length_192782_cov_28.4375_ID_33-processed-gene-0.130&CDS=1-1407, snap_masked-NODE_37_length_12395_cov_74.8073_ID_73-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_37_length_12395_cov_74.8073_ID_73-processed-gene-0.4&CDS=1-1449
5	OG0000005	YDR011W, YDR406W, YNR070W, YOR153W, YPL058C	maker-NODE_7_length_356351_cov_27.068_ID_13-snap-gene-2.83-mRNA-1_1&gene=maker-NODE_7_length_356351_cov_27.068_ID_13-snap-gene-2.83&CDS=1-9078, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-0.54&CDS=1-4563, snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-1.60&CDS=1-4572
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-9.5-mRNA-1_1&gene=genemark-NODE_1_length_1607026_cov_17.9001_ID_1-processed-gene-9.5&CDS=1-2640, snap_masked-NODE_20_length_145039_cov_31.7492_ID_39-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_20_length_145039_cov_31.7492_ID_39-processed-gene-0.3&CDS=1-2304, snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-6.53-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-6.53&CDS=1-3198, snap_masked-NODE_8_length_332845_cov_20.4717_ID_15-processed-gene-1.67-mRNA-1_1&gene=snap_masked-NODE_8_length_332845_cov_20.4717_ID_15-processed-gene-1.67&CDS=1-3330
7	OG0000007	YER001W, YGL257C, YIL014W, YNR059W	augustus_masked-NODE_5_length_778961_cov_18.8677_ID_9-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NODE_5_length_778961_cov_18.8677_ID_9-processed-gene-1.128&CDS=1-2229, genemark-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.186-mRNA-1_1&gene=genemark-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.186&CDS=1-1686, snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-5.69-mRNA-1_1&gene=snap_masked-NODE_2_length_1173375_cov_22.3644_ID_3-processed-gene-5.69&CDS=1-1920
8	OG0000008	YHL040C, YHL047C	augustus_masked-NODE_25_length_93352_cov_43.2161_ID_49-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_25_length_93352_cov_43.2161_ID_49-processed-gene-0.81&CDS=1-1848, augustus_masked-NODE_25_length_93352_cov_43.2161_ID_49-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_25_length_93352_cov_43.2161_ID_49-processed-gene-0.83&CDS=1-1860, augustus_masked-NODE_39_length_9074_cov_37.7206_ID_77-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_39_length_9074_cov_37.7206_ID_77-processed-gene-0.2&CDS=1-3357, snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.119-mRNA-1_1&gene=snap_masked-NODE_3_length_946268_cov_22.856_ID_5-processed-gene-8.119&CDS=1-1923, snap_masked-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_7_length_356351_cov_27.068_ID_13-processed-gene-0.7&CDS=1-1917
9	OG0000009	YMR083W, YMR303C, YOL086C	snap_masked-NODE_32_length_42615_cov_17.3902_ID_63-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_32_length_42615_cov_17.3902_ID_63-processed-gene-0.7&CDS=1-1044, snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-1.113-mRNA-1_1&gene=snap_masked-NODE_4_length_935921_cov_18.6927_ID_7-processed-gene-1.113&CDS=1-1119, snap_masked-NODE_5_length_778961_cov_18.8677_ID_9-processed-gene-4.60-mRNA-1_1&gene=snap_masked-NODE_5_length_778961_cov_18.8677_ID_9-processed-gene-4.60&CDS=1-1128, snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_6_length_691739_cov_21.9184_ID_11-processed-gene-0.34&CDS=1-1059
