	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034973_Danielozyma_ontarioensis
0	OG0000000	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-1.135&CDS=1-1077, augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.74&CDS=1-1128, augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.75&CDS=1-1158, augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.76&CDS=1-1104, augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-1.43-mRNA-1_1&gene=augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-1.43&CDS=1-1377, augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-12.86-mRNA-1_1&gene=augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-12.86&CDS=1-1143, augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-7.78-mRNA-1_1&gene=augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-7.78&CDS=1-1152, augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-0.102&CDS=1-1119, augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.279-mRNA-1_1&gene=augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.279&CDS=1-1182, maker-NODE_12_length_307877_cov_37.9028_ID_23-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_12_length_307877_cov_37.9028_ID_23-snap-gene-0.0&CDS=1-3033, maker-NODE_19_length_123799_cov_43.3402_ID_37-snap-gene-0.96-mRNA-1_1&gene=maker-NODE_19_length_123799_cov_43.3402_ID_37-snap-gene-0.96&CDS=1-5487
1	OG0000001	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-NODE_11_length_327135_cov_28.3393_ID_21-processed-gene-1.30&CDS=1-1731, augustus_masked-NODE_14_length_249592_cov_34.9232_ID_27-processed-gene-1.250-mRNA-1_1&gene=augustus_masked-NODE_14_length_249592_cov_34.9232_ID_27-processed-gene-1.250&CDS=1-1743, augustus_masked-NODE_16_length_227770_cov_29.655_ID_31-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_16_length_227770_cov_29.655_ID_31-processed-gene-0.75&CDS=1-1713, augustus_masked-NODE_22_length_48845_cov_45.6878_ID_43-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_22_length_48845_cov_45.6878_ID_43-processed-gene-0.54&CDS=1-1764, augustus_masked-NODE_23_length_38735_cov_49.1129_ID_45-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_23_length_38735_cov_49.1129_ID_45-processed-gene-0.41&CDS=1-1683, augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-12.75-mRNA-1_1&gene=augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-12.75&CDS=1-1779, augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-1.93&CDS=1-1707, maker-NODE_18_length_169719_cov_41.7299_ID_35-augustus-gene-0.251-mRNA-1_1&gene=maker-NODE_18_length_169719_cov_41.7299_ID_35-augustus-gene-0.251&CDS=1-2436
2	OG0000002	YJR061W, YKL201C, YLR023C	augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_13_length_279400_cov_36.0067_ID_25-processed-gene-0.86&CDS=1-2652, augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-1.153-mRNA-1_1&gene=augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-1.153&CDS=1-6900, augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-1.62&CDS=1-2724, augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-1.81-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-1.81&CDS=1-2367, augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-1.130&CDS=1-3237, augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-2.166-mRNA-1_1&gene=augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-2.166&CDS=1-2253, maker-NODE_2_length_1306286_cov_31.9871_ID_3-snap-gene-6.51-mRNA-1_1&gene=maker-NODE_2_length_1306286_cov_31.9871_ID_3-snap-gene-6.51&CDS=1-4809, snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-12.145-mRNA-1_1&gene=snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-12.145&CDS=1-1809, snap_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-1.30&CDS=1-1299
3	OG0000003	YBR293W, YCL069W, YGR202C, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-8.78-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-8.78&CDS=1-1764, augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-2.38&CDS=1-1668, augustus_masked-NODE_6_length_479438_cov_34.4106_ID_11-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_6_length_479438_cov_34.4106_ID_11-processed-gene-1.61&CDS=1-1731, maker-NODE_1_length_1880460_cov_31.0834_ID_1-augustus-gene-16.166-mRNA-1_1&gene=maker-NODE_1_length_1880460_cov_31.0834_ID_1-augustus-gene-16.166&CDS=1-2964
4	OG0000004	YOL093W	augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_15_length_228130_cov_31.8965_ID_29-processed-gene-0.22&CDS=1-2469, augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-3.86&CDS=1-3159, augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-8.116-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-8.116&CDS=1-2130, augustus_masked-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-1.138&CDS=1-2607, maker-NODE_2_length_1306286_cov_31.9871_ID_3-augustus-gene-3.95-mRNA-1_1&gene=maker-NODE_2_length_1306286_cov_31.9871_ID_3-augustus-gene-3.95&CDS=1-3861, maker-NODE_3_length_1123224_cov_32.4581_ID_5-augustus-gene-6.159-mRNA-1_1&gene=maker-NODE_3_length_1123224_cov_32.4581_ID_5-augustus-gene-6.159&CDS=1-5598, snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-3.148-mRNA-1_1&gene=snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-3.148&CDS=1-2610, snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-7.103-mRNA-1_1&gene=snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-7.103&CDS=1-2493, snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-7.104-mRNA-1_1&gene=snap_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-7.104&CDS=1-2496
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-6.173-mRNA-1_1&gene=augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-6.173&CDS=1-1701, augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.117&CDS=1-1704
6	OG0000006	YDR338C, YNL288W	augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_19_length_123799_cov_43.3402_ID_37-processed-gene-0.54&CDS=1-1413, augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-13.5-mRNA-1_1&gene=augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-13.5&CDS=1-1719, augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-NODE_2_length_1306286_cov_31.9871_ID_3-processed-gene-2.55&CDS=1-1434, augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-3.131&CDS=1-3951, augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.237-mRNA-1_1&gene=augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.237&CDS=1-3657, augustus_masked-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-2.173-mRNA-1_1&gene=augustus_masked-NODE_9_length_386304_cov_31.4917_ID_17-processed-gene-2.173&CDS=1-2580
7	OG0000007	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-17.126-mRNA-1_1&gene=augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-17.126&CDS=1-2667, augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-3.190-mRNA-1_1&gene=augustus_masked-NODE_3_length_1123224_cov_32.4581_ID_5-processed-gene-3.190&CDS=1-3402, augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-4.3-mRNA-1_1&gene=augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-4.3&CDS=1-2277, augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-NODE_5_length_741203_cov_30.7056_ID_9-processed-gene-3.28&CDS=1-3264
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_1_length_1880460_cov_31.0834_ID_1-processed-gene-1.133&CDS=1-1392, maker-NODE_1_length_1880460_cov_31.0834_ID_1-snap-gene-2.0-mRNA-1_1&gene=maker-NODE_1_length_1880460_cov_31.0834_ID_1-snap-gene-2.0&CDS=1-2673
9	OG0000009	YDR155C, YDR304C, YLR216C	augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_4_length_992781_cov_33.0108_ID_7-processed-gene-0.54&CDS=1-486, augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NODE_7_length_478340_cov_34.1556_ID_13-processed-gene-2.139&CDS=1-627, augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.226-mRNA-1_1&gene=augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.226&CDS=1-531, augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.238-mRNA-1_1&gene=augustus_masked-NODE_8_length_478249_cov_30.3473_ID_15-processed-gene-3.238&CDS=1-1086
