	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034594_Starmera_quercuum
0	OG0000000	YGR083C	maker-flattened_line_11-snap-gene-3.61-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-3.61&CDS=1-2919, maker-flattened_line_11-snap-gene-3.62-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-3.62&CDS=1-4395, maker-flattened_line_53-augustus-gene-0.70-mRNA-1_1&gene=maker-flattened_line_53-augustus-gene-0.70&CDS=1-2889, maker-flattened_line_67-augustus-gene-0.8-mRNA-1_1&gene=maker-flattened_line_67-augustus-gene-0.8&CDS=1-1770, maker-flattened_line_67-snap-gene-0.182-mRNA-1_1&gene=maker-flattened_line_67-snap-gene-0.182&CDS=1-2910, maker-flattened_line_67-snap-gene-0.185-mRNA-1_1&gene=maker-flattened_line_67-snap-gene-0.185&CDS=1-2955, snap_masked-flattened_line_0-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.69&CDS=1-1479, snap_masked-flattened_line_10-processed-gene-2.55-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.55&CDS=1-1482, snap_masked-flattened_line_11-processed-gene-3.119-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-3.119&CDS=1-1440, snap_masked-flattened_line_121-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_121-processed-gene-0.13&CDS=1-1482, snap_masked-flattened_line_121-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_121-processed-gene-0.23&CDS=1-1512, snap_masked-flattened_line_13-processed-gene-2.149-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.149&CDS=1-1482, snap_masked-flattened_line_131-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_131-processed-gene-0.13&CDS=1-1479, snap_masked-flattened_line_17-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.27&CDS=1-1485, snap_masked-flattened_line_2-processed-gene-5.64-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.64&CDS=1-1500, snap_masked-flattened_line_2-processed-gene-5.76-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-5.76&CDS=1-1494, snap_masked-flattened_line_39-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.45&CDS=1-1443, snap_masked-flattened_line_39-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-0.87&CDS=1-1473, snap_masked-flattened_line_4-processed-gene-2.148-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.148&CDS=1-1488, snap_masked-flattened_line_57-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.118&CDS=1-1485, snap_masked-flattened_line_63-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.25&CDS=1-1497, snap_masked-flattened_line_79-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_79-processed-gene-0.107&CDS=1-1482, snap_masked-flattened_line_8-processed-gene-1.47-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.47&CDS=1-1527, snap_masked-flattened_line_95-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_95-processed-gene-0.34&CDS=1-1494
1	OG0000001	YBR240C, YDR207C	augustus_masked-flattened_line_2-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.42&CDS=1-1650, augustus_masked-flattened_line_51-processed-gene-0.204-mRNA-1_1&gene=augustus_masked-flattened_line_51-processed-gene-0.204&CDS=1-1767, genemark-flattened_line_0-processed-gene-2.8-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.8&CDS=1-1779, genemark-flattened_line_35-processed-gene-0.233-mRNA-1_1&gene=genemark-flattened_line_35-processed-gene-0.233&CDS=1-1455, maker-flattened_line_11-snap-gene-3.63-mRNA-1_1&gene=maker-flattened_line_11-snap-gene-3.63&CDS=1-1938, maker-flattened_line_29-snap-gene-1.246-mRNA-1_1&gene=maker-flattened_line_29-snap-gene-1.246&CDS=1-1770, maker-flattened_line_79-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_79-snap-gene-0.4&CDS=1-1818, snap_masked-flattened_line_10-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.55&CDS=1-1689, snap_masked-flattened_line_10-processed-gene-3.73-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.73&CDS=1-1689, snap_masked-flattened_line_11-processed-gene-1.113-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.113&CDS=1-681, snap_masked-flattened_line_43-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.127&CDS=1-948, snap_masked-flattened_line_45-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.123&CDS=1-2037, snap_masked-flattened_line_51-processed-gene-0.147-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-0.147&CDS=1-1767, snap_masked-flattened_line_63-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.5&CDS=1-834, snap_masked-flattened_line_63-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.51&CDS=1-1065, snap_masked-flattened_line_91-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_91-processed-gene-0.67&CDS=1-513
2	OG0000002	YGL257C, YNR059W	genemark-flattened_line_0-processed-gene-8.320-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.320&CDS=1-2058, maker-flattened_line_59-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_59-snap-gene-0.6&CDS=1-6075, snap_masked-flattened_line_0-processed-gene-4.20-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.20&CDS=1-1905, snap_masked-flattened_line_10-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.77&CDS=1-2235, snap_masked-flattened_line_10-processed-gene-1.70-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.70&CDS=1-2250, snap_masked-flattened_line_10-processed-gene-3.18-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.18&CDS=1-2250, snap_masked-flattened_line_10-processed-gene-3.40-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-3.40&CDS=1-2235, snap_masked-flattened_line_29-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.34&CDS=1-2184, snap_masked-flattened_line_59-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.107&CDS=1-1845
3	OG0000003	YHR032W, YNL125C	genemark-flattened_line_113-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_113-processed-gene-0.16&CDS=1-1467, genemark-flattened_line_75-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_75-processed-gene-0.22&CDS=1-1866, maker-flattened_line_10-snap-gene-2.98-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.98&CDS=1-3384, maker-flattened_line_11-augustus-gene-3.65-mRNA-1_1&gene=maker-flattened_line_11-augustus-gene-3.65&CDS=1-4233, maker-flattened_line_55-augustus-gene-0.205-mRNA-1_1&gene=maker-flattened_line_55-augustus-gene-0.205&CDS=1-3201, snap_masked-flattened_line_0-processed-gene-3.75-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.75&CDS=1-1629, snap_masked-flattened_line_43-processed-gene-0.152-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.152&CDS=1-1674, snap_masked-flattened_line_57-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.91&CDS=1-1404, snap_masked-flattened_line_6-processed-gene-2.84-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.84&CDS=1-1419
4	OG0000004	YBR068C, YDR046C, YGR191W, YKR039W	genemark-flattened_line_141-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_141-processed-gene-0.13&CDS=1-1767, snap_masked-flattened_line_19-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.111&CDS=1-1848, snap_masked-flattened_line_4-processed-gene-3.131-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.131&CDS=1-1806, snap_masked-flattened_line_4-processed-gene-4.202-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-4.202&CDS=1-1803, snap_masked-flattened_line_4-processed-gene-4.203-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-4.203&CDS=1-1764, snap_masked-flattened_line_6-processed-gene-1.119-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.119&CDS=1-1806
5	OG0000005	YLR256W	augustus_masked-flattened_line_149-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_149-processed-gene-0.8&CDS=1-1452, genemark-flattened_line_0-processed-gene-8.262-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.262&CDS=1-3090, snap_masked-flattened_line_0-processed-gene-8.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.79&CDS=1-2943, snap_masked-flattened_line_0-processed-gene-8.80-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.80&CDS=1-3561, snap_masked-flattened_line_17-processed-gene-1.209-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.209&CDS=1-2916, snap_masked-flattened_line_35-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-0.66&CDS=1-2427, snap_masked-flattened_line_47-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.100&CDS=1-897, snap_masked-flattened_line_81-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.101&CDS=1-2646
6	OG0000006	YHR176W	maker-flattened_line_6-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-0.1&CDS=1-4473, snap_masked-flattened_line_107-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.73&CDS=1-1482, snap_masked-flattened_line_107-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.76&CDS=1-1494, snap_masked-flattened_line_15-processed-gene-2.180-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-2.180&CDS=1-1485, snap_masked-flattened_line_29-processed-gene-1.42-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.42&CDS=1-1425, snap_masked-flattened_line_37-processed-gene-0.222-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.222&CDS=1-1590, snap_masked-flattened_line_47-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-0.68&CDS=1-1437
7	OG0000007	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	maker-flattened_line_0-snap-gene-5.8-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.8&CDS=1-4314, snap_masked-flattened_line_0-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.48&CDS=1-2142, snap_masked-flattened_line_13-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.96&CDS=1-2244
8	OG0000008		augustus_masked-flattened_line_10-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.130&CDS=1-1722, augustus_masked-flattened_line_10-processed-gene-3.114-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.114&CDS=1-1722, augustus_masked-flattened_line_45-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-flattened_line_45-processed-gene-0.206&CDS=1-2088, genemark-flattened_line_53-processed-gene-0.160-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.160&CDS=1-2400, snap_masked-flattened_line_53-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.11&CDS=1-2352, snap_masked-flattened_line_53-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-0.13&CDS=1-2487, snap_masked-flattened_line_6-processed-gene-2.78-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.78&CDS=1-2571, snap_masked-flattened_line_85-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.64&CDS=1-2355
9	OG0000009	YAL063C, YAR050W, YDR134C, YHR211W, YKR102W, YLR110C	snap_masked-flattened_line_105-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.51&CDS=1-3975
