	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035662_Meyerozyma_caribbica
0	OG0000000	YAL068C, YBR301W, YDR542W, YEL049W, YGL261C, YGR294W, YHL046C, YIL176C, YJL223C, YLL064C, YLR461W, YNR076W, YOL161C	snap_masked-NODE_72_length_599_cov_0.508333_ID_2551-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_72_length_599_cov_0.508333_ID_2551-processed-gene-0.0&CDS=1-369
1	OG0000001	YCL025C, YDR508C, YKR039W	augustus_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-3.162-mRNA-1_1&gene=augustus_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-3.162&CDS=1-7470, maker-NODE_8_length_605226_cov_19.2795_ID_1056-augustus-gene-0.82-mRNA-1_1&gene=maker-NODE_8_length_605226_cov_19.2795_ID_1056-augustus-gene-0.82&CDS=1-3477, snap_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-4.59-mRNA-1_1&gene=snap_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-4.59&CDS=1-3030, snap_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-5.32-mRNA-1_1&gene=snap_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-5.32&CDS=1-1746, snap_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-6.115-mRNA-1_1&gene=snap_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-6.115&CDS=1-1680, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-1.4-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-1.4&CDS=1-1737, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-4.117-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-4.117&CDS=1-1761, snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-4.157-mRNA-1_1&gene=snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-4.157&CDS=1-1701
2	OG0000002	YJR061W, YKL201C, YLR023C	augustus_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.27-mRNA-1_1&gene=augustus_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.27&CDS=1-4098, maker-NODE_12_length_294675_cov_21.9903_ID_1250-snap-gene-1.211-mRNA-1_1&gene=maker-NODE_12_length_294675_cov_21.9903_ID_1250-snap-gene-1.211&CDS=1-4881, snap_masked-NODE_13_length_195850_cov_25.4824_ID_1570-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_13_length_195850_cov_25.4824_ID_1570-processed-gene-0.72&CDS=1-2382, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-6.15-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-6.15&CDS=1-2376, snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-6.39-mRNA-1_1&gene=snap_masked-NODE_3_length_1034512_cov_18.7206_ID_919-processed-gene-6.39&CDS=1-2277, snap_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-6.106-mRNA-1_1&gene=snap_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-6.106&CDS=1-2355, snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-0.119&CDS=1-1797, snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-3.47-mRNA-1_1&gene=snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-3.47&CDS=1-807
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-1.86&CDS=1-1701, snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-14.159-mRNA-1_1&gene=snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-14.159&CDS=1-1665, snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-1.8-mRNA-1_1&gene=snap_masked-NODE_9_length_596901_cov_18.4558_ID_1197-processed-gene-1.8&CDS=1-1704
4	OG0000004	YCL069W, YDL035C, YGR224W, YKR105C, YPR198W	maker-NODE_1_length_1511766_cov_19.3565_ID_781-augustus-gene-14.129-mRNA-1_1&gene=maker-NODE_1_length_1511766_cov_19.3565_ID_781-augustus-gene-14.129&CDS=1-3705, snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-4.187-mRNA-1_1&gene=snap_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-4.187&CDS=1-1209, snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.54&CDS=1-1773, snap_masked-NODE_21_length_33955_cov_14.8703_ID_2015-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_21_length_33955_cov_14.8703_ID_2015-processed-gene-0.13&CDS=1-1764, snap_masked-NODE_7_length_691971_cov_18.1586_ID_999-processed-gene-1.10-mRNA-1_1&gene=snap_masked-NODE_7_length_691971_cov_18.1586_ID_999-processed-gene-1.10&CDS=1-1704
5	OG0000005	YKR064W	augustus_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-2.39&CDS=1-1971, augustus_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.44&CDS=1-2727, augustus_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-14.116-mRNA-1_1&gene=augustus_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-14.116&CDS=1-2118, augustus_masked-NODE_272_length_286_cov_14.6347_ID_3084-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_272_length_286_cov_14.6347_ID_3084-processed-gene-0.0&CDS=1-216, augustus_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-NODE_8_length_605226_cov_19.2795_ID_1056-processed-gene-2.81&CDS=1-2046, snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.118&CDS=1-3480, snap_masked-NODE_22_length_8138_cov_33.2671_ID_3178-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_22_length_8138_cov_33.2671_ID_3178-processed-gene-0.2&CDS=1-2598, snap_masked-NODE_7_length_691971_cov_18.1586_ID_999-processed-gene-2.123-mRNA-1_1&gene=snap_masked-NODE_7_length_691971_cov_18.1586_ID_999-processed-gene-2.123&CDS=1-1272
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-10.77-mRNA-1_1&gene=augustus_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-10.77&CDS=1-4230, maker-NODE_6_length_736192_cov_18.5434_ID_1264-snap-gene-3.69-mRNA-1_1&gene=maker-NODE_6_length_736192_cov_18.5434_ID_1264-snap-gene-3.69&CDS=1-5856, snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-13.135-mRNA-1_1&gene=snap_masked-NODE_1_length_1511766_cov_19.3565_ID_781-processed-gene-13.135&CDS=1-1665
7	OG0000007	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_1278474_cov_17.5864_ID_847-processed-gene-0.41&CDS=1-9741
8	OG0000008	YBR008C	maker-NODE_16_length_162208_cov_25.2841_ID_1753-snap-gene-0.78-mRNA-1_1&gene=maker-NODE_16_length_162208_cov_25.2841_ID_1753-snap-gene-0.78&CDS=1-4971, snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-0.26&CDS=1-1674, snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.25&CDS=1-1551, snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.97-mRNA-1_1&gene=snap_masked-NODE_11_length_366366_cov_17.326_ID_1157-processed-gene-2.97&CDS=1-1803, snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.108-mRNA-1_1&gene=snap_masked-NODE_16_length_162208_cov_25.2841_ID_1753-processed-gene-0.108&CDS=1-1560, snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_6_length_736192_cov_18.5434_ID_1264-processed-gene-0.127&CDS=1-1605
9	OG0000009	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-NODE_10_length_506719_cov_18.9381_ID_1110-processed-gene-1.132&CDS=1-1845, augustus_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-NODE_4_length_887185_cov_24.1062_ID_1360-processed-gene-7.113&CDS=1-1416, snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_12_length_294675_cov_21.9903_ID_1250-processed-gene-1.153&CDS=1-1281
