	OrthologID	Lipomyces_starkeyi	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-scaffold_10-processed-gene-3.63-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.63&CDS=1-1623, augustus_masked-scaffold_17-processed-gene-2.94-mRNA-1_1&gene=augustus_masked-scaffold_17-processed-gene-2.94&CDS=1-876, augustus_masked-scaffold_18-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-1.143&CDS=1-978, augustus_masked-scaffold_4-processed-gene-14.107-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.107&CDS=1-1635, augustus_masked-scaffold_5-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.30&CDS=1-876, augustus_masked-scaffold_58-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_58-processed-gene-0.0&CDS=1-1629, genemark-scaffold_1-processed-gene-1.127-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.127&CDS=1-1629, genemark-scaffold_105-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_105-processed-gene-0.1&CDS=1-1500, genemark-scaffold_19-processed-gene-0.60-mRNA-1_1&gene=genemark-scaffold_19-processed-gene-0.60&CDS=1-1431, genemark-scaffold_2-processed-gene-11.123-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.123&CDS=1-1635, genemark-scaffold_2-processed-gene-17.277-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-17.277&CDS=1-1518, genemark-scaffold_4-processed-gene-14.31-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-14.31&CDS=1-1020, genemark-scaffold_9-processed-gene-1.6-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.6&CDS=1-1380, maker-scaffold_1-augustus-gene-18.133-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-18.133&CDS=1-3417, maker-scaffold_12-snap-gene-7.52-mRNA-1_1&gene=maker-scaffold_12-snap-gene-7.52&CDS=1-1749, maker-scaffold_15-snap-gene-5.48-mRNA-1_1&gene=maker-scaffold_15-snap-gene-5.48&CDS=1-1395, maker-scaffold_16-snap-gene-4.139-mRNA-1_1&gene=maker-scaffold_16-snap-gene-4.139&CDS=1-1335, maker-scaffold_18-augustus-gene-0.55-mRNA-1_1&gene=maker-scaffold_18-augustus-gene-0.55&CDS=1-2451, maker-scaffold_4-snap-gene-2.117-mRNA-1_1&gene=maker-scaffold_4-snap-gene-2.117&CDS=1-1182, snap_masked-scaffold_106-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scaffold_106-processed-gene-0.1&CDS=1-1632, snap_masked-scaffold_17-processed-gene-2.46-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-2.46&CDS=1-717, snap_masked-scaffold_5-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.55&CDS=1-717, snap_masked-scaffold_6-processed-gene-6.93-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-6.93&CDS=1-1635, snap_masked-scaffold_8-processed-gene-8.149-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-8.149&CDS=1-1635, snap_masked-scaffold_9-processed-gene-10.88-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-10.88&CDS=1-1629	YHL010C
1	OG0000001	augustus_masked-scaffold_1-processed-gene-3.154-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-3.154&CDS=1-1569, augustus_masked-scaffold_18-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-scaffold_18-processed-gene-0.84&CDS=1-1560, augustus_masked-scaffold_5-processed-gene-13.13-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.13&CDS=1-1524, augustus_masked-scaffold_5-processed-gene-14.171-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.171&CDS=1-1581, augustus_masked-scaffold_7-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.44&CDS=1-1569, augustus_masked-scaffold_8-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.104&CDS=1-1533, augustus_masked-scaffold_9-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-2.32&CDS=1-1581, maker-scaffold_2-augustus-gene-17.238-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-17.238&CDS=1-1512, maker-scaffold_20-snap-gene-0.108-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.108&CDS=1-1497, maker-scaffold_28-snap-gene-0.2-mRNA-1_1&gene=maker-scaffold_28-snap-gene-0.2&CDS=1-1518, maker-scaffold_3-augustus-gene-10.94-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-10.94&CDS=1-1674, maker-scaffold_6-augustus-gene-13.72-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-13.72&CDS=1-1491, maker-scaffold_6-augustus-gene-14.103-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-14.103&CDS=1-1545, maker-scaffold_7-augustus-gene-0.104-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-0.104&CDS=1-1617, snap_masked-scaffold_10-processed-gene-1.15-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-1.15&CDS=1-1587, snap_masked-scaffold_17-processed-gene-2.32-mRNA-1_1&gene=snap_masked-scaffold_17-processed-gene-2.32&CDS=1-1578, snap_masked-scaffold_9-processed-gene-1.65-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-1.65&CDS=1-1320, snap_masked-scaffold_9-processed-gene-10.158-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-10.158&CDS=1-1461	YFL040W
2	OG0000002	maker-scaffold_2-augustus-gene-1.122-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-1.122&CDS=1-1809	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
3	OG0000003	augustus_masked-scaffold_5-processed-gene-5.27-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.27&CDS=1-957, augustus_masked-scaffold_7-processed-gene-9.24-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-9.24&CDS=1-1365, maker-scaffold_1-augustus-gene-15.54-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-15.54&CDS=1-2793, maker-scaffold_10-augustus-gene-2.98-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-2.98&CDS=1-723, maker-scaffold_10-snap-gene-2.38-mRNA-1_1&gene=maker-scaffold_10-snap-gene-2.38&CDS=1-1002, maker-scaffold_20-augustus-gene-0.65-mRNA-1_1&gene=maker-scaffold_20-augustus-gene-0.65&CDS=1-2115, maker-scaffold_4-snap-gene-0.39-mRNA-1_1&gene=maker-scaffold_4-snap-gene-0.39&CDS=1-1227, maker-scaffold_7-augustus-gene-2.57-mRNA-1_1&gene=maker-scaffold_7-augustus-gene-2.57&CDS=1-2142, maker-scaffold_8-snap-gene-10.1-mRNA-1_1&gene=maker-scaffold_8-snap-gene-10.1&CDS=1-2013, snap_masked-scaffold_6-processed-gene-12.9-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-12.9&CDS=1-1668	YBR240C, YDL170W, YML099C
4	OG0000004		YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B
5	OG0000005	augustus_masked-scaffold_23-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scaffold_23-processed-gene-0.2&CDS=1-1647, augustus_masked-scaffold_6-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.107&CDS=1-1617, augustus_masked-scaffold_9-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-1.135&CDS=1-1689, genemark-scaffold_10-processed-gene-8.316-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-8.316&CDS=1-1752, maker-scaffold_6-augustus-gene-12.79-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-12.79&CDS=1-1659, snap_masked-scaffold_21-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scaffold_21-processed-gene-0.17&CDS=1-1650	YBR298C, YDL247W, YGR289C, YJR160C
6	OG0000006	augustus_masked-scaffold_11-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.90&CDS=1-744, augustus_masked-scaffold_16-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-2.38&CDS=1-747, augustus_masked-scaffold_2-processed-gene-10.119-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-10.119&CDS=1-948, augustus_masked-scaffold_3-processed-gene-6.20-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.20&CDS=1-795, augustus_masked-scaffold_5-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.34&CDS=1-912, augustus_masked-scaffold_6-processed-gene-12.126-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-12.126&CDS=1-912, maker-scaffold_11-augustus-gene-2.60-mRNA-1_1&gene=maker-scaffold_11-augustus-gene-2.60&CDS=1-774, maker-scaffold_12-augustus-gene-1.87-mRNA-1_1&gene=maker-scaffold_12-augustus-gene-1.87&CDS=1-813, maker-scaffold_13-augustus-gene-6.188-mRNA-1_1&gene=maker-scaffold_13-augustus-gene-6.188&CDS=1-759	YKL055C
7	OG0000007	augustus_masked-scaffold_11-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.106&CDS=1-1584, augustus_masked-scaffold_2-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.32&CDS=1-1629, augustus_masked-scaffold_4-processed-gene-6.101-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.101&CDS=1-1617, genemark-scaffold_16-processed-gene-5.99-mRNA-1_1&gene=genemark-scaffold_16-processed-gene-5.99&CDS=1-729, maker-scaffold_11-augustus-gene-5.50-mRNA-1_1&gene=maker-scaffold_11-augustus-gene-5.50&CDS=1-1626, maker-scaffold_12-augustus-gene-7.156-mRNA-1_1&gene=maker-scaffold_12-augustus-gene-7.156&CDS=1-1797, maker-scaffold_4-augustus-gene-10.51-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-10.51&CDS=1-1701, maker-scaffold_9-augustus-gene-5.84-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-5.84&CDS=1-1674	YMR088C
8	OG0000008	augustus_masked-scaffold_6-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.111&CDS=1-1698, maker-scaffold_6-augustus-gene-1.92-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-1.92&CDS=1-1746	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
9	OG0000009	augustus_masked-scaffold_1-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.128&CDS=1-1050, augustus_masked-scaffold_10-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-1.128&CDS=1-1044, augustus_masked-scaffold_12-processed-gene-4.148-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-4.148&CDS=1-381, augustus_masked-scaffold_16-processed-gene-5.153-mRNA-1_1&gene=augustus_masked-scaffold_16-processed-gene-5.153&CDS=1-924, augustus_masked-scaffold_6-processed-gene-13.86-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-13.86&CDS=1-1005, maker-scaffold_13-augustus-gene-6.197-mRNA-1_1&gene=maker-scaffold_13-augustus-gene-6.197&CDS=1-588, maker-scaffold_9-augustus-gene-1.35-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-1.35&CDS=1-1050	YKL107W
