	OrthologID	Candida_sorboxylosa	Saccharomyces_cerevisiae
0	OG0000000	-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-6.53&CDS=1-1659	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W
1	OG0000001	-processed-gene-2.36-mRNA-1_1&gene=snap_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-2.36&CDS=1-2790, -processed-gene-22.60-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-22.60&CDS=1-2958, -processed-gene-6.87-mRNA-1_1&gene=genemark-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-6.87&CDS=1-2280, -snap-gene-5.140-mRNA-1_1&gene=maker-gi|1002316176|dbj|BCGC01000002.1|-snap-gene-5.140&CDS=1-1728	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
2	OG0000002	-augustus-gene-0.148-mRNA-1_1&gene=maker-gi|1002316166|dbj|BCGC01000012.1|-augustus-gene-0.148&CDS=1-4590, -processed-gene-0.82-mRNA-1_1&gene=augustus_masked-gi|1002316167|dbj|BCGC01000011.1|-processed-gene-0.82&CDS=1-1932, -processed-gene-8.54-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-8.54&CDS=1-2451	YER001W, YGL022W, YGL257C, YIL014W, YNR059W
3	OG0000003	-processed-gene-0.100-mRNA-1_1&gene=snap_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-0.100&CDS=1-1536, -processed-gene-15.10-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-15.10&CDS=1-1467, -processed-gene-19.107-mRNA-1_1&gene=snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-19.107&CDS=1-1305, -processed-gene-19.37-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-19.37&CDS=1-1560, -processed-gene-2.125-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-2.125&CDS=1-1596, -snap-gene-1.5-mRNA-1_1&gene=maker-gi|1002316170|dbj|BCGC01000008.1|-snap-gene-1.5&CDS=1-3024	YJR152W, YLR004C
4	OG0000004	-processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.45&CDS=1-1512, -processed-gene-2.99-mRNA-1_1&gene=augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-2.99&CDS=1-1971, -processed-gene-5.79-mRNA-1_1&gene=snap_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-5.79&CDS=1-2166, -processed-gene-5.82-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-5.82&CDS=1-1689, -processed-gene-9.107-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-9.107&CDS=1-2049, -snap-gene-1.65-mRNA-1_1&gene=maker-gi|1002316176|dbj|BCGC01000002.1|-snap-gene-1.65&CDS=1-3243, -snap-gene-2.0-mRNA-1_1&gene=maker-gi|1002316173|dbj|BCGC01000005.1|-snap-gene-2.0&CDS=1-3123	YBR015C
5	OG0000005	-processed-gene-0.1-mRNA-1_1&gene=snap_masked-gi|1002316159|dbj|BCGC01000019.1|-processed-gene-0.1&CDS=1-360, -processed-gene-1.90-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-1.90&CDS=1-1581, -snap-gene-15.4-mRNA-1_1&gene=maker-gi|1002316177|dbj|BCGC01000001.1|-snap-gene-15.4&CDS=1-3117, -snap-gene-15.5-mRNA-1_1&gene=maker-gi|1002316177|dbj|BCGC01000001.1|-snap-gene-15.5&CDS=1-1245	YDR144C, YLR120C, YLR121C
6	OG0000006	-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-0.34&CDS=1-1602, -processed-gene-0.44-mRNA-1_1&gene=snap_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-0.44&CDS=1-1638, -processed-gene-1.125-mRNA-1_1&gene=augustus_masked-gi|1002316168|dbj|BCGC01000010.1|-processed-gene-1.125&CDS=1-1713, -processed-gene-11.73-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-11.73&CDS=1-1629, -processed-gene-12.32-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-12.32&CDS=1-1644, -processed-gene-8.46-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-8.46&CDS=1-1692	YDR242W
7	OG0000007	-processed-gene-0.101-mRNA-1_1&gene=snap_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-0.101&CDS=1-1959, -processed-gene-0.66-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-0.66&CDS=1-1557, -processed-gene-0.73-mRNA-1_1&gene=snap_masked-gi|1002316173|dbj|BCGC01000005.1|-processed-gene-0.73&CDS=1-705, -processed-gene-22.61-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-22.61&CDS=1-3213, -snap-gene-22.6-mRNA-1_1&gene=maker-gi|1002316177|dbj|BCGC01000001.1|-snap-gene-22.6&CDS=1-777, -snap-gene-8.207-mRNA-1_1&gene=maker-gi|1002316174|dbj|BCGC01000004.1|-snap-gene-8.207&CDS=1-2304	YBR240C
8	OG0000008	-augustus-gene-2.79-mRNA-1_1&gene=maker-gi|1002316172|dbj|BCGC01000006.1|-augustus-gene-2.79&CDS=1-2505, -processed-gene-3.43-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-3.43&CDS=1-1494, -processed-gene-5.106-mRNA-1_1&gene=snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-5.106&CDS=1-1497, -processed-gene-7.116-mRNA-1_1&gene=snap_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-7.116&CDS=1-1578	YMR169C, YMR170C, YOR374W
9	OG0000009	-processed-gene-22.58-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-22.58&CDS=1-3864, -processed-gene-22.59-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-22.59&CDS=1-7065, -processed-gene-22.95-mRNA-1_1&gene=snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-22.95&CDS=1-1032, -processed-gene-4.47-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-4.47&CDS=1-4350	YGL066W, YIR006C, YOR032C
