	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035679_Candida_rhagii
0	OG0000000	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_12_length_464382_cov_45.288_ID_2588-processed-gene-3.212-mRNA-1_1&gene=augustus_masked-NODE_12_length_464382_cov_45.288_ID_2588-processed-gene-3.212&CDS=1-1851, augustus_masked-NODE_14_length_382939_cov_48.858_ID_2359-processed-gene-2.64-mRNA-1_1&gene=augustus_masked-NODE_14_length_382939_cov_48.858_ID_2359-processed-gene-2.64&CDS=1-1785, augustus_masked-NODE_16_length_334566_cov_48_ID_2018-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-NODE_16_length_334566_cov_48_ID_2018-processed-gene-2.7&CDS=1-1734, augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-7.118-mRNA-1_1&gene=augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-7.118&CDS=1-1722, augustus_masked-NODE_24_length_110387_cov_53.1016_ID_2847-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_24_length_110387_cov_53.1016_ID_2847-processed-gene-0.44&CDS=1-1791, augustus_masked-NODE_25_length_44421_cov_63.8079_ID_3107-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_25_length_44421_cov_63.8079_ID_3107-processed-gene-0.37&CDS=1-1689, augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-7.47-mRNA-1_1&gene=augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-7.47&CDS=1-1734, augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-2.123&CDS=1-1755, augustus_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-2.13&CDS=1-1956
1	OG0000001	YDR541C, YOL151W	augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.25&CDS=1-1020, augustus_masked-NODE_22_length_145592_cov_54.5664_ID_2927-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_22_length_145592_cov_54.5664_ID_2927-processed-gene-0.30&CDS=1-996, augustus_masked-NODE_22_length_145592_cov_54.5664_ID_2927-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_22_length_145592_cov_54.5664_ID_2927-processed-gene-0.33&CDS=1-1005, augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-0.76&CDS=1-1005, augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-0.105&CDS=1-1005, augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-5.229-mRNA-1_1&gene=augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-5.229&CDS=1-1008, augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-3.104-mRNA-1_1&gene=augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-3.104&CDS=1-1008, maker-NODE_14_length_382939_cov_48.858_ID_2359-snap-gene-1.156-mRNA-1_1&gene=maker-NODE_14_length_382939_cov_48.858_ID_2359-snap-gene-1.156&CDS=1-1956, snap_masked-NODE_32_length_5069_cov_77.9234_ID_3450-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_32_length_5069_cov_77.9234_ID_3450-processed-gene-0.2&CDS=1-999
2	OG0000002	YJR061W, YKL201C	augustus_masked-NODE_11_length_521998_cov_45.7003_ID_1886-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_11_length_521998_cov_45.7003_ID_1886-processed-gene-1.51&CDS=1-2439, augustus_masked-NODE_14_length_382939_cov_48.858_ID_2359-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-NODE_14_length_382939_cov_48.858_ID_2359-processed-gene-2.70&CDS=1-1791, augustus_masked-NODE_15_length_335479_cov_41.8187_ID_2549-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_15_length_335479_cov_41.8187_ID_2549-processed-gene-0.92&CDS=1-2862, augustus_masked-NODE_18_length_309925_cov_41.2959_ID_2671-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NODE_18_length_309925_cov_41.2959_ID_2671-processed-gene-2.120&CDS=1-2463, augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-8.124-mRNA-1_1&gene=augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-8.124&CDS=1-2343, augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-2.43&CDS=1-2175, genemark-NODE_11_length_521998_cov_45.7003_ID_1886-processed-gene-1.82-mRNA-1_1&gene=genemark-NODE_11_length_521998_cov_45.7003_ID_1886-processed-gene-1.82&CDS=1-2562, maker-NODE_10_length_552946_cov_42.1042_ID_2312-snap-gene-4.2-mRNA-1_1&gene=maker-NODE_10_length_552946_cov_42.1042_ID_2312-snap-gene-4.2&CDS=1-4800, snap_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-3.87&CDS=1-1758
3	OG0000003	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-3.31&CDS=1-1224, augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-2.10-mRNA-1_1&gene=augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-2.10&CDS=1-1254, genemark-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-1.84-mRNA-1_1&gene=genemark-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-1.84&CDS=1-1026, maker-NODE_11_length_521998_cov_45.7003_ID_1886-snap-gene-0.37-mRNA-1_1&gene=maker-NODE_11_length_521998_cov_45.7003_ID_1886-snap-gene-0.37&CDS=1-3021, maker-NODE_7_length_686333_cov_41.9281_ID_1972-snap-gene-0.117-mRNA-1_1&gene=maker-NODE_7_length_686333_cov_41.9281_ID_1972-snap-gene-0.117&CDS=1-2199, snap_masked-NODE_13_length_385540_cov_42.6626_ID_2160-processed-gene-2.201-mRNA-1_1&gene=snap_masked-NODE_13_length_385540_cov_42.6626_ID_2160-processed-gene-2.201&CDS=1-1206, snap_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-3.60&CDS=1-1227
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-9.195-mRNA-1_1&gene=augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-9.195&CDS=1-1713, augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-3.12&CDS=1-1698
5	OG0000005	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_13_length_385540_cov_42.6626_ID_2160-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_13_length_385540_cov_42.6626_ID_2160-processed-gene-0.37&CDS=1-2772, augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-4.147-mRNA-1_1&gene=augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-4.147&CDS=1-1386, augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-2.20&CDS=1-972
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-0.91&CDS=1-3522, augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-1.110&CDS=1-2286, genemark-NODE_11_length_521998_cov_45.7003_ID_1886-processed-gene-3.95-mRNA-1_1&gene=genemark-NODE_11_length_521998_cov_45.7003_ID_1886-processed-gene-3.95&CDS=1-4017, snap_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-1.123-mRNA-1_1&gene=snap_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-1.123&CDS=1-2652
7	OG0000007		augustus_masked-NODE_25_length_44421_cov_63.8079_ID_3107-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_25_length_44421_cov_63.8079_ID_3107-processed-gene-0.45&CDS=1-2883, augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-0.64&CDS=1-2295, augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-4.108-mRNA-1_1&gene=augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-4.108&CDS=1-3030, augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-5.22-mRNA-1_1&gene=augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-5.22&CDS=1-3042, maker-NODE_13_length_385540_cov_42.6626_ID_2160-snap-gene-2.79-mRNA-1_1&gene=maker-NODE_13_length_385540_cov_42.6626_ID_2160-snap-gene-2.79&CDS=1-5427, maker-NODE_3_length_984103_cov_43.6458_ID_5856-snap-gene-4.41-mRNA-1_1&gene=maker-NODE_3_length_984103_cov_43.6458_ID_5856-snap-gene-4.41&CDS=1-9339, snap_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-4.17-mRNA-1_1&gene=snap_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-4.17&CDS=1-3030, snap_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-4.92-mRNA-1_1&gene=snap_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-4.92&CDS=1-3030
8	OG0000008	YBR067C, YEL049W, YER011W, YIL011W, YOR009W, YOR010C	augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-2.45&CDS=1-555
9	OG0000009	YDR338C, YHR032W	augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-2.31&CDS=1-1425, augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-9.208-mRNA-1_1&gene=augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-9.208&CDS=1-1872, augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-5.108-mRNA-1_1&gene=augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-5.108&CDS=1-1758, augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-7.29&CDS=1-1446, augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-4.106-mRNA-1_1&gene=augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-4.106&CDS=1-1737
