	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035244_Candida_incommunis
0	OG0000000	YDR144C, YDR349C, YLR120C, YLR121C	augustus_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-2.216-mRNA-1_1&gene=augustus_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-2.216&CDS=1-1530, augustus_masked-NODE_16_length_211915_cov_14.9572_ID_3031-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NODE_16_length_211915_cov_14.9572_ID_3031-processed-gene-1.100&CDS=1-1533, augustus_masked-NODE_16_length_211915_cov_14.9572_ID_3031-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_16_length_211915_cov_14.9572_ID_3031-processed-gene-1.101&CDS=1-1845, augustus_masked-NODE_18_length_174238_cov_11.7413_ID_3486-processed-gene-0.179-mRNA-1_1&gene=augustus_masked-NODE_18_length_174238_cov_11.7413_ID_3486-processed-gene-0.179&CDS=1-1539, genemark-NODE_13_length_312288_cov_11.694_ID_2990-processed-gene-0.97-mRNA-1_1&gene=genemark-NODE_13_length_312288_cov_11.694_ID_2990-processed-gene-0.97&CDS=1-1542, genemark-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.69-mRNA-1_1&gene=genemark-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.69&CDS=1-2052, maker-NODE_6_length_501818_cov_23.4458_ID_4631-augustus-gene-1.149-mRNA-1_1&gene=maker-NODE_6_length_501818_cov_23.4458_ID_4631-augustus-gene-1.149&CDS=1-2502, maker-NODE_6_length_501818_cov_23.4458_ID_4631-snap-gene-0.69-mRNA-1_1&gene=maker-NODE_6_length_501818_cov_23.4458_ID_4631-snap-gene-0.69&CDS=1-2724, snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-2.82-mRNA-1_1&gene=snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-2.82&CDS=1-1461, snap_masked-NODE_15_length_238860_cov_11.4833_ID_2770-processed-gene-1.65-mRNA-1_1&gene=snap_masked-NODE_15_length_238860_cov_11.4833_ID_2770-processed-gene-1.65&CDS=1-2292, snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-6.151-mRNA-1_1&gene=snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-6.151&CDS=1-1539, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-0.86&CDS=1-1473, snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-0.58&CDS=1-1566, snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.155-mRNA-1_1&gene=snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.155&CDS=1-1374
1	OG0000001	YLR214W	augustus_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-3.59-mRNA-1_1&gene=augustus_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-3.59&CDS=1-1398, augustus_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-6.92&CDS=1-2154, augustus_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-12.71-mRNA-1_1&gene=augustus_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-12.71&CDS=1-2067, augustus_masked-NODE_41_length_17626_cov_12.6528_ID_4670-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_41_length_17626_cov_12.6528_ID_4670-processed-gene-0.12&CDS=1-1323, augustus_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-4.4&CDS=1-2022, genemark-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-14.21-mRNA-1_1&gene=genemark-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-14.21&CDS=1-2169, snap_masked-NODE_21_length_150314_cov_12.5994_ID_3325-processed-gene-0.185-mRNA-1_1&gene=snap_masked-NODE_21_length_150314_cov_12.5994_ID_3325-processed-gene-0.185&CDS=1-1392, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-11.71-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-11.71&CDS=1-2052, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-2.37-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-2.37&CDS=1-1806
2	OG0000002	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	maker-NODE_3_length_1052257_cov_11.8842_ID_2282-snap-gene-1.46-mRNA-1_1&gene=maker-NODE_3_length_1052257_cov_11.8842_ID_2282-snap-gene-1.46&CDS=1-3516, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-0.89&CDS=1-1713
3	OG0000003	YDR242W	maker-NODE_1_length_1840166_cov_12.6323_ID_4854-snap-gene-11.54-mRNA-1_1&gene=maker-NODE_1_length_1840166_cov_12.6323_ID_4854-snap-gene-11.54&CDS=1-1668, snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-1.81&CDS=1-1614, snap_masked-NODE_13_length_312288_cov_11.694_ID_2990-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_13_length_312288_cov_11.694_ID_2990-processed-gene-0.17&CDS=1-1665, snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-8.107-mRNA-1_1&gene=snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-8.107&CDS=1-1626, snap_masked-NODE_23_length_113170_cov_20.4575_ID_3532-processed-gene-0.162-mRNA-1_1&gene=snap_masked-NODE_23_length_113170_cov_20.4575_ID_3532-processed-gene-0.162&CDS=1-1629, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-8.36-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-8.36&CDS=1-1623, snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-2.94-mRNA-1_1&gene=snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-2.94&CDS=1-1608, snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-2.58-mRNA-1_1&gene=snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-2.58&CDS=1-1620
4	OG0000004	YJL172W, YOL153C	genemark-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-11.85-mRNA-1_1&gene=genemark-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-11.85&CDS=1-1764, snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-17.133-mRNA-1_1&gene=snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-17.133&CDS=1-1743, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-0.85&CDS=1-1755, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-10.71-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-10.71&CDS=1-1710, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-11.46-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-11.46&CDS=1-1653, snap_masked-NODE_31_length_68286_cov_12.1612_ID_3860-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_31_length_68286_cov_12.1612_ID_3860-processed-gene-0.43&CDS=1-1764, snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-2.57&CDS=1-1785
5	OG0000005	YDR402C	snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-2.112&CDS=1-1575, snap_masked-NODE_15_length_238860_cov_11.4833_ID_2770-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_15_length_238860_cov_11.4833_ID_2770-processed-gene-0.19&CDS=1-1488, snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-12.64-mRNA-1_1&gene=snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-12.64&CDS=1-1563, snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-9.147-mRNA-1_1&gene=snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-9.147&CDS=1-1494, snap_masked-NODE_24_length_104618_cov_11.3685_ID_3472-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_24_length_104618_cov_11.3685_ID_3472-processed-gene-0.28&CDS=1-1530, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-8.4-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-8.4&CDS=1-1572, snap_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-0.112&CDS=1-1605
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-6.110-mRNA-1_1&gene=augustus_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-6.110&CDS=1-4239, snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-2.23-mRNA-1_1&gene=snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-2.23&CDS=1-2346, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-7.16-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-7.16&CDS=1-3165, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-7.153-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-7.153&CDS=1-2880
7	OG0000007	YLL057C	snap_masked-NODE_18_length_174238_cov_11.7413_ID_3486-processed-gene-0.184-mRNA-1_1&gene=snap_masked-NODE_18_length_174238_cov_11.7413_ID_3486-processed-gene-0.184&CDS=1-1203, snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-14.77-mRNA-1_1&gene=snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-14.77&CDS=1-1191, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-13.98-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-13.98&CDS=1-1086, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-1.17-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-1.17&CDS=1-1203, snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.170-mRNA-1_1&gene=snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.170&CDS=1-1149, snap_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-1.81-mRNA-1_1&gene=snap_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-1.81&CDS=1-1209, snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-2.139-mRNA-1_1&gene=snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-2.139&CDS=1-1086
8	OG0000008	YBR199W, YJL139C, YKR061W, YOR099W	snap_masked-NODE_16_length_211915_cov_14.9572_ID_3031-processed-gene-1.169-mRNA-1_1&gene=snap_masked-NODE_16_length_211915_cov_14.9572_ID_3031-processed-gene-1.169&CDS=1-1242, snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-2.103&CDS=1-1353, snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-4.53-mRNA-1_1&gene=snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-4.53&CDS=1-1263
9	OG0000009	YCL024W, YDR477W, YDR507C, YKL101W	snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-5.76-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-5.76&CDS=1-3342, snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-9.172-mRNA-1_1&gene=snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-9.172&CDS=1-1731, snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-4.160-mRNA-1_1&gene=snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-4.160&CDS=1-1971
