	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041818_Magnusiomyces_tetrasperma
0	OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W	genemark-flattened_line_180-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_180-processed-gene-0.20&CDS=1-1698
1	OG0000001	YKL220C, YLL051C, YLR214W, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_122-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.78&CDS=1-2133, augustus_masked-flattened_line_226-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_226-processed-gene-0.39&CDS=1-2472, snap_masked-flattened_line_146-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_146-processed-gene-0.22&CDS=1-2088, snap_masked-flattened_line_164-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_164-processed-gene-0.14&CDS=1-2115, snap_masked-flattened_line_226-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_226-processed-gene-0.13&CDS=1-2301
2	OG0000002	YCL074W	augustus_masked-flattened_line_182-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_182-processed-gene-0.56&CDS=1-1050, augustus_masked-flattened_line_20-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.62&CDS=1-624, augustus_masked-flattened_line_322-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_322-processed-gene-0.31&CDS=1-1776, augustus_masked-flattened_line_430-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_430-processed-gene-0.11&CDS=1-708, augustus_masked-flattened_line_586-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_586-processed-gene-0.12&CDS=1-462, augustus_masked-flattened_line_60-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.10&CDS=1-840, snap_masked-flattened_line_364-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_364-processed-gene-0.16&CDS=1-294, snap_masked-flattened_line_474-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_474-processed-gene-0.13&CDS=1-186, snap_masked-flattened_line_88-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.33&CDS=1-558
3	OG0000003	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_50-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.51&CDS=1-1413, augustus_masked-flattened_line_50-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.52&CDS=1-1410, snap_masked-flattened_line_379-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_379-processed-gene-0.27&CDS=1-1404
4	OG0000004	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	genemark-flattened_line_54-processed-gene-1.92-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-1.92&CDS=1-1914
5	OG0000005	YDL047W, YDR005C, YDR075W	genemark-flattened_line_132-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_132-processed-gene-0.17&CDS=1-927, genemark-flattened_line_26-processed-gene-1.214-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.214&CDS=1-888, genemark-flattened_line_26-processed-gene-1.215-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.215&CDS=1-1065, maker-flattened_line_18-augustus-gene-2.92-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-2.92&CDS=1-1896
6	OG0000006	YFL021W, YJL110C, YKR034W	genemark-flattened_line_0-processed-gene-5.63-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.63&CDS=1-2577, genemark-flattened_line_166-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_166-processed-gene-0.71&CDS=1-4101, genemark-flattened_line_228-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_228-processed-gene-0.27&CDS=1-2763, genemark-flattened_line_4-processed-gene-2.93-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.93&CDS=1-3957
7	OG0000007	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_260-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_260-processed-gene-0.5&CDS=1-4554, snap_masked-flattened_line_46-processed-gene-1.124-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-1.124&CDS=1-4461
8	OG0000008	YCR010C, YNR002C	genemark-flattened_line_22-processed-gene-1.180-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.180&CDS=1-825, genemark-flattened_line_22-processed-gene-1.211-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.211&CDS=1-774, genemark-flattened_line_64-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.31&CDS=1-783, genemark-flattened_line_64-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.4&CDS=1-759
9	OG0000009	YGL138C	augustus_masked-flattened_line_12-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.86&CDS=1-1275, augustus_masked-flattened_line_266-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_266-processed-gene-0.49&CDS=1-1437, augustus_masked-flattened_line_90-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.71&CDS=1-1524, snap_masked-flattened_line_132-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.96&CDS=1-1233, snap_masked-flattened_line_36-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.3&CDS=1-1386
10	OG0000010	YJR061W, YKL201C	augustus_masked-flattened_line_208-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_208-processed-gene-0.79&CDS=1-2427, snap_masked-flattened_line_192-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_192-processed-gene-0.69&CDS=1-2619, snap_masked-flattened_line_38-processed-gene-1.95-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.95&CDS=1-1437, snap_masked-flattened_line_38-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.96&CDS=1-180
11	OG0000011	YMR083W, YMR303C, YOL086C	augustus_masked-flattened_line_310-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_310-processed-gene-0.31&CDS=1-1029, genemark-flattened_line_286-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_286-processed-gene-0.9&CDS=1-1047, genemark-flattened_line_320-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_320-processed-gene-0.21&CDS=1-1047
12	OG0000012	Q0045, Q0055, Q0060, Q0065, Q0070	maker-flattened_line_246-snap-gene-0.82-mRNA-1_1&gene=maker-flattened_line_246-snap-gene-0.82&CDS=1-501
13	OG0000013	Q0105, Q0110, Q0115, Q0120	snap_masked-flattened_line_246-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_246-processed-gene-0.53&CDS=1-285, snap_masked-flattened_line_246-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_246-processed-gene-0.54&CDS=1-570
14	OG0000014	YBL068W-A, YBL069W, YER101C	genemark-flattened_line_172-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_172-processed-gene-0.57&CDS=1-1140, genemark-flattened_line_330-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_330-processed-gene-0.0&CDS=1-1155
15	OG0000015	YBR021W, YIR028W	genemark-flattened_line_28-processed-gene-1.65-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.65&CDS=1-1698, genemark-flattened_line_535-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_535-processed-gene-0.9&CDS=1-1677, genemark-flattened_line_703-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_703-processed-gene-0.2&CDS=1-1704
16	OG0000016	YBR084W, YGR204W	genemark-flattened_line_124-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_124-processed-gene-0.58&CDS=1-2973, genemark-flattened_line_24-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.93&CDS=1-2814, genemark-flattened_line_74-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.104&CDS=1-2814
17	OG0000017	YBR279W, YDR164C	augustus_masked-flattened_line_160-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.34&CDS=1-3135, genemark-flattened_line_84-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.123&CDS=1-1125, snap_masked-flattened_line_84-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.69&CDS=1-2157
18	OG0000018	YBR294W, YLR092W	genemark-flattened_line_170-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_170-processed-gene-0.50&CDS=1-2781, genemark-flattened_line_220-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_220-processed-gene-0.48&CDS=1-2769, genemark-flattened_line_306-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_306-processed-gene-0.31&CDS=1-2883
19	OG0000019	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_780-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_780-processed-gene-0.3&CDS=1-1227
20	OG0000020	YCR102C, YLR460C, YNL134C	genemark-flattened_line_326-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_326-processed-gene-0.31&CDS=1-1158, snap_masked-flattened_line_184-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_184-processed-gene-0.28&CDS=1-1185
21	OG0000021	YDL244W, YFL058W, YJR156C, YNL332W	genemark-flattened_line_100-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.5&CDS=1-1044
22	OG0000022	YDR213W, YLR228C	genemark-flattened_line_2-processed-gene-0.31-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.31&CDS=1-2730, genemark-flattened_line_346-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_346-processed-gene-0.21&CDS=1-2871, genemark-flattened_line_604-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_604-processed-gene-0.11&CDS=1-1350
23	OG0000023	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_38-processed-gene-1.6-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.6&CDS=1-1152
24	OG0000024	YER056C, YER060W, YER060W-A	genemark-flattened_line_160-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.74&CDS=1-1536, genemark-flattened_line_74-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.69&CDS=1-1572
25	OG0000025	YER066W, YFL009W	augustus_masked-flattened_line_334-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_334-processed-gene-0.45&CDS=1-1713, genemark-flattened_line_100-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.28&CDS=1-3729, genemark-flattened_line_194-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_194-processed-gene-0.28&CDS=1-2802
26	OG0000026	YGR087C, YLR044C, YLR134W	genemark-flattened_line_110-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.63&CDS=1-1689, genemark-flattened_line_42-processed-gene-1.68-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-1.68&CDS=1-1689
27	OG0000027	YGR192C, YJL052W, YJR009C	genemark-flattened_line_260-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_260-processed-gene-0.12&CDS=1-1011, genemark-flattened_line_46-processed-gene-1.90-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-1.90&CDS=1-1011
28	OG0000028	YIR013C, YLR013W, YPL021W	snap_masked-flattened_line_32-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.65&CDS=1-1866, snap_masked-flattened_line_66-processed-gene-0.136-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.136&CDS=1-1521
29	OG0000029	YJL177W, YKL180W	genemark-flattened_line_539-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_539-processed-gene-0.8&CDS=1-489, genemark-flattened_line_686-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_686-processed-gene-0.8&CDS=1-489, genemark-flattened_line_96-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.130&CDS=1-489
