	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035252_Yamadazyma_nakazawae
0	OG0000000	YKR064W, YOL093W	augustus_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-1.231&CDS=1-2205, augustus_masked-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.82&CDS=1-5439, augustus_masked-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.55&CDS=1-2259, augustus_masked-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.111&CDS=1-2304, augustus_masked-NODE_31_length_134740_cov_13.8432_ID_7969-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_31_length_134740_cov_13.8432_ID_7969-processed-gene-0.41&CDS=1-4281, genemark-NODE_14_length_236535_cov_13.2068_ID_11582-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_14_length_236535_cov_13.2068_ID_11582-processed-gene-0.93&CDS=1-2481, genemark-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.200-mRNA-1_1&gene=genemark-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.200&CDS=1-2076, maker-NODE_13_length_255115_cov_12.4676_ID_6338-augustus-gene-1.92-mRNA-1_1&gene=maker-NODE_13_length_255115_cov_12.4676_ID_6338-augustus-gene-1.92&CDS=1-2295, maker-NODE_13_length_255115_cov_12.4676_ID_6338-augustus-gene-1.93-mRNA-1_1&gene=maker-NODE_13_length_255115_cov_12.4676_ID_6338-augustus-gene-1.93&CDS=1-4413, maker-NODE_23_length_167091_cov_13.5911_ID_21877-augustus-gene-0.166-mRNA-1_1&gene=maker-NODE_23_length_167091_cov_13.5911_ID_21877-augustus-gene-0.166&CDS=1-5406, snap_masked-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-2.11-mRNA-1_1&gene=snap_masked-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-2.11&CDS=1-4326, snap_masked-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-1.116-mRNA-1_1&gene=snap_masked-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-1.116&CDS=1-2307
1	OG0000001	YAL019W, YKL071W	augustus_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-0.54&CDS=1-978, augustus_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-0.55&CDS=1-2310, augustus_masked-NODE_63_length_23996_cov_12.8763_ID_12148-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_63_length_23996_cov_12.8763_ID_12148-processed-gene-0.19&CDS=1-4239, genemark-NODE_109_length_2330_cov_40.1218_ID_21560-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_109_length_2330_cov_40.1218_ID_21560-processed-gene-0.1&CDS=1-801, genemark-NODE_14_length_236535_cov_13.2068_ID_11582-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_14_length_236535_cov_13.2068_ID_11582-processed-gene-0.102&CDS=1-759, genemark-NODE_29_length_142623_cov_13.8222_ID_10748-processed-gene-0.193-mRNA-1_1&gene=genemark-NODE_29_length_142623_cov_13.8222_ID_10748-processed-gene-0.193&CDS=1-807, genemark-NODE_54_length_44976_cov_18.8765_ID_10368-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_54_length_44976_cov_18.8765_ID_10368-processed-gene-0.8&CDS=1-807, genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-2.216-mRNA-1_1&gene=genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-2.216&CDS=1-807, genemark-NODE_73_length_17574_cov_15.5942_ID_11649-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_73_length_17574_cov_15.5942_ID_11649-processed-gene-0.1&CDS=1-756, snap_masked-NODE_73_length_17574_cov_15.5942_ID_11649-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_73_length_17574_cov_15.5942_ID_11649-processed-gene-0.25&CDS=1-747
2	OG0000002	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.11-mRNA-1_1&gene=genemark-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.11&CDS=1-1644, genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-5.142-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-5.142&CDS=1-1659, genemark-NODE_21_length_185025_cov_12.6498_ID_12573-processed-gene-0.220-mRNA-1_1&gene=genemark-NODE_21_length_185025_cov_12.6498_ID_12573-processed-gene-0.220&CDS=1-1713, genemark-NODE_43_length_70399_cov_12.9179_ID_10329-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_43_length_70399_cov_12.9179_ID_10329-processed-gene-0.14&CDS=1-1767, genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-1.71-mRNA-1_1&gene=genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-1.71&CDS=1-1761, snap_masked-NODE_32_length_120119_cov_12.2487_ID_7593-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_32_length_120119_cov_12.2487_ID_7593-processed-gene-0.63&CDS=1-1983
3	OG0000003	YJR061W, YJR062C, YKL201C	genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-1.64-mRNA-1_1&gene=genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-1.64&CDS=1-2487, genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-0.128-mRNA-1_1&gene=genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-0.128&CDS=1-2850, genemark-NODE_53_length_47227_cov_12.0601_ID_8136-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_53_length_47227_cov_12.0601_ID_8136-processed-gene-0.36&CDS=1-2553, maker-NODE_17_length_225366_cov_13.4869_ID_18054-augustus-gene-0.143-mRNA-1_1&gene=maker-NODE_17_length_225366_cov_13.4869_ID_18054-augustus-gene-0.143&CDS=1-2760, maker-NODE_33_length_116640_cov_12.8815_ID_10954-snap-gene-0.117-mRNA-1_1&gene=maker-NODE_33_length_116640_cov_12.8815_ID_10954-snap-gene-0.117&CDS=1-4911, maker-NODE_53_length_47227_cov_12.0601_ID_8136-augustus-gene-0.30-mRNA-1_1&gene=maker-NODE_53_length_47227_cov_12.0601_ID_8136-augustus-gene-0.30&CDS=1-3339, snap_masked-NODE_29_length_142623_cov_13.8222_ID_10748-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_29_length_142623_cov_13.8222_ID_10748-processed-gene-0.77&CDS=1-2394, snap_masked-NODE_29_length_142623_cov_13.8222_ID_10748-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_29_length_142623_cov_13.8222_ID_10748-processed-gene-0.88&CDS=1-2265
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_15_length_229255_cov_12.734_ID_17634-processed-gene-0.32-mRNA-1_1&gene=genemark-NODE_15_length_229255_cov_12.734_ID_17634-processed-gene-0.32&CDS=1-1722, genemark-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_20_length_209557_cov_13.2788_ID_6668-processed-gene-0.35&CDS=1-1698
5	OG0000005	YBR150C, YOL089C	augustus_masked-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.105-mRNA-1_1&gene=augustus_masked-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.105&CDS=1-5649, genemark-NODE_22_length_173645_cov_13.0178_ID_11547-processed-gene-0.142-mRNA-1_1&gene=genemark-NODE_22_length_173645_cov_13.0178_ID_11547-processed-gene-0.142&CDS=1-1320, genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-0.121-mRNA-1_1&gene=genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-0.121&CDS=1-2625, genemark-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-4.299-mRNA-1_1&gene=genemark-NODE_3_length_599222_cov_12.9438_ID_5790-processed-gene-4.299&CDS=1-2211, maker-NODE_48_length_61659_cov_13.6691_ID_8738-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_48_length_61659_cov_13.6691_ID_8738-augustus-gene-0.2&CDS=1-3441, snap_masked-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.171-mRNA-1_1&gene=snap_masked-NODE_16_length_225391_cov_12.2881_ID_10517-processed-gene-1.171&CDS=1-2598
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_15_length_229255_cov_12.734_ID_17634-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-NODE_15_length_229255_cov_12.734_ID_17634-processed-gene-1.140&CDS=1-3948, genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_11_length_278164_cov_12.7995_ID_11389-processed-gene-0.93&CDS=1-3180, genemark-NODE_12_length_263429_cov_13.7089_ID_15300-processed-gene-1.227-mRNA-1_1&gene=genemark-NODE_12_length_263429_cov_13.7089_ID_15300-processed-gene-1.227&CDS=1-2265, genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-5.133-mRNA-1_1&gene=genemark-NODE_1_length_754808_cov_12.3332_ID_9967-processed-gene-5.133&CDS=1-3267
7	OG0000007	YKL220C, YNR060W, YOR381W, YOR384W	genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.230-mRNA-1_1&gene=genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.230&CDS=1-2169, genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-3.28-mRNA-1_1&gene=genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-3.28&CDS=1-2127, snap_masked-NODE_49_length_59667_cov_11.8515_ID_8696-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_49_length_59667_cov_11.8515_ID_8696-processed-gene-0.44&CDS=1-2007, snap_masked-NODE_49_length_59667_cov_11.8515_ID_8696-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_49_length_59667_cov_11.8515_ID_8696-processed-gene-0.45&CDS=1-2073
8	OG0000008	YBR293W, YMR088C	augustus_masked-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-2.88&CDS=1-3150, genemark-NODE_18_length_213741_cov_12.753_ID_10114-processed-gene-1.104-mRNA-1_1&gene=genemark-NODE_18_length_213741_cov_12.753_ID_10114-processed-gene-1.104&CDS=1-1710, genemark-NODE_31_length_134740_cov_13.8432_ID_7969-processed-gene-0.138-mRNA-1_1&gene=genemark-NODE_31_length_134740_cov_13.8432_ID_7969-processed-gene-0.138&CDS=1-1677, genemark-NODE_34_length_116181_cov_12.3748_ID_9270-processed-gene-0.24-mRNA-1_1&gene=genemark-NODE_34_length_116181_cov_12.3748_ID_9270-processed-gene-0.24&CDS=1-1590, genemark-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_48_length_61659_cov_13.6691_ID_8738-processed-gene-0.48&CDS=1-1626
9	OG0000009	YCL024W, YDR477W, YDR507C, YKL101W	genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.8-mRNA-1_1&gene=genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.8&CDS=1-4140, genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-0.65&CDS=1-4131, maker-NODE_18_length_213741_cov_12.753_ID_10114-augustus-gene-1.64-mRNA-1_1&gene=maker-NODE_18_length_213741_cov_12.753_ID_10114-augustus-gene-1.64&CDS=1-2193
