	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034667_Blastobotrys_serpentis
0	OG0000000	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-flattened_line_150-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_150-processed-gene-0.17&CDS=1-1605, snap_masked-flattened_line_181-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_181-processed-gene-0.17&CDS=1-1599, snap_masked-flattened_line_20-processed-gene-1.36-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.36&CDS=1-1632, snap_masked-flattened_line_20-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.37&CDS=1-1626, snap_masked-flattened_line_22-processed-gene-1.266-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.266&CDS=1-1620, snap_masked-flattened_line_46-processed-gene-1.168-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-1.168&CDS=1-1584, snap_masked-flattened_line_6-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.116&CDS=1-1599
1	OG0000001	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YJL214W, YJL219W, YLR081W, YOL156W	snap_masked-flattened_line_146-processed-gene-0.60-mRNA-1_1&gene=snap_masked-flattened_line_146-processed-gene-0.60&CDS=1-1689
2	OG0000002	YJR084W	maker-flattened_line_44-augustus-gene-0.8-mRNA-1_1&gene=maker-flattened_line_44-augustus-gene-0.8&CDS=1-2151, snap_masked-flattened_line_14-processed-gene-2.107-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.107&CDS=1-882, snap_masked-flattened_line_30-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.76&CDS=1-885, snap_masked-flattened_line_34-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.54&CDS=1-885, snap_masked-flattened_line_36-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.0&CDS=1-891, snap_masked-flattened_line_42-processed-gene-1.174-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-1.174&CDS=1-915, snap_masked-flattened_line_44-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.72&CDS=1-900, snap_masked-flattened_line_82-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.128&CDS=1-879
3	OG0000003	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_20-processed-gene-1.164-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.164&CDS=1-1806, augustus_masked-flattened_line_52-processed-gene-0.193-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.193&CDS=1-1440, augustus_masked-flattened_line_66-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.137&CDS=1-1389, snap_masked-flattened_line_0-processed-gene-5.139-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.139&CDS=1-1413
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-flattened_line_181-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_181-processed-gene-0.16&CDS=1-1755
5	OG0000005	YDR144C, YLR120C, YLR121C	genemark-flattened_line_24-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.106&CDS=1-1743, snap_masked-flattened_line_46-processed-gene-1.156-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-1.156&CDS=1-1716, snap_masked-flattened_line_48-processed-gene-0.196-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.196&CDS=1-1653, snap_masked-flattened_line_66-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.19&CDS=1-1587, snap_masked-flattened_line_80-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.18&CDS=1-1593
6	OG0000006	YDR242W	snap_masked-flattened_line_102-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.100&CDS=1-1590, snap_masked-flattened_line_12-processed-gene-2.6-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.6&CDS=1-1653, snap_masked-flattened_line_126-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.69&CDS=1-1605, snap_masked-flattened_line_22-processed-gene-1.226-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.226&CDS=1-1656, snap_masked-flattened_line_32-processed-gene-1.36-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.36&CDS=1-1644, snap_masked-flattened_line_42-processed-gene-1.167-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-1.167&CDS=1-1656, snap_masked-flattened_line_64-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.64&CDS=1-1695
7	OG0000007	YBR293W, YMR088C	maker-flattened_line_58-snap-gene-0.9-mRNA-1_1&gene=maker-flattened_line_58-snap-gene-0.9&CDS=1-3198, snap_masked-flattened_line_136-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.13&CDS=1-1554, snap_masked-flattened_line_26-processed-gene-1.96-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.96&CDS=1-1608, snap_masked-flattened_line_74-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.55&CDS=1-1116, snap_masked-flattened_line_90-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.32&CDS=1-1569
8	OG0000008	YLL024C	snap_masked-flattened_line_102-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.111&CDS=1-1926, snap_masked-flattened_line_16-processed-gene-1.252-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.252&CDS=1-1956, snap_masked-flattened_line_48-processed-gene-0.202-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.202&CDS=1-1914, snap_masked-flattened_line_62-processed-gene-0.160-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.160&CDS=1-1923, snap_masked-flattened_line_66-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.38&CDS=1-1941, snap_masked-flattened_line_8-processed-gene-1.40-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.40&CDS=1-1902
9	OG0000009	YOR388C	snap_masked-flattened_line_10-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.37&CDS=1-1077, snap_masked-flattened_line_154-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_154-processed-gene-0.13&CDS=1-1077, snap_masked-flattened_line_22-processed-gene-1.270-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.270&CDS=1-1080, snap_masked-flattened_line_48-processed-gene-0.195-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.195&CDS=1-1077, snap_masked-flattened_line_56-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.124&CDS=1-1077, snap_masked-flattened_line_8-processed-gene-2.186-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.186&CDS=1-1077
