	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034665_Kodamaea_laetipori
0	OG0000000	YPL092W	augustus_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.56&CDS=1-2394, augustus_masked-NODE_14_length_432038_cov_17.0463_ID_27-processed-gene-3.18-mRNA-1_1&gene=augustus_masked-NODE_14_length_432038_cov_17.0463_ID_27-processed-gene-3.18&CDS=1-1746, augustus_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-0.55&CDS=1-2958, augustus_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-2.92&CDS=1-1554, augustus_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.101&CDS=1-3033, augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.79-mRNA-1_1&gene=augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.79&CDS=1-2136, augustus_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-0.32&CDS=1-2010, maker-NODE_23_length_136047_cov_18.9773_ID_45-snap-gene-0.48-mRNA-1_1&gene=maker-NODE_23_length_136047_cov_18.9773_ID_45-snap-gene-0.48&CDS=1-4149, maker-NODE_2_length_1366927_cov_17.7151_ID_3-snap-gene-1.120-mRNA-1_1&gene=maker-NODE_2_length_1366927_cov_17.7151_ID_3-snap-gene-1.120&CDS=1-5457, snap_masked-NODE_11_length_735830_cov_18.6001_ID_21-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_11_length_735830_cov_18.6001_ID_21-processed-gene-2.57&CDS=1-2328, snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.75&CDS=1-1404, snap_masked-NODE_18_length_186838_cov_20.1711_ID_35-processed-gene-0.115-mRNA-1_1&gene=snap_masked-NODE_18_length_186838_cov_20.1711_ID_35-processed-gene-0.115&CDS=1-1767, snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-12.14-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-12.14&CDS=1-2007, snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-3.90-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-3.90&CDS=1-2076, snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-7.4-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-7.4&CDS=1-2079, snap_masked-NODE_26_length_97107_cov_21.5839_ID_51-processed-gene-0.40-mRNA-1_1&gene=snap_masked-NODE_26_length_97107_cov_21.5839_ID_51-processed-gene-0.40&CDS=1-2010, snap_masked-NODE_33_length_8727_cov_32.0306_ID_65-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_33_length_8727_cov_32.0306_ID_65-processed-gene-0.1&CDS=1-2076, snap_masked-NODE_33_length_8727_cov_32.0306_ID_65-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_33_length_8727_cov_32.0306_ID_65-processed-gene-0.2&CDS=1-1962, snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-1.11-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-1.11&CDS=1-2079, snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-0.38&CDS=1-1986, snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-8.24-mRNA-1_1&gene=snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-8.24&CDS=1-2214, snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-4.109-mRNA-1_1&gene=snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-4.109&CDS=1-2160, snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-2.32-mRNA-1_1&gene=snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-2.32&CDS=1-1995, snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-5.21-mRNA-1_1&gene=snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-5.21&CDS=1-2292, snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-0.41&CDS=1-2169
1	OG0000001	YJR004C, YNL063W	augustus_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-1.66&CDS=1-2286, augustus_masked-NODE_20_length_154717_cov_20.4798_ID_39-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_20_length_154717_cov_20.4798_ID_39-processed-gene-0.72&CDS=1-3105, augustus_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-8.31-mRNA-1_1&gene=augustus_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-8.31&CDS=1-3207, augustus_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-0.91&CDS=1-4251, genemark-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-3.9-mRNA-1_1&gene=genemark-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-3.9&CDS=1-4635, maker-NODE_15_length_337427_cov_17.7101_ID_29-augustus-gene-0.34-mRNA-1_1&gene=maker-NODE_15_length_337427_cov_17.7101_ID_29-augustus-gene-0.34&CDS=1-4182, maker-NODE_3_length_1024479_cov_18.5586_ID_5-augustus-gene-0.85-mRNA-1_1&gene=maker-NODE_3_length_1024479_cov_18.5586_ID_5-augustus-gene-0.85&CDS=1-6114, maker-NODE_7_length_873225_cov_18.4267_ID_13-snap-gene-5.144-mRNA-1_1&gene=maker-NODE_7_length_873225_cov_18.4267_ID_13-snap-gene-5.144&CDS=1-6000, maker-NODE_9_length_763489_cov_17.7826_ID_17-snap-gene-6.193-mRNA-1_1&gene=maker-NODE_9_length_763489_cov_17.7826_ID_17-snap-gene-6.193&CDS=1-18570, snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-0.50-mRNA-1_1&gene=snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-0.50&CDS=1-10395, snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-0.88-mRNA-1_1&gene=snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-0.88&CDS=1-8592
2	OG0000002	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_25_length_107399_cov_18.061_ID_49-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_25_length_107399_cov_18.061_ID_49-processed-gene-0.92&CDS=1-1692, snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.75&CDS=1-1761, snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.50-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.50&CDS=1-1464, snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.52-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.52&CDS=1-1551, snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-9.69-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-9.69&CDS=1-1596, snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-12.209-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-12.209&CDS=1-1401, snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-8.51-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-8.51&CDS=1-1803, snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-8.95-mRNA-1_1&gene=snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-8.95&CDS=1-1842
3	OG0000003	YBR008C	augustus_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-2.65&CDS=1-1656, maker-NODE_11_length_735830_cov_18.6001_ID_21-snap-gene-6.63-mRNA-1_1&gene=maker-NODE_11_length_735830_cov_18.6001_ID_21-snap-gene-6.63&CDS=1-1734, maker-NODE_4_length_967879_cov_18.588_ID_7-snap-gene-2.110-mRNA-1_1&gene=maker-NODE_4_length_967879_cov_18.588_ID_7-snap-gene-2.110&CDS=1-1833, maker-NODE_6_length_943101_cov_18.0616_ID_11-snap-gene-1.122-mRNA-1_1&gene=maker-NODE_6_length_943101_cov_18.0616_ID_11-snap-gene-1.122&CDS=1-2349, snap_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-2.21&CDS=1-1764, snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.5-mRNA-1_1&gene=snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.5&CDS=1-1743, snap_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.208-mRNA-1_1&gene=snap_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.208&CDS=1-1686, snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-0.58&CDS=1-1647, snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-0.0&CDS=1-1608
4	OG0000004	YCL069W, YGR224W, YKR105C, YPR198W	maker-NODE_6_length_943101_cov_18.0616_ID_11-snap-gene-3.32-mRNA-1_1&gene=maker-NODE_6_length_943101_cov_18.0616_ID_11-snap-gene-3.32&CDS=1-5193, maker-NODE_9_length_763489_cov_17.7826_ID_17-snap-gene-6.197-mRNA-1_1&gene=maker-NODE_9_length_763489_cov_17.7826_ID_17-snap-gene-6.197&CDS=1-999, snap_masked-NODE_11_length_735830_cov_18.6001_ID_21-processed-gene-3.61-mRNA-1_1&gene=snap_masked-NODE_11_length_735830_cov_18.6001_ID_21-processed-gene-3.61&CDS=1-1800, snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-5.39-mRNA-1_1&gene=snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-5.39&CDS=1-1800, snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-8.32-mRNA-1_1&gene=snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-8.32&CDS=1-1710, snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-6.49-mRNA-1_1&gene=snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-6.49&CDS=1-1755
5	OG0000005	YCR105W, YMR318C	augustus_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.131-mRNA-1_1&gene=augustus_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.131&CDS=1-2643, augustus_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.95-mRNA-1_1&gene=augustus_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.95&CDS=1-1101, snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.144-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.144&CDS=1-1092, snap_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.158-mRNA-1_1&gene=snap_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.158&CDS=1-1098, snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-18.105-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-18.105&CDS=1-1098, snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-9.112-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-9.112&CDS=1-1092, snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-6.87-mRNA-1_1&gene=snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-6.87&CDS=1-1107, snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.112-mRNA-1_1&gene=snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.112&CDS=1-1095
6	OG0000006	YIL015W	augustus_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-5.131-mRNA-1_1&gene=augustus_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-5.131&CDS=1-1155, maker-NODE_15_length_337427_cov_17.7101_ID_29-snap-gene-2.95-mRNA-1_1&gene=maker-NODE_15_length_337427_cov_17.7101_ID_29-snap-gene-2.95&CDS=1-1071, snap_masked-NODE_11_length_735830_cov_18.6001_ID_21-processed-gene-3.55-mRNA-1_1&gene=snap_masked-NODE_11_length_735830_cov_18.6001_ID_21-processed-gene-3.55&CDS=1-1188, snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.3-mRNA-1_1&gene=snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.3&CDS=1-1137, snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.103-mRNA-1_1&gene=snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.103&CDS=1-1203, snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.106-mRNA-1_1&gene=snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.106&CDS=1-1239, snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.70-mRNA-1_1&gene=snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.70&CDS=1-1188, snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-1.40&CDS=1-1212, snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-1.42&CDS=1-1209
7	OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_6_length_943101_cov_18.0616_ID_11-snap-gene-1.124-mRNA-1_1&gene=maker-NODE_6_length_943101_cov_18.0616_ID_11-snap-gene-1.124&CDS=1-2682, snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.152-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.152&CDS=1-1383, snap_masked-NODE_14_length_432038_cov_17.0463_ID_27-processed-gene-1.6-mRNA-1_1&gene=snap_masked-NODE_14_length_432038_cov_17.0463_ID_27-processed-gene-1.6&CDS=1-2520, snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.55-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.55&CDS=1-1386
8	OG0000008	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-0.75&CDS=1-1725, snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-2.132-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-2.132&CDS=1-1716
9	OG0000009	YDL124W	snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.74-mRNA-1_1&gene=snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.74&CDS=1-918, snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.40-mRNA-1_1&gene=snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.40&CDS=1-939, snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-0.37&CDS=1-903, snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-9.83-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-9.83&CDS=1-912, snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-0.18&CDS=1-930, snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-4.86-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-4.86&CDS=1-927, snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-6.29-mRNA-1_1&gene=snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-6.29&CDS=1-903, snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-1.85&CDS=1-915
