	OrthologID	Kazachstania_naganishii	Saccharomyces_cerevisiae
0	OG0000000	genemark-HE978318-processed-gene-2.70-mRNA-1_1&gene=genemark-HE978318-processed-gene-2.70&CDS=1-396	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
1	OG0000001		YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W
2	OG0000002	genemark-HE978315-processed-gene-13.77-mRNA-1_1&gene=genemark-HE978315-processed-gene-13.77&CDS=1-1680, genemark-HE978315-processed-gene-8.53-mRNA-1_1&gene=genemark-HE978315-processed-gene-8.53&CDS=1-3342, genemark-HE978317-processed-gene-8.59-mRNA-1_1&gene=genemark-HE978317-processed-gene-8.59&CDS=1-1368, genemark-HE978318-processed-gene-7.197-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.197&CDS=1-1671, genemark-HE978322-processed-gene-0.110-mRNA-1_1&gene=genemark-HE978322-processed-gene-0.110&CDS=1-1689, genemark-HE978326-processed-gene-4.160-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.160&CDS=1-1677, maker-HE978316-augustus-gene-10.133-mRNA-1_1&gene=maker-HE978316-augustus-gene-10.133&CDS=1-3552, maker-HE978316-snap-gene-10.85-mRNA-1_1&gene=maker-HE978316-snap-gene-10.85&CDS=1-3378	YDR341C, YDR342C, YDR343C, YHR092C, YIL170W, YJL219W, YOL156W
3	OG0000003	augustus_masked-HE978316-processed-gene-10.31-mRNA-1_1&gene=augustus_masked-HE978316-processed-gene-10.31&CDS=1-687, snap_masked-HE978320-processed-gene-6.311-mRNA-1_1&gene=snap_masked-HE978320-processed-gene-6.311&CDS=1-654	YAR023C, YAR027W, YAR028W, YAR029W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W, YHL044W
4	OG0000004	augustus_masked-HE978319-processed-gene-3.96-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-3.96&CDS=1-1536, augustus_masked-HE978319-processed-gene-6.230-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-6.230&CDS=1-4881, augustus_masked-HE978319-processed-gene-6.231-mRNA-1_1&gene=augustus_masked-HE978319-processed-gene-6.231&CDS=1-960, augustus_masked-HE978321-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-HE978321-processed-gene-0.69&CDS=1-1533, augustus_masked-HE978323-processed-gene-4.215-mRNA-1_1&gene=augustus_masked-HE978323-processed-gene-4.215&CDS=1-807, augustus_masked-HE978325-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-0.50&CDS=1-1143, snap_masked-HE978316-processed-gene-12.164-mRNA-1_1&gene=snap_masked-HE978316-processed-gene-12.164&CDS=1-1998, snap_masked-HE978319-processed-gene-6.46-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-6.46&CDS=1-1221, snap_masked-HE978321-processed-gene-0.4-mRNA-1_1&gene=snap_masked-HE978321-processed-gene-0.4&CDS=1-1155, snap_masked-HE978323-processed-gene-0.0-mRNA-1_1&gene=snap_masked-HE978323-processed-gene-0.0&CDS=1-1173, snap_masked-HE978323-processed-gene-0.25-mRNA-1_1&gene=snap_masked-HE978323-processed-gene-0.25&CDS=1-1407	YPR164W
5	OG0000005	augustus_masked-HE978314-processed-gene-7.5-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-7.5&CDS=1-2328, augustus_masked-HE978317-processed-gene-8.190-mRNA-1_1&gene=augustus_masked-HE978317-processed-gene-8.190&CDS=1-564, augustus_masked-HE978318-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-HE978318-processed-gene-3.93&CDS=1-1848, augustus_masked-HE978322-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-HE978322-processed-gene-5.97&CDS=1-1011, augustus_masked-HE978323-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-HE978323-processed-gene-1.54&CDS=1-1326, snap_masked-HE978316-processed-gene-10.112-mRNA-1_1&gene=snap_masked-HE978316-processed-gene-10.112&CDS=1-2376, snap_masked-HE978320-processed-gene-0.0-mRNA-1_1&gene=snap_masked-HE978320-processed-gene-0.0&CDS=1-600, snap_masked-HE978320-processed-gene-0.32-mRNA-1_1&gene=snap_masked-HE978320-processed-gene-0.32&CDS=1-1728, snap_masked-HE978321-processed-gene-2.119-mRNA-1_1&gene=snap_masked-HE978321-processed-gene-2.119&CDS=1-975	YIL136W
6	OG0000006	augustus_masked-HE978315-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-0.21&CDS=1-2475, augustus_masked-HE978315-processed-gene-13.126-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-13.126&CDS=1-3381, augustus_masked-HE978316-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-HE978316-processed-gene-0.48&CDS=1-2103, augustus_masked-HE978317-processed-gene-6.57-mRNA-1_1&gene=augustus_masked-HE978317-processed-gene-6.57&CDS=1-555, maker-HE978317-snap-gene-8.3-mRNA-1_1&gene=maker-HE978317-snap-gene-8.3&CDS=1-3711, maker-HE978321-augustus-gene-6.71-mRNA-1_1&gene=maker-HE978321-augustus-gene-6.71&CDS=1-4557, snap_masked-HE978314-processed-gene-11.251-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-11.251&CDS=1-1815, snap_masked-HE978320-processed-gene-0.18-mRNA-1_1&gene=snap_masked-HE978320-processed-gene-0.18&CDS=1-1611, snap_masked-HE978324-processed-gene-0.24-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-0.24&CDS=1-3123, snap_masked-HE978324-processed-gene-4.37-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-4.37&CDS=1-2847	
7	OG0000007	augustus_masked-HE978324-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-HE978324-processed-gene-1.70&CDS=1-5970, genemark-HE978324-processed-gene-0.67-mRNA-1_1&gene=genemark-HE978324-processed-gene-0.67&CDS=1-1107, snap_masked-HE978318-processed-gene-7.54-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-7.54&CDS=1-1830, snap_masked-HE978322-processed-gene-0.27-mRNA-1_1&gene=snap_masked-HE978322-processed-gene-0.27&CDS=1-2127	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
8	OG0000008	augustus_masked-HE978320-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-HE978320-processed-gene-2.18&CDS=1-1830, augustus_masked-HE978320-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-HE978320-processed-gene-2.20&CDS=1-1830, augustus_masked-HE978323-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-HE978323-processed-gene-2.72&CDS=1-1527, snap_masked-HE978315-processed-gene-10.14-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-10.14&CDS=1-1593, snap_masked-HE978315-processed-gene-11.83-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-11.83&CDS=1-2493, snap_masked-HE978315-processed-gene-11.84-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-11.84&CDS=1-1830	YLR335W
9	OG0000009	augustus_masked-HE978320-processed-gene-2.1-mRNA-1_1&gene=augustus_masked-HE978320-processed-gene-2.1&CDS=1-1098, augustus_masked-HE978323-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-HE978323-processed-gene-2.58&CDS=1-654, augustus_masked-HE978325-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-HE978325-processed-gene-1.69&CDS=1-1872, snap_masked-HE978315-processed-gene-10.39-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-10.39&CDS=1-1131, snap_masked-HE978316-processed-gene-12.163-mRNA-1_1&gene=snap_masked-HE978316-processed-gene-12.163&CDS=1-318, snap_masked-HE978320-processed-gene-6.232-mRNA-1_1&gene=snap_masked-HE978320-processed-gene-6.232&CDS=1-609	YCL075W
