	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034881_Torulaspora_pretoriensis
0	OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	augustus_masked-flattened_line_63-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_63-processed-gene-0.6&CDS=1-813, genemark-flattened_line_48-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.21&CDS=1-348
1	OG0000001	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	
2	OG0000002		augustus_masked-flattened_line_10-processed-gene-4.136-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.136&CDS=1-1083, augustus_masked-flattened_line_117-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_117-processed-gene-0.0&CDS=1-906, augustus_masked-flattened_line_57-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.4&CDS=1-1110, snap_masked-flattened_line_10-processed-gene-4.63-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-4.63&CDS=1-876, snap_masked-flattened_line_105-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.0&CDS=1-219, snap_masked-flattened_line_67-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_67-processed-gene-0.0&CDS=1-402, snap_masked-flattened_line_9-processed-gene-3.110-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-3.110&CDS=1-186, snap_masked-flattened_line_9-processed-gene-3.90-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-3.90&CDS=1-186
3	OG0000003	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_46-snap-gene-0.21-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.21&CDS=1-516, maker-flattened_line_46-snap-gene-0.23-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.23&CDS=1-213, maker-flattened_line_46-snap-gene-0.27-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.27&CDS=1-432
4	OG0000004		augustus_masked-flattened_line_83-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.3&CDS=1-1041, augustus_masked-flattened_line_93-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_93-processed-gene-0.1&CDS=1-1320, genemark-flattened_line_125-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_125-processed-gene-0.0&CDS=1-1017, snap_masked-flattened_line_1-processed-gene-8.121-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-8.121&CDS=1-1020, snap_masked-flattened_line_4-processed-gene-6.37-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.37&CDS=1-318, snap_masked-flattened_line_4-processed-gene-6.38-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.38&CDS=1-381, snap_masked-flattened_line_44-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.25&CDS=1-498
5	OG0000005	YAL063C, YAL064C-A, YHR211W, YHR213W	augustus_masked-flattened_line_16-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.100&CDS=1-1041, genemark-flattened_line_40-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.32&CDS=1-2694
6	OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_20-processed-gene-3.146-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.146&CDS=1-1395
7	OG0000007	YBL005W-A, YDR170W-A, YDR210C-C, YMR046C, YNL284C-A	snap_masked-flattened_line_75-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_75-processed-gene-0.4&CDS=1-1380
8	OG0000008	YDL244W, YFL058W, YJR156C, YNL332W	genemark-flattened_line_0-processed-gene-3.99-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.99&CDS=1-1020, genemark-flattened_line_0-processed-gene-4.11-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.11&CDS=1-1020
9	OG0000009	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-flattened_line_6-processed-gene-6.203-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-6.203&CDS=1-708, genemark-flattened_line_42-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.29&CDS=1-702
