	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035645_Yarrowia_divulgata
0	OG0000000	YMR234W	genemark-flattened_line_218-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_218-processed-gene-0.27&CDS=1-825, maker-flattened_line_23-snap-gene-1.83-mRNA-1_1&gene=maker-flattened_line_23-snap-gene-1.83&CDS=1-915, maker-flattened_line_23-snap-gene-1.84-mRNA-1_1&gene=maker-flattened_line_23-snap-gene-1.84&CDS=1-1701, maker-flattened_line_25-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-0.4&CDS=1-1251, snap_masked-flattened_line_113-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.128&CDS=1-255, snap_masked-flattened_line_129-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_129-processed-gene-0.32&CDS=1-762, snap_masked-flattened_line_153-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.2&CDS=1-693, snap_masked-flattened_line_163-processed-gene-0.88-mRNA-1_1&gene=snap_masked-flattened_line_163-processed-gene-0.88&CDS=1-747, snap_masked-flattened_line_218-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_218-processed-gene-0.4&CDS=1-723, snap_masked-flattened_line_228-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_228-processed-gene-0.58&CDS=1-1059, snap_masked-flattened_line_25-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.83&CDS=1-819, snap_masked-flattened_line_25-processed-gene-1.27-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.27&CDS=1-777, snap_masked-flattened_line_25-processed-gene-1.45-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.45&CDS=1-645, snap_masked-flattened_line_252-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_252-processed-gene-0.10&CDS=1-843, snap_masked-flattened_line_304-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_304-processed-gene-0.39&CDS=1-783, snap_masked-flattened_line_37-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-0.25&CDS=1-753, snap_masked-flattened_line_4-processed-gene-1.0-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.0&CDS=1-984, snap_masked-flattened_line_4-processed-gene-3.43-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.43&CDS=1-984, snap_masked-flattened_line_49-processed-gene-1.132-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-1.132&CDS=1-564, snap_masked-flattened_line_63-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.12&CDS=1-816, snap_masked-flattened_line_83-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_83-processed-gene-0.2&CDS=1-468
1	OG0000001	YPR194C	snap_masked-flattened_line_111-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_111-processed-gene-0.2&CDS=1-2682, snap_masked-flattened_line_117-processed-gene-0.80-mRNA-1_1&gene=snap_masked-flattened_line_117-processed-gene-0.80&CDS=1-2628, snap_masked-flattened_line_17-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.91&CDS=1-2646, snap_masked-flattened_line_185-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_185-processed-gene-0.40&CDS=1-2658, snap_masked-flattened_line_21-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-0.81&CDS=1-2652, snap_masked-flattened_line_27-processed-gene-1.38-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-1.38&CDS=1-2637, snap_masked-flattened_line_288-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_288-processed-gene-0.6&CDS=1-2634, snap_masked-flattened_line_29-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.2&CDS=1-2331, snap_masked-flattened_line_29-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.7&CDS=1-2643, snap_masked-flattened_line_374-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_374-processed-gene-0.12&CDS=1-2769, snap_masked-flattened_line_400-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_400-processed-gene-0.4&CDS=1-2706, snap_masked-flattened_line_430-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_430-processed-gene-0.1&CDS=1-2778, snap_masked-flattened_line_45-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_45-processed-gene-0.77&CDS=1-2637, snap_masked-flattened_line_49-processed-gene-1.131-mRNA-1_1&gene=snap_masked-flattened_line_49-processed-gene-1.131&CDS=1-3009, snap_masked-flattened_line_57-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.71&CDS=1-2676, snap_masked-flattened_line_81-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.11&CDS=1-2622
2	OG0000002	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	snap_masked-flattened_line_87-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.127&CDS=1-1617
3	OG0000003	YGR260W	snap_masked-flattened_line_147-processed-gene-0.82-mRNA-1_1&gene=snap_masked-flattened_line_147-processed-gene-0.82&CDS=1-1530, snap_masked-flattened_line_21-processed-gene-2.21-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.21&CDS=1-1512, snap_masked-flattened_line_21-processed-gene-2.9-mRNA-1_1&gene=snap_masked-flattened_line_21-processed-gene-2.9&CDS=1-1494, snap_masked-flattened_line_27-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-0.56&CDS=1-1533, snap_masked-flattened_line_312-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_312-processed-gene-0.24&CDS=1-1524, snap_masked-flattened_line_33-processed-gene-1.22-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.22&CDS=1-1521, snap_masked-flattened_line_33-processed-gene-1.48-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.48&CDS=1-1536, snap_masked-flattened_line_340-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_340-processed-gene-0.9&CDS=1-1509, snap_masked-flattened_line_37-processed-gene-1.53-mRNA-1_1&gene=snap_masked-flattened_line_37-processed-gene-1.53&CDS=1-1533, snap_masked-flattened_line_39-processed-gene-1.9-mRNA-1_1&gene=snap_masked-flattened_line_39-processed-gene-1.9&CDS=1-1518, snap_masked-flattened_line_418-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_418-processed-gene-0.9&CDS=1-1569, snap_masked-flattened_line_87-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.101&CDS=1-1446
4	OG0000004	YJR107W	augustus_masked-flattened_line_17-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-2.82&CDS=1-1107, augustus_masked-flattened_line_2-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.85&CDS=1-1137, augustus_masked-flattened_line_31-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_31-processed-gene-0.66&CDS=1-960, augustus_masked-flattened_line_4-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.60&CDS=1-1020, augustus_masked-flattened_line_41-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.13&CDS=1-1104, augustus_masked-flattened_line_89-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_89-processed-gene-0.24&CDS=1-1194, snap_masked-flattened_line_107-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.65&CDS=1-1149, snap_masked-flattened_line_133-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_133-processed-gene-0.10&CDS=1-1098, snap_masked-flattened_line_2-processed-gene-3.173-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.173&CDS=1-1002, snap_masked-flattened_line_23-processed-gene-1.23-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.23&CDS=1-978, snap_masked-flattened_line_4-processed-gene-3.31-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.31&CDS=1-1020, snap_masked-flattened_line_7-processed-gene-1.32-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.32&CDS=1-1053
5	OG0000005	YDR402C	genemark-flattened_line_25-processed-gene-1.163-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.163&CDS=1-1578, maker-flattened_line_135-snap-gene-0.73-mRNA-1_1&gene=maker-flattened_line_135-snap-gene-0.73&CDS=1-3147, snap_masked-flattened_line_0-processed-gene-2.114-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.114&CDS=1-1539, snap_masked-flattened_line_11-processed-gene-1.101-mRNA-1_1&gene=snap_masked-flattened_line_11-processed-gene-1.101&CDS=1-1569, snap_masked-flattened_line_13-processed-gene-2.17-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-2.17&CDS=1-1572, snap_masked-flattened_line_171-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_171-processed-gene-0.62&CDS=1-1542, snap_masked-flattened_line_2-processed-gene-3.144-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.144&CDS=1-1551, snap_masked-flattened_line_254-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_254-processed-gene-0.54&CDS=1-1539, snap_masked-flattened_line_27-processed-gene-0.78-mRNA-1_1&gene=snap_masked-flattened_line_27-processed-gene-0.78&CDS=1-1542, snap_masked-flattened_line_35-processed-gene-1.110-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-1.110&CDS=1-1764, snap_masked-flattened_line_35-processed-gene-1.122-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-1.122&CDS=1-1578
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-flattened_line_145-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_145-processed-gene-0.15&CDS=1-2340, snap_masked-flattened_line_2-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.22&CDS=1-2115, snap_masked-flattened_line_274-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_274-processed-gene-0.24&CDS=1-2064, snap_masked-flattened_line_274-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_274-processed-gene-0.25&CDS=1-2109, snap_masked-flattened_line_274-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_274-processed-gene-0.26&CDS=1-2157, snap_masked-flattened_line_274-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_274-processed-gene-0.27&CDS=1-2157, snap_masked-flattened_line_7-processed-gene-2.197-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.197&CDS=1-2115
7	OG0000007	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-flattened_line_270-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_270-processed-gene-0.39&CDS=1-1410, genemark-flattened_line_25-processed-gene-1.174-mRNA-1_1&gene=genemark-flattened_line_25-processed-gene-1.174&CDS=1-1410, genemark-flattened_line_57-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.4&CDS=1-1506, snap_masked-flattened_line_115-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.33&CDS=1-1410, snap_masked-flattened_line_29-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.6&CDS=1-1521, snap_masked-flattened_line_35-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-0.8&CDS=1-1329
8	OG0000008	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_322-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_322-processed-gene-0.7&CDS=1-1056, snap_masked-flattened_line_13-processed-gene-1.5-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.5&CDS=1-1026, snap_masked-flattened_line_258-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_258-processed-gene-0.36&CDS=1-1029, snap_masked-flattened_line_282-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_282-processed-gene-0.1&CDS=1-999, snap_masked-flattened_line_61-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_61-processed-gene-0.10&CDS=1-1020, snap_masked-flattened_line_93-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_93-processed-gene-0.117&CDS=1-1011
9	OG0000009		augustus_masked-flattened_line_119-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.52&CDS=1-1884, augustus_masked-flattened_line_19-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.22&CDS=1-1860, augustus_masked-flattened_line_248-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_248-processed-gene-0.35&CDS=1-1923, augustus_masked-flattened_line_316-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_316-processed-gene-0.15&CDS=1-1938, snap_masked-flattened_line_0-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.23&CDS=1-1878, snap_masked-flattened_line_25-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-0.66&CDS=1-1923, snap_masked-flattened_line_25-processed-gene-1.13-mRNA-1_1&gene=snap_masked-flattened_line_25-processed-gene-1.13&CDS=1-1983, snap_masked-flattened_line_266-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_266-processed-gene-0.4&CDS=1-1611, snap_masked-flattened_line_33-processed-gene-1.35-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.35&CDS=1-1872, snap_masked-flattened_line_5-processed-gene-1.26-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-1.26&CDS=1-1908
