	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034866_Zygosaccharomyces_bisporus
0	OG0000000	YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL065C, YGR296W, YHL049C, YHL050C, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR203W, YPR204W	genemark-flattened_line_216-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_216-processed-gene-0.2&CDS=1-4785, snap_masked-flattened_line_184-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_184-processed-gene-0.13&CDS=1-1257, snap_masked-flattened_line_319-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_319-processed-gene-0.0&CDS=1-672, snap_masked-flattened_line_427-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_427-processed-gene-0.0&CDS=1-204, snap_masked-flattened_line_469-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_469-processed-gene-0.0&CDS=1-204
1	OG0000001	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	augustus_masked-flattened_line_112-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.39&CDS=1-636, snap_masked-flattened_line_2-processed-gene-2.70-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.70&CDS=1-732
2	OG0000002	YDR342C, YDR343C, YDR345C, YDR443C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	augustus_masked-flattened_line_42-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.185&CDS=1-6219, maker-flattened_line_60-snap-gene-0.108-mRNA-1_1&gene=maker-flattened_line_60-snap-gene-0.108&CDS=1-3357
3	OG0000003	YBR068C, YCL025C, YDR046C, YDR508C, YGR191W, YKR039W	augustus_masked-flattened_line_32-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.130&CDS=1-1767, augustus_masked-flattened_line_34-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.28&CDS=1-1836, augustus_masked-flattened_line_34-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.31&CDS=1-1698, maker-flattened_line_86-augustus-gene-0.143-mRNA-1_1&gene=maker-flattened_line_86-augustus-gene-0.143&CDS=1-2403, snap_masked-flattened_line_90-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.42&CDS=1-1806
4	OG0000004	YDL080C, YLR044C, YLR134W	augustus_masked-flattened_line_138-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.36&CDS=1-951, augustus_masked-flattened_line_160-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.9&CDS=1-1689, augustus_masked-flattened_line_186-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.10&CDS=1-951, augustus_masked-flattened_line_280-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_280-processed-gene-0.1&CDS=1-1308, genemark-flattened_line_184-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_184-processed-gene-0.4&CDS=1-1227, maker-flattened_line_62-snap-gene-0.160-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.160&CDS=1-2898
5	OG0000005	YDR011W, YOR153W, YPL058C	augustus_masked-flattened_line_110-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.4&CDS=1-4431, augustus_masked-flattened_line_2-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.26&CDS=1-4689, augustus_masked-flattened_line_20-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.27&CDS=1-4482, maker-flattened_line_2-snap-gene-1.129-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-1.129&CDS=1-9126, maker-flattened_line_244-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_244-augustus-gene-0.1&CDS=1-3663, maker-flattened_line_4-snap-gene-2.300-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.300&CDS=1-13191
6	OG0000006	YBL017C, YCR099C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_38-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.209&CDS=1-4743, genemark-flattened_line_0-processed-gene-1.23-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.23&CDS=1-1437, snap_masked-flattened_line_6-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.117&CDS=1-1734
7	OG0000007	YDL229W, YER103W, YJL034W, YNL209W	augustus_masked-flattened_line_24-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.124&CDS=1-2019, augustus_masked-flattened_line_36-processed-gene-0.200-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.200&CDS=1-1935, augustus_masked-flattened_line_82-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.100&CDS=1-1839, maker-flattened_line_4-snap-gene-1.42-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-1.42&CDS=1-2700
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_52-processed-gene-0.125-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.125&CDS=1-3234, augustus_masked-flattened_line_8-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.93&CDS=1-2328, augustus_masked-flattened_line_88-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.64&CDS=1-2682, maker-flattened_line_14-augustus-gene-0.97-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-0.97&CDS=1-5190
9	OG0000009	YER073W, YMR169C, YMR170C, YOR374W	augustus_masked-flattened_line_22-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.69&CDS=1-1944, augustus_masked-flattened_line_28-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.129&CDS=1-1554, maker-flattened_line_60-augustus-gene-0.104-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.104&CDS=1-3276, maker-flattened_line_60-augustus-gene-0.105-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.105&CDS=1-2931
