	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034891_Ogataea_pini
0	OG0000000	YBR240C	augustus_masked-NODE_11_length_471272_cov_37.9144_ID_21-processed-gene-3.263-mRNA-1_1&gene=augustus_masked-NODE_11_length_471272_cov_37.9144_ID_21-processed-gene-3.263&CDS=1-1995, augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-2.28&CDS=1-2379, augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-2.47&CDS=1-1887, augustus_masked-NODE_16_length_268793_cov_37.6974_ID_31-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_16_length_268793_cov_37.6974_ID_31-processed-gene-1.88&CDS=1-663, augustus_masked-NODE_20_length_166030_cov_51.0574_ID_39-processed-gene-0.203-mRNA-1_1&gene=augustus_masked-NODE_20_length_166030_cov_51.0574_ID_39-processed-gene-0.203&CDS=1-1485, augustus_masked-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.32&CDS=1-1614, augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-3.117-mRNA-1_1&gene=augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-3.117&CDS=1-1476, augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-0.20&CDS=1-891, augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-2.13&CDS=1-1746, augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-4.201-mRNA-1_1&gene=augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-4.201&CDS=1-1809, augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-0.121&CDS=1-1728, augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-1.96&CDS=1-2058, genemark-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.120&CDS=1-1530, maker-NODE_17_length_257521_cov_45.5208_ID_33-snap-gene-0.44-mRNA-1_1&gene=maker-NODE_17_length_257521_cov_45.5208_ID_33-snap-gene-0.44&CDS=1-1929, snap_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-2.34-mRNA-1_1&gene=snap_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-2.34&CDS=1-1701, snap_masked-NODE_6_length_595187_cov_40.7488_ID_11-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NODE_6_length_595187_cov_40.7488_ID_11-processed-gene-2.89&CDS=1-2322
1	OG0000001	YKR064W, YLR256W, YNR006W, YNR063W	augustus_masked-NODE_17_length_257521_cov_45.5208_ID_33-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_17_length_257521_cov_45.5208_ID_33-processed-gene-1.78&CDS=1-2874, augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-1.74&CDS=1-4389, augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-14.170-mRNA-1_1&gene=augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-14.170&CDS=1-3441, genemark-NODE_16_length_268793_cov_37.6974_ID_31-processed-gene-1.216-mRNA-1_1&gene=genemark-NODE_16_length_268793_cov_37.6974_ID_31-processed-gene-1.216&CDS=1-2865, maker-NODE_1_length_1522243_cov_38.1329_ID_1-snap-gene-14.123-mRNA-1_1&gene=maker-NODE_1_length_1522243_cov_38.1329_ID_1-snap-gene-14.123&CDS=1-3264, maker-NODE_20_length_166030_cov_51.0574_ID_39-snap-gene-0.260-mRNA-1_1&gene=maker-NODE_20_length_166030_cov_51.0574_ID_39-snap-gene-0.260&CDS=1-1881, snap_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-3.87-mRNA-1_1&gene=snap_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-3.87&CDS=1-2280
2	OG0000002	YBR199W, YBR205W, YDR483W, YOR099W	augustus_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-3.299-mRNA-1_1&gene=augustus_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-3.299&CDS=1-1110, augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-2.31&CDS=1-1338, augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-8.38-mRNA-1_1&gene=augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-8.38&CDS=1-1362, augustus_masked-NODE_21_length_165395_cov_37.9666_ID_41-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_21_length_165395_cov_37.9666_ID_41-processed-gene-0.62&CDS=1-1437, augustus_masked-NODE_5_length_676677_cov_38.3359_ID_9-processed-gene-5.229-mRNA-1_1&gene=augustus_masked-NODE_5_length_676677_cov_38.3359_ID_9-processed-gene-5.229&CDS=1-1308, augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-3.33&CDS=1-1338
3	OG0000003	YBR293W, YMR088C	augustus_masked-NODE_21_length_165395_cov_37.9666_ID_41-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_21_length_165395_cov_37.9666_ID_41-processed-gene-0.25&CDS=1-1611, augustus_masked-NODE_31_length_26392_cov_52.7485_ID_61-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_31_length_26392_cov_52.7485_ID_61-processed-gene-0.30&CDS=1-1689, augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-1.29&CDS=1-1821, maker-NODE_8_length_558977_cov_41.7585_ID_15-augustus-gene-4.240-mRNA-1_1&gene=maker-NODE_8_length_558977_cov_41.7585_ID_15-augustus-gene-4.240&CDS=1-1905, snap_masked-NODE_20_length_166030_cov_51.0574_ID_39-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NODE_20_length_166030_cov_51.0574_ID_39-processed-gene-0.124&CDS=1-1599, snap_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-0.75&CDS=1-1680
4	OG0000004	YDL138W, YDL194W	augustus_masked-NODE_15_length_279896_cov_36.4395_ID_29-processed-gene-1.275-mRNA-1_1&gene=augustus_masked-NODE_15_length_279896_cov_36.4395_ID_29-processed-gene-1.275&CDS=1-2166, augustus_masked-NODE_21_length_165395_cov_37.9666_ID_41-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_21_length_165395_cov_37.9666_ID_41-processed-gene-0.27&CDS=1-1638, augustus_masked-NODE_21_length_165395_cov_37.9666_ID_41-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_21_length_165395_cov_37.9666_ID_41-processed-gene-0.28&CDS=1-1602, augustus_masked-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.169&CDS=1-1629, augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-0.111&CDS=1-1671, augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-4.230-mRNA-1_1&gene=augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-4.230&CDS=1-1653
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-1.2&CDS=1-2871, augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-0.109&CDS=1-2820, augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-2.135-mRNA-1_1&gene=augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-2.135&CDS=1-2721, augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-4.146-mRNA-1_1&gene=augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-4.146&CDS=1-2265
6	OG0000006	YMR168C	augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-2.15&CDS=1-1986, augustus_masked-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.187&CDS=1-2298, augustus_masked-NODE_25_length_143326_cov_38.834_ID_49-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-NODE_25_length_143326_cov_38.834_ID_49-processed-gene-0.207&CDS=1-2919, augustus_masked-NODE_25_length_143326_cov_38.834_ID_49-processed-gene-0.208-mRNA-1_1&gene=augustus_masked-NODE_25_length_143326_cov_38.834_ID_49-processed-gene-0.208&CDS=1-2400, augustus_masked-NODE_26_length_139161_cov_66.47_ID_51-processed-gene-0.187-mRNA-1_1&gene=augustus_masked-NODE_26_length_139161_cov_66.47_ID_51-processed-gene-0.187&CDS=1-2511, augustus_masked-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.20&CDS=1-1977, augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-6.41-mRNA-1_1&gene=augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-6.41&CDS=1-2940
7	OG0000007	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_22_length_157628_cov_36.7011_ID_43-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_22_length_157628_cov_36.7011_ID_43-processed-gene-0.29&CDS=1-1386, augustus_masked-NODE_32_length_23415_cov_61.1067_ID_63-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_32_length_23415_cov_61.1067_ID_63-processed-gene-0.7&CDS=1-1428
8	OG0000008	YBR015C	augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-0.119&CDS=1-1998, augustus_masked-NODE_5_length_676677_cov_38.3359_ID_9-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_5_length_676677_cov_38.3359_ID_9-processed-gene-0.126&CDS=1-1740, augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-1.48&CDS=1-2115, maker-NODE_11_length_471272_cov_37.9144_ID_21-augustus-gene-3.198-mRNA-1_1&gene=maker-NODE_11_length_471272_cov_37.9144_ID_21-augustus-gene-3.198&CDS=1-3414, maker-NODE_1_length_1522243_cov_38.1329_ID_1-snap-gene-12.5-mRNA-1_1&gene=maker-NODE_1_length_1522243_cov_38.1329_ID_1-snap-gene-12.5&CDS=1-1701, maker-NODE_9_length_506043_cov_41.1641_ID_17-augustus-gene-3.2-mRNA-1_1&gene=maker-NODE_9_length_506043_cov_41.1641_ID_17-augustus-gene-3.2&CDS=1-3342
9	OG0000009	YBR122C, YDR125C, YGR110W, YLR099C	augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-4.68-mRNA-1_1&gene=augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-4.68&CDS=1-1260, maker-NODE_22_length_157628_cov_36.7011_ID_43-augustus-gene-0.67-mRNA-1_1&gene=maker-NODE_22_length_157628_cov_36.7011_ID_43-augustus-gene-0.67&CDS=1-1317, maker-NODE_5_length_676677_cov_38.3359_ID_9-augustus-gene-4.84-mRNA-1_1&gene=maker-NODE_5_length_676677_cov_38.3359_ID_9-augustus-gene-4.84&CDS=1-1812
