	OrthologID	Coccidioides_immitis	Saccharomyces_cerevisiae
0	OG0000000	XP_001238880.2, XP_001238930.1, XP_001240477.2, XP_001241827.1, XP_001242677.2, XP_001243061.2, XP_001243586.2, XP_001245229.2, XP_001245387.1, XP_001246054.2, XP_001247311.1, XP_001247832.2, XP_001247996.2, XP_001248489.2, XP_001248959.2, XP_001249176.2, XP_004445988.1, XP_012213936.1	YER080W
1	OG0000001	XP_001239143.1, XP_001239372.1, XP_001240495.1, XP_001241400.2, XP_001241607.2, XP_001241711.1, XP_001242730.2, XP_001243393.1, XP_001243723.2, XP_001245646.2, XP_001246829.2, XP_001247214.2, XP_001247620.2, XP_001248625.2, XP_001248907.2	
2	OG0000002	XP_001241147.2	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W
3	OG0000003	XP_001239154.1, XP_001240408.2, XP_001243435.2, XP_001243714.2, XP_001245019.2, XP_001247388.2, XP_001248096.1, XP_001248603.1, XP_001248856.2, XP_012214188.1	YDR242W
4	OG0000004	XP_001240142.1, XP_001242082.1, XP_001242175.1, XP_001242662.1, XP_001243116.2, XP_001245825.2, XP_001247633.1, XP_012213849.1, XP_012213943.1	YGR260W
5	OG0000005	XP_001239642.1, XP_001243793.2, XP_001244741.2, XP_001246012.2, XP_001246968.1, XP_001248321.2	YMR111C, YMR172W, YOL116W
6	OG0000006	XP_001238939.2, XP_001240409.2, XP_001241754.2, XP_001243601.2, XP_001247837.2, XP_001248142.2	YBR240C, YDL170W
7	OG0000007	XP_001238995.1, XP_001245960.2	YBL042C, YBR021W, YIR028W, YLR237W, YOR071C, YOR192C
8	OG0000008	XP_001239054.1, XP_001240085.1, XP_001241133.2, XP_001243747.1, XP_001243750.2, XP_001244616.1, XP_001245595.2	YKL055C
9	OG0000009	XP_001239352.2, XP_001243745.1, XP_001244325.2	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
10	OG0000010	XP_001245103.2	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
11	OG0000011	XP_001239592.2, XP_001247554.2, XP_004446304.1, XP_004446305.1, XP_012213848.1	YLR098C, YOR337W
12	OG0000012	XP_001240567.1, XP_001244558.2, XP_001247783.2	YBL068W-A, YBL069W, YER101C, YMR152W
13	OG0000013	XP_001243123.2, XP_001243778.2, XP_001243894.2, XP_001249055.2, XP_004445433.1	YHR178W, YLR014C
14	OG0000014	XP_001238977.2, XP_001240601.2, XP_001241958.2, XP_001248024.2	YBR150C, YOL089C
15	OG0000015	XP_001239021.2	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
16	OG0000016	XP_001240003.1, XP_001243983.1, XP_001243986.2, XP_001245071.2, XP_001246435.1	YIL147C
17	OG0000017	XP_001241084.2, XP_001247146.1	YBR297W, YFL052W, YGR288W, YPR196W
18	OG0000018	XP_001241698.2, XP_001243889.2, XP_001245167.2, XP_004446047.1, XP_004446048.1	YCR023C
19	OG0000019	XP_001242590.2	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C
20	OG0000020	XP_001243443.1, XP_004446204.1, XP_004446205.1, XP_004446206.1	YER054C, YIL045W
21	OG0000021	XP_001244187.1, XP_001245166.2, XP_001247672.2	YJR126C, YOR256C, YPL176C
22	OG0000022	XP_001245231.1, XP_001245645.1, XP_001247048.1, XP_001248454.2	YHR207C, YPL165C
23	OG0000023	XP_001239027.1, XP_001245201.2, XP_001248966.2	YPR013C, YPR015C
24	OG0000024	XP_001239103.2, XP_001239849.2, XP_001240666.1, XP_001243591.1, XP_001246068.1	
25	OG0000025	XP_001239710.2, XP_001243873.1, XP_001247987.1, XP_012213774.1	YLR057W
26	OG0000026	XP_001239775.1, XP_001239892.2, XP_001248655.1	YJR127C, YML081W
27	OG0000027	XP_001239976.1, XP_001242016.1, XP_001242922.1	YER020W, YHR005C
28	OG0000028	XP_001239981.1, XP_001241481.2, XP_001244282.1	YIL130W, YMR280C
29	OG0000029	XP_001240101.2	YDL244W, YFL058W, YJR156C, YNL332W
30	OG0000030	XP_001240303.2, XP_012214067.1	YNL106C, YOL065C, YOR109W
31	OG0000031	XP_001240325.1, XP_001240411.1, XP_001240662.1, XP_001242720.1	YJR149W
32	OG0000032	XP_001240430.1, XP_001242554.2	YDR021W, YJL138C, YKR059W
33	OG0000033	XP_001240574.2, XP_001242990.1, XP_001243681.2	YER057C, YIL051C
34	OG0000034	XP_001241083.2, XP_001241258.1, XP_001241590.2, XP_001242274.2	YDR124W
35	OG0000035	XP_001241381.1, XP_001241553.2, XP_001242003.2, XP_001243437.1	YPL092W
36	OG0000036	XP_001241540.2, XP_001243177.2, XP_001247439.1	YBR183W, YPL087W
37	OG0000037	XP_001241875.1, XP_001242763.2, XP_001243708.2, XP_001246764.1	YBR008C
38	OG0000038	XP_001242021.2, XP_001247363.2, XP_012213761.1	YDL132W, YGR003W
39	OG0000039	XP_001242127.1, XP_001244161.1	YDR247W, YHR082C, YPL026C
40	OG0000040	XP_001243165.2, XP_001245665.1	YER056C, YER060W, YER060W-A
41	OG0000041	XP_001244326.2, XP_001246353.1, XP_001247000.1	YLL060C, YNL229C
42	OG0000042	XP_001244364.1	YDR533C, YMR322C, YOR391C, YPL280W
43	OG0000043	XP_001244381.1, XP_001245309.1, XP_001245809.2, XP_001249024.1	YDR371W
44	OG0000044	XP_001244674.1	YBR078W, YCL048W, YDR055W, YDR522C
45	OG0000045	XP_001245002.1, XP_001248651.1, XP_001248917.1	YBR015C, YJL186W
46	OG0000046	XP_001246350.1	YBR298C, YDL247W, YGR289C, YJR160C
47	OG0000047	XP_001248190.1	YDR541C, YGL039W, YGL157W, YOL151W
48	OG0000048	XP_001248542.1	YBL017C, YIL173W, YJL222W, YNR065C
49	OG0000049	XP_012214236.1	YER001W, YGL257C, YIL014W, YNR059W
50	OG0000050	XP_001239102.2, XP_001241862.1, XP_001242230.2	YOR049C
51	OG0000051	XP_001239365.2, XP_001245064.1	YOL119C, YOR306C
52	OG0000052	XP_001239667.1, XP_001246399.2	YEL041W, YJR049C
53	OG0000053	XP_001239756.2, XP_001240188.2, XP_001243874.2	YDR421W
54	OG0000054	XP_001239816.1, XP_001242573.2	YGR138C, YPR156C
55	OG0000055	XP_001239834.2, XP_001243249.2	YJL049W, YMR077C
56	OG0000056	XP_001240201.2, XP_001247717.2	YIL120W, YIL121W
57	OG0000057	XP_001240533.1, XP_001244919.2	YJR005W, YKL135C
58	OG0000058	XP_001240636.2, XP_001243840.1	YGL227W, YMR171C
59	OG0000059	XP_001240698.2, XP_001245502.1, XP_001247849.2	YPR093C
60	OG0000060	XP_001240729.2	YOL055C, YPL258C, YPR121W
61	OG0000061	XP_001240856.1, XP_001241379.2, XP_001247407.1	YBR293W
62	OG0000062	XP_001240940.1	YBR054W, YCR021C, YDR033W
63	OG0000063	XP_001241204.2, XP_001242648.2, XP_004445041.1	YIL031W
64	OG0000064	XP_001241343.1, XP_001242423.1	YFL005W, YFL038C
65	OG0000065	XP_001241487.2, XP_001242845.1, XP_001245077.2	YDR415C
66	OG0000066	XP_001241727.1, XP_001245222.1	YEL066W, YPR193C
67	OG0000067	XP_001241805.2, XP_001243070.2, XP_001247437.2	YBR265W
68	OG0000068	XP_001241926.1, XP_001245653.2	YCR035C, YDL111C
69	OG0000069	XP_001241980.2, XP_001245513.1	YHR071W, YNL289W
70	OG0000070	XP_001242014.1, XP_001245478.1	YKL188C, YPL147W
71	OG0000071	XP_001242157.1	YMR083W, YMR303C, YOL086C
72	OG0000072	XP_001242508.1	YGR192C, YJL052W, YJR009C
73	OG0000073	XP_001242619.1, XP_001245126.2	YEL056W, YOL138C
74	OG0000074	XP_001242655.2	YLL052C, YLL053C, YPR192W
