	OrthologID	Candida_tenuis	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-scaffold_00021-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-0.61&CDS=1-1176, genemark-scaffold_00011-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_00011-processed-gene-0.0&CDS=1-729, genemark-scaffold_00017-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_00017-processed-gene-0.0&CDS=1-831, genemark-scaffold_00019-processed-gene-0.0-mRNA-1_1&gene=genemark-scaffold_00019-processed-gene-0.0&CDS=1-660, genemark-scaffold_00023-processed-gene-0.1-mRNA-1_1&gene=genemark-scaffold_00023-processed-gene-0.1&CDS=1-867, genemark-scaffold_00024-processed-gene-0.2-mRNA-1_1&gene=genemark-scaffold_00024-processed-gene-0.2&CDS=1-792, maker-scaffold_00009-augustus-gene-9.334-mRNA-1_1&gene=maker-scaffold_00009-augustus-gene-9.334&CDS=1-1566, maker-scaffold_00018-augustus-gene-0.132-mRNA-1_1&gene=maker-scaffold_00018-augustus-gene-0.132&CDS=1-2712, maker-scaffold_00021-snap-gene-2.103-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-2.103&CDS=1-1767, maker-scaffold_00021-snap-gene-24.156-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-24.156&CDS=1-1959, snap_masked-scaffold_00006-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scaffold_00006-processed-gene-0.33&CDS=1-1416, snap_masked-scaffold_00008-processed-gene-4.197-mRNA-1_1&gene=snap_masked-scaffold_00008-processed-gene-4.197&CDS=1-747, snap_masked-scaffold_00021-processed-gene-8.44-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-8.44&CDS=1-588, snap_masked-scaffold_00022-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-0.29&CDS=1-957, snap_masked-scaffold_00022-processed-gene-1.58-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.58&CDS=1-741, snap_masked-scaffold_00022-processed-gene-1.76-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-1.76&CDS=1-1701, snap_masked-scaffold_00022-processed-gene-20.41-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-20.41&CDS=1-639, snap_masked-scaffold_00023-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_00023-processed-gene-0.5&CDS=1-879, snap_masked-scaffold_00025-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scaffold_00025-processed-gene-0.0&CDS=1-624	
1	OG0000001	augustus_masked-scaffold_00004-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-1.13&CDS=1-948, augustus_masked-scaffold_00004-processed-gene-3.3-mRNA-1_1&gene=augustus_masked-scaffold_00004-processed-gene-3.3&CDS=1-5832, augustus_masked-scaffold_00006-processed-gene-9.123-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-9.123&CDS=1-4917, augustus_masked-scaffold_00018-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-scaffold_00018-processed-gene-2.134&CDS=1-4941, genemark-scaffold_00006-processed-gene-3.46-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-3.46&CDS=1-933, genemark-scaffold_00015-processed-gene-9.7-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-9.7&CDS=1-936, genemark-scaffold_00018-processed-gene-0.46-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-0.46&CDS=1-1602, snap_masked-scaffold_00021-processed-gene-10.44-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-10.44&CDS=1-951	YBL042C, YBR021W, YIR028W, YKL128C, YLR129W, YMR006C, YMR008C, YOL011W
2	OG0000002	augustus_masked-scaffold_00006-processed-gene-11.205-mRNA-1_1&gene=augustus_masked-scaffold_00006-processed-gene-11.205&CDS=1-3726, augustus_masked-scaffold_00008-processed-gene-2.152-mRNA-1_1&gene=augustus_masked-scaffold_00008-processed-gene-2.152&CDS=1-4878, augustus_masked-scaffold_00018-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-scaffold_00018-processed-gene-8.126&CDS=1-10044, augustus_masked-scaffold_00022-processed-gene-10.56-mRNA-1_1&gene=augustus_masked-scaffold_00022-processed-gene-10.56&CDS=1-2952, genemark-scaffold_00015-processed-gene-3.113-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-3.113&CDS=1-6207, genemark-scaffold_00018-processed-gene-10.49-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-10.49&CDS=1-6537, maker-scaffold_00004-snap-gene-4.81-mRNA-1_1&gene=maker-scaffold_00004-snap-gene-4.81&CDS=1-3150, snap_masked-scaffold_00021-processed-gene-10.65-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-10.65&CDS=1-2976, snap_masked-scaffold_00022-processed-gene-13.49-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-13.49&CDS=1-2520, snap_masked-scaffold_00022-processed-gene-13.50-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-13.50&CDS=1-2451	YKL151C, YKR064W, YLR256W
3	OG0000003	genemark-scaffold_00006-processed-gene-0.76-mRNA-1_1&gene=genemark-scaffold_00006-processed-gene-0.76&CDS=1-1956, genemark-scaffold_00018-processed-gene-6.51-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-6.51&CDS=1-1692, maker-scaffold_00006-augustus-gene-0.2-mRNA-1_1&gene=maker-scaffold_00006-augustus-gene-0.2&CDS=1-4806, maker-scaffold_00009-snap-gene-4.49-mRNA-1_1&gene=maker-scaffold_00009-snap-gene-4.49&CDS=1-4902, maker-scaffold_00022-augustus-gene-18.124-mRNA-1_1&gene=maker-scaffold_00022-augustus-gene-18.124&CDS=1-3375, snap_masked-scaffold_00004-processed-gene-7.39-mRNA-1_1&gene=snap_masked-scaffold_00004-processed-gene-7.39&CDS=1-2475, snap_masked-scaffold_00021-processed-gene-9.58-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-9.58&CDS=1-1743, snap_masked-scaffold_00022-processed-gene-18.74-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-18.74&CDS=1-2640, snap_masked-scaffold_00022-processed-gene-19.11-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-19.11&CDS=1-2814	YJR061W, YJR062C, YKL201C, YPR097W
4	OG0000004	augustus_masked-scaffold_00021-processed-gene-11.49-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-11.49&CDS=1-3462, augustus_masked-scaffold_00021-processed-gene-16.69-mRNA-1_1&gene=augustus_masked-scaffold_00021-processed-gene-16.69&CDS=1-714, genemark-scaffold_00009-processed-gene-8.60-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-8.60&CDS=1-753, genemark-scaffold_00018-processed-gene-0.61-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-0.61&CDS=1-750, genemark-scaffold_00018-processed-gene-1.75-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-1.75&CDS=1-729, genemark-scaffold_00018-processed-gene-4.122-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-4.122&CDS=1-747, maker-scaffold_00021-snap-gene-16.102-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-16.102&CDS=1-270, maker-scaffold_00021-snap-gene-16.103-mRNA-1_1&gene=maker-scaffold_00021-snap-gene-16.103&CDS=1-1365, maker-scaffold_00022-snap-gene-2.117-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-2.117&CDS=1-2022, snap_masked-scaffold_00022-processed-gene-3.30-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-3.30&CDS=1-735	YGL017W, YKL071W
5	OG0000005	snap_masked-scaffold_00006-processed-gene-9.80-mRNA-1_1&gene=snap_masked-scaffold_00006-processed-gene-9.80&CDS=1-1725, snap_masked-scaffold_00021-processed-gene-24.101-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-24.101&CDS=1-1695	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
6	OG0000006	augustus_masked-scaffold_00016-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scaffold_00016-processed-gene-0.0&CDS=1-381, genemark-scaffold_00003-processed-gene-0.5-mRNA-1_1&gene=genemark-scaffold_00003-processed-gene-0.5&CDS=1-1263, genemark-scaffold_00015-processed-gene-7.20-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-7.20&CDS=1-1971, maker-scaffold_00022-snap-gene-20.189-mRNA-1_1&gene=maker-scaffold_00022-snap-gene-20.189&CDS=1-1764, snap_masked-scaffold_00006-processed-gene-8.11-mRNA-1_1&gene=snap_masked-scaffold_00006-processed-gene-8.11&CDS=1-2148, snap_masked-scaffold_00022-processed-gene-15.85-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-15.85&CDS=1-2331	YGL257C, YNR059W
7	OG0000007	genemark-scaffold_00009-processed-gene-7.139-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-7.139&CDS=1-1302, genemark-scaffold_00015-processed-gene-9.2-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-9.2&CDS=1-1005, maker-scaffold_00006-augustus-gene-1.151-mRNA-1_1&gene=maker-scaffold_00006-augustus-gene-1.151&CDS=1-2319, snap_masked-scaffold_00021-processed-gene-16.45-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-16.45&CDS=1-1437	YGR192C, YHR176W, YJL052W, YJR009C
8	OG0000008	augustus_masked-scaffold_00009-processed-gene-3.32-mRNA-1_1&gene=augustus_masked-scaffold_00009-processed-gene-3.32&CDS=1-4074, genemark-scaffold_00015-processed-gene-5.70-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-5.70&CDS=1-3207, snap_masked-scaffold_00018-processed-gene-1.133-mRNA-1_1&gene=snap_masked-scaffold_00018-processed-gene-1.133&CDS=1-2259, snap_masked-scaffold_00021-processed-gene-19.77-mRNA-1_1&gene=snap_masked-scaffold_00021-processed-gene-19.77&CDS=1-3297	YER013W, YGL120C, YKR086W, YNR011C
9	OG0000009	genemark-scaffold_00009-processed-gene-6.157-mRNA-1_1&gene=genemark-scaffold_00009-processed-gene-6.157&CDS=1-1674, genemark-scaffold_00015-processed-gene-7.47-mRNA-1_1&gene=genemark-scaffold_00015-processed-gene-7.47&CDS=1-1767, genemark-scaffold_00018-processed-gene-3.19-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-3.19&CDS=1-1986, genemark-scaffold_00018-processed-gene-7.113-mRNA-1_1&gene=genemark-scaffold_00018-processed-gene-7.113&CDS=1-1635, snap_masked-scaffold_00022-processed-gene-10.24-mRNA-1_1&gene=snap_masked-scaffold_00022-processed-gene-10.24&CDS=1-1737	YKR039W, YLL061W, YPL274W
