	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034902_Ogataea_minuta
0	OG0000000	YKL071W, YML051W	augustus_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.84&CDS=1-1425, genemark-NODE_14_length_4506_cov_99.8324_ID_27-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_14_length_4506_cov_99.8324_ID_27-processed-gene-0.7&CDS=1-1104, maker-NODE_13_length_6825_cov_122.208_ID_25-snap-gene-0.18-mRNA-1_1&gene=maker-NODE_13_length_6825_cov_122.208_ID_25-snap-gene-0.18&CDS=1-2163, maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-0.125-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-0.125&CDS=1-1080, maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-0.126-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-0.126&CDS=1-3315, maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-11.226-mRNA-1_1&gene=maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-11.226&CDS=1-669, maker-NODE_4_length_1228431_cov_41.8692_ID_7-snap-gene-0.11-mRNA-1_1&gene=maker-NODE_4_length_1228431_cov_41.8692_ID_7-snap-gene-0.11&CDS=1-849, maker-NODE_8_length_429335_cov_42.3132_ID_15-snap-gene-3.215-mRNA-1_1&gene=maker-NODE_8_length_429335_cov_42.3132_ID_15-snap-gene-3.215&CDS=1-1314, snap_masked-NODE_13_length_6825_cov_122.208_ID_25-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_13_length_6825_cov_122.208_ID_25-processed-gene-0.10&CDS=1-750, snap_masked-NODE_14_length_4506_cov_99.8324_ID_27-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_14_length_4506_cov_99.8324_ID_27-processed-gene-0.3&CDS=1-753, snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-0.37&CDS=1-753, snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-0.38&CDS=1-753, snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.157-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.157&CDS=1-666, snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-11.72-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-11.72&CDS=1-753, snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-0.94&CDS=1-759, snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.38-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.38&CDS=1-753, snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.39-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.39&CDS=1-753, snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-0.87&CDS=1-753, snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-5.120-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-5.120&CDS=1-750, snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.115-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.115&CDS=1-753, snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.120-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.120&CDS=1-753, snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.124-mRNA-1_1&gene=snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.124&CDS=1-753, snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.125-mRNA-1_1&gene=snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.125&CDS=1-762, snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.98-mRNA-1_1&gene=snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.98&CDS=1-753, snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.31&CDS=1-753
1	OG0000001	YBR015C, YJL186W, YOR211C	augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-0.76&CDS=1-3378, augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.214-mRNA-1_1&gene=augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.214&CDS=1-3759, maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-11.166-mRNA-1_1&gene=maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-11.166&CDS=1-3366, maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-2.7-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-2.7&CDS=1-4284, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.79-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.79&CDS=1-1734, snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-7.101-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-7.101&CDS=1-1719, snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-5.133-mRNA-1_1&gene=snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-5.133&CDS=1-1944, snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.165-mRNA-1_1&gene=snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.165&CDS=1-1701
2	OG0000002	YLR253W, YLR256W	augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-4.87&CDS=1-2643, augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-9.118-mRNA-1_1&gene=augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-9.118&CDS=1-7854, maker-NODE_8_length_429335_cov_42.3132_ID_15-augustus-gene-2.58-mRNA-1_1&gene=maker-NODE_8_length_429335_cov_42.3132_ID_15-augustus-gene-2.58&CDS=1-2550, maker-NODE_8_length_429335_cov_42.3132_ID_15-snap-gene-2.69-mRNA-1_1&gene=maker-NODE_8_length_429335_cov_42.3132_ID_15-snap-gene-2.69&CDS=1-2568, snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-1.7-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-1.7&CDS=1-2391, snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-9.72-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-9.72&CDS=1-3432, snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-8.146-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-8.146&CDS=1-3690, snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-2.101-mRNA-1_1&gene=snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-2.101&CDS=1-2352, snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-2.103&CDS=1-2466
3	OG0000003	YDR242W	augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-0.106&CDS=1-1662, augustus_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.51-mRNA-1_1&gene=augustus_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.51&CDS=1-2787, maker-NODE_3_length_1291677_cov_39.2896_ID_5-snap-gene-11.356-mRNA-1_1&gene=maker-NODE_3_length_1291677_cov_39.2896_ID_5-snap-gene-11.356&CDS=1-3297, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-0.2&CDS=1-1608, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-0.8&CDS=1-1608, snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-3.67-mRNA-1_1&gene=snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-3.67&CDS=1-1719, snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.135-mRNA-1_1&gene=snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-6.135&CDS=1-1650, snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.33-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-0.33&CDS=1-1671
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-0.24&CDS=1-1011, maker-NODE_7_length_744497_cov_40.979_ID_13-snap-gene-1.176-mRNA-1_1&gene=maker-NODE_7_length_744497_cov_40.979_ID_13-snap-gene-1.176&CDS=1-4863, snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.196-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.196&CDS=1-1011, snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-11.59-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-11.59&CDS=1-1008
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-4.46&CDS=1-2643, maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-8.165-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-8.165&CDS=1-3813, snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-3.103-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-3.103&CDS=1-2265, snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-7.174-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-7.174&CDS=1-2802
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	maker-NODE_5_length_1023165_cov_41.5042_ID_9-snap-gene-9.161-mRNA-1_1&gene=maker-NODE_5_length_1023165_cov_41.5042_ID_9-snap-gene-9.161&CDS=1-2283, maker-NODE_5_length_1023165_cov_41.5042_ID_9-snap-gene-9.162-mRNA-1_1&gene=maker-NODE_5_length_1023165_cov_41.5042_ID_9-snap-gene-9.162&CDS=1-675, snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-2.99-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-2.99&CDS=1-2004
7	OG0000007	YBL017C, YIL173W, YJL222W, YNR065C, YPR003C	augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.128&CDS=1-6231, maker-NODE_1_length_1541352_cov_40.0978_ID_1-augustus-gene-11.162-mRNA-1_1&gene=maker-NODE_1_length_1541352_cov_40.0978_ID_1-augustus-gene-11.162&CDS=1-4965
8	OG0000008	YBR293W, YDL006W, YDR270W	augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-5.128&CDS=1-4683, augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.100-mRNA-1_1&gene=augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.100&CDS=1-2808, maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-11.227-mRNA-1_1&gene=maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-11.227&CDS=1-4482, snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-10.109-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-10.109&CDS=1-1149
9	OG0000009	YDR011W, YOR153W, YPL058C	snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-4.102-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-4.102&CDS=1-4485, snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-4.159-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-4.159&CDS=1-4470, snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-1.85-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-1.85&CDS=1-4494, snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-2.13-mRNA-1_1&gene=snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-2.13&CDS=1-4476
