	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034884_Peterozyma_toletana
0	OG0000000	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_0-processed-gene-4.44-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.44&CDS=1-1035, genemark-flattened_line_16-processed-gene-3.26-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.26&CDS=1-1026, genemark-flattened_line_4-processed-gene-5.98-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.98&CDS=1-1035, genemark-flattened_line_44-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.85&CDS=1-1038, genemark-flattened_line_44-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.99&CDS=1-1023, genemark-flattened_line_44-processed-gene-1.129-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.129&CDS=1-1023, genemark-flattened_line_44-processed-gene-1.148-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.148&CDS=1-1038, genemark-flattened_line_6-processed-gene-1.65-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.65&CDS=1-1029, maker-flattened_line_0-snap-gene-6.48-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-6.48&CDS=1-1992
1	OG0000001	YKR064W	augustus_masked-flattened_line_53-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_53-processed-gene-0.159&CDS=1-3336, augustus_masked-flattened_line_6-processed-gene-4.64-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.64&CDS=1-2628, augustus_masked-flattened_line_8-processed-gene-2.0-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.0&CDS=1-3621, genemark-flattened_line_10-processed-gene-5.3-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.3&CDS=1-2754, genemark-flattened_line_2-processed-gene-7.89-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.89&CDS=1-2994, genemark-flattened_line_6-processed-gene-7.147-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-7.147&CDS=1-2871, genemark-flattened_line_6-processed-gene-7.177-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-7.177&CDS=1-4524, snap_masked-flattened_line_12-processed-gene-4.49-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-4.49&CDS=1-2727, snap_masked-flattened_line_32-processed-gene-1.216-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.216&CDS=1-3366, snap_masked-flattened_line_8-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.3&CDS=1-567
2	OG0000002	YBR053C, YOL119C, YOR306C	genemark-flattened_line_4-processed-gene-6.17-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.17&CDS=1-1524, genemark-flattened_line_40-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.116&CDS=1-1401, genemark-flattened_line_40-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.125&CDS=1-987, genemark-flattened_line_8-processed-gene-1.106-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.106&CDS=1-1500, maker-flattened_line_4-snap-gene-2.55-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.55&CDS=1-2445, maker-flattened_line_51-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_51-augustus-gene-0.0&CDS=1-2391, snap_masked-flattened_line_12-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.66&CDS=1-1440
3	OG0000003	YGL257C, YNR059W	augustus_masked-flattened_line_0-processed-gene-8.106-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-8.106&CDS=1-2334, augustus_masked-flattened_line_36-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.26&CDS=1-4335, augustus_masked-flattened_line_6-processed-gene-4.70-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.70&CDS=1-1965, genemark-flattened_line_30-processed-gene-1.303-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.303&CDS=1-2136, genemark-flattened_line_32-processed-gene-1.122-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.122&CDS=1-2622, genemark-flattened_line_36-processed-gene-1.151-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.151&CDS=1-2019, genemark-flattened_line_36-processed-gene-1.193-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.193&CDS=1-2061, genemark-flattened_line_6-processed-gene-4.27-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.27&CDS=1-2022
4	OG0000004	YJL172W, YOL153C	genemark-flattened_line_0-processed-gene-6.46-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.46&CDS=1-1710, genemark-flattened_line_20-processed-gene-2.108-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.108&CDS=1-1815, genemark-flattened_line_20-processed-gene-2.136-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.136&CDS=1-1806, genemark-flattened_line_30-processed-gene-1.294-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.294&CDS=1-1749, genemark-flattened_line_4-processed-gene-3.85-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.85&CDS=1-1710, genemark-flattened_line_4-processed-gene-5.110-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.110&CDS=1-1737, genemark-flattened_line_42-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.100&CDS=1-1668, genemark-flattened_line_55-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.65&CDS=1-1845
5	OG0000005	YMR111C, YMR172W, YOL116W	augustus_masked-flattened_line_2-processed-gene-6.151-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.151&CDS=1-1029, augustus_masked-flattened_line_6-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.41&CDS=1-1038, augustus_masked-flattened_line_69-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_69-processed-gene-0.22&CDS=1-1077, genemark-flattened_line_18-processed-gene-1.85-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.85&CDS=1-1536, genemark-flattened_line_2-processed-gene-6.93-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.93&CDS=1-1200, genemark-flattened_line_2-processed-gene-6.95-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.95&CDS=1-1476, genemark-flattened_line_4-processed-gene-7.272-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-7.272&CDS=1-1062
6	OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_2-processed-gene-2.83-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.83&CDS=1-1479, genemark-flattened_line_30-processed-gene-1.263-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.263&CDS=1-1470, genemark-flattened_line_47-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.84&CDS=1-1473
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_65-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.135&CDS=1-1755
8	OG0000008	YGR281W	genemark-flattened_line_0-processed-gene-7.68-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.68&CDS=1-4248, genemark-flattened_line_28-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.7&CDS=1-4137, genemark-flattened_line_32-processed-gene-1.132-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.132&CDS=1-4131, genemark-flattened_line_42-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.76&CDS=1-4182, genemark-flattened_line_47-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.12&CDS=1-4203, genemark-flattened_line_55-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.79&CDS=1-4233, genemark-flattened_line_67-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_67-processed-gene-0.60&CDS=1-4230
9	OG0000009	YBR150C, YMR019W, YOL089C	genemark-flattened_line_0-processed-gene-8.134-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.134&CDS=1-2958, genemark-flattened_line_2-processed-gene-8.10-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.10&CDS=1-2544, genemark-flattened_line_2-processed-gene-8.11-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.11&CDS=1-2652, genemark-flattened_line_40-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.87&CDS=1-2604
