	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035282_Trigonopsis_vinaria
0	OG0000000	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	snap_masked-NODE_34_length_61333_cov_31.1411_ID_4578-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_34_length_61333_cov_31.1411_ID_4578-processed-gene-0.75&CDS=1-1584
1	OG0000001	YER013W, YGL120C, YKL078W, YKR086W, YNR011C	snap_masked-NODE_23_length_180852_cov_49.0961_ID_2839-processed-gene-0.174-mRNA-1_1&gene=snap_masked-NODE_23_length_180852_cov_49.0961_ID_2839-processed-gene-0.174&CDS=1-3138, snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-2.126-mRNA-1_1&gene=snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-2.126&CDS=1-2295, snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-2.43-mRNA-1_1&gene=snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-2.43&CDS=1-2271, snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-4.71-mRNA-1_1&gene=snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-4.71&CDS=1-3447, snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-5.139-mRNA-1_1&gene=snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-5.139&CDS=1-3444
2	OG0000002	YIL120W, YIL121W, YNL065W	augustus_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.83&CDS=1-1740, snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-4.42-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-4.42&CDS=1-1644, snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.136-mRNA-1_1&gene=snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.136&CDS=1-1695, snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.137-mRNA-1_1&gene=snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.137&CDS=1-1656, snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.138-mRNA-1_1&gene=snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.138&CDS=1-1506, snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.139-mRNA-1_1&gene=snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.139&CDS=1-1548
3	OG0000003		augustus_masked-NODE_18_length_247454_cov_44.7282_ID_3590-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-NODE_18_length_247454_cov_44.7282_ID_3590-processed-gene-1.181&CDS=1-3519, augustus_masked-NODE_20_length_193603_cov_27.0983_ID_9010-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-NODE_20_length_193603_cov_27.0983_ID_9010-processed-gene-0.218&CDS=1-2199, augustus_masked-NODE_34_length_61333_cov_31.1411_ID_4578-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_34_length_61333_cov_31.1411_ID_4578-processed-gene-0.58&CDS=1-2013, augustus_masked-NODE_46_length_6728_cov_38.8119_ID_9481-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_46_length_6728_cov_38.8119_ID_9481-processed-gene-0.1&CDS=1-2115, augustus_masked-NODE_56_length_2130_cov_65.4119_ID_7237-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_56_length_2130_cov_65.4119_ID_7237-processed-gene-0.1&CDS=1-2079, augustus_masked-NODE_60_length_1457_cov_87.335_ID_7945-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_60_length_1457_cov_87.335_ID_7945-processed-gene-0.1&CDS=1-1230, augustus_masked-NODE_63_length_1194_cov_90.5741_ID_8516-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_63_length_1194_cov_90.5741_ID_8516-processed-gene-0.2&CDS=1-1143, snap_masked-NODE_41_length_27671_cov_68.8059_ID_5135-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_41_length_27671_cov_68.8059_ID_5135-processed-gene-0.10&CDS=1-4392, snap_masked-NODE_5_length_608631_cov_29.0002_ID_3793-processed-gene-3.111-mRNA-1_1&gene=snap_masked-NODE_5_length_608631_cov_29.0002_ID_3793-processed-gene-3.111&CDS=1-3024
4	OG0000004	YBR199W, YIL085C, YNL029C, YOR099W	maker-NODE_11_length_343405_cov_38.0855_ID_2620-snap-gene-1.90-mRNA-1_1&gene=maker-NODE_11_length_343405_cov_38.0855_ID_2620-snap-gene-1.90&CDS=1-1152, maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-6.141-mRNA-1_1&gene=maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-6.141&CDS=1-1218, snap_masked-NODE_13_length_312200_cov_40.1463_ID_9646-processed-gene-1.94-mRNA-1_1&gene=snap_masked-NODE_13_length_312200_cov_40.1463_ID_9646-processed-gene-1.94&CDS=1-1272, snap_masked-NODE_29_length_100643_cov_37.9226_ID_3916-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_29_length_100643_cov_37.9226_ID_3916-processed-gene-0.17&CDS=1-1542
5	OG0000005	YKL055C	augustus_masked-NODE_10_length_377915_cov_28.3732_ID_8830-processed-gene-2.213-mRNA-1_1&gene=augustus_masked-NODE_10_length_377915_cov_28.3732_ID_8830-processed-gene-2.213&CDS=1-864, genemark-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-2.137-mRNA-1_1&gene=genemark-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-2.137&CDS=1-873, maker-NODE_28_length_100973_cov_49.3373_ID_4614-snap-gene-0.83-mRNA-1_1&gene=maker-NODE_28_length_100973_cov_49.3373_ID_4614-snap-gene-0.83&CDS=1-831, maker-NODE_6_length_498455_cov_30.6401_ID_2085-snap-gene-3.259-mRNA-1_1&gene=maker-NODE_6_length_498455_cov_30.6401_ID_2085-snap-gene-3.259&CDS=1-783, snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-12.91-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-12.91&CDS=1-828, snap_masked-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-4.129-mRNA-1_1&gene=snap_masked-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-4.129&CDS=1-777, snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-1.45-mRNA-1_1&gene=snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-1.45&CDS=1-750
6	OG0000006	YOL119C	genemark-NODE_12_length_323142_cov_42.5011_ID_4325-processed-gene-1.51-mRNA-1_1&gene=genemark-NODE_12_length_323142_cov_42.5011_ID_4325-processed-gene-1.51&CDS=1-1428, maker-NODE_12_length_323142_cov_42.5011_ID_4325-snap-gene-0.116-mRNA-1_1&gene=maker-NODE_12_length_323142_cov_42.5011_ID_4325-snap-gene-0.116&CDS=1-1605, maker-NODE_14_length_303702_cov_28.9607_ID_7328-snap-gene-2.137-mRNA-1_1&gene=maker-NODE_14_length_303702_cov_28.9607_ID_7328-snap-gene-2.137&CDS=1-2427, maker-NODE_27_length_107870_cov_37.3069_ID_4501-snap-gene-0.121-mRNA-1_1&gene=maker-NODE_27_length_107870_cov_37.3069_ID_4501-snap-gene-0.121&CDS=1-1677, maker-NODE_39_length_39872_cov_33.8834_ID_4703-snap-gene-0.34-mRNA-1_1&gene=maker-NODE_39_length_39872_cov_33.8834_ID_4703-snap-gene-0.34&CDS=1-1632, snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-2.140-mRNA-1_1&gene=snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-2.140&CDS=1-1506, snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-2.141-mRNA-1_1&gene=snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-2.141&CDS=1-1509
7	OG0000007	YAL067C, YCR028C	snap_masked-NODE_17_length_250191_cov_28.841_ID_2582-processed-gene-1.214-mRNA-1_1&gene=snap_masked-NODE_17_length_250191_cov_28.841_ID_2582-processed-gene-1.214&CDS=1-1608, snap_masked-NODE_18_length_247454_cov_44.7282_ID_3590-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_18_length_247454_cov_44.7282_ID_3590-processed-gene-0.51&CDS=1-1644, snap_masked-NODE_18_length_247454_cov_44.7282_ID_3590-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_18_length_247454_cov_44.7282_ID_3590-processed-gene-0.56&CDS=1-1584, snap_masked-NODE_24_length_163241_cov_27.3507_ID_3210-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_24_length_163241_cov_27.3507_ID_3210-processed-gene-0.118&CDS=1-1542, snap_masked-NODE_28_length_100973_cov_49.3373_ID_4614-processed-gene-0.71-mRNA-1_1&gene=snap_masked-NODE_28_length_100973_cov_49.3373_ID_4614-processed-gene-0.71&CDS=1-1593
8	OG0000008	YDL138W, YFL040W	maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-13.53-mRNA-1_1&gene=maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-13.53&CDS=1-630, snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-13.121-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-13.121&CDS=1-1560, snap_masked-NODE_35_length_51440_cov_35.2148_ID_4689-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_35_length_51440_cov_35.2148_ID_4689-processed-gene-0.32&CDS=1-1866, snap_masked-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-3.121-mRNA-1_1&gene=snap_masked-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-3.121&CDS=1-1566, snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.168-mRNA-1_1&gene=snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-3.168&CDS=1-1605
9	OG0000009	YDR144C, YLR120C, YLR121C	genemark-NODE_28_length_100973_cov_49.3373_ID_4614-processed-gene-0.142-mRNA-1_1&gene=genemark-NODE_28_length_100973_cov_49.3373_ID_4614-processed-gene-0.142&CDS=1-1581, snap_masked-NODE_13_length_312200_cov_40.1463_ID_9646-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_13_length_312200_cov_40.1463_ID_9646-processed-gene-0.45&CDS=1-1554, snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-0.91&CDS=1-1584, snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-0.92&CDS=1-1593
