	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034597_Candida_stellimalicola
0	OG0000000	YBR240C	augustus_masked-flattened_line_10-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.152&CDS=1-2487, augustus_masked-flattened_line_16-processed-gene-1.223-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.223&CDS=1-1125, augustus_masked-flattened_line_18-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.23&CDS=1-2631, augustus_masked-flattened_line_18-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.68&CDS=1-2652, augustus_masked-flattened_line_18-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.79&CDS=1-2856, augustus_masked-flattened_line_28-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.30&CDS=1-1212, augustus_masked-flattened_line_28-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.78&CDS=1-900, augustus_masked-flattened_line_36-processed-gene-1.192-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.192&CDS=1-1545, augustus_masked-flattened_line_4-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.138&CDS=1-804, augustus_masked-flattened_line_46-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.228&CDS=1-732, augustus_masked-flattened_line_50-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.100&CDS=1-7623, augustus_masked-flattened_line_74-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.25&CDS=1-390, augustus_masked-flattened_line_82-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.31&CDS=1-1323, genemark-flattened_line_12-processed-gene-1.45-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.45&CDS=1-2076, genemark-flattened_line_2-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.105&CDS=1-858, genemark-flattened_line_82-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.74&CDS=1-1338, maker-flattened_line_2-augustus-gene-2.106-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-2.106&CDS=1-1587, snap_masked-flattened_line_100-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.59&CDS=1-2565, snap_masked-flattened_line_16-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.76&CDS=1-825, snap_masked-flattened_line_38-processed-gene-0.75-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.75&CDS=1-2403
1	OG0000001	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	
2	OG0000002	YDR242W	augustus_masked-flattened_line_10-processed-gene-1.172-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.172&CDS=1-1611, augustus_masked-flattened_line_120-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.26&CDS=1-1719, augustus_masked-flattened_line_26-processed-gene-1.213-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.213&CDS=1-1713, augustus_masked-flattened_line_30-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.17&CDS=1-1488, augustus_masked-flattened_line_8-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.14&CDS=1-1611, augustus_masked-flattened_line_8-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.2&CDS=1-1707, maker-flattened_line_120-snap-gene-0.34-mRNA-1_1&gene=maker-flattened_line_120-snap-gene-0.34&CDS=1-6387, snap_masked-flattened_line_8-processed-gene-1.87-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.87&CDS=1-1635, snap_masked-flattened_line_8-processed-gene-1.88-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.88&CDS=1-1638
3	OG0000003	YGR191W, YKR039W, YLL061W, YPL274W	augustus_masked-flattened_line_0-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.9&CDS=1-1749, augustus_masked-flattened_line_12-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.141&CDS=1-1803, augustus_masked-flattened_line_34-processed-gene-1.160-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-1.160&CDS=1-1788, augustus_masked-flattened_line_40-processed-gene-0.234-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.234&CDS=1-1713, augustus_masked-flattened_line_64-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.84&CDS=1-1767, augustus_masked-flattened_line_90-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.39&CDS=1-1755
4	OG0000004		augustus_masked-flattened_line_0-processed-gene-3.108-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.108&CDS=1-2856, augustus_masked-flattened_line_191-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_191-processed-gene-0.0&CDS=1-1371, augustus_masked-flattened_line_2-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.60&CDS=1-465, augustus_masked-flattened_line_20-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.133&CDS=1-1488, augustus_masked-flattened_line_24-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.134&CDS=1-1158, augustus_masked-flattened_line_38-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.78&CDS=1-2346, augustus_masked-flattened_line_48-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.140&CDS=1-1656, maker-flattened_line_14-augustus-gene-2.1-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-2.1&CDS=1-2361, maker-flattened_line_90-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_90-snap-gene-0.3&CDS=1-1815, maker-flattened_line_90-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_90-snap-gene-0.4&CDS=1-2667
5	OG0000005	YJR152W	augustus_masked-flattened_line_0-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.58&CDS=1-1587, augustus_masked-flattened_line_12-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.64&CDS=1-1590, augustus_masked-flattened_line_155-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_155-processed-gene-0.10&CDS=1-843, augustus_masked-flattened_line_16-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.1&CDS=1-1605, augustus_masked-flattened_line_48-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.96&CDS=1-1551, maker-flattened_line_108-snap-gene-0.55-mRNA-1_1&gene=maker-flattened_line_108-snap-gene-0.55&CDS=1-6078, maker-flattened_line_120-snap-gene-0.33-mRNA-1_1&gene=maker-flattened_line_120-snap-gene-0.33&CDS=1-3027, maker-flattened_line_155-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_155-snap-gene-0.11&CDS=1-2061
6	OG0000006	YDR011W, YIL013C, YOR011W, YOR153W	augustus_masked-flattened_line_2-processed-gene-3.118-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.118&CDS=1-3921, augustus_masked-flattened_line_32-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.124&CDS=1-4416, augustus_masked-flattened_line_48-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.154&CDS=1-4542, snap_masked-flattened_line_12-processed-gene-2.208-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.208&CDS=1-4596
7	OG0000007	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_112-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.33&CDS=1-1035, augustus_masked-flattened_line_114-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.13&CDS=1-1050, augustus_masked-flattened_line_72-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.104&CDS=1-1035, augustus_masked-flattened_line_86-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.40&CDS=1-1035
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_12-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.69&CDS=1-2184, augustus_masked-flattened_line_12-processed-gene-2.158-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.158&CDS=1-2526, augustus_masked-flattened_line_32-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.88&CDS=1-3336, augustus_masked-flattened_line_4-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.101&CDS=1-2871
9	OG0000009	YER073W, YMR169C, YMR170C, YPL061W	augustus_masked-flattened_line_10-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.142&CDS=1-1500, augustus_masked-flattened_line_14-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.41&CDS=1-1491, maker-flattened_line_12-snap-gene-2.6-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-2.6&CDS=1-1965, snap_masked-flattened_line_30-processed-gene-1.81-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.81&CDS=1-1578
10	OG0000010	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_32-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.101&CDS=1-1815, augustus_masked-flattened_line_66-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.107&CDS=1-2010, genemark-flattened_line_38-processed-gene-1.156-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.156&CDS=1-2112
