	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034631_Martiniozyma_abiesophila
0	OG0000000	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
1	OG0000001	YBR240C, YDR207C	augustus_masked-NODE_1257_length_2487_cov_7.74958_ID_187924-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1257_length_2487_cov_7.74958_ID_187924-processed-gene-0.1&CDS=1-546, augustus_masked-NODE_212_length_8824_cov_8.45557_ID_39580-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_212_length_8824_cov_8.45557_ID_39580-processed-gene-0.1&CDS=1-591, augustus_masked-NODE_3076_length_1065_cov_7.70998_ID_240813-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_3076_length_1065_cov_7.70998_ID_240813-processed-gene-0.4&CDS=1-519, augustus_masked-NODE_4153_length_845_cov_6.07412_ID_142748-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4153_length_845_cov_6.07412_ID_142748-processed-gene-0.0&CDS=1-363, augustus_masked-NODE_7682_length_536_cov_6.08314_ID_367237-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_7682_length_536_cov_6.08314_ID_367237-processed-gene-0.2&CDS=1-534, augustus_masked-NODE_7690_length_536_cov_9.27945_ID_250576-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_7690_length_536_cov_9.27945_ID_250576-processed-gene-0.2&CDS=1-534, augustus_masked-NODE_9884_length_446_cov_9.55685_ID_356313-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_9884_length_446_cov_9.55685_ID_356313-processed-gene-0.2&CDS=1-372, genemark-NODE_934_length_3439_cov_6.6226_ID_50411-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_934_length_3439_cov_6.6226_ID_50411-processed-gene-0.1&CDS=1-777, maker-NODE_5852_length_651_cov_11.3467_ID_356991-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_5852_length_651_cov_11.3467_ID_356991-snap-gene-0.0&CDS=1-579, snap_masked-NODE_137_length_10609_cov_9.08938_ID_158297-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_137_length_10609_cov_9.08938_ID_158297-processed-gene-0.4&CDS=1-405, snap_masked-NODE_2211_length_1441_cov_7.51495_ID_152270-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_2211_length_1441_cov_7.51495_ID_152270-processed-gene-0.1&CDS=1-627, snap_masked-NODE_333_length_7096_cov_8.79765_ID_48891-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_333_length_7096_cov_8.79765_ID_48891-processed-gene-0.8&CDS=1-408, snap_masked-NODE_3526_length_965_cov_9.7529_ID_359849-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_3526_length_965_cov_9.7529_ID_359849-processed-gene-0.1&CDS=1-243, snap_masked-NODE_496_length_5817_cov_5.70721_ID_48760-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_496_length_5817_cov_5.70721_ID_48760-processed-gene-0.3&CDS=1-558, snap_masked-NODE_511_length_5727_cov_6.80512_ID_56834-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_511_length_5727_cov_6.80512_ID_56834-processed-gene-0.7&CDS=1-318
2	OG0000002		augustus_masked-NODE_1192_length_2674_cov_11.9203_ID_53573-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1192_length_2674_cov_11.9203_ID_53573-processed-gene-0.2&CDS=1-957, augustus_masked-NODE_1241_length_2534_cov_6.37104_ID_135358-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1241_length_2534_cov_6.37104_ID_135358-processed-gene-0.0&CDS=1-1755, augustus_masked-NODE_1695_length_1822_cov_9.16987_ID_355917-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1695_length_1822_cov_9.16987_ID_355917-processed-gene-0.0&CDS=1-777, augustus_masked-NODE_395_length_6495_cov_7.06258_ID_316218-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_395_length_6495_cov_7.06258_ID_316218-processed-gene-0.4&CDS=1-1461, augustus_masked-NODE_4406_length_806_cov_11_ID_358143-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_4406_length_806_cov_11_ID_358143-processed-gene-0.1&CDS=1-804, augustus_masked-NODE_5781_length_657_cov_12.0072_ID_356933-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_5781_length_657_cov_12.0072_ID_356933-processed-gene-0.0&CDS=1-645, augustus_masked-NODE_5833_length_652_cov_7.62295_ID_366261-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5833_length_652_cov_7.62295_ID_366261-processed-gene-0.1&CDS=1-603, augustus_masked-NODE_5947_length_643_cov_6.77778_ID_362021-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5947_length_643_cov_6.77778_ID_362021-processed-gene-0.1&CDS=1-546, augustus_masked-NODE_725_length_4372_cov_7.2387_ID_338778-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_725_length_4372_cov_7.2387_ID_338778-processed-gene-0.8&CDS=1-771, augustus_masked-NODE_7493_length_546_cov_13.4718_ID_364519-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_7493_length_546_cov_13.4718_ID_364519-processed-gene-0.2&CDS=1-540, augustus_masked-NODE_776_length_4098_cov_8.85432_ID_341408-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_776_length_4098_cov_8.85432_ID_341408-processed-gene-0.2&CDS=1-1431, augustus_masked-NODE_7906_length_526_cov_14.487_ID_354961-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_7906_length_526_cov_14.487_ID_354961-processed-gene-0.2&CDS=1-471, genemark-NODE_2_length_224106_cov_13.115_ID_338572-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_2_length_224106_cov_13.115_ID_338572-processed-gene-0.39&CDS=1-2118, genemark-NODE_41_length_15741_cov_10.2722_ID_358321-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_41_length_15741_cov_10.2722_ID_358321-processed-gene-0.18&CDS=1-2112, maker-NODE_725_length_4372_cov_7.2387_ID_338778-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_725_length_4372_cov_7.2387_ID_338778-augustus-gene-0.4&CDS=1-1320, snap_masked-NODE_10858_length_388_cov_5.77193_ID_365385-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_10858_length_388_cov_5.77193_ID_365385-processed-gene-0.1&CDS=1-366
3	OG0000003		augustus_masked-NODE_45_length_15172_cov_12.1947_ID_121641-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_45_length_15172_cov_12.1947_ID_121641-processed-gene-0.12&CDS=1-2031, augustus_masked-NODE_5103_length_719_cov_11.3279_ID_357223-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5103_length_719_cov_11.3279_ID_357223-processed-gene-0.1&CDS=1-564, augustus_masked-NODE_6591_length_598_cov_16.7576_ID_358931-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_6591_length_598_cov_16.7576_ID_358931-processed-gene-0.0&CDS=1-477, augustus_masked-NODE_7453_length_548_cov_10.0876_ID_361659-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_7453_length_548_cov_10.0876_ID_361659-processed-gene-0.1&CDS=1-468, augustus_masked-NODE_778_length_4094_cov_7.59484_ID_44399-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_778_length_4094_cov_7.59484_ID_44399-processed-gene-0.0&CDS=1-1248, augustus_masked-NODE_841_length_3799_cov_7.04031_ID_77617-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_841_length_3799_cov_7.04031_ID_77617-processed-gene-0.2&CDS=1-1386, genemark-NODE_4612_length_776_cov_12.737_ID_359251-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_4612_length_776_cov_12.737_ID_359251-processed-gene-0.0&CDS=1-729, maker-NODE_16_length_21727_cov_8.26554_ID_46568-augustus-gene-0.10-mRNA-1_1&gene=maker-NODE_16_length_21727_cov_8.26554_ID_46568-augustus-gene-0.10&CDS=1-2256, maker-NODE_629_length_4969_cov_6.99199_ID_40052-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_629_length_4969_cov_6.99199_ID_40052-augustus-gene-0.2&CDS=1-969, snap_masked-NODE_235_length_8450_cov_7.11106_ID_44969-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_235_length_8450_cov_7.11106_ID_44969-processed-gene-0.3&CDS=1-2799, snap_masked-NODE_7924_length_525_cov_7.64455_ID_369667-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_7924_length_525_cov_7.64455_ID_369667-processed-gene-0.1&CDS=1-336, snap_masked-NODE_8208_length_512_cov_5.90954_ID_265222-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_8208_length_512_cov_5.90954_ID_265222-processed-gene-0.0&CDS=1-336
4	OG0000004	YDL037C, YIR019C	augustus_masked-NODE_1417_length_2159_cov_11.6454_ID_352830-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1417_length_2159_cov_11.6454_ID_352830-processed-gene-0.1&CDS=1-2097, augustus_masked-NODE_2972_length_1095_cov_10.1028_ID_354211-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2972_length_1095_cov_10.1028_ID_354211-processed-gene-0.1&CDS=1-690, augustus_masked-NODE_3870_length_893_cov_5.52405_ID_132790-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_3870_length_893_cov_5.52405_ID_132790-processed-gene-0.2&CDS=1-288, augustus_masked-NODE_3923_length_882_cov_6.60591_ID_134546-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_3923_length_882_cov_6.60591_ID_134546-processed-gene-0.2&CDS=1-288, augustus_masked-NODE_5897_length_647_cov_11.2114_ID_333624-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_5897_length_647_cov_11.2114_ID_333624-processed-gene-0.1&CDS=1-642, snap_masked-NODE_101_length_11995_cov_9.36604_ID_357805-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_101_length_11995_cov_9.36604_ID_357805-processed-gene-0.10&CDS=1-1215, snap_masked-NODE_2942_length_1100_cov_6.20562_ID_105706-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_2942_length_1100_cov_6.20562_ID_105706-processed-gene-0.1&CDS=1-270, snap_masked-NODE_572_length_5333_cov_8.00115_ID_342416-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_572_length_5333_cov_8.00115_ID_342416-processed-gene-0.4&CDS=1-3744
5	OG0000005	YGL077C, YNR056C	augustus_masked-NODE_11171_length_247_cov_5.32639_ID_365949-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_11171_length_247_cov_5.32639_ID_365949-processed-gene-0.1&CDS=1-243, augustus_masked-NODE_1848_length_1669_cov_8.33844_ID_128790-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1848_length_1669_cov_8.33844_ID_128790-processed-gene-0.2&CDS=1-837, augustus_masked-NODE_3355_length_999_cov_11.7143_ID_360313-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3355_length_999_cov_11.7143_ID_360313-processed-gene-0.1&CDS=1-993, augustus_masked-NODE_4264_length_828_cov_8.6469_ID_341559-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4264_length_828_cov_8.6469_ID_341559-processed-gene-0.0&CDS=1-825, augustus_masked-NODE_476_length_5969_cov_10.6367_ID_309143-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_476_length_5969_cov_10.6367_ID_309143-processed-gene-0.15&CDS=1-912, augustus_masked-NODE_8562_length_497_cov_13.7234_ID_361631-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_8562_length_497_cov_13.7234_ID_361631-processed-gene-0.2&CDS=1-441, snap_masked-NODE_5245_length_703_cov_6.38167_ID_361749-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_5245_length_703_cov_6.38167_ID_361749-processed-gene-0.0&CDS=1-237, snap_masked-NODE_5408_length_687_cov_5.96747_ID_183631-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_5408_length_687_cov_5.96747_ID_183631-processed-gene-0.1&CDS=1-234
6	OG0000006	YLL057C	augustus_masked-NODE_1137_length_2838_cov_8.62962_ID_76049-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_1137_length_2838_cov_8.62962_ID_76049-processed-gene-0.0&CDS=1-708, augustus_masked-NODE_1423_length_2150_cov_6.34587_ID_74894-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1423_length_2150_cov_6.34587_ID_74894-processed-gene-0.2&CDS=1-792, augustus_masked-NODE_4408_length_806_cov_13.963_ID_360345-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4408_length_806_cov_13.963_ID_360345-processed-gene-0.0&CDS=1-801, augustus_masked-NODE_851_length_3724_cov_10.5512_ID_359733-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_851_length_3724_cov_10.5512_ID_359733-processed-gene-0.5&CDS=1-1137, genemark-NODE_149_length_10234_cov_7.03474_ID_56662-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_149_length_10234_cov_7.03474_ID_56662-processed-gene-0.3&CDS=1-1203, genemark-NODE_169_length_9782_cov_9.20405_ID_358715-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_169_length_9782_cov_9.20405_ID_358715-processed-gene-0.3&CDS=1-1203, genemark-NODE_395_length_6495_cov_7.06258_ID_316218-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_395_length_6495_cov_7.06258_ID_316218-processed-gene-0.8&CDS=1-1215, genemark-NODE_507_length_5753_cov_6.33965_ID_93074-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_507_length_5753_cov_6.33965_ID_93074-processed-gene-0.4&CDS=1-1203, maker-NODE_38_length_15874_cov_7.46319_ID_37816-snap-gene-0.23-mRNA-1_1&gene=maker-NODE_38_length_15874_cov_7.46319_ID_37816-snap-gene-0.23&CDS=1-2346
7	OG0000007	YCR028C	augustus_masked-NODE_194_length_9147_cov_10.5215_ID_358919-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_194_length_9147_cov_10.5215_ID_358919-processed-gene-0.1&CDS=1-1338, augustus_masked-NODE_2199_length_1446_cov_7.68131_ID_82146-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_2199_length_1446_cov_7.68131_ID_82146-processed-gene-0.3&CDS=1-354, augustus_masked-NODE_2340_length_1358_cov_17.1514_ID_357911-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_2340_length_1358_cov_17.1514_ID_357911-processed-gene-0.2&CDS=1-1356, augustus_masked-NODE_3115_length_1057_cov_17.414_ID_357217-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3115_length_1057_cov_17.414_ID_357217-processed-gene-0.1&CDS=1-831, genemark-NODE_2239_length_1422_cov_8.54738_ID_187365-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_2239_length_1422_cov_8.54738_ID_187365-processed-gene-0.0&CDS=1-429, genemark-NODE_2247_length_1414_cov_6.00458_ID_187435-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_2247_length_1414_cov_6.00458_ID_187435-processed-gene-0.0&CDS=1-429, maker-NODE_718_length_4427_cov_9.67391_ID_78306-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_718_length_4427_cov_9.67391_ID_78306-snap-gene-0.0&CDS=1-2031, snap_masked-NODE_2203_length_1444_cov_6.70917_ID_82241-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_2203_length_1444_cov_6.70917_ID_82241-processed-gene-0.3&CDS=1-336
8	OG0000008	YMR152W	augustus_masked-NODE_10944_length_350_cov_7.59514_ID_437677-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_10944_length_350_cov_7.59514_ID_437677-processed-gene-0.2&CDS=1-345, augustus_masked-NODE_2596_length_1242_cov_8.68745_ID_131928-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2596_length_1242_cov_8.68745_ID_131928-processed-gene-0.1&CDS=1-324, augustus_masked-NODE_9023_length_478_cov_7.86667_ID_364705-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_9023_length_478_cov_7.86667_ID_364705-processed-gene-0.1&CDS=1-477, augustus_masked-NODE_9353_length_466_cov_11.551_ID_437713-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_9353_length_466_cov_11.551_ID_437713-processed-gene-0.1&CDS=1-459, augustus_masked-NODE_9367_length_466_cov_5.87603_ID_369799-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_9367_length_466_cov_5.87603_ID_369799-processed-gene-0.1&CDS=1-459, genemark-NODE_321_length_7279_cov_10.7515_ID_318479-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_321_length_7279_cov_10.7515_ID_318479-processed-gene-0.10&CDS=1-1092, maker-NODE_1552_length_2000_cov_12.6352_ID_356185-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_1552_length_2000_cov_12.6352_ID_356185-snap-gene-0.0&CDS=1-1260
9	OG0000009	YDR242W, YPR201W	augustus_masked-NODE_780_length_4088_cov_9.73952_ID_357059-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_780_length_4088_cov_9.73952_ID_357059-processed-gene-0.2&CDS=1-2688, genemark-NODE_1112_length_2899_cov_14.1395_ID_356417-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_1112_length_2899_cov_14.1395_ID_356417-processed-gene-0.0&CDS=1-1581, genemark-NODE_333_length_7096_cov_8.79765_ID_48891-processed-gene-0.3-mRNA-1_1&gene=genemark-NODE_333_length_7096_cov_8.79765_ID_48891-processed-gene-0.3&CDS=1-1626, genemark-NODE_76_length_13178_cov_11.5065_ID_354693-processed-gene-0.4-mRNA-1_1&gene=genemark-NODE_76_length_13178_cov_11.5065_ID_354693-processed-gene-0.4&CDS=1-1716, snap_masked-NODE_41_length_15741_cov_10.2722_ID_358321-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_41_length_15741_cov_10.2722_ID_358321-processed-gene-0.2&CDS=1-1491
