	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035699_Cyberlindnera_maclurae
0	OG0000000	YCL025C, YDR508C, YGR191W, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_141_length_6837_cov_64.2061_ID_46346-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_141_length_6837_cov_64.2061_ID_46346-processed-gene-0.4&CDS=1-1737, augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_41_length_88496_cov_62.8201_ID_21193-processed-gene-0.86&CDS=1-1746, augustus_masked-NODE_44_length_84336_cov_59.026_ID_9961-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_44_length_84336_cov_59.026_ID_9961-processed-gene-0.77&CDS=1-1761, augustus_masked-NODE_46_length_83228_cov_61.7361_ID_9326-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_46_length_83228_cov_61.7361_ID_9326-processed-gene-0.46&CDS=1-1734, augustus_masked-NODE_70_length_47931_cov_65.8024_ID_27301-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_70_length_47931_cov_65.8024_ID_27301-processed-gene-0.78&CDS=1-1740, augustus_masked-NODE_72_length_45994_cov_87.5271_ID_42241-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_72_length_45994_cov_87.5271_ID_42241-processed-gene-0.21&CDS=1-1758, augustus_masked-NODE_95_length_29429_cov_64.8972_ID_13469-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_95_length_29429_cov_64.8972_ID_13469-processed-gene-0.25&CDS=1-1734, maker-NODE_70_length_47931_cov_65.8024_ID_27301-augustus-gene-0.84-mRNA-1_1&gene=maker-NODE_70_length_47931_cov_65.8024_ID_27301-augustus-gene-0.84&CDS=1-1746
1	OG0000001	YER073W, YMR169C, YMR170C, YOR374W, YPL061W	augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-NODE_19_length_144720_cov_104.071_ID_39766-processed-gene-0.226&CDS=1-1539, augustus_masked-NODE_50_length_72702_cov_62.1795_ID_9793-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_50_length_72702_cov_62.1795_ID_9793-processed-gene-0.16&CDS=1-1506, augustus_masked-NODE_50_length_72702_cov_62.1795_ID_9793-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_50_length_72702_cov_62.1795_ID_9793-processed-gene-0.34&CDS=1-1545, augustus_masked-NODE_60_length_60968_cov_63.6725_ID_38224-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_60_length_60968_cov_63.6725_ID_38224-processed-gene-0.29&CDS=1-1491, augustus_masked-NODE_85_length_38187_cov_63.09_ID_42102-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_85_length_38187_cov_63.09_ID_42102-processed-gene-0.21&CDS=1-1497, maker-NODE_22_length_133648_cov_62.7107_ID_27333-snap-gene-0.147-mRNA-1_1&gene=maker-NODE_22_length_133648_cov_62.7107_ID_27333-snap-gene-0.147&CDS=1-2040
2	OG0000002	YDL229W, YER103W, YJL034W, YLL024C, YNL209W	augustus_masked-NODE_46_length_83228_cov_61.7361_ID_9326-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_46_length_83228_cov_61.7361_ID_9326-processed-gene-0.6&CDS=1-1944, augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.19&CDS=1-2007, augustus_masked-NODE_62_length_59695_cov_90.733_ID_11102-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_62_length_59695_cov_90.733_ID_11102-processed-gene-0.1&CDS=1-1929, augustus_masked-NODE_77_length_43915_cov_74.7763_ID_14787-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_77_length_43915_cov_74.7763_ID_14787-processed-gene-0.30&CDS=1-1839
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_78_length_43827_cov_79.1787_ID_26747-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_78_length_43827_cov_79.1787_ID_26747-processed-gene-0.13&CDS=1-1677
4	OG0000004	YDR242W	augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.186&CDS=1-1731, augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-3.232-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-3.232&CDS=1-1632, augustus_masked-NODE_50_length_72702_cov_62.1795_ID_9793-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_50_length_72702_cov_62.1795_ID_9793-processed-gene-0.24&CDS=1-1527, augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_5_length_240785_cov_63.9891_ID_41060-processed-gene-0.3&CDS=1-1629, augustus_masked-NODE_61_length_59926_cov_64.2803_ID_40253-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_61_length_59926_cov_64.2803_ID_40253-processed-gene-0.0&CDS=1-1236, augustus_masked-NODE_98_length_27558_cov_58.03_ID_30429-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_98_length_27558_cov_58.03_ID_30429-processed-gene-0.40&CDS=1-1596, maker-NODE_25_length_131612_cov_63.9975_ID_31610-augustus-gene-0.79-mRNA-1_1&gene=maker-NODE_25_length_131612_cov_63.9975_ID_31610-augustus-gene-0.79&CDS=1-927
5	OG0000005	YDR541C, YGL039W, YGL157W, YLR290C, YOL151W	augustus_masked-NODE_13_length_175540_cov_64.7961_ID_9675-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_13_length_175540_cov_64.7961_ID_9675-processed-gene-0.59&CDS=1-1047, augustus_masked-NODE_17_length_148379_cov_67.242_ID_39380-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-NODE_17_length_148379_cov_67.242_ID_39380-processed-gene-0.130&CDS=1-1038, maker-NODE_39_length_91062_cov_66.0146_ID_9270-augustus-gene-0.153-mRNA-1_1&gene=maker-NODE_39_length_91062_cov_66.0146_ID_9270-augustus-gene-0.153&CDS=1-1875
6	OG0000006	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-NODE_15_length_174577_cov_59.4548_ID_42465-processed-gene-0.217&CDS=1-2652, augustus_masked-NODE_18_length_145332_cov_59.0896_ID_27415-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_18_length_145332_cov_59.0896_ID_27415-processed-gene-0.25&CDS=1-2478, augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_43_length_86267_cov_72.0167_ID_12156-processed-gene-0.19&CDS=1-3162, augustus_masked-NODE_63_length_58116_cov_58.6921_ID_15712-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-NODE_63_length_58116_cov_58.6921_ID_15712-processed-gene-0.84&CDS=1-2172
7	OG0000007	YGL257C, YNR059W	augustus_masked-NODE_101_length_27019_cov_63.4621_ID_32822-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_101_length_27019_cov_63.4621_ID_32822-processed-gene-0.22&CDS=1-1986, augustus_masked-NODE_118_length_14090_cov_60.7243_ID_38195-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_118_length_14090_cov_60.7243_ID_38195-processed-gene-0.0&CDS=1-2268, augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.148&CDS=1-2058, augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-NODE_1_length_419987_cov_60.6783_ID_36483-processed-gene-1.155&CDS=1-2088, augustus_masked-NODE_66_length_54513_cov_73.645_ID_10902-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_66_length_54513_cov_73.645_ID_10902-processed-gene-0.34&CDS=1-2292, snap_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.279-mRNA-1_1&gene=snap_masked-NODE_12_length_177927_cov_70.8392_ID_40101-processed-gene-0.279&CDS=1-1497
8	OG0000008	YAR019C, YDR523C, YHR102W	augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.154-mRNA-1_1&gene=augustus_masked-NODE_20_length_141969_cov_73.9944_ID_36909-processed-gene-0.154&CDS=1-2214, augustus_masked-NODE_53_length_67439_cov_91.3056_ID_43222-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_53_length_67439_cov_91.3056_ID_43222-processed-gene-0.76&CDS=1-3012, augustus_masked-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-1.197-mRNA-1_1&gene=augustus_masked-NODE_6_length_239611_cov_64.8102_ID_39412-processed-gene-1.197&CDS=1-1341, augustus_masked-NODE_8_length_226836_cov_62.4789_ID_46056-processed-gene-1.24-mRNA-1_1&gene=augustus_masked-NODE_8_length_226836_cov_62.4789_ID_46056-processed-gene-1.24&CDS=1-1458
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-0.19&CDS=1-1314, augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NODE_9_length_220080_cov_60.0279_ID_39483-processed-gene-0.20&CDS=1-1272
