	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034947_Ambrosiozyma_philentoma
0	OG0000000	YOR049C	augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.81-mRNA-1_1&gene=augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.81&CDS=1-1014, augustus_masked-NODE_29_length_190992_cov_44.1238_ID_57-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-NODE_29_length_190992_cov_44.1238_ID_57-processed-gene-0.160&CDS=1-1212, augustus_masked-NODE_31_length_171028_cov_37.7995_ID_61-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_31_length_171028_cov_37.7995_ID_61-processed-gene-0.148&CDS=1-1035, augustus_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.2&CDS=1-1044, augustus_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.3&CDS=1-924, maker-NODE_43_length_103192_cov_41.1572_ID_85-snap-gene-0.83-mRNA-1_1&gene=maker-NODE_43_length_103192_cov_41.1572_ID_85-snap-gene-0.83&CDS=1-1068, snap_masked-NODE_16_length_388715_cov_37.2944_ID_31-processed-gene-2.230-mRNA-1_1&gene=snap_masked-NODE_16_length_388715_cov_37.2944_ID_31-processed-gene-2.230&CDS=1-1218, snap_masked-NODE_28_length_201022_cov_43.3182_ID_55-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_28_length_201022_cov_43.3182_ID_55-processed-gene-1.83&CDS=1-1221, snap_masked-NODE_29_length_190992_cov_44.1238_ID_57-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NODE_29_length_190992_cov_44.1238_ID_57-processed-gene-0.87&CDS=1-942, snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-7.178-mRNA-1_1&gene=snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-7.178&CDS=1-1308, snap_masked-NODE_40_length_109818_cov_39.8543_ID_79-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_40_length_109818_cov_39.8543_ID_79-processed-gene-0.17&CDS=1-1197, snap_masked-NODE_41_length_104788_cov_39.3601_ID_81-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_41_length_104788_cov_39.3601_ID_81-processed-gene-0.15&CDS=1-1248, snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.26&CDS=1-942, snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.28&CDS=1-924, snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.42&CDS=1-918, snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.43&CDS=1-924, snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.44&CDS=1-915, snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_55_length_58115_cov_41.1793_ID_109-processed-gene-0.45&CDS=1-918, snap_masked-NODE_7_length_719369_cov_38.9049_ID_13-processed-gene-6.174-mRNA-1_1&gene=snap_masked-NODE_7_length_719369_cov_38.9049_ID_13-processed-gene-6.174&CDS=1-1104
1	OG0000001	YBR150C, YOL089C	augustus_masked-NODE_1_length_1123490_cov_36.3557_ID_1-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-NODE_1_length_1123490_cov_36.3557_ID_1-processed-gene-9.121&CDS=1-2472, augustus_masked-NODE_20_length_277557_cov_41.3022_ID_39-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NODE_20_length_277557_cov_41.3022_ID_39-processed-gene-1.102&CDS=1-4851, augustus_masked-NODE_28_length_201022_cov_43.3182_ID_55-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_28_length_201022_cov_43.3182_ID_55-processed-gene-1.50&CDS=1-2511, augustus_masked-NODE_31_length_171028_cov_37.7995_ID_61-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-NODE_31_length_171028_cov_37.7995_ID_61-processed-gene-0.194&CDS=1-2493, augustus_masked-NODE_5_length_763819_cov_35.0206_ID_9-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_5_length_763819_cov_35.0206_ID_9-processed-gene-0.116&CDS=1-2370, augustus_masked-NODE_64_length_29715_cov_37.1696_ID_127-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_64_length_29715_cov_37.1696_ID_127-processed-gene-0.26&CDS=1-6675, genemark-NODE_10_length_554023_cov_36.5422_ID_19-processed-gene-4.156-mRNA-1_1&gene=genemark-NODE_10_length_554023_cov_36.5422_ID_19-processed-gene-4.156&CDS=1-2778, genemark-NODE_47_length_83848_cov_52.5765_ID_93-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_47_length_83848_cov_52.5765_ID_93-processed-gene-0.80&CDS=1-3864, maker-NODE_10_length_554023_cov_36.5422_ID_19-augustus-gene-4.0-mRNA-1_1&gene=maker-NODE_10_length_554023_cov_36.5422_ID_19-augustus-gene-4.0&CDS=1-4623, snap_masked-NODE_12_length_547646_cov_37.6145_ID_23-processed-gene-2.5-mRNA-1_1&gene=snap_masked-NODE_12_length_547646_cov_37.6145_ID_23-processed-gene-2.5&CDS=1-2637, snap_masked-NODE_20_length_277557_cov_41.3022_ID_39-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_20_length_277557_cov_41.3022_ID_39-processed-gene-1.153&CDS=1-2460, snap_masked-NODE_31_length_171028_cov_37.7995_ID_61-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_31_length_171028_cov_37.7995_ID_61-processed-gene-0.59&CDS=1-2469, snap_masked-NODE_59_length_44346_cov_38.8721_ID_117-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_59_length_44346_cov_38.8721_ID_117-processed-gene-0.41&CDS=1-2556
2	OG0000002	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_102_length_1818_cov_55.9464_ID_203-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_102_length_1818_cov_55.9464_ID_203-processed-gene-0.2&CDS=1-1209, augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.113-mRNA-1_1&gene=augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.113&CDS=1-1671, augustus_masked-NODE_153_length_605_cov_86.6694_ID_305-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_153_length_605_cov_86.6694_ID_305-processed-gene-0.1&CDS=1-522, augustus_masked-NODE_22_length_250489_cov_36.0267_ID_43-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_22_length_250489_cov_36.0267_ID_43-processed-gene-0.102&CDS=1-3369, snap_masked-NODE_10_length_554023_cov_36.5422_ID_19-processed-gene-4.5-mRNA-1_1&gene=snap_masked-NODE_10_length_554023_cov_36.5422_ID_19-processed-gene-4.5&CDS=1-1698, snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-3.1-mRNA-1_1&gene=snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-3.1&CDS=1-1824, snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-3.30-mRNA-1_1&gene=snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-3.30&CDS=1-1713, snap_masked-NODE_26_length_206574_cov_36.6608_ID_51-processed-gene-0.39-mRNA-1_1&gene=snap_masked-NODE_26_length_206574_cov_36.6608_ID_51-processed-gene-0.39&CDS=1-1671, snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-5.109-mRNA-1_1&gene=snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-5.109&CDS=1-1776, snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-5.110-mRNA-1_1&gene=snap_masked-NODE_3_length_851894_cov_38.1691_ID_5-processed-gene-5.110&CDS=1-1791, snap_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.1&CDS=1-1341
3	OG0000003	YML111W, YMR275C, YNR069C	augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-2.2&CDS=1-3072, augustus_masked-NODE_22_length_250489_cov_36.0267_ID_43-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_22_length_250489_cov_36.0267_ID_43-processed-gene-1.141&CDS=1-2223, augustus_masked-NODE_22_length_250489_cov_36.0267_ID_43-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-NODE_22_length_250489_cov_36.0267_ID_43-processed-gene-1.143&CDS=1-2208, augustus_masked-NODE_34_length_157888_cov_36.3073_ID_67-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_34_length_157888_cov_36.3073_ID_67-processed-gene-0.100&CDS=1-2871, augustus_masked-NODE_44_length_98848_cov_40.9792_ID_87-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-NODE_44_length_98848_cov_40.9792_ID_87-processed-gene-0.49&CDS=1-2346, snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.47-mRNA-1_1&gene=snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.47&CDS=1-2268, snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.48-mRNA-1_1&gene=snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.48&CDS=1-2358, snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.49-mRNA-1_1&gene=snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.49&CDS=1-2319, snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.50-mRNA-1_1&gene=snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.50&CDS=1-2310, snap_masked-NODE_22_length_250489_cov_36.0267_ID_43-processed-gene-1.78-mRNA-1_1&gene=snap_masked-NODE_22_length_250489_cov_36.0267_ID_43-processed-gene-1.78&CDS=1-2208
4	OG0000004	YGR150C	augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.74-mRNA-1_1&gene=augustus_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.74&CDS=1-2028, augustus_masked-NODE_28_length_201022_cov_43.3182_ID_55-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_28_length_201022_cov_43.3182_ID_55-processed-gene-1.52&CDS=1-2277, augustus_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-8.11&CDS=1-2784, augustus_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.104&CDS=1-2334, augustus_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.105&CDS=1-2118, snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-0.70&CDS=1-2994, snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-0.78&CDS=1-4908, snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-8.131-mRNA-1_1&gene=snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-8.131&CDS=1-2991, snap_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.10&CDS=1-2934, snap_masked-NODE_47_length_83848_cov_52.5765_ID_93-processed-gene-0.57-mRNA-1_1&gene=snap_masked-NODE_47_length_83848_cov_52.5765_ID_93-processed-gene-0.57&CDS=1-2601
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.7&CDS=1-1734, snap_masked-NODE_47_length_83848_cov_52.5765_ID_93-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_47_length_83848_cov_52.5765_ID_93-processed-gene-0.32&CDS=1-1731, snap_masked-NODE_79_length_8796_cov_44.7945_ID_157-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_79_length_8796_cov_44.7945_ID_157-processed-gene-0.0&CDS=1-1731
6	OG0000006	YDR144C, YLR120C, YLR121C	maker-NODE_40_length_109818_cov_39.8543_ID_79-snap-gene-0.87-mRNA-1_1&gene=maker-NODE_40_length_109818_cov_39.8543_ID_79-snap-gene-0.87&CDS=1-1614, snap_masked-NODE_16_length_388715_cov_37.2944_ID_31-processed-gene-2.241-mRNA-1_1&gene=snap_masked-NODE_16_length_388715_cov_37.2944_ID_31-processed-gene-2.241&CDS=1-1545, snap_masked-NODE_23_length_247428_cov_39.5709_ID_45-processed-gene-1.18-mRNA-1_1&gene=snap_masked-NODE_23_length_247428_cov_39.5709_ID_45-processed-gene-1.18&CDS=1-1647, snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-7.12-mRNA-1_1&gene=snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-7.12&CDS=1-1785, snap_masked-NODE_40_length_109818_cov_39.8543_ID_79-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_40_length_109818_cov_39.8543_ID_79-processed-gene-0.6&CDS=1-1749, snap_masked-NODE_41_length_104788_cov_39.3601_ID_81-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_41_length_104788_cov_39.3601_ID_81-processed-gene-0.25&CDS=1-1725, snap_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_43_length_103192_cov_41.1572_ID_85-processed-gene-0.2&CDS=1-1803
7	OG0000007	YKL220C, YNR060W, YOR381W	maker-NODE_17_length_381870_cov_41.7708_ID_33-snap-gene-1.43-mRNA-1_1&gene=maker-NODE_17_length_381870_cov_41.7708_ID_33-snap-gene-1.43&CDS=1-4140, maker-NODE_2_length_923280_cov_37.2315_ID_3-snap-gene-0.40-mRNA-1_1&gene=maker-NODE_2_length_923280_cov_37.2315_ID_3-snap-gene-0.40&CDS=1-4044, snap_masked-NODE_12_length_547646_cov_37.6145_ID_23-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_12_length_547646_cov_37.6145_ID_23-processed-gene-0.27&CDS=1-2133, snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-2.82-mRNA-1_1&gene=snap_masked-NODE_2_length_923280_cov_37.2315_ID_3-processed-gene-2.82&CDS=1-2106, snap_masked-NODE_40_length_109818_cov_39.8543_ID_79-processed-gene-0.32-mRNA-1_1&gene=snap_masked-NODE_40_length_109818_cov_39.8543_ID_79-processed-gene-0.32&CDS=1-2100, snap_masked-NODE_40_length_109818_cov_39.8543_ID_79-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_40_length_109818_cov_39.8543_ID_79-processed-gene-0.34&CDS=1-2085, snap_masked-NODE_7_length_719369_cov_38.9049_ID_13-processed-gene-1.109-mRNA-1_1&gene=snap_masked-NODE_7_length_719369_cov_38.9049_ID_13-processed-gene-1.109&CDS=1-2082
8	OG0000008	YKR039W	maker-NODE_12_length_547646_cov_37.6145_ID_23-augustus-gene-3.79-mRNA-1_1&gene=maker-NODE_12_length_547646_cov_37.6145_ID_23-augustus-gene-3.79&CDS=1-1734, maker-NODE_12_length_547646_cov_37.6145_ID_23-snap-gene-1.93-mRNA-1_1&gene=maker-NODE_12_length_547646_cov_37.6145_ID_23-snap-gene-1.93&CDS=1-1851, maker-NODE_16_length_388715_cov_37.2944_ID_31-augustus-gene-2.254-mRNA-1_1&gene=maker-NODE_16_length_388715_cov_37.2944_ID_31-augustus-gene-2.254&CDS=1-1737, maker-NODE_17_length_381870_cov_41.7708_ID_33-snap-gene-2.135-mRNA-1_1&gene=maker-NODE_17_length_381870_cov_41.7708_ID_33-snap-gene-2.135&CDS=1-1740, maker-NODE_33_length_169085_cov_36.4495_ID_65-augustus-gene-0.140-mRNA-1_1&gene=maker-NODE_33_length_169085_cov_36.4495_ID_65-augustus-gene-0.140&CDS=1-1788, snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-3.112-mRNA-1_1&gene=snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-3.112&CDS=1-1737, snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.156-mRNA-1_1&gene=snap_masked-NODE_11_length_553976_cov_35.7072_ID_21-processed-gene-4.156&CDS=1-1737, snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.19-mRNA-1_1&gene=snap_masked-NODE_17_length_381870_cov_41.7708_ID_33-processed-gene-2.19&CDS=1-1758, snap_masked-NODE_30_length_181898_cov_34.4888_ID_59-processed-gene-0.204-mRNA-1_1&gene=snap_masked-NODE_30_length_181898_cov_34.4888_ID_59-processed-gene-0.204&CDS=1-1788
9	OG0000009	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_18_length_380975_cov_38.0398_ID_35-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_18_length_380975_cov_38.0398_ID_35-processed-gene-0.88&CDS=1-1038, snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-3.60-mRNA-1_1&gene=snap_masked-NODE_13_length_488124_cov_36.1311_ID_25-processed-gene-3.60&CDS=1-1047, snap_masked-NODE_18_length_380975_cov_38.0398_ID_35-processed-gene-0.49-mRNA-1_1&gene=snap_masked-NODE_18_length_380975_cov_38.0398_ID_35-processed-gene-0.49&CDS=1-1044, snap_masked-NODE_18_length_380975_cov_38.0398_ID_35-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_18_length_380975_cov_38.0398_ID_35-processed-gene-0.63&CDS=1-1044, snap_masked-NODE_20_length_277557_cov_41.3022_ID_39-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_20_length_277557_cov_41.3022_ID_39-processed-gene-0.10&CDS=1-1077
