	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035297_Priceomyces_castillae
0	OG0000000	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.146-mRNA-1_1&gene=genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.146&CDS=1-1677
1	OG0000001	YKR064W	augustus_masked-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-5.113-mRNA-1_1&gene=augustus_masked-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-5.113&CDS=1-2706, augustus_masked-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.77&CDS=1-2502, genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-0.84&CDS=1-2655, genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-4.101-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-4.101&CDS=1-2964, genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.142-mRNA-1_1&gene=genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.142&CDS=1-2394, genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.80&CDS=1-2571, genemark-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.19&CDS=1-2337, genemark-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.23&CDS=1-2100, genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-4.100-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-4.100&CDS=1-2229, snap_masked-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.21&CDS=1-6399, snap_masked-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.11&CDS=1-2901, snap_masked-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.12&CDS=1-2529
2	OG0000002	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.88-mRNA-1_1&gene=genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.88&CDS=1-1743, genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.93-mRNA-1_1&gene=genemark-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.93&CDS=1-1668, genemark-NODE_26_length_135252_cov_12.1826_ID_9264-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_26_length_135252_cov_12.1826_ID_9264-processed-gene-0.93&CDS=1-1710, genemark-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-0.14&CDS=1-1770, maker-NODE_6_length_471149_cov_11.2545_ID_7078-snap-gene-3.11-mRNA-1_1&gene=maker-NODE_6_length_471149_cov_11.2545_ID_7078-snap-gene-3.11&CDS=1-3501
3	OG0000003	YJR061W, YKL201C	augustus_masked-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-1.133&CDS=1-2337, genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-0.85&CDS=1-2265, genemark-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.120-mRNA-1_1&gene=genemark-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.120&CDS=1-2376, genemark-NODE_24_length_143231_cov_11.6215_ID_5295-processed-gene-0.108-mRNA-1_1&gene=genemark-NODE_24_length_143231_cov_11.6215_ID_5295-processed-gene-0.108&CDS=1-1809, genemark-NODE_35_length_87916_cov_10.329_ID_5878-processed-gene-0.48-mRNA-1_1&gene=genemark-NODE_35_length_87916_cov_10.329_ID_5878-processed-gene-0.48&CDS=1-2226, genemark-NODE_48_length_35041_cov_19.1063_ID_6554-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_48_length_35041_cov_19.1063_ID_6554-processed-gene-0.14&CDS=1-2505, genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.272-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.272&CDS=1-2421, maker-NODE_48_length_35041_cov_19.1063_ID_6554-augustus-gene-0.42-mRNA-1_1&gene=maker-NODE_48_length_35041_cov_19.1063_ID_6554-augustus-gene-0.42&CDS=1-2445
4	OG0000004	YDL056W, YMR165C, YPL183C	augustus_masked-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-3.4-mRNA-1_1&gene=augustus_masked-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-3.4&CDS=1-1731, augustus_masked-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-0.53&CDS=1-5127, genemark-NODE_34_length_91077_cov_10.4631_ID_4292-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_34_length_91077_cov_10.4631_ID_4292-processed-gene-0.10&CDS=1-1875, genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-2.171-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-2.171&CDS=1-2766, maker-NODE_13_length_330562_cov_9.24065_ID_5779-snap-gene-0.133-mRNA-1_1&gene=maker-NODE_13_length_330562_cov_9.24065_ID_5779-snap-gene-0.133&CDS=1-4884, maker-NODE_8_length_376714_cov_9.89329_ID_6769-augustus-gene-2.267-mRNA-1_1&gene=maker-NODE_8_length_376714_cov_9.89329_ID_6769-augustus-gene-2.267&CDS=1-4845
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_40_length_64572_cov_9.57306_ID_6688-processed-gene-0.59&CDS=1-5997, genemark-NODE_18_length_211815_cov_9.6603_ID_3611-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_18_length_211815_cov_9.6603_ID_3611-processed-gene-0.62&CDS=1-2277, genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.85-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-1.85&CDS=1-3369, genemark-NODE_9_length_371814_cov_10.5524_ID_6037-processed-gene-1.101-mRNA-1_1&gene=genemark-NODE_9_length_371814_cov_10.5524_ID_6037-processed-gene-1.101&CDS=1-2688
6	OG0000006	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_56_length_12118_cov_9.42319_ID_11467-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_56_length_12118_cov_9.42319_ID_11467-processed-gene-0.12&CDS=1-2274, genemark-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.67&CDS=1-2193, genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-3.83-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-3.83&CDS=1-2112
7	OG0000007	YBR025C, YGL257C, YNR059W	augustus_masked-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_21_length_185578_cov_10.2295_ID_4326-processed-gene-0.30&CDS=1-3288, augustus_masked-NODE_28_length_126297_cov_10.052_ID_6990-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_28_length_126297_cov_10.052_ID_6990-processed-gene-0.80&CDS=1-2247, augustus_masked-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-1.111&CDS=1-2157, genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.179-mRNA-1_1&gene=genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.179&CDS=1-2358
8	OG0000008	YDR541C, YOL151W	augustus_masked-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.50-mRNA-1_1&gene=augustus_masked-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-3.50&CDS=1-1005, genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-0.88&CDS=1-1020, genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.132-mRNA-1_1&gene=genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.132&CDS=1-1005, genemark-NODE_24_length_143231_cov_11.6215_ID_5295-processed-gene-0.109-mRNA-1_1&gene=genemark-NODE_24_length_143231_cov_11.6215_ID_5295-processed-gene-0.109&CDS=1-1023, genemark-NODE_26_length_135252_cov_12.1826_ID_9264-processed-gene-0.118-mRNA-1_1&gene=genemark-NODE_26_length_135252_cov_12.1826_ID_9264-processed-gene-0.118&CDS=1-1014
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-2.110-mRNA-1_1&gene=genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-2.110&CDS=1-1386
