	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034875_Tetrapisispora_fleetii
0	OG0000000	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	augustus_masked-NODE_22_length_176650_cov_48.9471_ID_43-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_22_length_176650_cov_48.9471_ID_43-processed-gene-0.80&CDS=1-651, genemark-NODE_88_length_2726_cov_80.311_ID_175-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_88_length_2726_cov_80.311_ID_175-processed-gene-0.5&CDS=1-357
1	OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-1.156&CDS=1-1683, augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-3.105&CDS=1-1926, augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-6.67-mRNA-1_1&gene=augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-6.67&CDS=1-1680
2	OG0000002	YDL229W, YER103W, YJL034W, YNL209W	augustus_masked-NODE_11_length_391636_cov_48.2545_ID_21-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_11_length_391636_cov_48.2545_ID_21-processed-gene-0.13&CDS=1-1839, augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-0.86&CDS=1-2046, augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-9.75-mRNA-1_1&gene=augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-9.75&CDS=1-1839, augustus_masked-NODE_21_length_182794_cov_46.0854_ID_41-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-NODE_21_length_182794_cov_46.0854_ID_41-processed-gene-0.218&CDS=1-1923, maker-NODE_8_length_485001_cov_46.7777_ID_15-augustus-gene-3.84-mRNA-1_1&gene=maker-NODE_8_length_485001_cov_46.7777_ID_15-augustus-gene-3.84&CDS=1-2733
3	OG0000003	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-NODE_15_length_366249_cov_47.0443_ID_29-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_15_length_366249_cov_47.0443_ID_29-processed-gene-0.83&CDS=1-3141, snap_masked-NODE_90_length_2652_cov_74.0279_ID_179-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_90_length_2652_cov_74.0279_ID_179-processed-gene-0.0&CDS=1-1167
4	OG0000004	YBR012C	augustus_masked-NODE_41_length_11296_cov_60.4989_ID_81-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_41_length_11296_cov_60.4989_ID_81-processed-gene-0.14&CDS=1-690, augustus_masked-NODE_41_length_11296_cov_60.4989_ID_81-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_41_length_11296_cov_60.4989_ID_81-processed-gene-0.17&CDS=1-867, snap_masked-NODE_175_length_1053_cov_88.8941_ID_349-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_175_length_1053_cov_88.8941_ID_349-processed-gene-0.0&CDS=1-273, snap_masked-NODE_41_length_11296_cov_60.4989_ID_81-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_41_length_11296_cov_60.4989_ID_81-processed-gene-0.5&CDS=1-900, snap_masked-NODE_53_length_7533_cov_65.1805_ID_105-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_53_length_7533_cov_65.1805_ID_105-processed-gene-0.6&CDS=1-924, snap_masked-NODE_56_length_6492_cov_60.3893_ID_111-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_56_length_6492_cov_60.3893_ID_111-processed-gene-0.3&CDS=1-879, snap_masked-NODE_56_length_6492_cov_60.3893_ID_111-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_56_length_6492_cov_60.3893_ID_111-processed-gene-0.5&CDS=1-498
5	OG0000005	YER011W, YIL011W, YOR009W, YOR010C	augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.100&CDS=1-669, augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-0.39&CDS=1-1164, augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-0.61&CDS=1-678, augustus_masked-NODE_88_length_2726_cov_80.311_ID_175-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_88_length_2726_cov_80.311_ID_175-processed-gene-0.0&CDS=1-744
6	OG0000006	YGL262W	augustus_masked-NODE_147_length_1313_cov_157.376_ID_293-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_147_length_1313_cov_157.376_ID_293-processed-gene-0.0&CDS=1-303, augustus_masked-NODE_156_length_1185_cov_164.005_ID_311-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_156_length_1185_cov_164.005_ID_311-processed-gene-0.0&CDS=1-222, augustus_masked-NODE_200_length_888_cov_139.031_ID_399-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_200_length_888_cov_139.031_ID_399-processed-gene-0.0&CDS=1-228, genemark-NODE_108_length_1973_cov_150.148_ID_215-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_108_length_1973_cov_150.148_ID_215-processed-gene-0.2&CDS=1-543, snap_masked-NODE_147_length_1313_cov_157.376_ID_293-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_147_length_1313_cov_157.376_ID_293-processed-gene-0.1&CDS=1-318, snap_masked-NODE_200_length_888_cov_139.031_ID_399-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_200_length_888_cov_139.031_ID_399-processed-gene-0.4&CDS=1-318, snap_masked-NODE_48_length_8548_cov_73.9801_ID_95-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_48_length_8548_cov_73.9801_ID_95-processed-gene-0.8&CDS=1-996
7	OG0000007	YBR068C, YCL025C, YDR046C	augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-1.56&CDS=1-1830, augustus_masked-NODE_15_length_366249_cov_47.0443_ID_29-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-NODE_15_length_366249_cov_47.0443_ID_29-processed-gene-2.30&CDS=1-1917, augustus_masked-NODE_27_length_82683_cov_49.5941_ID_53-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_27_length_82683_cov_49.5941_ID_53-processed-gene-0.112&CDS=1-1947, augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-0.5&CDS=1-1842
8	OG0000008	YER133W, YML016C, YPL179W	augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-0.100&CDS=1-1722, augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-0.63&CDS=1-936, augustus_masked-NODE_5_length_608902_cov_45.7953_ID_9-processed-gene-1.48-mRNA-1_1&gene=augustus_masked-NODE_5_length_608902_cov_45.7953_ID_9-processed-gene-1.48&CDS=1-2130, augustus_masked-NODE_8_length_485001_cov_46.7777_ID_15-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_8_length_485001_cov_46.7777_ID_15-processed-gene-0.97&CDS=1-2067
9	OG0000009	YJL158C, YKL164C	augustus_masked-NODE_14_length_380648_cov_45.9046_ID_27-processed-gene-2.130-mRNA-1_1&gene=augustus_masked-NODE_14_length_380648_cov_45.9046_ID_27-processed-gene-2.130&CDS=1-1053, augustus_masked-NODE_18_length_251136_cov_44.4666_ID_35-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_18_length_251136_cov_44.4666_ID_35-processed-gene-1.37&CDS=1-1113, augustus_masked-NODE_283_length_584_cov_89.9137_ID_565-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_283_length_584_cov_89.9137_ID_565-processed-gene-0.0&CDS=1-579, augustus_masked-NODE_94_length_2565_cov_54.283_ID_187-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_94_length_2565_cov_54.283_ID_187-processed-gene-0.5&CDS=1-489, snap_masked-NODE_18_length_251136_cov_44.4666_ID_35-processed-gene-1.70-mRNA-1_1&gene=snap_masked-NODE_18_length_251136_cov_44.4666_ID_35-processed-gene-1.70&CDS=1-885
