	OrthologID	Millerozyma_acaciae	Saccharomyces_cerevisiae
0	OG0000000	-processed-gene-0.10-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-0.10&CDS=1-1656, -processed-gene-0.50-mRNA-1_1&gene=augustus_masked-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-0.50&CDS=1-1659, -processed-gene-0.72-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-0.72&CDS=1-1761, -processed-gene-0.74-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-0.74&CDS=1-1791, -processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-0.9&CDS=1-1752, -processed-gene-13.102-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-13.102&CDS=1-1758, -processed-gene-13.18-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-13.18&CDS=1-1743, -processed-gene-16.118-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.118&CDS=1-7479, -processed-gene-6.158-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-6.158&CDS=1-1719, -processed-gene-7.76-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-7.76&CDS=1-1731	YJL109C, YKR039W, YLL061W, YOR348C, YPL274W
1	OG0000001	-processed-gene-0.4-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.4&CDS=1-1647, -processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-0.9&CDS=1-1752, -processed-gene-18.73-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-18.73&CDS=1-1374, -processed-gene-2.114-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-2.114&CDS=1-1374, -processed-gene-2.70-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-2.70&CDS=1-6552, -processed-gene-5.55-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-5.55&CDS=1-2196, -processed-gene-6.62-mRNA-1_1&gene=snap_masked-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-6.62&CDS=1-1734	YBR118W, YDR242W, YGL257C, YKR084C, YNR059W, YPR080W
2	OG0000002	-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-0.52&CDS=1-2463, -processed-gene-0.80-mRNA-1_1&gene=augustus_masked-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-0.80&CDS=1-2709, -processed-gene-0.82-mRNA-1_1&gene=snap_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.82&CDS=1-2631, -processed-gene-11.139-mRNA-1_1&gene=augustus_masked-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-11.139&CDS=1-4047, -processed-gene-16.50-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.50&CDS=1-2247, -snap-gene-11.10-mRNA-1_1&gene=maker-gi|1002316186|dbj|BCKO01000003.1|-snap-gene-11.10&CDS=1-5805, -snap-gene-8.39-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-snap-gene-8.39&CDS=1-6660	YBR147W, YOL092W
3	OG0000003	-processed-gene-1.167-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.167&CDS=1-2688, -processed-gene-4.30-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-4.30&CDS=1-3384, -processed-gene-6.149-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-6.149&CDS=1-3546, -processed-gene-6.41-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-6.41&CDS=1-2748	YER013W, YGL120C, YKR086W, YNR011C
4	OG0000004	-augustus-gene-6.149-mRNA-1_1&gene=maker-gi|1002316187|dbj|BCKO01000002.1|-augustus-gene-6.149&CDS=1-3597, -processed-gene-1.197-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.197&CDS=1-1476, -processed-gene-10.54-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-10.54&CDS=1-4764, -processed-gene-13.257-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-13.257&CDS=1-1536, -processed-gene-2.90-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-2.90&CDS=1-1557	YBR006W, YHR155W, YNL257C
5	OG0000005	-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-1.33&CDS=1-4410, -processed-gene-13.105-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-13.105&CDS=1-2271, -processed-gene-13.106-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-13.106&CDS=1-2277	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
6	OG0000006	-augustus-gene-12.52-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-augustus-gene-12.52&CDS=1-2532, -processed-gene-2.150-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-2.150&CDS=1-2451, -processed-gene-6.72-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.72&CDS=1-1917, -snap-gene-18.47-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-snap-gene-18.47&CDS=1-4023	YMR006C, YMR008C, YNL012W, YOL011W
7	OG0000007	-processed-gene-0.11-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-0.11&CDS=1-1011, -processed-gene-11.44-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-11.44&CDS=1-1008, -processed-gene-13.252-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-13.252&CDS=1-1011, -processed-gene-2.96-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-2.96&CDS=1-1023	YDR541C, YGL039W, YGL157W, YOL151W
8	OG0000008	-processed-gene-10.34-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-10.34&CDS=1-1839, -processed-gene-14.94-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-14.94&CDS=1-4458, -processed-gene-5.115-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-5.115&CDS=1-1944, -processed-gene-5.72-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-5.72&CDS=1-1953	YDL229W, YKL073W, YLL024C, YNL209W
9	OG0000009	-processed-gene-0.16-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.16&CDS=1-762, -processed-gene-0.88-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-0.88&CDS=1-789, -processed-gene-1.134-mRNA-1_1&gene=augustus_masked-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.134&CDS=1-5178, -processed-gene-8.249-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.249&CDS=1-780, -processed-gene-9.63-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-9.63&CDS=1-834, -snap-gene-7.53-mRNA-1_1&gene=maker-gi|1002316186|dbj|BCKO01000003.1|-snap-gene-7.53&CDS=1-861	YLR425W
