	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035659_Saturnispora_dispora
0	OG0000000	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A	maker-NODE_165_length_1160_cov_893.186_ID_329-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_165_length_1160_cov_893.186_ID_329-snap-gene-0.0&CDS=1-327, maker-NODE_182_length_979_cov_1043.11_ID_363-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_182_length_979_cov_1043.11_ID_363-snap-gene-0.1&CDS=1-327, maker-NODE_183_length_972_cov_1085.7_ID_365-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_183_length_972_cov_1085.7_ID_365-snap-gene-0.0&CDS=1-327, maker-NODE_189_length_952_cov_1022.43_ID_377-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_189_length_952_cov_1022.43_ID_377-snap-gene-0.1&CDS=1-327, maker-NODE_214_length_822_cov_1136.44_ID_427-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_214_length_822_cov_1136.44_ID_427-snap-gene-0.0&CDS=1-327, maker-NODE_218_length_801_cov_1029.02_ID_435-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_218_length_801_cov_1029.02_ID_435-snap-gene-0.1&CDS=1-327, maker-NODE_228_length_774_cov_1205.88_ID_455-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_228_length_774_cov_1205.88_ID_455-snap-gene-0.0&CDS=1-327, maker-NODE_250_length_661_cov_1281.29_ID_499-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_250_length_661_cov_1281.29_ID_499-snap-gene-0.0&CDS=1-327
1	OG0000001	YDR011W, YNR070W, YOR153W, YPL058C	augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-0.2&CDS=1-4458, augustus_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.252-mRNA-1_1&gene=augustus_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.252&CDS=1-4509, augustus_masked-NODE_51_length_55298_cov_15.9336_ID_101-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_51_length_55298_cov_15.9336_ID_101-processed-gene-0.28&CDS=1-4515, augustus_masked-NODE_56_length_35988_cov_20.6789_ID_111-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_56_length_35988_cov_20.6789_ID_111-processed-gene-0.15&CDS=1-4473, augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-1.35&CDS=1-4488, maker-NODE_15_length_230213_cov_14.9326_ID_29-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_15_length_230213_cov_14.9326_ID_29-augustus-gene-0.1&CDS=1-4737, maker-NODE_24_length_170623_cov_13.7203_ID_47-augustus-gene-0.181-mRNA-1_1&gene=maker-NODE_24_length_170623_cov_13.7203_ID_47-augustus-gene-0.181&CDS=1-6222
2	OG0000002	YJL003W, YKR064W, YLR256W	augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-0.44&CDS=1-2934, augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_15_length_230213_cov_14.9326_ID_29-processed-gene-0.45&CDS=1-2724, augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-1.130&CDS=1-3027, augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.124-mRNA-1_1&gene=augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.124&CDS=1-3048, augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.94-mRNA-1_1&gene=augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-3.94&CDS=1-2457, augustus_masked-NODE_39_length_79204_cov_17.3997_ID_77-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_39_length_79204_cov_17.3997_ID_77-processed-gene-0.67&CDS=1-2829, augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.129&CDS=1-1290, maker-NODE_24_length_170623_cov_13.7203_ID_47-augustus-gene-0.183-mRNA-1_1&gene=maker-NODE_24_length_170623_cov_13.7203_ID_47-augustus-gene-0.183&CDS=1-4629
3	OG0000003	YCL075W	augustus_masked-NODE_107_length_2730_cov_20.325_ID_213-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_107_length_2730_cov_20.325_ID_213-processed-gene-0.0&CDS=1-327, augustus_masked-NODE_131_length_1657_cov_115.597_ID_261-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_131_length_1657_cov_115.597_ID_261-processed-gene-0.1&CDS=1-873, augustus_masked-NODE_175_length_1061_cov_193.874_ID_349-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_175_length_1061_cov_193.874_ID_349-processed-gene-0.2&CDS=1-1056, augustus_masked-NODE_225_length_782_cov_183.292_ID_449-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_225_length_782_cov_183.292_ID_449-processed-gene-0.1&CDS=1-687, augustus_masked-NODE_285_length_510_cov_55.4139_ID_569-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_285_length_510_cov_55.4139_ID_569-processed-gene-0.1&CDS=1-420, augustus_masked-NODE_293_length_494_cov_186.139_ID_585-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_293_length_494_cov_186.139_ID_585-processed-gene-0.1&CDS=1-489, augustus_masked-NODE_342_length_327_cov_58.8738_ID_683-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_342_length_327_cov_58.8738_ID_683-processed-gene-0.0&CDS=1-309, augustus_masked-NODE_353_length_296_cov_112.263_ID_705-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_353_length_296_cov_112.263_ID_705-processed-gene-0.0&CDS=1-279, augustus_masked-NODE_87_length_5376_cov_20.2443_ID_173-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_87_length_5376_cov_20.2443_ID_173-processed-gene-0.2&CDS=1-1227
4	OG0000004	Q0045, Q0050, Q0055, Q0060, Q0065, Q0070	maker-NODE_54_length_45836_cov_842.847_ID_107-snap-gene-0.17-mRNA-1_1&gene=maker-NODE_54_length_45836_cov_842.847_ID_107-snap-gene-0.17&CDS=1-375, maker-NODE_54_length_45836_cov_842.847_ID_107-snap-gene-0.22-mRNA-1_1&gene=maker-NODE_54_length_45836_cov_842.847_ID_107-snap-gene-0.22&CDS=1-963, maker-NODE_54_length_45836_cov_842.847_ID_107-snap-gene-0.25-mRNA-1_1&gene=maker-NODE_54_length_45836_cov_842.847_ID_107-snap-gene-0.25&CDS=1-333, snap_masked-NODE_54_length_45836_cov_842.847_ID_107-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_54_length_45836_cov_842.847_ID_107-processed-gene-0.0&CDS=1-585
5	OG0000005	YCR105W, YML087C, YML125C, YMR318C	augustus_masked-NODE_16_length_229556_cov_13.3766_ID_31-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_16_length_229556_cov_13.3766_ID_31-processed-gene-0.5&CDS=1-1086, augustus_masked-NODE_35_length_97715_cov_13.3424_ID_69-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-NODE_35_length_97715_cov_13.3424_ID_69-processed-gene-0.159&CDS=1-1086, augustus_masked-NODE_39_length_79204_cov_17.3997_ID_77-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_39_length_79204_cov_17.3997_ID_77-processed-gene-0.54&CDS=1-1083, maker-NODE_77_length_10292_cov_12.6511_ID_153-augustus-gene-0.6-mRNA-1_1&gene=maker-NODE_77_length_10292_cov_12.6511_ID_153-augustus-gene-0.6&CDS=1-1869
6	OG0000006	YDL229W, YJL034W, YLL024C, YNL209W	augustus_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-0.66&CDS=1-1923, augustus_masked-NODE_18_length_212264_cov_12.3928_ID_35-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_18_length_212264_cov_12.3928_ID_35-processed-gene-1.110&CDS=1-1938, genemark-NODE_38_length_80193_cov_14.4369_ID_75-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_38_length_80193_cov_14.4369_ID_75-processed-gene-0.77&CDS=1-2004, maker-NODE_26_length_159260_cov_14.2774_ID_51-augustus-gene-0.163-mRNA-1_1&gene=maker-NODE_26_length_159260_cov_14.2774_ID_51-augustus-gene-0.163&CDS=1-3126
7	OG0000007		augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-0.0&CDS=1-2091, augustus_masked-NODE_67_length_21197_cov_27.612_ID_133-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_67_length_21197_cov_27.612_ID_133-processed-gene-0.6&CDS=1-2067, augustus_masked-NODE_80_length_6910_cov_26.4394_ID_159-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_80_length_6910_cov_26.4394_ID_159-processed-gene-0.4&CDS=1-2121, augustus_masked-NODE_86_length_5590_cov_24.7696_ID_171-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_86_length_5590_cov_24.7696_ID_171-processed-gene-0.3&CDS=1-2079, snap_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-0.42&CDS=1-2400, snap_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-1.44-mRNA-1_1&gene=snap_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-1.44&CDS=1-1797, snap_masked-NODE_78_length_9096_cov_24.6033_ID_155-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_78_length_9096_cov_24.6033_ID_155-processed-gene-0.1&CDS=1-2691, snap_masked-NODE_83_length_6067_cov_46.6776_ID_165-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_83_length_6067_cov_46.6776_ID_165-processed-gene-0.0&CDS=1-1191
8	OG0000008	YCL074W	augustus_masked-NODE_201_length_888_cov_196.709_ID_401-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_201_length_888_cov_196.709_ID_401-processed-gene-0.0&CDS=1-570, snap_masked-NODE_102_length_3458_cov_156.22_ID_203-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_102_length_3458_cov_156.22_ID_203-processed-gene-0.1&CDS=1-405, snap_masked-NODE_29_length_133825_cov_22.1428_ID_57-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_29_length_133825_cov_22.1428_ID_57-processed-gene-0.80&CDS=1-219, snap_masked-NODE_74_length_13209_cov_31.903_ID_147-processed-gene-0.6-mRNA-1_1&gene=snap_masked-NODE_74_length_13209_cov_31.903_ID_147-processed-gene-0.6&CDS=1-291, snap_masked-NODE_76_length_11377_cov_19.4565_ID_151-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_76_length_11377_cov_19.4565_ID_151-processed-gene-0.2&CDS=1-462, snap_masked-NODE_93_length_4514_cov_15.5955_ID_185-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_93_length_4514_cov_15.5955_ID_185-processed-gene-0.5&CDS=1-228
9	OG0000009	YDL124W, YLR248W	augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.109&CDS=1-942, augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.158&CDS=1-915, augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.115&CDS=1-2706, augustus_masked-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-1.141&CDS=1-936, maker-NODE_13_length_240495_cov_14.5375_ID_25-augustus-gene-1.1-mRNA-1_1&gene=maker-NODE_13_length_240495_cov_14.5375_ID_25-augustus-gene-1.1&CDS=1-2463
