	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034660_Diddensiella_caesifluorescens
0	OG0000000	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-0.11&CDS=1-1632, maker-NODE_2_length_1415131_cov_38.5823_ID_3-augustus-gene-9.61-mRNA-1_1&gene=maker-NODE_2_length_1415131_cov_38.5823_ID_3-augustus-gene-9.61&CDS=1-2373, snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-2.21&CDS=1-1665, snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.214-mRNA-1_1&gene=snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.214&CDS=1-1644, snap_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.145&CDS=1-1584, snap_masked-NODE_21_length_140861_cov_39.8063_ID_41-processed-gene-0.156-mRNA-1_1&gene=snap_masked-NODE_21_length_140861_cov_39.8063_ID_41-processed-gene-0.156&CDS=1-1653, snap_masked-NODE_23_length_65531_cov_41.5192_ID_45-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_23_length_65531_cov_41.5192_ID_45-processed-gene-0.52&CDS=1-1563, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.54&CDS=1-1623, snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-3.109-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-3.109&CDS=1-1608, snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-2.42-mRNA-1_1&gene=snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-2.42&CDS=1-1644, snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-3.84-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-3.84&CDS=1-1629, snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-4.118-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-4.118&CDS=1-1623, snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-4.74-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-4.74&CDS=1-1641, snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.153-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.153&CDS=1-1629
1	OG0000001	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.255-mRNA-1_1&gene=snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.255&CDS=1-1713
2	OG0000002	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	snap_masked-NODE_19_length_153970_cov_37.8582_ID_37-processed-gene-0.162-mRNA-1_1&gene=snap_masked-NODE_19_length_153970_cov_37.8582_ID_37-processed-gene-0.162&CDS=1-1680, snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-0.14&CDS=1-1536
3	OG0000003	YJR102C, YPR022C	augustus_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-4.50-mRNA-1_1&gene=augustus_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-4.50&CDS=1-3396, maker-NODE_16_length_236730_cov_37.7939_ID_31-snap-gene-1.10-mRNA-1_1&gene=maker-NODE_16_length_236730_cov_37.7939_ID_31-snap-gene-1.10&CDS=1-3117, maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-13.214-mRNA-1_1&gene=maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-13.214&CDS=1-2427, maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-0.52-mRNA-1_1&gene=maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-0.52&CDS=1-2421, snap_masked-NODE_21_length_140861_cov_39.8063_ID_41-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_21_length_140861_cov_39.8063_ID_41-processed-gene-0.122&CDS=1-2385, snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.185-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.185&CDS=1-2409
4	OG0000004	YGL156W	genemark-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-0.20-mRNA-1_1&gene=genemark-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-0.20&CDS=1-3342, maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-0.50-mRNA-1_1&gene=maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-0.50&CDS=1-3234, maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-5.10-mRNA-1_1&gene=maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-5.10&CDS=1-3279, snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-18.116-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-18.116&CDS=1-3351, snap_masked-NODE_22_length_74237_cov_38.7338_ID_43-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_22_length_74237_cov_38.7338_ID_43-processed-gene-0.36&CDS=1-3165, snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.219-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.219&CDS=1-3153
5	OG0000005	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NODE_38_length_5482_cov_52.6773_ID_75-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_38_length_5482_cov_52.6773_ID_75-processed-gene-0.1&CDS=1-1023, augustus_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-0.53&CDS=1-900, augustus_masked-NODE_78_length_1754_cov_85.0816_ID_155-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_78_length_1754_cov_85.0816_ID_155-processed-gene-0.2&CDS=1-120
6	OG0000006	YPR194C	genemark-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-1.146-mRNA-1_1&gene=genemark-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-1.146&CDS=1-2502, snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.131-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.131&CDS=1-2460, snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.199-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.199&CDS=1-2766, snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.14&CDS=1-2577, snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-3.164-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-3.164&CDS=1-2706, snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.184-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.184&CDS=1-2589
7	OG0000007		augustus_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-9.21-mRNA-1_1&gene=augustus_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-9.21&CDS=1-2052, snap_masked-NODE_13_length_269693_cov_38.1254_ID_25-processed-gene-1.245-mRNA-1_1&gene=snap_masked-NODE_13_length_269693_cov_38.1254_ID_25-processed-gene-1.245&CDS=1-2433, snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-12.27-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-12.27&CDS=1-2613, snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.133-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.133&CDS=1-1932, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.68-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.68&CDS=1-1974, snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-0.111&CDS=1-2016, snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-0.66&CDS=1-2559
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.55&CDS=1-1434
9	OG0000009	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_23_length_65531_cov_41.5192_ID_45-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_23_length_65531_cov_41.5192_ID_45-processed-gene-0.16&CDS=1-2370, augustus_masked-NODE_23_length_65531_cov_41.5192_ID_45-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_23_length_65531_cov_41.5192_ID_45-processed-gene-0.28&CDS=1-3693
