	OrthologID	Clavispora_lusitaniae	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-NW_003101574.1-processed-gene-2.55-mRNA-1_1&gene=augustus_masked-NW_003101574.1-processed-gene-2.55&CDS=1-828, augustus_masked-NW_003101575.1-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-0.27&CDS=1-1044, augustus_masked-NW_003101578.1-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-2.70&CDS=1-1524, snap_masked-NW_003101571.1-processed-gene-2.64-mRNA-1_1&gene=snap_masked-NW_003101571.1-processed-gene-2.64&CDS=1-219, snap_masked-NW_003101571.1-processed-gene-6.123-mRNA-1_1&gene=snap_masked-NW_003101571.1-processed-gene-6.123&CDS=1-879, snap_masked-NW_003101571.1-processed-gene-6.137-mRNA-1_1&gene=snap_masked-NW_003101571.1-processed-gene-6.137&CDS=1-1473, snap_masked-NW_003101572.1-processed-gene-5.6-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-5.6&CDS=1-2373, snap_masked-NW_003101575.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-0.79&CDS=1-732, snap_masked-NW_003101575.1-processed-gene-3.7-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-3.7&CDS=1-798, snap_masked-NW_003101575.1-processed-gene-4.98-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-4.98&CDS=1-204, snap_masked-NW_003101575.1-processed-gene-4.99-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-4.99&CDS=1-3222, snap_masked-NW_003101576.1-processed-gene-13.106-mRNA-1_1&gene=snap_masked-NW_003101576.1-processed-gene-13.106&CDS=1-705, snap_masked-NW_003101577.1-processed-gene-10.120-mRNA-1_1&gene=snap_masked-NW_003101577.1-processed-gene-10.120&CDS=1-303	YCL074W
1	OG0000001	genemark-NW_003101573.1-processed-gene-6.110-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.110&CDS=1-1704, genemark-NW_003101574.1-processed-gene-0.76-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-0.76&CDS=1-1692, genemark-NW_003101574.1-processed-gene-8.49-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-8.49&CDS=1-1719, genemark-NW_003101575.1-processed-gene-4.14-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.14&CDS=1-1671, genemark-NW_003101578.1-processed-gene-15.62-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.62&CDS=1-1758, genemark-NW_003101578.1-processed-gene-15.78-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-15.78&CDS=1-1668, maker-NW_003101578.1-augustus-gene-7.49-mRNA-1_1&gene=maker-NW_003101578.1-augustus-gene-7.49&CDS=1-2694, snap_masked-NW_003101575.1-processed-gene-16.258-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-16.258&CDS=1-1740	YBR068C, YCL025C, YDR508C, YKR039W
2	OG0000002		YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C
3	OG0000003	augustus_masked-NW_003101576.1-processed-gene-16.99-mRNA-1_1&gene=augustus_masked-NW_003101576.1-processed-gene-16.99&CDS=1-2451, genemark-NW_003101571.1-processed-gene-5.130-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-5.130&CDS=1-1800, genemark-NW_003101573.1-processed-gene-1.82-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.82&CDS=1-2253, genemark-NW_003101575.1-processed-gene-12.73-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-12.73&CDS=1-2109, genemark-NW_003101578.1-processed-gene-20.87-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-20.87&CDS=1-2238, snap_masked-NW_003101572.1-processed-gene-6.72-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-6.72&CDS=1-843	YJR061W, YKL201C
4	OG0000004	genemark-NW_003101573.1-processed-gene-1.86-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.86&CDS=1-3306, genemark-NW_003101573.1-processed-gene-7.140-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.140&CDS=1-3294, genemark-NW_003101576.1-processed-gene-10.71-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-10.71&CDS=1-2271, genemark-NW_003101578.1-processed-gene-14.87-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-14.87&CDS=1-2727	YER013W, YGL120C, YKR086W, YNR011C
5	OG0000005	genemark-NW_003101575.1-processed-gene-5.116-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-5.116&CDS=1-1377	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
6	OG0000006	genemark-NW_003101572.1-processed-gene-6.210-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.210&CDS=1-1809, genemark-NW_003101575.1-processed-gene-12.84-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-12.84&CDS=1-1419, genemark-NW_003101577.1-processed-gene-13.50-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-13.50&CDS=1-1689, genemark-NW_003101577.1-processed-gene-9.76-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-9.76&CDS=1-1440, maker-NW_003101578.1-snap-gene-8.4-mRNA-1_1&gene=maker-NW_003101578.1-snap-gene-8.4&CDS=1-1410	YFL021W, YKR034W
7	OG0000007	genemark-NW_003101574.1-processed-gene-13.112-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.112&CDS=1-1770, genemark-NW_003101577.1-processed-gene-20.62-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-20.62&CDS=1-1692, maker-NW_003101573.1-snap-gene-0.0-mRNA-1_1&gene=maker-NW_003101573.1-snap-gene-0.0&CDS=1-3441	YCL069W, YGR224W, YKR105C, YPR198W
8	OG0000008	augustus_masked-NW_003101575.1-processed-gene-11.38-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-11.38&CDS=1-2061, genemark-NW_003101573.1-processed-gene-5.68-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-5.68&CDS=1-1089, maker-NW_003101575.1-snap-gene-0.0-mRNA-1_1&gene=maker-NW_003101575.1-snap-gene-0.0&CDS=1-2061, snap_masked-NW_003101577.1-processed-gene-19.87-mRNA-1_1&gene=snap_masked-NW_003101577.1-processed-gene-19.87&CDS=1-1029	YCR105W, YMR318C, YPL215W
9	OG0000009	genemark-NW_003101574.1-processed-gene-5.98-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-5.98&CDS=1-2094, genemark-NW_003101576.1-processed-gene-1.80-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-1.80&CDS=1-1908, genemark-NW_003101576.1-processed-gene-9.108-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-9.108&CDS=1-2178, genemark-NW_003101577.1-processed-gene-19.14-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-19.14&CDS=1-2085, genemark-NW_003101578.1-processed-gene-17.73-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-17.73&CDS=1-4068, snap_masked-NW_003101576.1-processed-gene-7.21-mRNA-1_1&gene=snap_masked-NW_003101576.1-processed-gene-7.21&CDS=1-2037	YOR356W
