	OrthologID	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
0	OG0000000	XP_011117240.1, XP_011117547.1, XP_011117639.1, XP_011118398.1, XP_011119454.1, XP_011119857.1, XP_011121949.1, XP_011122910.1, XP_011122929.1, XP_011123181.1, XP_011123754.1, XP_011125581.1, XP_011126152.1, XP_011126403.1, XP_011126425.1, XP_011126633.1, XP_011126681.1, XP_011127037.1, XP_011127811.1, XP_011128338.1	YKL055C
1	OG0000001	XP_011117164.1, XP_011118496.1, XP_011118500.1, XP_011119163.1, XP_011120267.1, XP_011121687.1, XP_011121947.1, XP_011122092.1, XP_011122444.1, XP_011123157.1, XP_011123400.1, XP_011123406.1, XP_011126004.1, XP_011126038.1, XP_011126088.1, XP_011127361.1	YBR293W
2	OG0000002		YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
3	OG0000003	XP_011117978.1, XP_011119176.1, XP_011119189.1, XP_011121829.1, XP_011122642.1, XP_011122759.1, XP_011123089.1, XP_011123115.1, XP_011123946.1, XP_011125738.1, XP_011125958.1, XP_011127397.1, XP_011127428.1	YNL283C, YOL105C, YOR008C
4	OG0000004	XP_011118482.1, XP_011118490.1, XP_011119169.1, XP_011119528.1, XP_011121340.1, XP_011122070.1, XP_011122142.1, XP_011122402.1, XP_011122990.1, XP_011124409.1, XP_011124412.1, XP_011124519.1, XP_011124915.1, XP_011125214.1, XP_011127402.1	YDR402C
5	OG0000005	XP_011117049.1, XP_011117977.1, XP_011118213.1, XP_011118958.1, XP_011119757.1, XP_011120094.1, XP_011120385.1, XP_011120573.1, XP_011120868.1, XP_011123657.1, XP_011124639.1, XP_011124741.1, XP_011125745.1, XP_011126402.1	YGR260W
6	OG0000006	XP_011117905.1, XP_011118467.1, XP_011118968.1, XP_011119511.1, XP_011120656.1, XP_011120976.1, XP_011121296.1, XP_011121379.1, XP_011124491.1, XP_011124555.1, XP_011124703.1, XP_011124711.1, XP_011125968.1, XP_011126685.1	YMR211W
7	OG0000007	XP_011119151.1, XP_011120344.1, XP_011120675.1, XP_011120686.1, XP_011121425.1, XP_011122156.1, XP_011123411.1, XP_011126667.1, XP_011127469.1	YGR138C, YHR048W, YLL028W, YOR273C, YPR156C
8	OG0000008	XP_011118090.1, XP_011121404.1, XP_011122533.1, XP_011124285.1, XP_011125040.1, XP_011125086.1, XP_011126069.1, XP_011126777.1, XP_011127778.1, XP_011128292.1	YOR246C
9	OG0000009	XP_011117141.1, XP_011119220.1, XP_011119642.1, XP_011120900.1, XP_011123756.1, XP_011125177.1, XP_011126682.1	YBR240C, YDL170W
10	OG0000010	XP_011117839.1, XP_011119839.1, XP_011121376.1, XP_011122131.1, XP_011124015.1, XP_011124071.1, XP_011124550.1, XP_011126501.1	YOL152W
11	OG0000011	XP_011117910.1, XP_011118634.1, XP_011123261.1, XP_011124310.1, XP_011127667.1	YBR199W, YIL085C, YNL029C, YOR099W
12	OG0000012	XP_011118501.1, XP_011119566.1, XP_011121397.1, XP_011121620.1, XP_011123924.1, XP_011125996.1, XP_011126042.1	YKR039W, YOR348C
13	OG0000013	XP_011122099.1, XP_011122626.1, XP_011122790.1, XP_011123971.1, XP_011123998.1, XP_011124638.1, XP_011126134.1, XP_011126169.1	YMR280C
14	OG0000014	XP_011124138.1, XP_011125892.1	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
15	OG0000015	XP_011116963.1, XP_011119192.1, XP_011121212.1, XP_011124140.1, XP_011124433.1	YBR298C, YDL247W, YJR160C
16	OG0000016	XP_011118033.1, XP_011121693.1, XP_011123808.1, XP_011124293.1	YER013W, YGL120C, YKR086W, YNR011C
17	OG0000017	XP_011121789.1, XP_011124465.1, XP_011126419.1, XP_011126686.1	YKL222C, YLR266C, YOR162C, YOR172W
18	OG0000018	XP_011116962.1, XP_011119590.1, XP_011124139.1	YBR297W, YFL052W, YGR288W, YPR196W
19	OG0000019	XP_011117776.1, XP_011122098.1, XP_011123843.1, XP_011126311.1, XP_011126411.1, XP_011127527.1	YNR063W
20	OG0000020	XP_011118857.1, XP_011119591.1, XP_011125551.1, XP_011126104.1	YIR035C, YIR036C, YKL071W
21	OG0000021	XP_011119057.1, XP_011119108.1, XP_011119588.1, XP_011123148.1, XP_011123159.1	YDL138W, YDL194W
22	OG0000022	XP_011119070.1, XP_011119130.1, XP_011122658.1	YDR541C, YGL039W, YGL157W, YOL151W
23	OG0000023	XP_011119185.1, XP_011126177.1, XP_011128067.1, XP_011128417.1	YDR144C, YLR120C, YLR121C
24	OG0000024	XP_011119211.1, XP_011128274.1	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W
25	OG0000025	XP_011119614.1, XP_011121953.1, XP_011123185.1, XP_011127653.1	YGR087C, YLR044C, YLR134W
26	OG0000026	XP_011122211.1, XP_011122976.1, XP_011124571.1, XP_011127622.1	YLR449W, YML074C, YNL135C
27	OG0000027	XP_011123450.1, XP_011125943.1, XP_011127216.1, XP_011127710.1, XP_011128245.1	YJL079C, YKR013W
28	OG0000028	XP_011127498.1, XP_011127502.1, XP_011127504.1	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
29	OG0000029	XP_011117190.1, XP_011117560.1, XP_011123117.1, XP_011124400.1, XP_011125234.1, XP_011125235.1	
30	OG0000030	XP_011117299.1, XP_011117721.1, XP_011118508.1, XP_011119912.1, XP_011124561.1	YKL174C
31	OG0000031	XP_011117356.1, XP_011120535.1, XP_011121067.1	YDR524C, YGL181W, YIL044C
32	OG0000032	XP_011117434.1, XP_011120327.1, XP_011121074.1, XP_011121557.1, XP_011122304.1	YGL128C
33	OG0000033	XP_011117679.1, XP_011118483.1, XP_011119920.1, XP_011121341.1, XP_011126433.1	YOR049C
34	OG0000034	XP_011117823.1, XP_011118952.1, XP_011123070.1	YGR121C, YNL142W, YPR138C
35	OG0000035	XP_011118094.1, XP_011119063.1, XP_011119216.1, XP_011119379.1, XP_011125954.1	YGR263C
36	OG0000036	XP_011118649.1, XP_011122859.1, XP_011126935.1, XP_011127223.1, XP_011128398.1	YMR152W
37	OG0000037	XP_011118664.1, XP_011125339.1, XP_011128397.1	YHR107C, YJR076C, YLR314C
38	OG0000038	XP_011118836.1, XP_011124353.1, XP_011127760.1	YGL073W, YHR206W, YOR140W
39	OG0000039	XP_011118970.1, XP_011119690.1, XP_011120242.1, XP_011120565.1	YJR131W, YLR057W
40	OG0000040	XP_011120330.1, XP_011121262.1, XP_011122794.1, XP_011124150.1, XP_011126544.1	YCR023C
41	OG0000041	XP_011120525.1, XP_011120782.1, XP_011121668.1, XP_011122741.1	YDR155C, YLR216C
42	OG0000042	XP_011120737.1, XP_011121132.1, XP_011123705.1, XP_011124695.1	YPL031C, YPR161C
43	OG0000043	XP_011121130.1, XP_011121551.1, XP_011122854.1	YCR065W, YIL131C, YNL068C
44	OG0000044	XP_011121571.1, XP_011126581.1, XP_011126642.1	YGL213C, YNL006W, YOR269W
45	OG0000045	XP_011121793.1, XP_011123118.1, XP_011124124.1, XP_011125689.1, XP_011127696.1	YMR234W
46	OG0000046	XP_011122214.1, XP_011124254.1, XP_011124354.1	YGR261C, YJR005W, YKL135C
47	OG0000047	XP_011122415.1, XP_011122837.1, XP_011123014.1	YDR038C, YDR039C, YDR040C
48	OG0000048	XP_011123083.1, XP_011125582.1, XP_011125685.1, XP_011126135.1	YOL119C, YOR306C
49	OG0000049	XP_011123210.1, XP_011123679.1, XP_011127058.1	YGL003C, YGL116W, YGR225W
50	OG0000050	XP_011125934.1	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
51	OG0000051	XP_011126190.1, XP_011126810.1, XP_011128313.1	YCR102C, YLR460C, YNL134C
52	OG0000052	XP_011116986.1, XP_011126423.1	YGR284C, YKR089C, YOR081C
53	OG0000053	XP_011117029.1, XP_011117351.1, XP_011123823.1	YMR073C, YNL111C
54	OG0000054	XP_011117042.1, XP_011124559.1, XP_011127015.1, XP_011127016.1	YDR242W
55	OG0000055	XP_011117225.1, XP_011119531.1, XP_011121021.1	YLR023C, YOL002C
56	OG0000056	XP_011117229.1, XP_011122501.1	YDR247W, YHR082C, YPL026C
57	OG0000057	XP_011117405.1, XP_011122971.1, XP_011124812.1	YDL132W, YGR003W
58	OG0000058	XP_011117578.1, XP_011124050.1, XP_011124082.1, XP_011124330.1	YCR036W
59	OG0000059	XP_011117600.1, XP_011119296.1	YCL024W, YDR507C, YPL209C
60	OG0000060	XP_011117617.1, XP_011118542.1, XP_011121970.1	YBL105C, YBR028C
61	OG0000061	XP_011117624.1, XP_011126567.1, XP_011127891.1	YNL090W, YPR165W
62	OG0000062	XP_011117651.1, XP_011127511.1, XP_011128029.1	YCR027C, YOR101W
63	OG0000063	XP_011117802.1, XP_011119684.1, XP_011122948.1, XP_011123617.1	YJR149W
64	OG0000064	XP_011117837.1, XP_011126159.1	YBR014C, YCL035C, YDR513W
65	OG0000065	XP_011117974.1, XP_011118194.1, XP_011127712.1, XP_011127800.1	YOL087C
66	OG0000066	XP_011118528.1, XP_011121474.1, XP_011125070.1, XP_011128378.1	YJR096W
67	OG0000067	XP_011118606.1, XP_011118686.1, XP_011120728.1	YCL039W, YMR146C
68	OG0000068	XP_011118615.1, XP_011126724.1	YDR021W, YJL138C, YKR059W
69	OG0000069	XP_011118756.1, XP_011122559.1	YBR082C, YDR059C, YDR177W
70	OG0000070	XP_011118830.1, XP_011126255.1, XP_011128059.1	YFL039C, YLR085C
71	OG0000071	XP_011119389.1, XP_011119433.1, XP_011123360.1	YDR245W, YJL183W
