	OrthologID	Saccharomyces_cerevisiae	yHAB148_Kazachstania_intestinalis
0	OG0000000		augustus_masked-NODE_103_length_8808_cov_63.6086_ID_205-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_103_length_8808_cov_63.6086_ID_205-processed-gene-0.5&CDS=1-2058, augustus_masked-NODE_111_length_6582_cov_121.529_ID_221-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_111_length_6582_cov_121.529_ID_221-processed-gene-0.2&CDS=1-1350, augustus_masked-NODE_123_length_3544_cov_80.9934_ID_245-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_123_length_3544_cov_80.9934_ID_245-processed-gene-0.0&CDS=1-2553, augustus_masked-NODE_128_length_2425_cov_241.443_ID_255-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_128_length_2425_cov_241.443_ID_255-processed-gene-0.2&CDS=1-1269, augustus_masked-NODE_135_length_1816_cov_46.2465_ID_269-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_135_length_1816_cov_46.2465_ID_269-processed-gene-0.1&CDS=1-1551, augustus_masked-NODE_139_length_1635_cov_173.22_ID_277-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_139_length_1635_cov_173.22_ID_277-processed-gene-0.0&CDS=1-1359, augustus_masked-NODE_24_length_133785_cov_15.8851_ID_47-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_24_length_133785_cov_15.8851_ID_47-processed-gene-0.33&CDS=1-1263, augustus_masked-NODE_24_length_133785_cov_15.8851_ID_47-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_24_length_133785_cov_15.8851_ID_47-processed-gene-0.35&CDS=1-795, augustus_masked-NODE_60_length_57602_cov_17.475_ID_119-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-NODE_60_length_57602_cov_17.475_ID_119-processed-gene-0.67&CDS=1-510, augustus_masked-NODE_68_length_47068_cov_17.2073_ID_135-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_68_length_47068_cov_17.2073_ID_135-processed-gene-0.14&CDS=1-1773, augustus_masked-NODE_77_length_34417_cov_20.4514_ID_153-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_77_length_34417_cov_20.4514_ID_153-processed-gene-0.8&CDS=1-1452, augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-0.21&CDS=1-2031, snap_masked-NODE_121_length_3853_cov_51.0103_ID_241-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_121_length_3853_cov_51.0103_ID_241-processed-gene-0.1&CDS=1-711, snap_masked-NODE_3_length_296438_cov_15.0578_ID_5-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_3_length_296438_cov_15.0578_ID_5-processed-gene-0.119&CDS=1-2016, snap_masked-NODE_87_length_27791_cov_51.9565_ID_173-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_87_length_27791_cov_51.9565_ID_173-processed-gene-0.3&CDS=1-2064, snap_masked-NODE_97_length_11580_cov_40.0036_ID_193-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_97_length_11580_cov_40.0036_ID_193-processed-gene-0.3&CDS=1-1512
1	OG0000001	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	
2	OG0000002	YDR342C, YDR343C, YHR092C, YNL318C	augustus_masked-NODE_1_length_424984_cov_16.6998_ID_1-processed-gene-3.48-mRNA-1_1&gene=augustus_masked-NODE_1_length_424984_cov_16.6998_ID_1-processed-gene-3.48&CDS=1-1680, augustus_masked-NODE_58_length_58963_cov_15.1009_ID_115-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_58_length_58963_cov_15.1009_ID_115-processed-gene-0.7&CDS=1-1599, augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-0.23&CDS=1-1686, augustus_masked-NODE_9_length_237490_cov_15.1899_ID_17-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_9_length_237490_cov_15.1899_ID_17-processed-gene-1.51&CDS=1-3381, maker-NODE_48_length_72741_cov_16.097_ID_95-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_48_length_72741_cov_16.097_ID_95-snap-gene-0.0&CDS=1-3411
3	OG0000003	YHL009W-A, YHL009W-B, YJL113W, YJL114W, YPL060C-A	augustus_masked-NODE_38_length_90861_cov_15.0518_ID_75-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_38_length_90861_cov_15.0518_ID_75-processed-gene-0.118&CDS=1-1092, snap_masked-NODE_58_length_58963_cov_15.1009_ID_115-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_58_length_58963_cov_15.1009_ID_115-processed-gene-0.65&CDS=1-1029, snap_masked-NODE_93_length_14302_cov_16.5762_ID_185-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_93_length_14302_cov_16.5762_ID_185-processed-gene-0.15&CDS=1-630
4	OG0000004	YHR179W, YPL171C	augustus_masked-NODE_12_length_205931_cov_14.7015_ID_23-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_12_length_205931_cov_14.7015_ID_23-processed-gene-0.52&CDS=1-1197, augustus_masked-NODE_17_length_155519_cov_14.8453_ID_33-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_17_length_155519_cov_14.8453_ID_33-processed-gene-0.35&CDS=1-1242, augustus_masked-NODE_2_length_418382_cov_14.9342_ID_3-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-NODE_2_length_418382_cov_14.9342_ID_3-processed-gene-2.136&CDS=1-1188, augustus_masked-NODE_39_length_90173_cov_15.2876_ID_77-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_39_length_90173_cov_15.2876_ID_77-processed-gene-0.116&CDS=1-1197, augustus_masked-NODE_77_length_34417_cov_20.4514_ID_153-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_77_length_34417_cov_20.4514_ID_153-processed-gene-0.14&CDS=1-1197, augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-0.9&CDS=1-1194
5	OG0000005	YAL005C, YDL229W, YLL024C, YNL209W	augustus_masked-NODE_124_length_3499_cov_12.8955_ID_247-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_124_length_3499_cov_12.8955_ID_247-processed-gene-0.2&CDS=1-1134, augustus_masked-NODE_14_length_183115_cov_17.9585_ID_27-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_14_length_183115_cov_17.9585_ID_27-processed-gene-0.126&CDS=1-1143, augustus_masked-NODE_8_length_244720_cov_14.7863_ID_15-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_8_length_244720_cov_14.7863_ID_15-processed-gene-0.15&CDS=1-1950
6	OG0000006	YER133W, YML016C, YPL179W	augustus_masked-NODE_31_length_116852_cov_15.1139_ID_61-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_31_length_116852_cov_15.1139_ID_61-processed-gene-0.29&CDS=1-1824, augustus_masked-NODE_5_length_253344_cov_15.3981_ID_9-processed-gene-1.215-mRNA-1_1&gene=augustus_masked-NODE_5_length_253344_cov_15.3981_ID_9-processed-gene-1.215&CDS=1-1683, genemark-NODE_45_length_83315_cov_15.1769_ID_89-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_45_length_83315_cov_15.1769_ID_89-processed-gene-0.58&CDS=1-1665, maker-NODE_30_length_117629_cov_15.3164_ID_59-augustus-gene-0.53-mRNA-1_1&gene=maker-NODE_30_length_117629_cov_15.3164_ID_59-augustus-gene-0.53&CDS=1-936
7	OG0000007	YAL023C, YGR199W, YOR321W	augustus_masked-NODE_26_length_131178_cov_15.2817_ID_51-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_26_length_131178_cov_15.2817_ID_51-processed-gene-0.42&CDS=1-2250, augustus_masked-NODE_49_length_72555_cov_15.2167_ID_97-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_49_length_72555_cov_15.2167_ID_97-processed-gene-0.97&CDS=1-2271, augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_7_length_250949_cov_15.8555_ID_13-processed-gene-1.51&CDS=1-2271
8	OG0000008	YBR205W, YDR483W, YOR099W	augustus_masked-NODE_15_length_177542_cov_15.0085_ID_29-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-NODE_15_length_177542_cov_15.0085_ID_29-processed-gene-0.211&CDS=1-1296, augustus_masked-NODE_9_length_237490_cov_15.1899_ID_17-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-NODE_9_length_237490_cov_15.1899_ID_17-processed-gene-1.34&CDS=1-1212, genemark-NODE_2_length_418382_cov_14.9342_ID_3-processed-gene-0.81-mRNA-1_1&gene=genemark-NODE_2_length_418382_cov_14.9342_ID_3-processed-gene-0.81&CDS=1-1260
9	OG0000009	YCL025C, YDR046C	augustus_masked-NODE_14_length_183115_cov_17.9585_ID_27-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_14_length_183115_cov_17.9585_ID_27-processed-gene-0.116&CDS=1-1965, augustus_masked-NODE_32_length_108397_cov_16.2126_ID_63-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_32_length_108397_cov_16.2126_ID_63-processed-gene-0.110&CDS=1-1911, augustus_masked-NODE_37_length_94504_cov_15.1639_ID_73-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_37_length_94504_cov_15.1639_ID_73-processed-gene-0.33&CDS=1-1770, maker-NODE_57_length_59597_cov_15.1275_ID_113-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_57_length_59597_cov_15.1275_ID_113-augustus-gene-0.0&CDS=1-3588
