	OrthologID	Nadsonia_fulvescens_var_elongata	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-scaffold_5-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.58&CDS=1-1134, augustus_masked-scaffold_7-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.72&CDS=1-1467	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
1	OG0000001	augustus_masked-scaffold_2-processed-gene-2.53-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.53&CDS=1-2988, snap_masked-scaffold_2-processed-gene-11.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.95&CDS=1-3624, snap_masked-scaffold_4-processed-gene-10.15-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.15&CDS=1-2253, snap_masked-scaffold_4-processed-gene-6.17-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.17&CDS=1-3516	YER013W, YGL120C, YKR086W, YNR011C
2	OG0000002	augustus_masked-scaffold_1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.51&CDS=1-1551, snap_masked-scaffold_1-processed-gene-20.143-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.143&CDS=1-1551, snap_masked-scaffold_2-processed-gene-17.127-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-17.127&CDS=1-1968, snap_masked-scaffold_4-processed-gene-12.33-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.33&CDS=1-1545	YDL138W, YDL194W, YDR536W
3	OG0000003	augustus_masked-scaffold_1-processed-gene-4.104-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.104&CDS=1-1221, snap_masked-scaffold_3-processed-gene-3.37-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.37&CDS=1-1230, snap_masked-scaffold_6-processed-gene-5.101-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.101&CDS=1-1215, snap_masked-scaffold_9-processed-gene-7.128-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-7.128&CDS=1-1506	YJL139C, YKR061W, YOR099W
4	OG0000004	augustus_masked-scaffold_7-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.69&CDS=1-912, maker-scaffold_1-snap-gene-6.70-mRNA-1_1&gene=maker-scaffold_1-snap-gene-6.70&CDS=1-10884	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
5	OG0000005	maker-scaffold_10-snap-gene-1.69-mRNA-1_1&gene=maker-scaffold_10-snap-gene-1.69&CDS=1-2853, snap_masked-scaffold_1-processed-gene-11.36-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.36&CDS=1-3291, snap_masked-scaffold_2-processed-gene-16.11-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.11&CDS=1-2925, snap_masked-scaffold_2-processed-gene-18.22-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.22&CDS=1-3321	YAL051W, YCR106W, YOR363C
6	OG0000006	snap_masked-scaffold_1-processed-gene-13.118-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.118&CDS=1-3075, snap_masked-scaffold_11-processed-gene-1.100-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.100&CDS=1-2982, snap_masked-scaffold_5-processed-gene-7.7-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.7&CDS=1-3777, snap_masked-scaffold_7-processed-gene-2.116-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.116&CDS=1-3207	YFL021W, YJL110C, YKR034W
7	OG0000007	snap_masked-scaffold_1-processed-gene-19.18-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.18&CDS=1-1074, snap_masked-scaffold_5-processed-gene-1.109-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.109&CDS=1-1053, snap_masked-scaffold_9-processed-gene-7.120-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-7.120&CDS=1-1101	YDR541C, YGL039W, YGL157W, YOL151W
8	OG0000008	snap_masked-scaffold_3-processed-gene-10.31-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.31&CDS=1-2283, snap_masked-scaffold_3-processed-gene-12.129-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.129&CDS=1-3006, snap_masked-scaffold_4-processed-gene-11.117-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.117&CDS=1-3864, snap_masked-scaffold_6-processed-gene-8.15-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.15&CDS=1-2712	YGL014W, YGL178W, YLL013C
9	OG0000009	maker-scaffold_4-augustus-gene-1.5-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-1.5&CDS=1-2733, maker-scaffold_7-snap-gene-5.9-mRNA-1_1&gene=maker-scaffold_7-snap-gene-5.9&CDS=1-5454, snap_masked-scaffold_7-processed-gene-2.108-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.108&CDS=1-1500, snap_masked-scaffold_8-processed-gene-3.2-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.2&CDS=1-3381	YAR019C, YDR523C, YHR102W
