	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035707_Candida_heveicola
0	OG0000000	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	augustus_masked-flattened_line_2-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.24&CDS=1-1137
1	OG0000001	YEL065W	augustus_masked-flattened_line_0-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.68&CDS=1-1968, augustus_masked-flattened_line_10-processed-gene-7.27-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-7.27&CDS=1-2058, augustus_masked-flattened_line_2-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.0&CDS=1-1965, augustus_masked-flattened_line_2-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.11&CDS=1-2019, augustus_masked-flattened_line_2-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.2&CDS=1-2052, augustus_masked-flattened_line_24-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.31&CDS=1-2055, augustus_masked-flattened_line_6-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.35&CDS=1-1977, augustus_masked-flattened_line_8-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-7.105&CDS=1-2040, snap_masked-flattened_line_8-processed-gene-8.11-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-8.11&CDS=1-2046
2	OG0000002	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-flattened_line_0-processed-gene-4.15-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.15&CDS=1-1017, augustus_masked-flattened_line_10-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.7&CDS=1-1014, augustus_masked-flattened_line_10-processed-gene-7.52-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-7.52&CDS=1-1059, augustus_masked-flattened_line_10-processed-gene-7.57-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-7.57&CDS=1-1023, augustus_masked-flattened_line_14-processed-gene-5.237-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-5.237&CDS=1-1020
3	OG0000003	YKR039W, YLL061W, YPL274W	augustus_masked-flattened_line_10-processed-gene-7.42-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-7.42&CDS=1-1752, augustus_masked-flattened_line_22-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.75&CDS=1-1737, augustus_masked-flattened_line_8-processed-gene-5.11-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.11&CDS=1-1758, augustus_masked-flattened_line_8-processed-gene-5.28-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.28&CDS=1-1725, maker-flattened_line_18-snap-gene-4.123-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-4.123&CDS=1-1851, snap_masked-flattened_line_0-processed-gene-7.24-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.24&CDS=1-1725
4	OG0000004	YPR194C	augustus_masked-flattened_line_14-processed-gene-5.233-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-5.233&CDS=1-2772, augustus_masked-flattened_line_2-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.55&CDS=1-2625, augustus_masked-flattened_line_38-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.30&CDS=1-2718, augustus_masked-flattened_line_38-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.35&CDS=1-2727, augustus_masked-flattened_line_38-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.49&CDS=1-2739, maker-flattened_line_34-snap-gene-0.68-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.68&CDS=1-5421, snap_masked-flattened_line_38-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.6&CDS=1-2721
5	OG0000005		augustus_masked-flattened_line_18-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.57&CDS=1-2769, augustus_masked-flattened_line_4-processed-gene-8.11-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-8.11&CDS=1-5811, augustus_masked-flattened_line_4-processed-gene-9.35-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-9.35&CDS=1-2850, augustus_masked-flattened_line_6-processed-gene-6.10-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-6.10&CDS=1-2520, augustus_masked-flattened_line_6-processed-gene-8.30-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-8.30&CDS=1-2163, genemark-flattened_line_16-processed-gene-3.16-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.16&CDS=1-1293, snap_masked-flattened_line_0-processed-gene-12.254-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.254&CDS=1-3108, snap_masked-flattened_line_16-processed-gene-3.97-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.97&CDS=1-1056
6	OG0000006	YBR067C, YDR542W, YER011W, YIL011W, YOR009W, YOR010C	maker-flattened_line_10-snap-gene-0.44-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-0.44&CDS=1-1002
7	OG0000007	YJR061W, YKL201C	augustus_masked-flattened_line_10-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.61&CDS=1-1950, augustus_masked-flattened_line_14-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.83&CDS=1-2481, augustus_masked-flattened_line_2-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.83&CDS=1-2619, augustus_masked-flattened_line_2-processed-gene-10.38-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-10.38&CDS=1-2508, snap_masked-flattened_line_12-processed-gene-6.106-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-6.106&CDS=1-2235
8	OG0000008		augustus_masked-flattened_line_2-processed-gene-8.67-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.67&CDS=1-2172, augustus_masked-flattened_line_60-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.6&CDS=1-2529, augustus_masked-flattened_line_8-processed-gene-8.121-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-8.121&CDS=1-3096, maker-flattened_line_56-snap-gene-0.6-mRNA-1_1&gene=maker-flattened_line_56-snap-gene-0.6&CDS=1-1551, snap_masked-flattened_line_34-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.22&CDS=1-1581, snap_masked-flattened_line_6-processed-gene-8.98-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-8.98&CDS=1-2718, snap_masked-flattened_line_62-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.2&CDS=1-1275
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_2-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.77&CDS=1-1386
