	OrthologID	Saccharomyces_cerevisiae	Sclerotinia_sclerotiorum
0	OG0000000	YKL055C	XP_001585798.1, XP_001586104.1, XP_001586547.1, XP_001587215.1, XP_001587309.1, XP_001587409.1, XP_001588098.1, XP_001588779.1, XP_001589589.1, XP_001590106.1, XP_001590448.1, XP_001592049.1, XP_001593469.1, XP_001594293.1, XP_001594816.1, XP_001595201.1, XP_001595757.1, XP_001596161.1, XP_001596229.1, XP_001596518.1, XP_001597491.1
1	OG0000001	YBR240C, YDR207C	XP_001585182.1, XP_001585746.1, XP_001585909.1, XP_001586772.1, XP_001586968.1, XP_001587499.1, XP_001587840.1, XP_001588899.1, XP_001592481.1, XP_001592666.1, XP_001592886.1, XP_001593229.1, XP_001593681.1, XP_001597809.1, XP_001597858.1
2	OG0000002	YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YNR072W, YOL156W	XP_001593414.1
3	OG0000003	Q0075	YP_009389048.1, YP_009389052.1, YP_009389056.1, YP_009389057.1, YP_009389060.1, YP_009389061.1, YP_009389063.1, YP_009389067.1, YP_009389072.1, YP_009389084.1, YP_009389087.1
4	OG0000004	YDR213W, YLR228C	XP_001584697.1, XP_001585485.1, XP_001587822.1, XP_001591160.1, XP_001592894.1, XP_001593995.1, XP_001596571.1, XP_001597507.1
5	OG0000005		XP_001588879.1, XP_001589172.1, XP_001592257.1, XP_001593466.1, XP_001595116.1, XP_001595291.1, XP_001595648.1, XP_001595933.1, XP_001596963.1
6	OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	XP_001587859.1
7	OG0000007	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W	XP_001586372.1, XP_001587635.1, XP_001593123.1
8	OG0000008		XP_001585708.1, XP_001587137.1, XP_001588647.1, XP_001590320.1, XP_001590322.1, XP_001596107.1, XP_001596209.1, XP_001596602.1
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	XP_001589324.1, XP_001592094.1
10	OG0000010	YCR018C, YIR013C, YLR013W, YPL021W	XP_001586924.1, XP_001587208.1, XP_001596024.1
11	OG0000011	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	XP_001584923.1, XP_001591542.1
12	OG0000012		XP_001584882.1, XP_001585046.1, XP_001586264.1, XP_001589126.1, XP_001592421.1, XP_001598247.1, XP_001598830.1
13	OG0000013		XP_001587484.1, XP_001590481.1, XP_001590608.1, XP_001592739.1, XP_001592752.1, XP_001595742.1, XP_001598194.1
14	OG0000014	YDR541C, YGL039W, YGL157W, YOL151W	XP_001595749.1, XP_001598426.1
15	OG0000015	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C	XP_001598188.1
16	OG0000016	YKL222C, YLR266C, YOR162C, YOR172W	XP_001586545.1, XP_001598705.1
17	OG0000017	YLR057W	XP_001584781.1, XP_001589038.1, XP_001589617.1, XP_001590339.1, XP_001591293.1
18	OG0000018	YOR008C	XP_001586339.1, XP_001590540.1, XP_001592033.1, XP_001593770.1, XP_001597103.1
19	OG0000019	YPL165C	XP_001589898.1, XP_001591744.1, XP_001592200.1, XP_001592568.1, XP_001592569.1
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	XP_001591267.1
21	OG0000021	YBR118W, YKR084C, YPR080W	XP_001594091.1, XP_001596049.1
22	OG0000022	YBR297W, YFL052W, YGR288W, YPR196W	XP_001592796.1
23	OG0000023	YBR298C, YDL247W, YGR289C, YJR160C	XP_001588449.1
24	OG0000024	YCL069W, YGR224W, YKR105C, YPR198W	XP_001587099.1
25	OG0000025	YCR102C, YLR460C, YNL134C	XP_001594867.1, XP_001596372.1
26	OG0000026	YCR107W, YDL243C, YJR155W, YNL331C	XP_001590636.1
27	OG0000027	YDL244W, YFL058W, YJR156C, YNL332W	XP_001588250.1
28	OG0000028	YDR144C, YLR120C, YLR121C	XP_001585877.1, XP_001598535.1
29	OG0000029	YDR533C, YMR322C, YOR391C, YPL280W	XP_001593396.1
30	OG0000030	YJL078C, YJL079C, YKR013W	XP_001592501.1, XP_001595237.1
31	OG0000031	YJR149W	XP_001584569.1, XP_001587993.1, XP_001588434.1, XP_001598269.1
32	OG0000032	YLR155C, YLR157C, YLR158C, YLR160C	XP_001593504.1
33	OG0000033	YLR307W, YLR308W	XP_001592508.1, XP_001598179.1, XP_001598553.1
34	OG0000034	YNR041C	XP_001588857.1, XP_001589556.1, XP_001592384.1, XP_001596696.1
35	OG0000035	YBL068W-A, YBL069W, YER101C, YMR152W	
36	OG0000036	YBR009C, YNL030W	XP_001585386.1, XP_001589887.1
37	OG0000037	YBR078W, YDR055W, YDR522C	XP_001588126.1
38	OG0000038	YBR089C-A, YDL002C, YPR052C	XP_001594776.1
39	OG0000039	YBR150C, YOL089C	XP_001593747.1, XP_001596630.1
40	OG0000040	YBR183W, YPL087W	XP_001584641.1, XP_001586730.1
41	OG0000041	YCR106W, YLL054C, YOR363C	XP_001594149.1
42	OG0000042	YDL222C, YML052W, YNL194C	XP_001596543.1
43	OG0000043	YDR038C, YDR039C, YDR040C	XP_001592311.1
44	OG0000044	YDR276C	XP_001588788.1, XP_001589751.1, XP_001597585.1
45	OG0000045	YDR371W	XP_001587707.1, XP_001588061.1, XP_001591394.1
46	OG0000046	YDR402C	XP_001585049.1, XP_001589239.1, XP_001594972.1
47	OG0000047	YDR519W, YNL135C	XP_001585920.1, XP_001590520.1
48	OG0000048	YER028C, YGL035C, YGL209W	XP_001589300.1
49	OG0000049	YER056C, YER060W, YER060W-A	XP_001593084.1
50	OG0000050	YER080W	XP_001590196.1, XP_001593664.1, XP_001594886.1
51	OG0000051	YFL060C, YMR095C, YNL334C	XP_001590117.1
52	OG0000052	YGR087C, YLR044C, YLR134W	XP_001587745.1
53	OG0000053	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	
54	OG0000054	YGR154C, YKR076W, YMR251W	XP_001590518.1
55	OG0000055	YGR192C, YJL052W, YJR009C	XP_001591173.1
56	OG0000056	YGR263C	XP_001586412.1, XP_001589947.1, XP_001597971.1
57	OG0000057	YIL099W	XP_001585240.1, XP_001588171.1, XP_001590395.1
58	OG0000058	YIL120W, YIL121W, YNL065W	XP_001584998.1
59	OG0000059	YJR061W, YKL201C	XP_001591187.1, XP_001593287.1
60	OG0000060	YLL052C, YLL053C, YPR192W	XP_001585953.1
61	OG0000061	YLL062C, YMR321C, YPL273W	XP_001594800.1
62	OG0000062	YLR098C, YOR337W	XP_001587472.1, XP_001590889.1
63	OG0000063	YLR260W, YOR171C	XP_001589234.1, XP_001597358.1
64	OG0000064	YMR006C, YMR008C, YOL011W	XP_001594722.1
65	OG0000065	YMR083W, YMR303C, YOL086C	XP_001585525.1
66	OG0000066	YNL229C	XP_001587218.1, XP_001588561.1, XP_001597722.1
67	OG0000067	YNR074C	XP_001589086.1, XP_001592890.1, XP_001597603.1
68	OG0000068	YOL055C, YPL258C, YPR121W	XP_001597986.1
69	OG0000069	YOR348C, YPL265W	XP_001588187.1, XP_001598775.1
70	OG0000070	YOR389W, YPL277C, YPL278C	XP_001592676.1
71	OG0000071		XP_001587997.1, XP_001592197.1, XP_001597184.1, XP_001598889.1
72	OG0000072	YAL015C, YOL043C	XP_001598778.1
73	OG0000073	YAL017W, YOL045W	XP_001591515.1
74	OG0000074	YAL034C, YOR338W	XP_001595212.1
75	OG0000075	YAR002C-A, YGL002W	XP_001595730.1
76	OG0000076	YAR042W, YDL019C	XP_001594095.1
77	OG0000077	YBL002W, YDR224C	XP_001587720.1
78	OG0000078	YBL003C, YDR225W	XP_001587719.1
79	OG0000079	YBL027W, YBR084C-A	XP_001595641.1
80	OG0000080	YBL056W, YER089C	XP_001590427.1
81	OG0000081	YBL064C	XP_001594896.1, XP_001595907.1
82	OG0000082	YBL067C, YER098W	XP_001589374.1
83	OG0000083	YBL072C, YER102W	XP_001588292.1
84	OG0000084	YBL079W, YER105C	XP_001585153.1
85	OG0000085	YBL085W, YER114C	XP_001598873.1
86	OG0000086	YBL087C, YER117W	XP_001592902.1
87	OG0000087	YBL089W, YER119C	XP_001587429.1
88	OG0000088	YBL091C-A, YER120W	XP_001588194.1
89	OG0000089	YBL106C, YPR032W	XP_001586689.1
90	OG0000090	YBR010W, YNL031C	XP_001589886.1
91	OG0000091	YBR014C, YDL010W	XP_001596952.1
92	OG0000092	YBR015C, YJL186W	XP_001596583.1
93	OG0000093	YBR020W, YDR009W	XP_001592308.1
94	OG0000094	YBR021W, YIR028W	XP_001598801.1
95	OG0000095	YBR031W, YDR012W	XP_001597207.1
96	OG0000096	YBR033W, YKL038W	XP_001589833.1
97	OG0000097	YBR048W, YDR025W	XP_001589541.1
98	OG0000098	YBR049C, YDR026C	XP_001587854.1
99	OG0000099	YBR054W, YDR033W	XP_001594532.1
100	OG0000100	YBR066C, YDR043C	XP_001592551.1
101	OG0000101	YBR096W	XP_001585047.1, XP_001594033.1
102	OG0000102	YBR104W, YPR058W	XP_001586987.1
103	OG0000103	YBR140C, YOL081W	XP_001585657.1
104	OG0000104	YBR147W, YOL092W	XP_001591084.1
105	OG0000105	YBR161W, YPL057C	XP_001598346.1
106	OG0000106	YBR172C, YPL105C	XP_001595601.1
107	OG0000107	YBR175W, YOL087C	XP_001589862.1
108	OG0000108	YBR181C, YPL090C	XP_001588306.1
109	OG0000109	YBR191W, YPL079W	XP_001594206.1
110	OG0000110	YBR214W, YGL056C	XP_001586921.1
111	OG0000111	YBR241C, YGL104C	XP_001598980.1
112	OG0000112	YBR242W, YGL101W	XP_001585092.1
113	OG0000113	YBR244W, YIR037W	XP_001598652.1
114	OG0000114	YBR265W	XP_001585687.1, XP_001586195.1
115	OG0000115	YBR273C, YJL048C	XP_001586083.1
116	OG0000116	YBR294W, YLR092W	XP_001584768.1
117	OG0000117	YCL011C, YNL004W	XP_001587764.1
118	OG0000118	YCL026C-A, YCL026C-B	XP_001588982.1
119	OG0000119	YCL035C, YDR513W	XP_001591797.1
120	OG0000120	YCL036W, YDR514C	XP_001591740.1
121	OG0000121	YCL038C	XP_001589372.1, XP_001597115.1
122	OG0000122	YCL040W, YDR516C	XP_001593979.1
123	OG0000123	YCL050C, YDR530C	XP_001592051.1
124	OG0000124	YCL064C, YIL167W	XP_001593157.1
