	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035302_Candida_fragi
0	OG0000000	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_2-processed-gene-4.4-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.4&CDS=1-1179, augustus_masked-flattened_line_2-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.5&CDS=1-1182, augustus_masked-flattened_line_208-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_208-processed-gene-0.2&CDS=1-1707, augustus_masked-flattened_line_24-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.58&CDS=1-1749, augustus_masked-flattened_line_28-processed-gene-1.183-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.183&CDS=1-1836, maker-flattened_line_184-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_184-snap-gene-0.11&CDS=1-2769, snap_masked-flattened_line_112-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.12&CDS=1-1137, snap_masked-flattened_line_2-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.67&CDS=1-1137, snap_masked-flattened_line_48-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.87&CDS=1-1734, snap_masked-flattened_line_54-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.104&CDS=1-1290
1	OG0000001	YKL185W, YKR064W, YLR256W	augustus_masked-flattened_line_20-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.5&CDS=1-4758, augustus_masked-flattened_line_70-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.140&CDS=1-3366, genemark-flattened_line_88-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.102&CDS=1-3012, maker-flattened_line_30-snap-gene-0.48-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.48&CDS=1-2274, snap_masked-flattened_line_70-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.43&CDS=1-2982, snap_masked-flattened_line_70-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.45&CDS=1-2790, snap_masked-flattened_line_88-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.62&CDS=1-3651, snap_masked-flattened_line_96-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.25&CDS=1-3096
2	OG0000002	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_30-processed-gene-1.201-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.201&CDS=1-2202, augustus_masked-flattened_line_34-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.107&CDS=1-2244, snap_masked-flattened_line_0-processed-gene-5.131-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.131&CDS=1-2415, snap_masked-flattened_line_10-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.109&CDS=1-2709, snap_masked-flattened_line_6-processed-gene-2.0-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.0&CDS=1-2241, snap_masked-flattened_line_6-processed-gene-2.1-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.1&CDS=1-1977, snap_masked-flattened_line_6-processed-gene-2.5-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.5&CDS=1-1980
3	OG0000003	YDR242W, YHL021C	maker-flattened_line_150-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_150-augustus-gene-0.7&CDS=1-2985, snap_masked-flattened_line_20-processed-gene-2.5-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.5&CDS=1-1167, snap_masked-flattened_line_34-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.67&CDS=1-1698, snap_masked-flattened_line_54-processed-gene-0.99-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.99&CDS=1-1632, snap_masked-flattened_line_82-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.59&CDS=1-1641, snap_masked-flattened_line_86-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.85&CDS=1-1638, snap_masked-flattened_line_94-processed-gene-0.33-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.33&CDS=1-1620
4	OG0000004	YGR177C, YGR212W, YOR377W	augustus_masked-flattened_line_0-processed-gene-4.107-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.107&CDS=1-1341, augustus_masked-flattened_line_108-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.16&CDS=1-1422, augustus_masked-flattened_line_18-processed-gene-2.9-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-2.9&CDS=1-1443, augustus_masked-flattened_line_34-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.103&CDS=1-1398, augustus_masked-flattened_line_72-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.71&CDS=1-1446, snap_masked-flattened_line_0-processed-gene-5.146-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.146&CDS=1-1389
5	OG0000005	YKR039W	snap_masked-flattened_line_134-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_134-processed-gene-0.14&CDS=1-1764, snap_masked-flattened_line_136-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.12&CDS=1-1803, snap_masked-flattened_line_138-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_138-processed-gene-0.8&CDS=1-1737, snap_masked-flattened_line_16-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.104&CDS=1-1782, snap_masked-flattened_line_18-processed-gene-2.84-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.84&CDS=1-1995, snap_masked-flattened_line_2-processed-gene-1.18-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.18&CDS=1-1728, snap_masked-flattened_line_58-processed-gene-0.133-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.133&CDS=1-1761, snap_masked-flattened_line_94-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.35&CDS=1-1779
6	OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-flattened_line_54-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.96&CDS=1-1704
7	OG0000007	YER001W, YGL257C, YIL014W, YNR059W	maker-flattened_line_150-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_150-snap-gene-0.0&CDS=1-4641, snap_masked-flattened_line_14-processed-gene-2.109-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.109&CDS=1-2073, snap_masked-flattened_line_16-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.124&CDS=1-2748, snap_masked-flattened_line_54-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.102&CDS=1-2442
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_6-processed-gene-3.204-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.204&CDS=1-2691, maker-flattened_line_14-augustus-gene-0.1-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-0.1&CDS=1-3816, snap_masked-flattened_line_2-processed-gene-4.108-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.108&CDS=1-2340, snap_masked-flattened_line_84-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.23&CDS=1-3246
9	OG0000009	YJL212C, YPR194C	maker-flattened_line_2-augustus-gene-1.116-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-1.116&CDS=1-4452, snap_masked-flattened_line_16-processed-gene-2.59-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.59&CDS=1-2343, snap_masked-flattened_line_2-processed-gene-1.29-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.29&CDS=1-2721, snap_masked-flattened_line_20-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.109&CDS=1-2733, snap_masked-flattened_line_46-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.17&CDS=1-2727, snap_masked-flattened_line_96-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.20&CDS=1-2775
