	OrthologID	Saccharomyces_cerevisiae	yHAB134_Kazachstania_turicensis
0	OG0000000	YAR027W, YAR028W, YBR302C, YCR007C, YCR102W-A, YDL248W, YFL062W, YGL053W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	snap_masked-scf7180000049450-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scf7180000049450-processed-gene-0.16&CDS=1-789, snap_masked-scf7180000049450-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scf7180000049450-processed-gene-0.22&CDS=1-846
1	OG0000001	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
2	OG0000002	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-scf7180000049363-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049363-processed-gene-0.1&CDS=1-1554, augustus_masked-scf7180000049416-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049416-processed-gene-0.1&CDS=1-1509, augustus_masked-scf7180000049555-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000049555-processed-gene-0.3&CDS=1-417, augustus_masked-scf7180000049568-processed-gene-0.190-mRNA-1_1&gene=augustus_masked-scf7180000049568-processed-gene-0.190&CDS=1-1779, maker-scf7180000049568-snap-gene-0.79-mRNA-1_1&gene=maker-scf7180000049568-snap-gene-0.79&CDS=1-1821, maker-scf7180000049568-snap-gene-0.80-mRNA-1_1&gene=maker-scf7180000049568-snap-gene-0.80&CDS=1-2400, snap_masked-scf7180000048629-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000048629-processed-gene-0.1&CDS=1-936, snap_masked-scf7180000048740-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000048740-processed-gene-0.2&CDS=1-936, snap_masked-scf7180000049369-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000049369-processed-gene-0.2&CDS=1-1170, snap_masked-scf7180000049505-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049505-processed-gene-0.0&CDS=1-921
3	OG0000003	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YIL170W, YJL219W, YLR081W, YOL156W	augustus_masked-scf7180000049552-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-scf7180000049552-processed-gene-0.16&CDS=1-1686, augustus_masked-scf7180000049577-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049577-processed-gene-0.1&CDS=1-1737, maker-scf7180000049457-augustus-gene-0.10-mRNA-1_1&gene=maker-scf7180000049457-augustus-gene-0.10&CDS=1-1980, snap_masked-scf7180000049502-processed-gene-0.91-mRNA-1_1&gene=snap_masked-scf7180000049502-processed-gene-0.91&CDS=1-1248, snap_masked-scf7180000049559-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000049559-processed-gene-0.8&CDS=1-1713
4	OG0000004	YBL100W-A, YCL020W, YDR034C-C, YDR261W-A, YFL002W-B, YGR161W-A, YLR410W-A, YOR343W-A, YOR343W-B	augustus_masked-scf7180000049339-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049339-processed-gene-0.2&CDS=1-759, augustus_masked-scf7180000049543-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-scf7180000049543-processed-gene-0.25&CDS=1-1338, snap_masked-scf7180000049566-processed-gene-2.61-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-2.61&CDS=1-1284
5	OG0000005	YGR087C, YLR044C, YLR134W	augustus_masked-scf7180000048711-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000048711-processed-gene-0.3&CDS=1-1692, augustus_masked-scf7180000049348-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000049348-processed-gene-0.1&CDS=1-1689, augustus_masked-scf7180000049503-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scf7180000049503-processed-gene-0.24&CDS=1-1689, augustus_masked-scf7180000049516-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-scf7180000049516-processed-gene-0.18&CDS=1-1689, augustus_masked-scf7180000049560-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000049560-processed-gene-0.0&CDS=1-1662, augustus_masked-scf7180000049591-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000049591-processed-gene-0.2&CDS=1-1662
6	OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-scf7180000049450-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scf7180000049450-processed-gene-0.47&CDS=1-1431, snap_masked-scf7180000049520-processed-gene-0.228-mRNA-1_1&gene=snap_masked-scf7180000049520-processed-gene-0.228&CDS=1-1428
7	OG0000007	YDR436W, YER133W, YML016C, YPL179W	augustus_masked-scf7180000049518-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-scf7180000049518-processed-gene-0.105&CDS=1-2397, augustus_masked-scf7180000049588-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-scf7180000049588-processed-gene-1.21&CDS=1-1410, maker-scf7180000049581-augustus-gene-3.37-mRNA-1_1&gene=maker-scf7180000049581-augustus-gene-3.37&CDS=1-936
8	OG0000008	YIR042C	augustus_masked-scf7180000048719-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000048719-processed-gene-0.3&CDS=1-711, augustus_masked-scf7180000049515-processed-gene-1.189-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.189&CDS=1-711, augustus_masked-scf7180000049515-processed-gene-1.190-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.190&CDS=1-711, augustus_masked-scf7180000049515-processed-gene-1.191-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.191&CDS=1-708, augustus_masked-scf7180000049515-processed-gene-1.192-mRNA-1_1&gene=augustus_masked-scf7180000049515-processed-gene-1.192&CDS=1-708, snap_masked-scf7180000048719-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000048719-processed-gene-0.4&CDS=1-387
9	OG0000009		augustus_masked-scf7180000049527-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-scf7180000049527-processed-gene-0.40&CDS=1-588, genemark-scf7180000049587-processed-gene-0.63-mRNA-1_1&gene=genemark-scf7180000049587-processed-gene-0.63&CDS=1-1992, snap_masked-scf7180000048672-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000048672-processed-gene-0.1&CDS=1-294, snap_masked-scf7180000049084-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000049084-processed-gene-0.1&CDS=1-327, snap_masked-scf7180000049256-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000049256-processed-gene-0.0&CDS=1-189, snap_masked-scf7180000049566-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scf7180000049566-processed-gene-0.36&CDS=1-1881, snap_masked-scf7180000049581-processed-gene-1.79-mRNA-1_1&gene=snap_masked-scf7180000049581-processed-gene-1.79&CDS=1-1179
