	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034646_Wickerhamiella_cacticola
0	OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W	genemark-flattened_line_20-processed-gene-0.153-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.153&CDS=1-1656, maker-flattened_line_104-snap-gene-0.66-mRNA-1_1&gene=maker-flattened_line_104-snap-gene-0.66&CDS=1-3252
1	OG0000001	YKL096W	augustus_masked-flattened_line_0-processed-gene-2.50-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.50&CDS=1-600, augustus_masked-flattened_line_58-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.26&CDS=1-417, augustus_masked-flattened_line_64-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.58&CDS=1-417, augustus_masked-flattened_line_64-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.61&CDS=1-447, snap_masked-flattened_line_10-processed-gene-2.53-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.53&CDS=1-405, snap_masked-flattened_line_118-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.59&CDS=1-417, snap_masked-flattened_line_14-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.90&CDS=1-420, snap_masked-flattened_line_14-processed-gene-0.98-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.98&CDS=1-447, snap_masked-flattened_line_14-processed-gene-2.48-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.48&CDS=1-474, snap_masked-flattened_line_36-processed-gene-1.60-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.60&CDS=1-231, snap_masked-flattened_line_46-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.143&CDS=1-624, snap_masked-flattened_line_48-processed-gene-0.196-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.196&CDS=1-597, snap_masked-flattened_line_50-processed-gene-0.46-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.46&CDS=1-411, snap_masked-flattened_line_60-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.71&CDS=1-420, snap_masked-flattened_line_68-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.100&CDS=1-411, snap_masked-flattened_line_68-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.101&CDS=1-447, snap_masked-flattened_line_70-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.69&CDS=1-720, snap_masked-flattened_line_70-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.70&CDS=1-414
2	OG0000002	YHR119W	augustus_masked-flattened_line_216-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_216-processed-gene-0.0&CDS=1-546, augustus_masked-flattened_line_28-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.82&CDS=1-879, augustus_masked-flattened_line_296-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_296-processed-gene-0.7&CDS=1-546, augustus_masked-flattened_line_450-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_450-processed-gene-0.2&CDS=1-660, augustus_masked-flattened_line_700-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_700-processed-gene-0.2&CDS=1-600, genemark-flattened_line_1236-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_1236-processed-gene-0.0&CDS=1-327, genemark-flattened_line_142-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_142-processed-gene-0.20&CDS=1-306, genemark-flattened_line_16-processed-gene-2.131-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.131&CDS=1-567, genemark-flattened_line_82-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.57&CDS=1-879, snap_masked-flattened_line_1560-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1560-processed-gene-0.1&CDS=1-258, snap_masked-flattened_line_350-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_350-processed-gene-0.0&CDS=1-477, snap_masked-flattened_line_6-processed-gene-1.33-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.33&CDS=1-1959, snap_masked-flattened_line_6-processed-gene-3.69-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.69&CDS=1-1959, snap_masked-flattened_line_96-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.22&CDS=1-708
3	OG0000003	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	snap_masked-flattened_line_14-processed-gene-2.99-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.99&CDS=1-324, snap_masked-flattened_line_74-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.40&CDS=1-3450
4	OG0000004	YDL204W, YDR233C, YNL126W	augustus_masked-flattened_line_18-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.82&CDS=1-3699, augustus_masked-flattened_line_20-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.93&CDS=1-1215, augustus_masked-flattened_line_36-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.109&CDS=1-381, augustus_masked-flattened_line_384-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_384-processed-gene-0.2&CDS=1-1434, snap_masked-flattened_line_154-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_154-processed-gene-0.27&CDS=1-402, snap_masked-flattened_line_190-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_190-processed-gene-0.4&CDS=1-960, snap_masked-flattened_line_36-processed-gene-1.89-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.89&CDS=1-189, snap_masked-flattened_line_40-processed-gene-0.107-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.107&CDS=1-327, snap_masked-flattened_line_62-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.126&CDS=1-498
5	OG0000005	YLR430W	augustus_masked-flattened_line_168-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_168-processed-gene-0.2&CDS=1-1905, augustus_masked-flattened_line_288-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_288-processed-gene-0.2&CDS=1-3822, augustus_masked-flattened_line_522-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_522-processed-gene-0.2&CDS=1-1110, genemark-flattened_line_244-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_244-processed-gene-0.5&CDS=1-2835, genemark-flattened_line_312-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_312-processed-gene-0.0&CDS=1-2127, snap_masked-flattened_line_308-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_308-processed-gene-0.1&CDS=1-2001, snap_masked-flattened_line_372-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_372-processed-gene-0.2&CDS=1-2154, snap_masked-flattened_line_438-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_438-processed-gene-0.1&CDS=1-882, snap_masked-flattened_line_488-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_488-processed-gene-0.2&CDS=1-1164, snap_masked-flattened_line_9-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-0.111&CDS=1-5295, snap_masked-flattened_line_9-processed-gene-3.81-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-3.81&CDS=1-5295
6	OG0000006	YML118W, YMR285C	augustus_masked-flattened_line_102-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.58&CDS=1-801, augustus_masked-flattened_line_28-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.95&CDS=1-612, augustus_masked-flattened_line_70-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.18&CDS=1-1092, augustus_masked-flattened_line_96-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.60&CDS=1-1116, snap_masked-flattened_line_108-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.27&CDS=1-1065, snap_masked-flattened_line_38-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.143&CDS=1-1077, snap_masked-flattened_line_50-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.35&CDS=1-1074, snap_masked-flattened_line_60-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.52&CDS=1-1092, snap_masked-flattened_line_60-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.53&CDS=1-1287, snap_masked-flattened_line_60-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.54&CDS=1-1116
7	OG0000007	YBL097W	augustus_masked-flattened_line_172-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_172-processed-gene-0.1&CDS=1-399, augustus_masked-flattened_line_24-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.102&CDS=1-2052, augustus_masked-flattened_line_278-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_278-processed-gene-0.0&CDS=1-1239, augustus_masked-flattened_line_330-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_330-processed-gene-0.5&CDS=1-1239, augustus_masked-flattened_line_334-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_334-processed-gene-0.0&CDS=1-1914, augustus_masked-flattened_line_864-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_864-processed-gene-0.2&CDS=1-579, augustus_masked-flattened_line_908-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_908-processed-gene-0.0&CDS=1-399, snap_masked-flattened_line_292-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_292-processed-gene-0.1&CDS=1-1905, snap_masked-flattened_line_304-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_304-processed-gene-0.0&CDS=1-1914, snap_masked-flattened_line_38-processed-gene-0.179-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.179&CDS=1-327
8	OG0000008	YDR484W	augustus_masked-flattened_line_16-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.34&CDS=1-1206, augustus_masked-flattened_line_36-processed-gene-1.114-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.114&CDS=1-1227, augustus_masked-flattened_line_58-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.32&CDS=1-1155, augustus_masked-flattened_line_6-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.128&CDS=1-2688, augustus_masked-flattened_line_6-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-4.105&CDS=1-2688, snap_masked-flattened_line_10-processed-gene-1.32-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.32&CDS=1-1200, snap_masked-flattened_line_160-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_160-processed-gene-0.13&CDS=1-978, snap_masked-flattened_line_56-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.108&CDS=1-1215, snap_masked-flattened_line_60-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.56&CDS=1-1236
9	OG0000009	YLR319C	augustus_masked-flattened_line_270-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_270-processed-gene-0.0&CDS=1-1293, augustus_masked-flattened_line_464-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_464-processed-gene-0.2&CDS=1-810, augustus_masked-flattened_line_670-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_670-processed-gene-0.2&CDS=1-837, genemark-flattened_line_188-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_188-processed-gene-0.12&CDS=1-1797, genemark-flattened_line_20-processed-gene-1.80-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.80&CDS=1-2244, snap_masked-flattened_line_118-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.50&CDS=1-1764, snap_masked-flattened_line_172-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_172-processed-gene-0.9&CDS=1-915, snap_masked-flattened_line_232-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_232-processed-gene-0.3&CDS=1-1446, snap_masked-flattened_line_580-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_580-processed-gene-0.1&CDS=1-687
