	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035684_Kloeckera_hatyaiensis
0	OG0000000		augustus_masked-flattened_line_0-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.52&CDS=1-1230, augustus_masked-flattened_line_104-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_104-processed-gene-0.26&CDS=1-3912, augustus_masked-flattened_line_1132-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_1132-processed-gene-0.2&CDS=1-348, augustus_masked-flattened_line_1226-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1226-processed-gene-0.1&CDS=1-201, augustus_masked-flattened_line_1460-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1460-processed-gene-0.1&CDS=1-267, augustus_masked-flattened_line_1496-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_1496-processed-gene-0.0&CDS=1-237, augustus_masked-flattened_line_188-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_188-processed-gene-0.22&CDS=1-3078, augustus_masked-flattened_line_258-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_258-processed-gene-0.2&CDS=1-1713, augustus_masked-flattened_line_52-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.75&CDS=1-2028, augustus_masked-flattened_line_666-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_666-processed-gene-0.2&CDS=1-615, augustus_masked-flattened_line_672-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_672-processed-gene-0.0&CDS=1-594, genemark-flattened_line_30-processed-gene-0.203-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.203&CDS=1-1689, genemark-flattened_line_406-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_406-processed-gene-0.0&CDS=1-1257, genemark-flattened_line_530-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_530-processed-gene-0.2&CDS=1-804, genemark-flattened_line_588-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_588-processed-gene-0.0&CDS=1-591, genemark-flattened_line_886-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_886-processed-gene-0.2&CDS=1-345, maker-flattened_line_154-snap-gene-0.15-mRNA-1_1&gene=maker-flattened_line_154-snap-gene-0.15&CDS=1-4683, maker-flattened_line_366-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_366-snap-gene-0.3&CDS=1-1419, maker-flattened_line_94-augustus-gene-0.33-mRNA-1_1&gene=maker-flattened_line_94-augustus-gene-0.33&CDS=1-1596, snap_masked-flattened_line_264-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_264-processed-gene-0.2&CDS=1-813, snap_masked-flattened_line_486-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_486-processed-gene-0.0&CDS=1-981, snap_masked-flattened_line_622-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_622-processed-gene-0.0&CDS=1-657, snap_masked-flattened_line_634-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_634-processed-gene-0.0&CDS=1-195, snap_masked-flattened_line_746-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_746-processed-gene-0.0&CDS=1-510
1	OG0000001	YCR098C	augustus_masked-flattened_line_176-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_176-processed-gene-0.0&CDS=1-1278, augustus_masked-flattened_line_184-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.27&CDS=1-1725, augustus_masked-flattened_line_230-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_230-processed-gene-0.5&CDS=1-1758, augustus_masked-flattened_line_364-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_364-processed-gene-0.2&CDS=1-1401, augustus_masked-flattened_line_484-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_484-processed-gene-0.1&CDS=1-429, augustus_masked-flattened_line_536-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_536-processed-gene-0.1&CDS=1-429, augustus_masked-flattened_line_592-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_592-processed-gene-0.2&CDS=1-429, augustus_masked-flattened_line_594-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_594-processed-gene-0.2&CDS=1-429, augustus_masked-flattened_line_650-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_650-processed-gene-0.2&CDS=1-633, augustus_masked-flattened_line_670-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_670-processed-gene-0.2&CDS=1-609, genemark-flattened_line_228-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_228-processed-gene-0.10&CDS=1-963, genemark-flattened_line_516-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_516-processed-gene-0.0&CDS=1-582, genemark-flattened_line_522-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_522-processed-gene-0.2&CDS=1-582, snap_masked-flattened_line_1488-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1488-processed-gene-0.1&CDS=1-216, snap_masked-flattened_line_1490-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1490-processed-gene-0.0&CDS=1-216
2	OG0000002	YDR342C, YDR343C, YIL170W, YJL219W, YOL156W	augustus_masked-flattened_line_12-processed-gene-1.30-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.30&CDS=1-1725, augustus_masked-flattened_line_2-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.52&CDS=1-1734, augustus_masked-flattened_line_600-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_600-processed-gene-0.1&CDS=1-681, maker-flattened_line_42-snap-gene-0.53-mRNA-1_1&gene=maker-flattened_line_42-snap-gene-0.53&CDS=1-4974, snap_masked-flattened_line_540-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_540-processed-gene-0.1&CDS=1-786
3	OG0000003	YKL220C, YLL051C, YLR214W, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_184-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.26&CDS=1-2937, augustus_masked-flattened_line_216-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_216-processed-gene-0.7&CDS=1-1644, augustus_masked-flattened_line_46-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.16&CDS=1-4068, augustus_masked-flattened_line_980-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_980-processed-gene-0.0&CDS=1-312
4	OG0000004	YHR179W, YPL171C	augustus_masked-flattened_line_120-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.9&CDS=1-1269, augustus_masked-flattened_line_126-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.38&CDS=1-1269, augustus_masked-flattened_line_188-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_188-processed-gene-0.18&CDS=1-1152, augustus_masked-flattened_line_222-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_222-processed-gene-0.4&CDS=1-1257, augustus_masked-flattened_line_62-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.110&CDS=1-1269, augustus_masked-flattened_line_94-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.51&CDS=1-1257
5	OG0000005	YOR049C	augustus_masked-flattened_line_200-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_200-processed-gene-0.15&CDS=1-729, augustus_masked-flattened_line_274-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_274-processed-gene-0.5&CDS=1-720, augustus_masked-flattened_line_28-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.178&CDS=1-2898, augustus_masked-flattened_line_450-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_450-processed-gene-0.2&CDS=1-372, augustus_masked-flattened_line_744-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_744-processed-gene-0.1&CDS=1-525, maker-flattened_line_274-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_274-snap-gene-0.3&CDS=1-1071, snap_masked-flattened_line_208-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_208-processed-gene-0.12&CDS=1-351
6	OG0000006	YKR093W	augustus_masked-flattened_line_288-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_288-processed-gene-0.2&CDS=1-399, augustus_masked-flattened_line_288-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_288-processed-gene-0.3&CDS=1-474, augustus_masked-flattened_line_382-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_382-processed-gene-0.2&CDS=1-1500, augustus_masked-flattened_line_54-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-0.149&CDS=1-474, augustus_masked-flattened_line_88-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.105&CDS=1-2001, genemark-flattened_line_88-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.34&CDS=1-393
7	OG0000007	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_102-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.96&CDS=1-1395
9	OG0000009	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_6-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.48&CDS=1-3819, augustus_masked-flattened_line_6-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.49&CDS=1-1857
