	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035286_Candida_azyma
0	OG0000000	YLR256W	augustus_masked-NODE_20_length_223395_cov_12.4833_ID_3047-processed-gene-1.148-mRNA-1_1&gene=augustus_masked-NODE_20_length_223395_cov_12.4833_ID_3047-processed-gene-1.148&CDS=1-2658, augustus_masked-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-4.52&CDS=1-5172, genemark-NODE_12_length_325361_cov_17.2826_ID_2477-processed-gene-2.56-mRNA-1_1&gene=genemark-NODE_12_length_325361_cov_17.2826_ID_2477-processed-gene-2.56&CDS=1-2541, genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-1.46-mRNA-1_1&gene=genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-1.46&CDS=1-2388, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-12.120-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-12.120&CDS=1-2430, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-12.121-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-12.121&CDS=1-3609, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-12.122-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-12.122&CDS=1-3000, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-12.145-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-12.145&CDS=1-3369, genemark-NODE_27_length_123239_cov_10.7311_ID_3364-processed-gene-0.170-mRNA-1_1&gene=genemark-NODE_27_length_123239_cov_10.7311_ID_3364-processed-gene-0.170&CDS=1-2352, genemark-NODE_27_length_123239_cov_10.7311_ID_3364-processed-gene-0.185-mRNA-1_1&gene=genemark-NODE_27_length_123239_cov_10.7311_ID_3364-processed-gene-0.185&CDS=1-2487, genemark-NODE_38_length_36249_cov_12.3575_ID_7711-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_38_length_36249_cov_12.3575_ID_7711-processed-gene-0.11&CDS=1-2646, genemark-NODE_39_length_30793_cov_14.1953_ID_3937-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_39_length_30793_cov_14.1953_ID_3937-processed-gene-0.2&CDS=1-2343, genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-3.51-mRNA-1_1&gene=genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-3.51&CDS=1-2754, genemark-NODE_8_length_392814_cov_12.8339_ID_2366-processed-gene-2.74-mRNA-1_1&gene=genemark-NODE_8_length_392814_cov_12.8339_ID_2366-processed-gene-2.74&CDS=1-2712, snap_masked-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-0.51&CDS=1-2097
1	OG0000001	YER073W, YMR169C, YMR170C, YOR374W, YPL061W	genemark-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-0.15&CDS=1-1503, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-8.121-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-8.121&CDS=1-1524, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-8.153-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-8.153&CDS=1-1590, genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-9.135-mRNA-1_1&gene=genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-9.135&CDS=1-1491, genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-2.129-mRNA-1_1&gene=genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-2.129&CDS=1-1488, maker-NODE_1_length_1803884_cov_12.5183_ID_6464-snap-gene-16.141-mRNA-1_1&gene=maker-NODE_1_length_1803884_cov_12.5183_ID_6464-snap-gene-16.141&CDS=1-1962
2	OG0000002	YCL025C, YDR508C, YGR191W, YKR039W	genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-0.149-mRNA-1_1&gene=genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-0.149&CDS=1-1746, genemark-NODE_14_length_271931_cov_12.048_ID_1875-processed-gene-1.241-mRNA-1_1&gene=genemark-NODE_14_length_271931_cov_12.048_ID_1875-processed-gene-1.241&CDS=1-1758, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-14.25-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-14.25&CDS=1-1800, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-5.14-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-5.14&CDS=1-1731, genemark-NODE_31_length_62793_cov_12.402_ID_1589-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_31_length_62793_cov_12.402_ID_1589-processed-gene-0.0&CDS=1-1806, genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-3.135-mRNA-1_1&gene=genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-3.135&CDS=1-1764
3	OG0000003	YHR176W	augustus_masked-NODE_20_length_223395_cov_12.4833_ID_3047-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-NODE_20_length_223395_cov_12.4833_ID_3047-processed-gene-1.168&CDS=1-1503, augustus_masked-NODE_20_length_223395_cov_12.4833_ID_3047-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-NODE_20_length_223395_cov_12.4833_ID_3047-processed-gene-1.170&CDS=1-1527, augustus_masked-NODE_8_length_392814_cov_12.8339_ID_2366-processed-gene-2.278-mRNA-1_1&gene=augustus_masked-NODE_8_length_392814_cov_12.8339_ID_2366-processed-gene-2.278&CDS=1-1566, genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-1.32-mRNA-1_1&gene=genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-1.32&CDS=1-1416, genemark-NODE_31_length_62793_cov_12.402_ID_1589-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_31_length_62793_cov_12.402_ID_1589-processed-gene-0.14&CDS=1-1539, genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-0.17-mRNA-1_1&gene=genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-0.17&CDS=1-1440, genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-1.11-mRNA-1_1&gene=genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-1.11&CDS=1-1497, genemark-NODE_8_length_392814_cov_12.8339_ID_2366-processed-gene-2.37-mRNA-1_1&gene=genemark-NODE_8_length_392814_cov_12.8339_ID_2366-processed-gene-2.37&CDS=1-1527, snap_masked-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-5.290-mRNA-1_1&gene=snap_masked-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-5.290&CDS=1-1434
4	OG0000004	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-1.213-mRNA-1_1&gene=genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-1.213&CDS=1-1392, genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-1.46-mRNA-1_1&gene=genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-1.46&CDS=1-1404, genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-1.47-mRNA-1_1&gene=genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-1.47&CDS=1-1350
5	OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-14.15-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-14.15&CDS=1-1710
6	OG0000006	YDR011W, YOR153W	augustus_masked-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-7.150-mRNA-1_1&gene=augustus_masked-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-7.150&CDS=1-4644, genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-0.37&CDS=1-4542, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-8.133-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-8.133&CDS=1-4350, genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-2.30-mRNA-1_1&gene=genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-2.30&CDS=1-4506, genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-5.74-mRNA-1_1&gene=genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-5.74&CDS=1-4452, genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-1.6-mRNA-1_1&gene=genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-1.6&CDS=1-4452
7	OG0000007	YDR338C, YHR032W	genemark-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-1.303-mRNA-1_1&gene=genemark-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-1.303&CDS=1-1638, genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-1.180-mRNA-1_1&gene=genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-1.180&CDS=1-1737, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-3.121-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-3.121&CDS=1-1821, genemark-NODE_23_length_196781_cov_12.0839_ID_2753-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_23_length_196781_cov_12.0839_ID_2753-processed-gene-0.30&CDS=1-1938, genemark-NODE_27_length_123239_cov_10.7311_ID_3364-processed-gene-0.182-mRNA-1_1&gene=genemark-NODE_27_length_123239_cov_10.7311_ID_3364-processed-gene-0.182&CDS=1-1458, genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-3.160-mRNA-1_1&gene=genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-3.160&CDS=1-1488
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	genemark-NODE_19_length_228542_cov_17.4633_ID_2414-processed-gene-1.1-mRNA-1_1&gene=genemark-NODE_19_length_228542_cov_17.4633_ID_2414-processed-gene-1.1&CDS=1-2520, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-14.39-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-14.39&CDS=1-3258, genemark-NODE_31_length_62793_cov_12.402_ID_1589-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_31_length_62793_cov_12.402_ID_1589-processed-gene-0.6&CDS=1-2175, genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-6.36-mRNA-1_1&gene=genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-6.36&CDS=1-2775
9	OG0000009	YGL073W, YGR249W, YHR206W, YOR140W	genemark-NODE_24_length_135386_cov_11.2559_ID_2620-processed-gene-0.165-mRNA-1_1&gene=genemark-NODE_24_length_135386_cov_11.2559_ID_2620-processed-gene-0.165&CDS=1-1332, genemark-NODE_25_length_134821_cov_18.8776_ID_2566-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_25_length_134821_cov_18.8776_ID_2566-processed-gene-0.42&CDS=1-2343, genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-7.23-mRNA-1_1&gene=genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-7.23&CDS=1-2340, genemark-NODE_36_length_38103_cov_17.7774_ID_3752-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_36_length_38103_cov_17.7774_ID_3752-processed-gene-0.44&CDS=1-1620
