	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035670_Phaffomyces_opuntiae
0	OG0000000	YBR240C, YDR207C	augustus_masked-NODE_18_length_155841_cov_56.6118_ID_5839-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_18_length_155841_cov_56.6118_ID_5839-processed-gene-0.43&CDS=1-525, genemark-NODE_24_length_138017_cov_54.5564_ID_7629-processed-gene-0.201-mRNA-1_1&gene=genemark-NODE_24_length_138017_cov_54.5564_ID_7629-processed-gene-0.201&CDS=1-1644, genemark-NODE_30_length_126970_cov_55.7827_ID_6872-processed-gene-0.68-mRNA-1_1&gene=genemark-NODE_30_length_126970_cov_55.7827_ID_6872-processed-gene-0.68&CDS=1-1863, genemark-NODE_39_length_109361_cov_55.0506_ID_6540-processed-gene-0.142-mRNA-1_1&gene=genemark-NODE_39_length_109361_cov_55.0506_ID_6540-processed-gene-0.142&CDS=1-2343, genemark-NODE_41_length_106288_cov_63.054_ID_7724-processed-gene-0.85-mRNA-1_1&gene=genemark-NODE_41_length_106288_cov_63.054_ID_7724-processed-gene-0.85&CDS=1-1809, genemark-NODE_66_length_73827_cov_54.8195_ID_9775-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_66_length_73827_cov_54.8195_ID_9775-processed-gene-0.51&CDS=1-840, genemark-NODE_6_length_276352_cov_54.7987_ID_5117-processed-gene-1.181-mRNA-1_1&gene=genemark-NODE_6_length_276352_cov_54.7987_ID_5117-processed-gene-1.181&CDS=1-1809, genemark-NODE_93_length_47230_cov_63.3808_ID_10519-processed-gene-0.73-mRNA-1_1&gene=genemark-NODE_93_length_47230_cov_63.3808_ID_10519-processed-gene-0.73&CDS=1-2013, genemark-NODE_98_length_41651_cov_52.0766_ID_13578-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_98_length_41651_cov_52.0766_ID_13578-processed-gene-0.51&CDS=1-1383, genemark-NODE_9_length_207591_cov_58.935_ID_5467-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_9_length_207591_cov_58.935_ID_5467-processed-gene-0.22&CDS=1-1383, maker-NODE_96_length_43326_cov_54.085_ID_11759-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_96_length_43326_cov_54.085_ID_11759-snap-gene-0.35&CDS=1-1860, snap_masked-NODE_3_length_354816_cov_57.3327_ID_6176-processed-gene-1.155-mRNA-1_1&gene=snap_masked-NODE_3_length_354816_cov_57.3327_ID_6176-processed-gene-1.155&CDS=1-3924, snap_masked-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-0.41&CDS=1-1803, snap_masked-NODE_72_length_68243_cov_52.8251_ID_8915-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_72_length_68243_cov_52.8251_ID_8915-processed-gene-0.27&CDS=1-1917, snap_masked-NODE_80_length_60247_cov_57.6334_ID_9539-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_80_length_60247_cov_57.6334_ID_9539-processed-gene-0.15&CDS=1-2628, snap_masked-NODE_9_length_207591_cov_58.935_ID_5467-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_9_length_207591_cov_58.935_ID_5467-processed-gene-0.114&CDS=1-501
1	OG0000001	YCL025C, YDR508C, YGR191W, YKR039W	genemark-NODE_137_length_17476_cov_54.0133_ID_14525-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_137_length_17476_cov_54.0133_ID_14525-processed-gene-0.8&CDS=1-1761, genemark-NODE_13_length_187264_cov_63.5239_ID_29069-processed-gene-0.154-mRNA-1_1&gene=genemark-NODE_13_length_187264_cov_63.5239_ID_29069-processed-gene-0.154&CDS=1-1767, genemark-NODE_14_length_185717_cov_58.2368_ID_8258-processed-gene-0.212-mRNA-1_1&gene=genemark-NODE_14_length_185717_cov_58.2368_ID_8258-processed-gene-0.212&CDS=1-1746, genemark-NODE_17_length_163658_cov_63.2191_ID_9589-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_17_length_163658_cov_63.2191_ID_9589-processed-gene-0.95&CDS=1-1746, genemark-NODE_54_length_82340_cov_55.5355_ID_8121-processed-gene-0.30-mRNA-1_1&gene=genemark-NODE_54_length_82340_cov_55.5355_ID_8121-processed-gene-0.30&CDS=1-1752, genemark-NODE_6_length_276352_cov_54.7987_ID_5117-processed-gene-1.186-mRNA-1_1&gene=genemark-NODE_6_length_276352_cov_54.7987_ID_5117-processed-gene-1.186&CDS=1-1812
2	OG0000002		augustus_masked-NODE_174_length_7246_cov_109.927_ID_17018-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_174_length_7246_cov_109.927_ID_17018-processed-gene-0.1&CDS=1-1443, augustus_masked-NODE_176_length_6877_cov_51.8783_ID_16517-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_176_length_6877_cov_51.8783_ID_16517-processed-gene-0.1&CDS=1-2097, augustus_masked-NODE_23_length_140454_cov_57.1584_ID_10316-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-NODE_23_length_140454_cov_57.1584_ID_10316-processed-gene-0.54&CDS=1-1863, augustus_masked-NODE_793_length_152_cov_130.613_ID_30087-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_793_length_152_cov_130.613_ID_30087-processed-gene-0.1&CDS=1-150, augustus_masked-NODE_82_length_57442_cov_53.3001_ID_28493-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_82_length_57442_cov_53.3001_ID_28493-processed-gene-0.42&CDS=1-1446, genemark-NODE_158_length_10841_cov_53.957_ID_16451-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_158_length_10841_cov_53.957_ID_16451-processed-gene-0.0&CDS=1-1143, genemark-NODE_22_length_142085_cov_53.8417_ID_5899-processed-gene-0.179-mRNA-1_1&gene=genemark-NODE_22_length_142085_cov_53.8417_ID_5899-processed-gene-0.179&CDS=1-3120, snap_masked-NODE_157_length_10859_cov_55.48_ID_17224-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_157_length_10859_cov_55.48_ID_17224-processed-gene-0.0&CDS=1-2847, snap_masked-NODE_212_length_2080_cov_53.3486_ID_17948-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_212_length_2080_cov_53.3486_ID_17948-processed-gene-0.0&CDS=1-1017, snap_masked-NODE_23_length_140454_cov_57.1584_ID_10316-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_23_length_140454_cov_57.1584_ID_10316-processed-gene-0.17&CDS=1-3519
3	OG0000003	YAL051W, YLL054C, YOR363C	genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-1.45&CDS=1-2895, genemark-NODE_55_length_82024_cov_53.963_ID_12726-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_55_length_82024_cov_53.963_ID_12726-processed-gene-0.11&CDS=1-2682, genemark-NODE_55_length_82024_cov_53.963_ID_12726-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_55_length_82024_cov_53.963_ID_12726-processed-gene-0.13&CDS=1-2991, genemark-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-1.86-mRNA-1_1&gene=genemark-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-1.86&CDS=1-2760, snap_masked-NODE_55_length_82024_cov_53.963_ID_12726-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_55_length_82024_cov_53.963_ID_12726-processed-gene-0.94&CDS=1-2844, snap_masked-NODE_9_length_207591_cov_58.935_ID_5467-processed-gene-1.176-mRNA-1_1&gene=snap_masked-NODE_9_length_207591_cov_58.935_ID_5467-processed-gene-1.176&CDS=1-2037
4	OG0000004	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_14_length_185717_cov_58.2368_ID_8258-processed-gene-0.229-mRNA-1_1&gene=genemark-NODE_14_length_185717_cov_58.2368_ID_8258-processed-gene-0.229&CDS=1-1047, genemark-NODE_175_length_7135_cov_55.411_ID_16415-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_175_length_7135_cov_55.411_ID_16415-processed-gene-0.11&CDS=1-777, genemark-NODE_26_length_135124_cov_58.5831_ID_7941-processed-gene-0.132-mRNA-1_1&gene=genemark-NODE_26_length_135124_cov_58.5831_ID_7941-processed-gene-0.132&CDS=1-1047, genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-1.14&CDS=1-1044, snap_masked-NODE_126_length_23233_cov_70.2231_ID_15139-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_126_length_23233_cov_70.2231_ID_15139-processed-gene-0.27&CDS=1-987
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_12_length_191144_cov_54.1603_ID_7329-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_12_length_191144_cov_54.1603_ID_7329-processed-gene-0.14&CDS=1-3867, genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-0.80&CDS=1-2175, genemark-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-0.83-mRNA-1_1&gene=genemark-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-0.83&CDS=1-2511, genemark-NODE_90_length_49101_cov_54.5581_ID_10039-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_90_length_49101_cov_54.5581_ID_10039-processed-gene-0.18&CDS=1-2652
6	OG0000006	YKL071W	genemark-NODE_146_length_13781_cov_56.9424_ID_15209-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_146_length_13781_cov_56.9424_ID_15209-processed-gene-0.2&CDS=1-765, genemark-NODE_25_length_136532_cov_55.6675_ID_12345-processed-gene-0.90-mRNA-1_1&gene=genemark-NODE_25_length_136532_cov_55.6675_ID_12345-processed-gene-0.90&CDS=1-762, genemark-NODE_45_length_95811_cov_55.0546_ID_24791-processed-gene-0.82-mRNA-1_1&gene=genemark-NODE_45_length_95811_cov_55.0546_ID_24791-processed-gene-0.82&CDS=1-756, genemark-NODE_5_length_323236_cov_54.5967_ID_5390-processed-gene-1.93-mRNA-1_1&gene=genemark-NODE_5_length_323236_cov_54.5967_ID_5390-processed-gene-1.93&CDS=1-756, maker-NODE_25_length_136532_cov_55.6675_ID_12345-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_25_length_136532_cov_55.6675_ID_12345-snap-gene-0.5&CDS=1-1509, snap_masked-NODE_44_length_96743_cov_61.9992_ID_6736-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_44_length_96743_cov_61.9992_ID_6736-processed-gene-0.34&CDS=1-582, snap_masked-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-1.37-mRNA-1_1&gene=snap_masked-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-1.37&CDS=1-678
7	OG0000007	YKL092C	augustus_masked-NODE_308_length_648_cov_107.937_ID_29919-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_308_length_648_cov_107.937_ID_29919-processed-gene-0.2&CDS=1-468, augustus_masked-NODE_36_length_112025_cov_56.9043_ID_14889-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-NODE_36_length_112025_cov_56.9043_ID_14889-processed-gene-0.134&CDS=1-2682, augustus_masked-NODE_36_length_112025_cov_56.9043_ID_14889-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-NODE_36_length_112025_cov_56.9043_ID_14889-processed-gene-0.135&CDS=1-417, augustus_masked-NODE_42_length_100638_cov_56.583_ID_6634-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_42_length_100638_cov_56.583_ID_6634-processed-gene-0.75&CDS=1-4494, augustus_masked-NODE_42_length_100638_cov_56.583_ID_6634-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NODE_42_length_100638_cov_56.583_ID_6634-processed-gene-0.77&CDS=1-3069, augustus_masked-NODE_42_length_100638_cov_56.583_ID_6634-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_42_length_100638_cov_56.583_ID_6634-processed-gene-0.87&CDS=1-3156, snap_masked-NODE_42_length_100638_cov_56.583_ID_6634-processed-gene-0.21-mRNA-1_1&gene=snap_masked-NODE_42_length_100638_cov_56.583_ID_6634-processed-gene-0.21&CDS=1-3066
8	OG0000008	YBL063W, YEL061C, YKL079W	genemark-NODE_109_length_34640_cov_55.5222_ID_11315-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_109_length_34640_cov_55.5222_ID_11315-processed-gene-0.34&CDS=1-3276, genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-1.34-mRNA-1_1&gene=genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-1.34&CDS=1-1365, genemark-NODE_66_length_73827_cov_54.8195_ID_9775-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_66_length_73827_cov_54.8195_ID_9775-processed-gene-0.64&CDS=1-2331, maker-NODE_59_length_79404_cov_58.3396_ID_12452-augustus-gene-0.92-mRNA-1_1&gene=maker-NODE_59_length_79404_cov_58.3396_ID_12452-augustus-gene-0.92&CDS=1-4206
9	OG0000009	YBR015C	augustus_masked-NODE_17_length_163658_cov_63.2191_ID_9589-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_17_length_163658_cov_63.2191_ID_9589-processed-gene-0.42&CDS=1-1671, genemark-NODE_137_length_17476_cov_54.0133_ID_14525-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_137_length_17476_cov_54.0133_ID_14525-processed-gene-0.9&CDS=1-1623, genemark-NODE_78_length_62591_cov_54.3235_ID_9733-processed-gene-0.66-mRNA-1_1&gene=genemark-NODE_78_length_62591_cov_54.3235_ID_9733-processed-gene-0.66&CDS=1-1635, genemark-NODE_98_length_41651_cov_52.0766_ID_13578-processed-gene-0.49-mRNA-1_1&gene=genemark-NODE_98_length_41651_cov_52.0766_ID_13578-processed-gene-0.49&CDS=1-1773, maker-NODE_1_length_473280_cov_55.4859_ID_5171-snap-gene-0.74-mRNA-1_1&gene=maker-NODE_1_length_473280_cov_55.4859_ID_5171-snap-gene-0.74&CDS=1-3510, snap_masked-NODE_3_length_354816_cov_57.3327_ID_6176-processed-gene-1.148-mRNA-1_1&gene=snap_masked-NODE_3_length_354816_cov_57.3327_ID_6176-processed-gene-1.148&CDS=1-1800
