	OrthologID	Saccharomyces_cerevisiae	Saitoella_complicata
0	OG0000000	YIL147C	XP_019020713.1, XP_019020916.1, XP_019023099.1, XP_019023138.1, XP_019023447.1, XP_019023515.1, XP_019023677.1, XP_019023847.1, XP_019024539.1, XP_019024592.1, XP_019025063.1, XP_019025104.1, XP_019025746.1, XP_019025837.1, XP_019025928.1, XP_019026218.1, XP_019026485.1, XP_019027453.1
1	OG0000001	YLR014C, YPL248C	XP_019020764.1, XP_019020940.1, XP_019021392.1, XP_019021482.1, XP_019022152.1, XP_019022671.1, XP_019023784.1, XP_019024175.1, XP_019024476.1, XP_019024525.1, XP_019025699.1, XP_019025743.1, XP_019025812.1, XP_019026555.1, XP_019026828.1, XP_019027244.1, XP_019027450.1
2	OG0000002	YGR260W, YIL166C	XP_019020842.1, XP_019020887.1, XP_019021516.1, XP_019022022.1, XP_019022062.1, XP_019022583.1, XP_019022818.1, XP_019023534.1, XP_019025390.1, XP_019025532.1, XP_019025800.1, XP_019026269.1, XP_019027268.1
3	OG0000003	YBR008C, YHR048W, YLL028W	XP_019021480.1, XP_019022030.1, XP_019022281.1, XP_019022681.1, XP_019022805.1, XP_019023174.1, XP_019024055.1, XP_019025733.1, XP_019026049.1, XP_019026945.1, XP_019027032.1
4	OG0000004	YDR144C, YGL259W, YIR039C, YLR120C, YLR121C	XP_019020721.1, XP_019020917.1, XP_019021447.1, XP_019022997.1, XP_019025562.1, XP_019027604.1
5	OG0000005	YKL220C, YLL051C, YNR060W, YOL152W, YOR381W, YOR384W	XP_019022082.1, XP_019024257.1, XP_019024850.1, XP_019026223.1, XP_019027357.1
6	OG0000006	YCR060W, YIR004W, YJR097W	XP_019022032.1, XP_019022359.1, XP_019022809.1, XP_019024584.1, XP_019025471.1, XP_019026214.1, XP_019027443.1
7	OG0000007	YDR146C, YER130C, YLR131C, YMR182C, YNL027W	XP_019021049.1, XP_019022783.1, XP_019022891.1, XP_019023979.1, XP_019027465.1
8	OG0000008	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YJL219W, YMR011W, YOL156W	
9	OG0000009	YBL063W, YGL216W, YPL155C	XP_019020757.1, XP_019021353.1, XP_019022350.1, XP_019022923.1, XP_019023110.1, XP_019025437.1
10	OG0000010	YBR021W, YIR028W	XP_019021076.1, XP_019021484.1, XP_019021575.1, XP_019022419.1, XP_019024532.1, XP_019026462.1, XP_019026831.1
11	OG0000011	YBR260C, YDR379W, YOR127W, YPL115C	XP_019021677.1, XP_019023973.1, XP_019026380.1, XP_019026469.1, XP_019026680.1
12	OG0000012	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W	XP_019024491.1, XP_019026618.1, XP_019027223.1, XP_019027576.1
13	OG0000013	YDR122W, YDR477W, YKL101W, YLR096W, YPL150W	XP_019021553.1, XP_019022830.1, XP_019026016.1, XP_019027306.1
14	OG0000014	YBR028C, YHR205W, YKL126W, YMR104C	XP_019022123.1, XP_019022636.1, XP_019022696.1, XP_019022720.1
15	OG0000015	YBR145W, YMR083W, YMR303C, YOL086C	XP_019022391.1, XP_019023763.1, XP_019024973.1, XP_019025806.1
16	OG0000016	YBR160W, YKL139W, YPR161C	XP_019021046.1, XP_019023721.1, XP_019025147.1, XP_019025790.1, XP_019025958.1
17	OG0000017	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	XP_019023143.1
18	OG0000018	YDL210W, YGL077C, YKL174C	XP_019020866.1, XP_019022058.1, XP_019023343.1, XP_019024823.1, XP_019026307.1
19	OG0000019	YFL055W, YNL268W, YPL265W	XP_019022078.1, XP_019022448.1, XP_019024191.1, XP_019026516.1, XP_019027600.1
20	OG0000020	YJL034W, YKL073W, YLL024C, YNL209W	XP_019022133.1, XP_019024252.1, XP_019024941.1, XP_019025654.1
21	OG0000021	YJR152W, YLR004C	XP_019022213.1, XP_019023772.1, XP_019025388.1, XP_019025676.1, XP_019026521.1, XP_019027526.1
22	OG0000022	YNL202W	XP_019020838.1, XP_019021895.1, XP_019021897.1, XP_019023919.1, XP_019025703.1, XP_019026950.1, XP_019027389.1
23	OG0000023	YBR293W	XP_019022090.1, XP_019022295.1, XP_019023188.1, XP_019023432.1, XP_019024341.1, XP_019025798.1
24	OG0000024	YDL138W, YDL194W	XP_019020945.1, XP_019021309.1, XP_019021479.1, XP_019025851.1, XP_019026310.1
25	OG0000025	YDR402C	XP_019022096.1, XP_019023674.1, XP_019025076.1, XP_019025465.1, XP_019026115.1, XP_019027000.1
26	OG0000026	YKL221W, YOL119C, YOR306C	XP_019021259.1, XP_019023691.1, XP_019024976.1, XP_019027271.1
27	OG0000027	YLL052C, YLL053C, YPR192W	XP_019021919.1, XP_019023652.1, XP_019024682.1, XP_019026713.1
28	OG0000028	YOL105C, YOR008C	XP_019021947.1, XP_019025739.1, XP_019026951.1, XP_019027030.1, XP_019027353.1
29	OG0000029	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	XP_019027303.1
30	OG0000030	YBR240C	XP_019020947.1, XP_019022215.1, XP_019025400.1, XP_019026100.1, XP_019026328.1
31	OG0000031	YDL047W, YDR075W, YNR032W	XP_019023163.1, XP_019023207.1, XP_019025050.1
32	OG0000032	YDL056W, YIL101C, YLR182W	XP_019025573.1, XP_019025890.1, XP_019026560.1
33	OG0000033	YDR242W	XP_019023392.1, XP_019025677.1, XP_019025902.1, XP_019026936.1, XP_019027406.1
34	OG0000034	YDR247W, YHR082C, YPL026C	XP_019021009.1, XP_019022892.1, XP_019023566.1
35	OG0000035	YGR197C, YJR015W	XP_019020722.1, XP_019022602.1, XP_019023332.1, XP_019023334.1
36	OG0000036	YGR261C, YJR005W, YKL135C	XP_019022546.1, XP_019022603.1, XP_019023187.1
37	OG0000037	YGR281W, YLL048C	XP_019022655.1, XP_019023614.1, XP_019023899.1, XP_019024128.1
38	OG0000038	YHR178W	XP_019021735.1, XP_019021990.1, XP_019022269.1, XP_019024190.1, XP_019026893.1
39	OG0000039	YIL107C, YJL155C, YLR345W	XP_019021299.1, XP_019023013.1, XP_019027423.1
40	OG0000040	YKR089C, YMR313C, YOR081C	XP_019021847.1, XP_019022318.1, XP_019024923.1
41	OG0000041	YNR055C	XP_019020929.1, XP_019024094.1, XP_019025600.1, XP_019025807.1, XP_019026528.1
42	OG0000042	YOL030W, YOL132W	XP_019023888.1, XP_019023931.1, XP_019025418.1, XP_019026270.1
43	OG0000043	YAL023C, YDL093W, YDL095W	XP_019021644.1, XP_019024223.1
44	OG0000044	YBL017C, YIL173W, YJL222W, YNR065C	XP_019023335.1
45	OG0000045	YBR297W, YFL052W, YGR288W, YPR196W	XP_019026477.1
46	OG0000046	YCL032W, YLR362W	XP_019023595.1, XP_019024628.1, XP_019026281.1
47	OG0000047	YCR105W, YMR318C	XP_019021894.1, XP_019025781.1, XP_019027084.1
48	OG0000048	YCR107W, YDL243C, YJR155W, YNL331C	XP_019026491.1
49	OG0000049	YDL122W, YPL072W	XP_019020999.1, XP_019024323.1, XP_019026219.1
50	OG0000050	YDL132W, YGR003W	XP_019021121.1, XP_019026181.1, XP_019026714.1
51	OG0000051	YDL155W, YGR108W, YPR119W	XP_019021471.1, XP_019025462.1
52	OG0000052	YDL244W, YFL058W, YJR156C, YNL332W	XP_019020949.1
53	OG0000053	YDR021W, YJL138C, YKR059W	XP_019022203.1, XP_019025281.1
54	OG0000054	YDR030C, YDR142C	XP_019022928.1, XP_019023124.1, XP_019024317.1
55	OG0000055	YDR074W, YML100W, YMR261C	XP_019020742.1, XP_019022812.1
56	OG0000056	YDR533C, YMR322C, YOR391C, YPL280W	XP_019026492.1
57	OG0000057	YDR536W	XP_019021925.1, XP_019022064.1, XP_019025166.1, XP_019027065.1
58	OG0000058	YDR541C, YGL039W, YGL157W, YOL151W	XP_019021628.1
59	OG0000059	YEL006W, YIL006W, YIL134W	XP_019022592.1, XP_019024006.1
60	OG0000060	YER001W, YGL257C, YIL014W, YNR059W	XP_019026630.1
61	OG0000061	YER020W, YHR005C	XP_019023893.1, XP_019023906.1, XP_019026679.1
62	OG0000062	YER154W, YGR062C	XP_019024285.1, XP_019024953.1, XP_019025234.1
63	OG0000063	YFL004W, YJL012C, YPL019C	XP_019021249.1, XP_019024276.1
64	OG0000064	YGL120C, YKL078W	XP_019021144.1, XP_019023195.1, XP_019024111.1
65	OG0000065	YGL141W, YJR036C	XP_019021739.1, XP_019023692.1, XP_019024524.1
66	OG0000066	YGL194C, YNL330C	XP_019021369.1, XP_019021394.1, XP_019025269.1
67	OG0000067	YGR121C, YNL142W, YPR138C	XP_019027069.1, XP_019027188.1
68	OG0000068	YJR131W, YLR057W	XP_019022737.1, XP_019026386.1, XP_019027582.1
69	OG0000069	YKL132C, YMR113W	XP_019021804.1, XP_019021805.1, XP_019024099.1
70	OG0000070	YKL209C	XP_019022283.1, XP_019023577.1, XP_019025708.1, XP_019025712.1
71	OG0000071	YKR076W, YMR251W	XP_019021850.1, XP_019025209.1, XP_019026554.1
72	OG0000072	YLR032W, YOR191W	XP_019024511.1, XP_019025534.1, XP_019025587.1
73	OG0000073	YLR307W, YLR308W	XP_019021098.1, XP_019023584.1, XP_019027312.1
74	OG0000074	YML104C, YMR004W	XP_019024947.1, XP_019026260.1, XP_019027199.1
75	OG0000075	YNR070W	XP_019022754.1, XP_019023344.1, XP_019025231.1, XP_019027241.1
76	OG0000076	YOL137W	XP_019021528.1, XP_019023220.1, XP_019023971.1, XP_019024875.1
77	OG0000077	YPL088W, YPR127W	XP_019022205.1, XP_019026038.1, XP_019026339.1
78	OG0000078	YAL012W, YGL184C	XP_019022588.1, XP_019022693.1
79	OG0000079	YAL026C, YMR162C	XP_019024730.1, XP_019025441.1
80	OG0000080	YAL049C	XP_019022292.1, XP_019025965.1, XP_019027359.1
81	OG0000081	YBL037W, YPR029C	XP_019021973.1, XP_019026838.1
82	OG0000082	YBL088C, YBR136W	XP_019023643.1, XP_019026195.1
83	OG0000083	YBR010W, YNL031C	XP_019023085.1, XP_019025929.1
84	OG0000084	YBR038W	XP_019022678.1, XP_019025738.1, XP_019025762.1
85	OG0000085	YBR073W, YGL163C	XP_019020743.1, XP_019026531.1
86	OG0000086	YBR104W, YPR058W	XP_019023301.1, XP_019027446.1
87	OG0000087	YBR150C, YOL089C	XP_019027292.1, XP_019027362.1
88	OG0000088	YBR203W, YDR079W	XP_019022494.1, XP_019026538.1
89	OG0000089	YBR239C, YPL133C	XP_019021790.1, XP_019023718.1
90	OG0000090	YBR241C, YGL104C	XP_019023871.1, XP_019026245.1
91	OG0000091	YCL039W	XP_019021105.1, XP_019025159.1, XP_019025302.1
92	OG0000092	YCL067C, YCR039C, YCR096C	XP_019021679.1
93	OG0000093	YCL069W, YGR224W, YKR105C, YPR198W	
94	OG0000094	YCR014C	XP_019023980.1, XP_019024688.1, XP_019027126.1
95	OG0000095	YCR048W, YNR019W	XP_019021704.1, XP_019021997.1
96	OG0000096	YCR092C, YDR097C	XP_019022334.1, XP_019026327.1
97	OG0000097	YCR102C, YLR460C, YNL134C	XP_019025711.1
98	OG0000098	YDL101C, YPL153C	XP_019022085.1, XP_019022857.1
99	OG0000099	YDL113C, YJL036W	XP_019023413.1, XP_019024999.1
100	OG0000100	YDL126C, YNL329C	XP_019022095.1, XP_019026240.1
101	OG0000101	YDL159W, YPL140C	XP_019021966.1, XP_019025756.1
102	OG0000102	YDR020C, YNR012W	XP_019023414.1, XP_019024921.1
103	OG0000103	YDR038C, YDR039C, YDR040C	XP_019023864.1
104	OG0000104	YDR128W, YOL138C	XP_019021350.1, XP_019027364.1
105	OG0000105	YDR170C, YPR095C	XP_019024710.1, XP_019027578.1
106	OG0000106	YDR213W, YLR228C	XP_019023321.1, XP_019025980.1
107	OG0000107	YDR243C, YNL112W	XP_019022793.1, XP_019024963.1
108	OG0000108	YDR258C, YLL026W	XP_019020796.1, XP_019021694.1
109	OG0000109	YDR259C, YOR028C	XP_019021583.1, XP_019026865.1
110	OG0000110	YDR287W, YHR046C	XP_019025696.1, XP_019026000.1
111	OG0000111	YDR329C, YMR092C	XP_019021464.1, XP_019025176.1
112	OG0000112	YDR334W, YGL150C	XP_019024554.1, XP_019025658.1
113	OG0000113	YDR368W, YOR120W	XP_019022913.1, XP_019027166.1
114	OG0000114	YDR416W, YKR034W	XP_019023409.1, XP_019024927.1
115	OG0000115	YDR457W, YER125W	XP_019025325.1, XP_019026879.1
116	OG0000116	YDR485C, YEL044W	XP_019023007.1, XP_019024671.1
117	OG0000117	YEL041W, YJR049C	XP_019023769.1, XP_019025433.1
118	OG0000118	YER015W, YOR317W	XP_019022755.1, XP_019024297.1
119	OG0000119	YER047C, YPR173C	XP_019022548.1, XP_019027550.1
120	OG0000120	YER056C, YER060W, YER060W-A	XP_019021435.1
121	OG0000121	YER099C, YOL061W	XP_019025921.1, XP_019026862.1
122	OG0000122	YER172C, YGR271W	XP_019022206.1, XP_019023638.1
123	OG0000123	YER175C, YHR209W	XP_019022945.1, XP_019023303.1
124	OG0000124	YER185W, YGR213C	XP_019021404.1, XP_019025979.1
125	OG0000125	YFL037W, YLR212C	XP_019023901.1, XP_019027087.1
126	OG0000126	YFL050C, YOL130W	XP_019023028.1, XP_019024648.1
127	OG0000127	YFL060C, YMR095C, YNL334C	XP_019026701.1
128	OG0000128	YFR021W, YGR223C	XP_019023241.1, XP_019026112.1
129	OG0000129	YFR038W, YIL126W	XP_019026703.1, XP_019026751.1
130	OG0000130	YGL003C, YGL116W	XP_019022506.1, XP_019026918.1
131	OG0000131	YGL097W, YLR077W	XP_019024827.1, XP_019027543.1
132	OG0000132	YGL125W, YPL023C	XP_019025175.1, XP_019026551.1
133	OG0000133	YGL131C, YPR031W	XP_019021880.1, XP_019022158.1
134	OG0000134	YGR010W, YLR328W	XP_019022837.1, XP_019025360.1
135	OG0000135	YGR087C, YLR044C, YLR134W	XP_019027718.1
136	OG0000136	YGR170W	XP_019023116.1, XP_019023880.1, XP_019025704.1
137	OG0000137	YGR263C	XP_019024193.1, XP_019024786.1, XP_019025794.1
138	OG0000138	YGR276C, YLR107W	XP_019022130.1, XP_019023897.1
139	OG0000139	YHL007C, YNL298W	XP_019025085.1, XP_019025630.1
140	OG0000140	YHL016C	XP_019024411.1, XP_019024467.1, XP_019026846.1
141	OG0000141	YHL027W, YPR022C	XP_019022060.1, XP_019024530.1
142	OG0000142	YHL039W, YPL208W	XP_019024176.1, XP_019024475.1
143	OG0000143	YHR065C, YNR038W	XP_019022683.1, XP_019026494.1
144	OG0000144	YHR098C, YIL109C	XP_019020767.1, XP_019022453.1
145	OG0000145	YHR113W, YKL103C	XP_019023723.1, XP_019024381.1
146	OG0000146	YHR172W, YNL126W	XP_019021399.1, XP_019022717.1
147	OG0000147	YIL031W, YPL020C	XP_019023310.1, XP_019025150.1
148	OG0000148	YIL078W, YKL194C	XP_019024082.1, XP_019027567.1
149	OG0000149	YIL085C, YNL029C	XP_019024494.1, XP_019025498.1
150	OG0000150	YIL120W, YIL121W, YNL065W	XP_019025978.1
151	OG0000151	YIL160C	XP_019024425.1, XP_019024903.1, XP_019026719.1
152	OG0000152	YIL162W	XP_019024450.1, XP_019025964.1, XP_019026142.1
153	OG0000153	YJL050W, YLR398C	XP_019023632.1, XP_019025319.1
154	OG0000154	YJL130C, YJR109C	XP_019022211.1, XP_019027256.1
155	OG0000155	YJL172W, YOL153C	XP_019023913.1, XP_019025505.1
156	OG0000156	YJL200C, YLR304C	XP_019024058.1, XP_019027557.1
157	OG0000157	YKL107W	XP_019022865.1, XP_019025915.1, XP_019027512.1
158	OG0000158	YKL188C, YPL147W	XP_019026313.1, XP_019026542.1
159	OG0000159	YKL197C, YLR397C	XP_019026312.1, XP_019027458.1
160	OG0000160	YKL217W	XP_019021286.1, XP_019022927.1, XP_019025144.1
161	OG0000161	YKL222C, YLR266C, YOR162C, YOR172W	
162	OG0000162	YKR001C, YLL001W	XP_019023498.1, XP_019025296.1
163	OG0000163	YKR099W	XP_019021853.1, XP_019024151.1, XP_019024329.1
164	OG0000164	YLL016W, YLR310C	XP_019024084.1, XP_019025469.1
165	OG0000165	YLR023C, YOL002C	XP_019021023.1, XP_019022860.1
166	OG0000166	YLR152C, YNL095C, YOR092W	XP_019026980.1
167	OG0000167	YLR300W, YOR190W	XP_019025649.1, XP_019027018.1
168	OG0000168	YLR419W	XP_019021918.1, XP_019021923.1, XP_019025516.1
169	OG0000169	YMR006C, YMR008C, YOL011W	XP_019022346.1
170	OG0000170	YMR078C, YOR144C	XP_019024492.1, XP_019026271.1
171	OG0000171	YMR116C, YOL087C	XP_019024917.1, XP_019026019.1
172	OG0000172	YMR253C, YPL264C	XP_019024750.1, XP_019025387.1
173	OG0000173	YNL032W, YNL056W	XP_019024019.1, XP_019026643.1
174	OG0000174	YNL275W	XP_019022013.1, XP_019024185.1, XP_019024189.1
175	OG0000175	YNR064C	XP_019021486.1, XP_019024025.1, XP_019026864.1
176	OG0000176	YOL055C, YPL258C, YPR121W	XP_019025835.1
177	OG0000177	YOL062C, YPL259C	XP_019023557.1, XP_019025250.1
178	OG0000178	YOR246C	XP_019021053.1, XP_019021396.1, XP_019027620.1
179	OG0000179	YOR275C, YPL084W	XP_019022066.1, XP_019024031.1
180	OG0000180	YAL007C, YOR016C	XP_019025149.1
181	OG0000181	YAL015C, YOL043C	XP_019023903.1
182	OG0000182	YAL017W, YOL045W	XP_019021931.1
183	OG0000183	YAL034C, YOR338W	XP_019024278.1
184	OG0000184	YAL060W, YAL061W	XP_019022615.1
185	OG0000185	YAR002C-A, YGL002W	XP_019025332.1
186	OG0000186	YAR042W, YDL019C	XP_019023569.1
187	OG0000187	YBL009W, YGL021W	XP_019024772.1
188	OG0000188	YBL013W	XP_019023750.1, XP_019025341.1
189	OG0000189	YBL027W, YBR084C-A	XP_019024403.1
190	OG0000190	YBL030C, YBR085W	XP_019021977.1
191	OG0000191	YBL039C, YJR103W	XP_019024778.1
192	OG0000192	YBL056W, YER089C	XP_019023960.1
193	OG0000193	YBL061C	XP_019022275.1, XP_019026667.1
194	OG0000194	YBL067C, YER098W	XP_019026646.1
195	OG0000195	YBL072C, YER102W	XP_019026867.1
196	OG0000196	YBL079W, YER105C	XP_019027007.1
197	OG0000197	YBL087C, YER117W	XP_019025778.1
198	OG0000198	YBL089W, YER119C	XP_019020907.1
199	OG0000199	YBL091C-A, YER120W	XP_019024092.1
200	OG0000200	YBL106C, YPR032W	XP_019027639.1
201	OG0000201	YBR005W, YDR003W	XP_019021761.1
202	OG0000202	YBR006W	XP_019022279.1, XP_019024409.1
203	OG0000203	YBR007C	XP_019023462.1, XP_019027629.1
204	OG0000204	YBR009C, YNL030W	XP_019023087.1
205	OG0000205	YBR014C, YDL010W	XP_019020853.1
206	OG0000206	YBR015C, YJL186W	XP_019024139.1
207	OG0000207	YBR020W, YDR009W	XP_019020946.1
208	OG0000208	YBR031W, YDR012W	XP_019021539.1
209	OG0000209	YBR048W, YDR025W	XP_019022253.1
210	OG0000210	YBR049C, YDR026C	XP_019022452.1
211	OG0000211	YBR054W, YDR033W	XP_019020953.1
212	OG0000212	YBR078W, YDR055W	XP_019024009.1
213	OG0000213	YBR089C-A, YPR052C	XP_019021018.1
214	OG0000214	YBR118W, YPR080W	XP_019021960.1
215	OG0000215	YBR140C, YOL081W	XP_019025853.1
216	OG0000216	YBR147W, YOL092W	XP_019025229.1
217	OG0000217	YBR161W, YPL057C	XP_019023064.1
218	OG0000218	YBR169C, YPL106C	XP_019026737.1
219	OG0000219	YBR172C, YPL105C	XP_019027693.1
220	OG0000220	YBR176W	XP_019021196.1, XP_019025018.1
221	OG0000221	YBR181C, YPL090C	XP_019026863.1
222	OG0000222	YBR182C, YPL089C	XP_019023442.1
223	OG0000223	YBR183W, YPL087W	XP_019021547.1
224	OG0000224	YBR191W, YPL079W	XP_019021684.1
225	OG0000225	YBR214W, YGL056C	XP_019027646.1
226	OG0000226	YBR233W	XP_019020712.1, XP_019022053.1
227	OG0000227	YBR242W, YGL101W	XP_019022741.1
