	OrthologID	Metschnikowia_proteae	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-proT_s1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-proT_s1-processed-gene-0.52&CDS=1-1239, augustus_masked-proT_s100-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-proT_s100-processed-gene-0.1&CDS=1-1842, augustus_masked-proT_s193-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-proT_s193-processed-gene-0.37&CDS=1-1272, augustus_masked-proT_s62-processed-gene-5.119-mRNA-1_1&gene=augustus_masked-proT_s62-processed-gene-5.119&CDS=1-867, genemark-proT_s106-processed-gene-7.151-mRNA-1_1&gene=genemark-proT_s106-processed-gene-7.151&CDS=1-996, snap_masked-proT_C15187-processed-gene-0.2-mRNA-1_1&gene=snap_masked-proT_C15187-processed-gene-0.2&CDS=1-930, snap_masked-proT_s104-processed-gene-0.19-mRNA-1_1&gene=snap_masked-proT_s104-processed-gene-0.19&CDS=1-2967, snap_masked-proT_s135-processed-gene-0.45-mRNA-1_1&gene=snap_masked-proT_s135-processed-gene-0.45&CDS=1-3948, snap_masked-proT_s17-processed-gene-0.4-mRNA-1_1&gene=snap_masked-proT_s17-processed-gene-0.4&CDS=1-762, snap_masked-proT_s233-processed-gene-0.8-mRNA-1_1&gene=snap_masked-proT_s233-processed-gene-0.8&CDS=1-2124, snap_masked-proT_s28-processed-gene-5.94-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-5.94&CDS=1-2028, snap_masked-proT_s6-processed-gene-2.77-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-2.77&CDS=1-4212	
1	OG0000001	maker-proT_s1-snap-gene-0.66-mRNA-1_1&gene=maker-proT_s1-snap-gene-0.66&CDS=1-1542, maker-proT_s1-snap-gene-1.79-mRNA-1_1&gene=maker-proT_s1-snap-gene-1.79&CDS=1-240, maker-proT_s12-snap-gene-0.66-mRNA-1_1&gene=maker-proT_s12-snap-gene-0.66&CDS=1-240, maker-proT_s170-snap-gene-0.2-mRNA-1_1&gene=maker-proT_s170-snap-gene-0.2&CDS=1-255, maker-proT_s25-snap-gene-2.108-mRNA-1_1&gene=maker-proT_s25-snap-gene-2.108&CDS=1-261, maker-proT_s3-snap-gene-7.0-mRNA-1_1&gene=maker-proT_s3-snap-gene-7.0&CDS=1-183, maker-proT_s3-snap-gene-8.57-mRNA-1_1&gene=maker-proT_s3-snap-gene-8.57&CDS=1-318	YHL021C, YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
2	OG0000002	snap_masked-proT_s106-processed-gene-7.36-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-7.36&CDS=1-2109, snap_masked-proT_s140-processed-gene-6.18-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-6.18&CDS=1-2121, snap_masked-proT_s19-processed-gene-0.18-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-0.18&CDS=1-2172, snap_masked-proT_s3-processed-gene-5.35-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-5.35&CDS=1-2130	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
3	OG0000003		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
4	OG0000004	snap_masked-proT_s106-processed-gene-3.58-mRNA-1_1&gene=snap_masked-proT_s106-processed-gene-3.58&CDS=1-2262, snap_masked-proT_s140-processed-gene-2.61-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-2.61&CDS=1-1776, snap_masked-proT_s188-processed-gene-0.85-mRNA-1_1&gene=snap_masked-proT_s188-processed-gene-0.85&CDS=1-2253, snap_masked-proT_s19-processed-gene-0.16-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-0.16&CDS=1-1062, snap_masked-proT_s199-processed-gene-1.86-mRNA-1_1&gene=snap_masked-proT_s199-processed-gene-1.86&CDS=1-2178, snap_masked-proT_s6-processed-gene-2.53-mRNA-1_1&gene=snap_masked-proT_s6-processed-gene-2.53&CDS=1-2604	YJR061W, YKL201C
5	OG0000005	snap_masked-proT_s19-processed-gene-1.151-mRNA-1_1&gene=snap_masked-proT_s19-processed-gene-1.151&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
6	OG0000006	genemark-proT_s32-processed-gene-0.175-mRNA-1_1&gene=genemark-proT_s32-processed-gene-0.175&CDS=1-1638, snap_masked-proT_s7-processed-gene-1.67-mRNA-1_1&gene=snap_masked-proT_s7-processed-gene-1.67&CDS=1-1653	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YMR011W
7	OG0000007	snap_masked-proT_s140-processed-gene-5.129-mRNA-1_1&gene=snap_masked-proT_s140-processed-gene-5.129&CDS=1-1968, snap_masked-proT_s28-processed-gene-4.52-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-4.52&CDS=1-3165, snap_masked-proT_s28-processed-gene-4.57-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-4.57&CDS=1-3516	YKL222C, YLR266C, YOR162C, YOR172W
8	OG0000008	snap_masked-proT_s145-processed-gene-4.183-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-4.183&CDS=1-1809, snap_masked-proT_s3-processed-gene-2.75-mRNA-1_1&gene=snap_masked-proT_s3-processed-gene-2.75&CDS=1-1719, snap_masked-proT_s62-processed-gene-1.59-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-1.59&CDS=1-1752, snap_masked-proT_s62-processed-gene-1.79-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-1.79&CDS=1-1725	YKR039W, YLL061W, YPL274W
9	OG0000009	genemark-proT_s213-processed-gene-0.96-mRNA-1_1&gene=genemark-proT_s213-processed-gene-0.96&CDS=1-2652, snap_masked-proT_s1-processed-gene-2.56-mRNA-1_1&gene=snap_masked-proT_s1-processed-gene-2.56&CDS=1-1074, snap_masked-proT_s145-processed-gene-4.154-mRNA-1_1&gene=snap_masked-proT_s145-processed-gene-4.154&CDS=1-2760, snap_masked-proT_s28-processed-gene-4.58-mRNA-1_1&gene=snap_masked-proT_s28-processed-gene-4.58&CDS=1-3315, snap_masked-proT_s62-processed-gene-5.174-mRNA-1_1&gene=snap_masked-proT_s62-processed-gene-5.174&CDS=1-2358	YKR064W
