	OrthologID	Saccharomyces_cerevisiae	yHAB153_Kazachstania_rosinii
0	OG0000000	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YOL156W	augustus_masked-scf7180000099692-processed-gene-1.205-mRNA-1_1&gene=augustus_masked-scf7180000099692-processed-gene-1.205&CDS=1-1341, maker-scf7180000099615-snap-gene-0.76-mRNA-1_1&gene=maker-scf7180000099615-snap-gene-0.76&CDS=1-5208, maker-scf7180000099631-snap-gene-0.47-mRNA-1_1&gene=maker-scf7180000099631-snap-gene-0.47&CDS=1-3336, snap_masked-scf7180000099565-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scf7180000099565-processed-gene-0.11&CDS=1-1725, snap_masked-scf7180000099614-processed-gene-0.20-mRNA-1_1&gene=snap_masked-scf7180000099614-processed-gene-0.20&CDS=1-1746
1	OG0000001	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-scf7180000099615-processed-gene-0.78-mRNA-1_1&gene=genemark-scf7180000099615-processed-gene-0.78&CDS=1-1413, maker-scf7180000099590-snap-gene-0.1-mRNA-1_1&gene=maker-scf7180000099590-snap-gene-0.1&CDS=1-1044, snap_masked-scf7180000099708-processed-gene-0.63-mRNA-1_1&gene=snap_masked-scf7180000099708-processed-gene-0.63&CDS=1-1413
2	OG0000002	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	maker-scf7180000099697-snap-gene-0.6-mRNA-1_1&gene=maker-scf7180000099697-snap-gene-0.6&CDS=1-4881
3	OG0000003	YOL151W	augustus_masked-scf7180000099545-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000099545-processed-gene-0.2&CDS=1-651, snap_masked-scf7180000099450-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000099450-processed-gene-0.4&CDS=1-1023, snap_masked-scf7180000099553-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000099553-processed-gene-0.0&CDS=1-1023, snap_masked-scf7180000099589-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000099589-processed-gene-0.2&CDS=1-1023, snap_masked-scf7180000099657-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000099657-processed-gene-0.4&CDS=1-1023, snap_masked-scf7180000099691-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000099691-processed-gene-0.7&CDS=1-1023
4	OG0000004	YBR019C, YHR210C, YNR071C	augustus_masked-scf7180000099451-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000099451-processed-gene-0.2&CDS=1-684, augustus_masked-scf7180000099615-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-scf7180000099615-processed-gene-2.75&CDS=1-1458, augustus_masked-scf7180000099652-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000099652-processed-gene-0.5&CDS=1-1911
5	OG0000005	YDL066W, YLR174W, YLR175W	maker-scf7180000099668-augustus-gene-0.78-mRNA-1_1&gene=maker-scf7180000099668-augustus-gene-0.78&CDS=1-2655, snap_masked-scf7180000099643-processed-gene-2.144-mRNA-1_1&gene=snap_masked-scf7180000099643-processed-gene-2.144&CDS=1-1257, snap_masked-scf7180000099702-processed-gene-0.42-mRNA-1_1&gene=snap_masked-scf7180000099702-processed-gene-0.42&CDS=1-1287
6	OG0000006	YGR032W, YLR342W, YMR306W	augustus_masked-scf7180000099598-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-scf7180000099598-processed-gene-0.41&CDS=1-5067, snap_masked-scf7180000099602-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000099602-processed-gene-0.17&CDS=1-5628, snap_masked-scf7180000099626-processed-gene-0.19-mRNA-1_1&gene=snap_masked-scf7180000099626-processed-gene-0.19&CDS=1-7230
7	OG0000007	YHL009W-A, YHL009W-B, YJL113W, YJL114W, YPL060C-A	snap_masked-scf7180000099722-processed-gene-1.129-mRNA-1_1&gene=snap_masked-scf7180000099722-processed-gene-1.129&CDS=1-645
8	OG0000008	YHR179W, YPL171C	genemark-scf7180000099637-processed-gene-0.105-mRNA-1_1&gene=genemark-scf7180000099637-processed-gene-0.105&CDS=1-1209, genemark-scf7180000099650-processed-gene-0.99-mRNA-1_1&gene=genemark-scf7180000099650-processed-gene-0.99&CDS=1-1197, maker-scf7180000099639-snap-gene-0.78-mRNA-1_1&gene=maker-scf7180000099639-snap-gene-0.78&CDS=1-2340, snap_masked-scf7180000099602-processed-gene-0.33-mRNA-1_1&gene=snap_masked-scf7180000099602-processed-gene-0.33&CDS=1-1209
9	OG0000009	YKL162C	augustus_masked-scf7180000099418-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000099418-processed-gene-0.1&CDS=1-1008, augustus_masked-scf7180000099603-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000099603-processed-gene-0.13&CDS=1-1008, augustus_masked-scf7180000099690-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-scf7180000099690-processed-gene-0.69&CDS=1-3231, snap_masked-scf7180000099697-processed-gene-0.194-mRNA-1_1&gene=snap_masked-scf7180000099697-processed-gene-0.194&CDS=1-1806, snap_masked-scf7180000099711-processed-gene-1.49-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-1.49&CDS=1-2439
10	OG0000010	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-scf7180000099716-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000099716-processed-gene-0.17&CDS=1-969
11	OG0000011	YAL005C, YER103W, YLL024C	snap_masked-scf7180000099619-processed-gene-1.186-mRNA-1_1&gene=snap_masked-scf7180000099619-processed-gene-1.186&CDS=1-1929, snap_masked-scf7180000099716-processed-gene-0.57-mRNA-1_1&gene=snap_masked-scf7180000099716-processed-gene-0.57&CDS=1-1902
12	OG0000012	YBL017C, YIL173W, YJL222W, YNR065C	genemark-scf7180000099633-processed-gene-0.156-mRNA-1_1&gene=genemark-scf7180000099633-processed-gene-0.156&CDS=1-5178
13	OG0000013	YBR009C, YNL030W	snap_masked-scf7180000099643-processed-gene-2.116-mRNA-1_1&gene=snap_masked-scf7180000099643-processed-gene-2.116&CDS=1-309, snap_masked-scf7180000099673-processed-gene-0.48-mRNA-1_1&gene=snap_masked-scf7180000099673-processed-gene-0.48&CDS=1-309, snap_masked-scf7180000099676-processed-gene-2.156-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-2.156&CDS=1-309
14	OG0000014	YBR010W, YNL031C	snap_masked-scf7180000099532-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000099532-processed-gene-0.3&CDS=1-408, snap_masked-scf7180000099643-processed-gene-2.147-mRNA-1_1&gene=snap_masked-scf7180000099643-processed-gene-2.147&CDS=1-408, snap_masked-scf7180000099673-processed-gene-0.57-mRNA-1_1&gene=snap_masked-scf7180000099673-processed-gene-0.57&CDS=1-408
15	OG0000015	YBR015C, YJL186W	genemark-scf7180000099621-processed-gene-0.29-mRNA-1_1&gene=genemark-scf7180000099621-processed-gene-0.29&CDS=1-2091, snap_masked-scf7180000099615-processed-gene-2.28-mRNA-1_1&gene=snap_masked-scf7180000099615-processed-gene-2.28&CDS=1-1890, snap_masked-scf7180000099673-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000099673-processed-gene-0.55&CDS=1-1962
16	OG0000016	YBR245C, YOR304W	augustus_masked-scf7180000099622-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-scf7180000099622-processed-gene-0.114&CDS=1-3696, snap_masked-scf7180000099615-processed-gene-1.12-mRNA-1_1&gene=snap_masked-scf7180000099615-processed-gene-1.12&CDS=1-3240, snap_masked-scf7180000099711-processed-gene-5.112-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-5.112&CDS=1-3264
17	OG0000017	YCL025C, YMR055C	maker-scf7180000099649-snap-gene-3.8-mRNA-1_1&gene=maker-scf7180000099649-snap-gene-3.8&CDS=1-2814, snap_masked-scf7180000099616-processed-gene-1.136-mRNA-1_1&gene=snap_masked-scf7180000099616-processed-gene-1.136&CDS=1-1923, snap_masked-scf7180000099701-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scf7180000099701-processed-gene-0.44&CDS=1-2055
18	OG0000018	YCR105W, YMR318C	genemark-scf7180000099589-processed-gene-0.79-mRNA-1_1&gene=genemark-scf7180000099589-processed-gene-0.79&CDS=1-1083, snap_masked-scf7180000099586-processed-gene-0.202-mRNA-1_1&gene=snap_masked-scf7180000099586-processed-gene-0.202&CDS=1-1080, snap_masked-scf7180000099649-processed-gene-0.55-mRNA-1_1&gene=snap_masked-scf7180000099649-processed-gene-0.55&CDS=1-1080
19	OG0000019	YDR021W, YJL138C, YKR059W	maker-scf7180000099637-snap-gene-0.80-mRNA-1_1&gene=maker-scf7180000099637-snap-gene-0.80&CDS=1-4497, snap_masked-scf7180000099682-processed-gene-0.84-mRNA-1_1&gene=snap_masked-scf7180000099682-processed-gene-0.84&CDS=1-1254
