	OrthologID	Saccharomyces_cerevisiae	Schizosaccharomyces_pomb
0	OG0000000	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	SPAC13D1.01c_pep, SPAC167.08_pep, SPAC19D5.09c_pep, SPAC26A3.13c_pep, SPAC27E2.08_pep, SPAC2E1P3.03c_pep, SPAC9.04_pep, SPAPB15E9.03c_pep, SPBC1289.17_pep, SPBC1E8.04_pep, SPBC9B6.02c_pep, SPCC1020.14_pep, SPCC1494.11c_pep
1	OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	
2	OG0000002	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	SPBC21H7.03c_pep, SPBC428.03c_pep, SPBP4G3.02_pep
3	OG0000003	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	SPBC1683.07_pep
4	OG0000004	YDR144C, YIL015W, YIR039C, YLR120C, YLR121C, YPL154C	SPAC26A3.01_pep, SPCC1795.09_pep
5	OG0000005	YKR039W	SPAC1039.09_pep, SPAC869.11_pep, SPAP7G5.06_pep, SPBC359.01_pep, SPBC359.03c_pep, SPBC460.01c_pep, SPBPB2B2.01_pep
6	OG0000006	YLR155C, YLR157C, YLR158C, YLR160C	SPAC186.03_pep, SPAC977.12_pep, SPBPB21E7.09_pep, SPBPB8B6.05c_pep
7	OG0000007		SPAC1F8.01_pep, SPBC1348.14c_pep, SPBC1683.08_pep, SPBC4B4.08_pep, SPCC1235.13_pep, SPCC1235.14_pep, SPCC548.06c_pep, SPCC548.07c_pep
8	OG0000008	YIL130W, YJL206C	SPAC1486.10_pep, SPAC3C7.04_pep, SPBC16G5.16_pep, SPBC530.08_pep, SPCC417.09c_pep
9	OG0000009	YJL183W	SPAC22E12.06c_pep, SPAC5H10.11_pep, SPAC5H10.13c_pep, SPBC1289.13c_pep, SPBC8D2.17_pep, SPCC736.04c_pep
10	OG0000010	YMR006C, YMR008C, YOL011W	SPAC1A6.03c_pep, SPAC977.09c_pep, SPBC1348.10c_pep, SPCC1450.09c_pep
11	OG0000011	YCL067C, YCR039C, YCR096C, YGL096W, YPL177C	SPMTR.02_pep
12	OG0000012	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W	SPBC4F6.09_pep
13	OG0000013	YDR533C, YMR322C, YOR391C, YPL280W	SPAC5H10.02c_pep, SPCC757.03c_pep
14	OG0000014	YKL220C, YLL051C, YLR214W, YNR060W, YOR381W, YOR384W	
15	OG0000015	YBL005W, YER184C, YGL013C	SPAC2H10.01_pep, SPBC1773.12_pep
16	OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	SPBC16C6.06_pep
17	OG0000017	YBR009C, YNL030W	SPAC1834.03c_pep, SPBC1105.12_pep, SPBC8D2.03c_pep
18	OG0000018	YBR010W, YNL031C	SPAC1834.04_pep, SPBC1105.11c_pep, SPBC8D2.04_pep
19	OG0000019	YBR118W, YPR080W	SPAC23A1.10_pep, SPBC839.15c_pep, SPCC794.09c_pep
20	OG0000020	YBR145W, YMR083W, YMR303C, YOL086C	SPCC13B11.01_pep
21	OG0000021	YBR240C, YDR034C, YML099C	SPAC821.07c_pep, SPBC15D4.02_pep
22	OG0000022	YDL244W, YFL058W, YJR156C, YNL332W	SPCC1223.02_pep
23	OG0000023	YDR541C, YGL039W, YGL157W, YOL151W	SPAC513.07_pep
24	OG0000024	YFR031C-A, YIL018W	SPAC1F7.13c_pep, SPBC2F12.07c_pep, SPBC839.04_pep
25	OG0000025	YGL258W, YOR387C	SPAC977.05c_pep, SPBC1348.06c_pep, SPBPB2B2.15_pep
26	OG0000026	YGR087C, YLR044C, YLR134W	SPAC13A11.06_pep, SPAC3G9.11c_pep
27	OG0000027	YHR203C, YJR145C	SPAC959.07_pep, SPBC19F8.08_pep, SPBC21B10.10_pep
28	OG0000028	YIL133C, YNL069C	SPAC23A1.11_pep, SPBC2G2.05_pep, SPBC839.13c_pep
29	OG0000029	YKL071W	SPCC24B10.20_pep, SPCC663.06c_pep, SPCC663.08c_pep, SPCC663.09c_pep
30	OG0000030	YLL028W	SPBC36.01c_pep, SPBC36.02c_pep, SPBC36.03c_pep, SPBC530.15c_pep
31	OG0000031	YLR098C, YOR337W	SPAC11D3.11c_pep, SPCC757.04_pep, SPCC777.02_pep
32	OG0000032	YML123C	SPAC23D3.12_pep, SPBC1683.01_pep, SPBC8E4.01c_pep, SPCC2H8.02_pep
33	OG0000033	YPL092W	SPBPB10D8.04c_pep, SPBPB10D8.05c_pep, SPBPB10D8.06c_pep, SPBPB10D8.07c_pep
34	OG0000034	YAL019W	SPAC20G8.08c_pep, SPAC25A8.01c_pep, SPCC1235.05c_pep
35	OG0000035	YAL034C, YOR338W	SPAC14C4.12c_pep, SPCC1682.13_pep
36	OG0000036	YBL008W, YOR038C	SPBC15D4.03_pep, SPBC31F10.13c_pep
37	OG0000037	YBL027W, YBR084C-A	SPBC56F2.02_pep, SPCC1682.14_pep
38	OG0000038	YBL056W, YER089C	SPAC2G11.07c_pep, SPCC1223.11_pep
39	OG0000039	YBL072C, YER102W	SPAC2C4.16c_pep, SPAC521.05_pep
40	OG0000040	YBL087C, YER117W	SPAC3G9.03_pep, SPCC1322.11_pep
41	OG0000041	YBR021W, YIR028W	SPAC1399.03_pep, SPAC29B12.14c_pep
42	OG0000042	YBR031W, YDR012W	SPBC1711.06_pep, SPBP8B7.03c_pep
43	OG0000043	YBR048W, YDR025W	SPAC144.11_pep, SPAC31G5.03_pep
44	OG0000044	YBR049C, YDR026C	SPAC22F8.07c_pep, SPBC1198.11c_pep
45	OG0000045	YBR054W, YCR021C, YDR033W	SPCC31H12.02c_pep
46	OG0000046	YBR103W, YNL182C	SPAC13G7.08c_pep, SPCC1235.09_pep
47	OG0000047	YBR140C, YOL081W	SPAC4F8.13c_pep, SPBC646.12c_pep
48	OG0000048	YBR181C, YPL090C	SPAC13G6.07c_pep, SPAPB1E7.12_pep
49	OG0000049	YBR189W, YPL081W	SPAC24H6.07_pep, SPBC29A3.12_pep
50	OG0000050	YBR191W, YPL079W	SPAC959.08_pep, SPBC365.03c_pep
51	OG0000051	YBR195C, YEL056W	SPAC25H1.06_pep, SPCC1672.10_pep
52	OG0000052	YBR294W, YLR092W	SPAC869.05c_pep, SPBC3H7.02_pep
53	OG0000053	YCL069W, YGR224W, YKR105C, YPR198W	
54	OG0000054	YCR031C, YJL191W	SPAC3H5.05c_pep, SPBC18H10.13_pep
55	OG0000055	YCR073C, YNR031C	SPAC1006.09_pep, SPAC9G1.02_pep
56	OG0000056	YCR079W, YDL006W	SPAC4A8.03c_pep, SPCC4F11.02_pep
57	OG0000057	YCR102C, YLR460C, YNL134C	SPAC2E1P3.01_pep
58	OG0000058	YDL022W, YOL059W	SPAC23D3.04c_pep, SPBC215.05_pep
59	OG0000059	YDL070W, YLR399C	SPAC631.02_pep, SPCC1450.02_pep
60	OG0000060	YDL081C	SPAC644.15_pep, SPBC3B9.13c_pep, SPCP1E11.09c_pep
61	OG0000061	YDL083C, YMR143W	SPAC664.04c_pep, SPBC18H10.14_pep
62	OG0000062	YDR038C, YDR039C, YDR040C	SPBC839.06_pep
63	OG0000063	YDR081C	SPAC9E9.10c_pep, SPBC1105.04c_pep, SPBC14F5.12c_pep
64	OG0000064	YDR272W, YOR040W	SPAC824.07_pep, SPCC13B11.03c_pep
65	OG0000065	YDR368W, YOR120W	SPAC26F1.07_pep, SPBC8E4.04_pep
66	OG0000066	YDR378C, YPR182W	SPAC2F3.17c_pep, SPBC3E7.14_pep
67	OG0000067	YDR379W, YOR127W	SPAC29A4.11_pep, SPBC28E12.03_pep
68	OG0000068	YDR385W, YOR133W	SPAC513.01c_pep, SPCP31B10.07_pep
69	OG0000069	YDR418W, YEL054C	SPCC16C4.13c_pep, SPCC31H12.04c_pep
70	OG0000070	YDR447C, YML024W	SPBC839.05c_pep, SPCC24B10.09_pep
71	OG0000071	YDR450W, YML026C	SPBC16D10.11c_pep, SPCC1259.01c_pep
72	OG0000072	YDR471W, YHR010W	SPBC685.07c_pep, SPCC74.05_pep
73	OG0000073	YDR497C, YOL103W	SPAC20G8.03_pep, SPAC4F8.15_pep
74	OG0000074	YDR500C, YLR185W	SPAPB17E12.05_pep, SPCC1223.05c_pep
75	OG0000075	YEL034W, YJR047C	SPAC26H5.10c_pep, SPBC336.10c_pep
76	OG0000076	YER056C-A, YIL052C	SPAC23A1.08c_pep, SPCC1322.15_pep
77	OG0000077	YER057C, YIL051C	SPAC1039.10_pep, SPBC2G2.04c_pep
78	OG0000078	YER066W, YFL009W	SPAC4D7.03_pep, SPBC1718.01_pep
79	OG0000079	YER074W, YIL069C	SPAC17G6.06_pep, SPBC17G9.07_pep
80	OG0000080	YER131W, YGL189C	SPAC1805.11c_pep, SPAC806.03c_pep
81	OG0000081	YFL060C, YMR095C, YNL334C	SPAC222.08c_pep
82	OG0000082	YFR022W, YOR018W	SPAC31A2.12_pep, SPCC584.15c_pep
83	OG0000083	YGL019W, YOR039W	SPAC1851.03_pep, SPBC2G5.02c_pep
84	OG0000084	YGL031C, YGR148C	SPAC6G9.09c_pep, SPCC330.14c_pep
85	OG0000085	YGL076C, YPL198W	SPAC3H5.07_pep, SPBC18H10.12c_pep
86	OG0000086	YGL135W, YPL220W	SPBC30D10.18c_pep, SPCC1183.08c_pep
87	OG0000087	YGL147C, YNL067W	SPAC4G9.16c_pep, SPCC613.06_pep
88	OG0000088	YGL160W, YLR047C	SPBC1683.09c_pep, SPBC947.05c_pep
89	OG0000089	YGL178W, YLL013C	SPAC1687.22c_pep, SPAC6G9.14_pep
90	OG0000090	YGL202W	SPAC56E4.03_pep, SPBC1773.13_pep, SPCC569.07_pep
91	OG0000091	YGR027C, YLR333C	SPAC694.05c_pep, SPBC3D6.15_pep
92	OG0000092	YGR070W, YLR371W	SPAC1006.06_pep, SPCC645.07_pep
93	OG0000093	YGR085C, YPR102C	SPAC26A3.07c_pep, SPBC17G9.10_pep
94	OG0000094	YGR108W, YPR119W	SPAPB2B4.03_pep, SPBC582.03_pep
95	OG0000095	YGR118W, YPR132W	SPAC23C11.02c_pep, SPBP4H10.13_pep
96	OG0000096	YGR214W, YLR048W	SPAPJ698.02c_pep, SPBC685.06_pep
97	OG0000097	YGR260W	SPAC1002.16c_pep, SPAC11D3.18c_pep, SPBC1683.12_pep
98	OG0000098	YGR273C, YMR295C	SPBC19C7.04c_pep, SPCC70.09c_pep
99	OG0000099	YHL035C, YLL048C	SPAC30.04c_pep, SPAC9E9.12c_pep
100	OG0000100	YHR179W, YPL171C	SPAC5H10.04_pep, SPAC5H10.10_pep
101	OG0000101	YHR202W	SPAC1039.02_pep, SPAC17G6.03_pep, SPBPB2B2.06c_pep
102	OG0000102	YIL009W, YMR246W, YOR317W	SPBC18H10.02_pep
103	OG0000103	YIL085C, YNL029C	SPBC1773.08c_pep, SPBC32H8.08c_pep
104	OG0000104	YIL105C, YNL047C, YPR115W	SPAC637.13c_pep
105	OG0000105	YIL148W, YKR094C	SPAC11G7.04_pep, SPAC1805.12c_pep
106	OG0000106	YJL084C, YKR021W	SPBC2D10.04_pep, SPBC839.02_pep
107	OG0000107	YJL177W, YKL180W	SPBC2F12.04_pep, SPCC364.03_pep
108	OG0000108	YJL190C, YLR367W	SPAC22A12.04c_pep, SPAC5D6.01_pep
109	OG0000109	YJR091C, YPR042C	SPBC56F2.08c_pep, SPBP35G2.14_pep
110	OG0000110	YJR094W-A, YPR043W	SPBC800.04c_pep, SPBC83.02c_pep
111	OG0000111	YLR029C, YMR121C	SPAC1783.08c_pep, SPCC576.11_pep
112	OG0000112	YLR264W, YOR167C	SPAC25G10.06_pep, SPCC285.15c_pep
113	OG0000113	YLR287C-A, YOR182C	SPAC19B12.04_pep, SPBC19G7.03c_pep
114	OG0000114	YLR441C, YML063W	SPAC13G6.02c_pep, SPAC22H12.04c_pep
115	OG0000115	YML100W, YMR261C	SPAC22F8.05_pep, SPACUNK4.16c_pep
116	OG0000116	YMR194W, YPL249C-A	SPBC405.07_pep, SPCC970.05_pep
117	OG0000117	YMR230W, YOR293W	SPAC31G5.17c_pep, SPBP22H7.08_pep
118	OG0000118	YMR242C, YOR312C	SPAC26A3.04_pep, SPAC3A12.10_pep
119	OG0000119	YNL301C, YOL120C	SPAPB17E12.13_pep, SPBC11C11.07_pep
120	OG0000120	YNL302C, YOL121C	SPBC21C3.13_pep, SPBC649.02_pep
121	OG0000121	YOL039W	SPAC1071.08_pep, SPBC23G7.15c_pep, SPBP8B7.06_pep
122	OG0000122	YOL055C, YPL258C, YPR121W	SPBP8B7.18c_pep
123	OG0000123	YOR229W, YOR230W, YPL139C	SPCC613.12c_pep
124	OG0000124	YOR234C, YPL143W	SPBC1921.01c_pep, SPCP31B10.08c_pep
125	OG0000125	YOR237W, YPL145C	SPBC1271.12_pep, SPBC354.07c_pep
126	OG0000126	YOR390W, YPL279C	SPAC977.11_pep, SPBPB8B6.06c_pep
127	OG0000127	YPR127W	SPAC3A11.11c_pep, SPAC9E9.11_pep, SPCC1281.04_pep
128	OG0000128		SPAC1399.02_pep, SPAC3H1.06c_pep, SPBC16A3.17c_pep, SPBC3E7.06c_pep
129	OG0000129	YAL005C, YLL024C	SPAC13G7.02c_pep
130	OG0000130	YAL007C, YOR016C	SPAC17A5.08_pep
131	OG0000131	YAL015C, YOL043C	SPAC30D11.07_pep
132	OG0000132	YAL017W, YOL045W	SPAC1805.01c_pep
133	OG0000133	YAL023C, YOR321W	SPAPB1E7.09_pep
134	OG0000134	YAL049C	SPAC977.15_pep, SPBC30D10.14_pep
135	OG0000135	YAL062W, YOR375C	SPCC622.12c_pep
136	OG0000136	YAR002C-A, YGL002W	SPBC16E9.09c_pep
137	OG0000137	YAR042W, YDL019C	SPBC2F12.05c_pep
138	OG0000138	YBL002W, YDR224C	SPCC622.09_pep
139	OG0000139	YBL003C	SPAC19G12.06c_pep, SPCC622.08c_pep
140	OG0000140	YBL009W, YGL021W	SPAC23C4.03_pep
141	OG0000141	YBL024W	SPAC17D4.04_pep, SPAC23C4.17_pep
142	OG0000142	YBL051C	SPAC12G12.03_pep, SPBC16A3.18_pep
143	OG0000143	YBL061C, YER096W	SPAC24B11.10c_pep
144	OG0000144	YBL067C, YER098W	SPBC1703.12_pep
145	OG0000145	YBL068W, YER099C	SPCC1620.06c_pep
146	OG0000146	YBL079W, YER105C	SPAC890.06_pep
