	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035261_Candida_ponderosae
0	OG0000000	YDR242W	augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-2.16&CDS=1-1638, augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-3.16-mRNA-1_1&gene=augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-3.16&CDS=1-1638, augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-4.159-mRNA-1_1&gene=augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-4.159&CDS=1-1656, augustus_masked-NODE_24_length_174151_cov_81.0224_ID_14581-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_24_length_174151_cov_81.0224_ID_14581-processed-gene-0.44&CDS=1-1713, augustus_masked-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-3.184-mRNA-1_1&gene=augustus_masked-NODE_3_length_446620_cov_44.3711_ID_10314-processed-gene-3.184&CDS=1-1668, augustus_masked-NODE_56_length_78334_cov_65.8513_ID_12335-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_56_length_78334_cov_65.8513_ID_12335-processed-gene-0.9&CDS=1-1623, augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-0.103&CDS=1-1662, augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_5_length_371884_cov_42.9121_ID_10256-processed-gene-1.90&CDS=1-1641, augustus_masked-NODE_66_length_61488_cov_45.4202_ID_13904-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_66_length_61488_cov_45.4202_ID_13904-processed-gene-0.4&CDS=1-1623, augustus_masked-NODE_74_length_53043_cov_49.9769_ID_15538-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_74_length_53043_cov_49.9769_ID_15538-processed-gene-0.17&CDS=1-1716, maker-NODE_48_length_96610_cov_87.2662_ID_19200-augustus-gene-0.95-mRNA-1_1&gene=maker-NODE_48_length_96610_cov_87.2662_ID_19200-augustus-gene-0.95&CDS=1-1545, maker-NODE_5_length_371884_cov_42.9121_ID_10256-snap-gene-0.90-mRNA-1_1&gene=maker-NODE_5_length_371884_cov_42.9121_ID_10256-snap-gene-0.90&CDS=1-4812, snap_masked-NODE_34_length_144696_cov_43.8658_ID_10466-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NODE_34_length_144696_cov_43.8658_ID_10466-processed-gene-0.123&CDS=1-1665
1	OG0000001	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_1018_length_423_cov_0.833333_ID_26322-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1018_length_423_cov_0.833333_ID_26322-processed-gene-0.1&CDS=1-423, augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-2.5-mRNA-1_1&gene=augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-2.5&CDS=1-1059, augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.230-mRNA-1_1&gene=augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.230&CDS=1-1017, augustus_masked-NODE_25_length_173609_cov_88.8115_ID_9998-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_25_length_173609_cov_88.8115_ID_9998-processed-gene-0.64&CDS=1-1056, augustus_masked-NODE_34_length_144696_cov_43.8658_ID_10466-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-NODE_34_length_144696_cov_43.8658_ID_10466-processed-gene-0.55&CDS=1-1068, augustus_masked-NODE_6_length_358001_cov_61.1535_ID_21971-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-NODE_6_length_358001_cov_61.1535_ID_21971-processed-gene-2.75&CDS=1-1044, maker-NODE_51_length_85046_cov_86.2807_ID_13221-snap-gene-0.135-mRNA-1_1&gene=maker-NODE_51_length_85046_cov_86.2807_ID_13221-snap-gene-0.135&CDS=1-2088
2	OG0000002	YGL257C, YNR059W	augustus_masked-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-0.99&CDS=1-2211, augustus_masked-NODE_69_length_58127_cov_58.4045_ID_14155-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_69_length_58127_cov_58.4045_ID_14155-processed-gene-0.30&CDS=1-2586, augustus_masked-NODE_6_length_358001_cov_61.1535_ID_21971-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_6_length_358001_cov_61.1535_ID_21971-processed-gene-0.94&CDS=1-1413, augustus_masked-NODE_7_length_333141_cov_59.9877_ID_12630-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_7_length_333141_cov_59.9877_ID_12630-processed-gene-1.22&CDS=1-2445, genemark-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-0.42&CDS=1-1239, genemark-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-0.44&CDS=1-2241, maker-NODE_34_length_144696_cov_43.8658_ID_10466-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_34_length_144696_cov_43.8658_ID_10466-snap-gene-0.4&CDS=1-7077, snap_masked-NODE_71_length_54778_cov_43.7663_ID_14280-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_71_length_54778_cov_43.7663_ID_14280-processed-gene-0.12&CDS=1-2070, snap_masked-NODE_71_length_54778_cov_43.7663_ID_14280-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_71_length_54778_cov_43.7663_ID_14280-processed-gene-0.18&CDS=1-2121
3	OG0000003		augustus_masked-NODE_58_length_75986_cov_41.8068_ID_12708-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_58_length_75986_cov_41.8068_ID_12708-processed-gene-0.86&CDS=1-2640, augustus_masked-NODE_58_length_75986_cov_41.8068_ID_12708-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_58_length_75986_cov_41.8068_ID_12708-processed-gene-0.87&CDS=1-2841, augustus_masked-NODE_88_length_43575_cov_46.3931_ID_15135-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_88_length_43575_cov_46.3931_ID_15135-processed-gene-0.9&CDS=1-2679, augustus_masked-NODE_9_length_307025_cov_42.2536_ID_9480-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-NODE_9_length_307025_cov_42.2536_ID_9480-processed-gene-1.109&CDS=1-2988, augustus_masked-NODE_9_length_307025_cov_42.2536_ID_9480-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_9_length_307025_cov_42.2536_ID_9480-processed-gene-1.88&CDS=1-2604, genemark-NODE_41_length_110848_cov_58.9673_ID_15197-processed-gene-0.60-mRNA-1_1&gene=genemark-NODE_41_length_110848_cov_58.9673_ID_15197-processed-gene-0.60&CDS=1-2679, genemark-NODE_68_length_60784_cov_43.6748_ID_13690-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_68_length_60784_cov_43.6748_ID_13690-processed-gene-0.21&CDS=1-2754, maker-NODE_10_length_305115_cov_41.2085_ID_11868-snap-gene-1.57-mRNA-1_1&gene=maker-NODE_10_length_305115_cov_41.2085_ID_11868-snap-gene-1.57&CDS=1-3150, snap_masked-NODE_1389_length_400_cov_0.79322_ID_27083-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_1389_length_400_cov_0.79322_ID_27083-processed-gene-0.0&CDS=1-324, snap_masked-NODE_49_length_89589_cov_40.4721_ID_11937-processed-gene-0.100-mRNA-1_1&gene=snap_masked-NODE_49_length_89589_cov_40.4721_ID_11937-processed-gene-0.100&CDS=1-2811, snap_masked-NODE_49_length_89589_cov_40.4721_ID_11937-processed-gene-0.99-mRNA-1_1&gene=snap_masked-NODE_49_length_89589_cov_40.4721_ID_11937-processed-gene-0.99&CDS=1-2730
4	OG0000004	YMR169C, YMR170C, YOR374W, YPL061W	augustus_masked-NODE_23_length_177206_cov_66.4153_ID_11985-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-NODE_23_length_177206_cov_66.4153_ID_11985-processed-gene-0.205&CDS=1-1482, augustus_masked-NODE_24_length_174151_cov_81.0224_ID_14581-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_24_length_174151_cov_81.0224_ID_14581-processed-gene-0.19&CDS=1-1497, augustus_masked-NODE_36_length_136019_cov_41.4499_ID_10666-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-NODE_36_length_136019_cov_41.4499_ID_10666-processed-gene-0.129&CDS=1-1548, maker-NODE_16_length_220024_cov_43.3811_ID_9203-augustus-gene-1.62-mRNA-1_1&gene=maker-NODE_16_length_220024_cov_43.3811_ID_9203-augustus-gene-1.62&CDS=1-1557, maker-NODE_2_length_505443_cov_52.2683_ID_20729-snap-gene-4.113-mRNA-1_1&gene=maker-NODE_2_length_505443_cov_52.2683_ID_20729-snap-gene-4.113&CDS=1-1938
5	OG0000005	YBR015C, YJL186W	augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-1.217-mRNA-1_1&gene=augustus_masked-NODE_14_length_247982_cov_42.7043_ID_9850-processed-gene-1.217&CDS=1-1848, augustus_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-0.10&CDS=1-1848, augustus_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-1.42&CDS=1-1776, augustus_masked-NODE_77_length_52822_cov_63.2359_ID_14864-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_77_length_52822_cov_63.2359_ID_14864-processed-gene-0.9&CDS=1-1752, genemark-NODE_17_length_219174_cov_45.1481_ID_10526-processed-gene-1.73-mRNA-1_1&gene=genemark-NODE_17_length_219174_cov_45.1481_ID_10526-processed-gene-1.73&CDS=1-1872, snap_masked-NODE_1466_length_396_cov_2.67698_ID_27384-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_1466_length_396_cov_2.67698_ID_27384-processed-gene-0.1&CDS=1-240
6	OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-NODE_1469_length_396_cov_0.938144_ID_27390-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_1469_length_396_cov_0.938144_ID_27390-processed-gene-0.1&CDS=1-396
7	OG0000007	YCL025C, YDR508C, YGR191W, YKR039W	augustus_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_16_length_220024_cov_43.3811_ID_9203-processed-gene-0.9&CDS=1-1800, augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-4.163-mRNA-1_1&gene=augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-4.163&CDS=1-1800, augustus_masked-NODE_33_length_145073_cov_42.061_ID_10434-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_33_length_145073_cov_42.061_ID_10434-processed-gene-0.14&CDS=1-1770, augustus_masked-NODE_34_length_144696_cov_43.8658_ID_10466-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_34_length_144696_cov_43.8658_ID_10466-processed-gene-0.18&CDS=1-1887
8	OG0000008	YJR152W	augustus_masked-NODE_45_length_107481_cov_38.2641_ID_30813-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_45_length_107481_cov_38.2641_ID_30813-processed-gene-0.24&CDS=1-1578, augustus_masked-NODE_60_length_72141_cov_66.147_ID_13569-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_60_length_72141_cov_66.147_ID_13569-processed-gene-0.45&CDS=1-1626, augustus_masked-NODE_70_length_57066_cov_43.1372_ID_16836-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_70_length_57066_cov_43.1372_ID_16836-processed-gene-0.61&CDS=1-1635, augustus_masked-NODE_92_length_39780_cov_39.4778_ID_15674-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NODE_92_length_39780_cov_39.4778_ID_15674-processed-gene-0.18&CDS=1-1533, maker-NODE_12_length_264300_cov_42.6697_ID_12437-augustus-gene-1.189-mRNA-1_1&gene=maker-NODE_12_length_264300_cov_42.6697_ID_12437-augustus-gene-1.189&CDS=1-1602, maker-NODE_4_length_391868_cov_66.0008_ID_13828-augustus-gene-2.98-mRNA-1_1&gene=maker-NODE_4_length_391868_cov_66.0008_ID_13828-augustus-gene-2.98&CDS=1-1602, maker-NODE_60_length_72141_cov_66.147_ID_13569-augustus-gene-0.40-mRNA-1_1&gene=maker-NODE_60_length_72141_cov_66.147_ID_13569-augustus-gene-0.40&CDS=1-1557
9	OG0000009	YOL119C, YOR306C	augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-0.15&CDS=1-1518, augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-1.62&CDS=1-1437, augustus_masked-NODE_19_length_192951_cov_49.0009_ID_31983-processed-gene-0.210-mRNA-1_1&gene=augustus_masked-NODE_19_length_192951_cov_49.0009_ID_31983-processed-gene-0.210&CDS=1-1626, augustus_masked-NODE_58_length_75986_cov_41.8068_ID_12708-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_58_length_75986_cov_41.8068_ID_12708-processed-gene-0.88&CDS=1-1572, genemark-NODE_61_length_71616_cov_39.8751_ID_12901-processed-gene-0.72-mRNA-1_1&gene=genemark-NODE_61_length_71616_cov_39.8751_ID_12901-processed-gene-0.72&CDS=1-1473, maker-NODE_19_length_192951_cov_49.0009_ID_31983-snap-gene-0.243-mRNA-1_1&gene=maker-NODE_19_length_192951_cov_49.0009_ID_31983-snap-gene-0.243&CDS=1-4515
