	OrthologID	Neurospora_crassa	Saccharomyces_cerevisiae
0	OG0000000	XP_956001.1	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
1	OG0000001	XP_961795.1, XP_963121.2	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
2	OG0000002	XP_011394223.1, XP_011394224.1, XP_958137.1, XP_960687.1, XP_962565.1	YBL069W, YER101C, YMR152W
3	OG0000003	XP_011395298.1, XP_011395299.1, XP_957468.3, XP_958171.3	YCL069W, YGR224W, YKR105C, YPR198W
4	OG0000004	XP_011393631.1, XP_011393632.1, XP_011393633.1	YDL244W, YFL058W, YJR156C, YNL332W
5	OG0000005	XP_011394577.1, XP_011394578.1, XP_011394579.1, XP_011394580.1, XP_011394581.1	YDR272W, YOR040W
6	OG0000006	XP_011395113.1, XP_011395114.1, XP_958975.2, XP_960096.2, XP_961671.1, XP_964183.3	YLR057W
7	OG0000007	XP_011395150.1, XP_011395151.1, XP_011395152.1, XP_011395153.1, XP_957606.3	YCR018C, YPL021W
8	OG0000008	XP_957010.1, XP_964874.2	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
9	OG0000009	XP_957221.3, XP_961794.1	YCL067C, YCR039C, YCR096C, YGL096W, YPL177C
10	OG0000010	XP_011393230.1, XP_011393231.1, XP_011395222.1, XP_011395223.1	YLR287C-A, YOR182C
11	OG0000011	XP_011395163.1, XP_011395164.1, XP_011395165.1, XP_011395166.1	YCL011C, YNL004W
12	OG0000012	XP_011395255.1, XP_011395256.1, XP_011395257.1, XP_011395258.1	YDR146C, YLR131C
13	OG0000013	XP_955949.1, XP_961085.2	YKL222C, YLR266C, YOR162C, YOR172W
14	OG0000014	XP_957648.1	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
15	OG0000015	XP_958609.1	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W
16	OG0000016	XP_959149.3, XP_962507.3, XP_963587.1	YLR098C, YNR063W, YOR337W
17	OG0000017	XP_964408.2	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
18	OG0000018	XP_001728217.2, XP_958437.3, XP_959693.2	YLR307W, YLR308W
19	OG0000019	XP_011392786.1, XP_011392787.1, XP_011392788.1	YDL222C, YNL194C
20	OG0000020	XP_011392802.1, XP_011392803.1, XP_011392804.1, XP_011392805.1	YPL096W
21	OG0000021	XP_011392897.1, XP_011392898.1, XP_959158.2	YBR150C, YOL089C
22	OG0000022	XP_011392998.1	YIL123W, YJL116C, YKR042W, YNL066W
23	OG0000023	XP_011393084.1, XP_011393085.1, XP_011393086.1, XP_011393087.1	YPL242C
24	OG0000024	XP_011393104.1, XP_011393105.1, XP_011393106.1	YDR147W, YLR133W
25	OG0000025	XP_011393147.1, XP_011393148.1, XP_011393149.1, XP_963911.2	YFL034C-B
26	OG0000026	XP_011393295.1, XP_011393296.1, XP_011393297.1	YBR089C-A, YPR052C
27	OG0000027	XP_011393574.1, XP_011393575.1, XP_011393576.1, XP_011393577.1	YJL046W
28	OG0000028	XP_011393696.1, XP_011393697.1, XP_011393698.1	YGL014W, YGL178W
29	OG0000029	XP_011393779.1, XP_011393780.1, XP_011393781.1	YDR389W, YOR134W
30	OG0000030	XP_011393924.1, XP_011393925.1, XP_960407.3	YJR127C, YML081W
31	OG0000031	XP_011393949.1, XP_011393950.1	YOL055C, YPL258C, YPR121W
32	OG0000032	XP_011394176.1, XP_011394177.1, XP_011394178.1	YDL204W, YDR233C
33	OG0000033	XP_011394541.1, XP_011394542.1, XP_011394543.1, XP_011394544.1	YPR095C
34	OG0000034	XP_011394695.1, XP_011394696.1, XP_011394697.1, XP_011394698.1	YFR015C
35	OG0000035	XP_011394750.1, XP_011394751.1	YBR078W, YDR055W, YDR522C
36	OG0000036	XP_011394961.1, XP_011394962.1, XP_011394963.1	YGR004W, YLR324W
37	OG0000037	XP_011395014.1, XP_011395015.1, XP_011395016.1, XP_011395017.1	YKL010C
38	OG0000038	XP_011395232.1, XP_011395233.1, XP_011395234.1, XP_011395235.1	YIL156W-B
39	OG0000039	XP_011395239.1, XP_011395240.1, XP_011395241.1, XP_011395242.1	YGR144W
40	OG0000040	XP_011395341.1, XP_011395342.1, XP_011395343.1	YJL098W, YKR028W
41	OG0000041	XP_956467.2	YDR541C, YGL039W, YGL157W, YOL151W
42	OG0000042	XP_957588.1, XP_957888.2, XP_960429.1, XP_960753.2	YJR149W
43	OG0000043	XP_958079.1	YBR297W, YFL052W, YGR288W, YPR196W
44	OG0000044	XP_961155.1, XP_962523.2	YER056C, YER060W, YER060W-A
45	OG0000045	XP_961973.2	YCR107W, YDL243C, YJR155W, YNL331C
46	OG0000046	XP_962345.1	YDR533C, YMR322C, YOR391C, YPL280W
47	OG0000047	XP_965442.1	YBL017C, YIL173W, YJL222W, YNR065C
48	OG0000048		YDR321W, YLR155C, YLR157C, YLR158C, YLR160C
49	OG0000049	XP_001728136.1, XP_960014.1, XP_962977.2	YGR263C
50	OG0000050	XP_011392784.1, XP_011392785.1	YAR042W, YDL019C
51	OG0000051	XP_011392813.1, XP_011392814.1, XP_011392815.1	YPL204W
52	OG0000052	XP_011392850.1, XP_011392851.1	YOR233W, YPL141C
53	OG0000053	XP_011392861.1, XP_011392862.1, XP_011392863.1	YBR006W
