	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034610_Saturnispora_hagleri
0	OG0000000		augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.207-mRNA-1_1&gene=augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.207&CDS=1-4392, augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.237-mRNA-1_1&gene=augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.237&CDS=1-3522, augustus_masked-NODE_38_length_63727_cov_20.6179_ID_75-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_38_length_63727_cov_20.6179_ID_75-processed-gene-0.1&CDS=1-3234, augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.29&CDS=1-3009, augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.31&CDS=1-2499, augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.258-mRNA-1_1&gene=augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.258&CDS=1-4179, augustus_masked-NODE_57_length_13567_cov_20.2887_ID_113-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_57_length_13567_cov_20.2887_ID_113-processed-gene-0.2&CDS=1-2376, augustus_masked-NODE_58_length_11641_cov_29.6432_ID_115-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_58_length_11641_cov_29.6432_ID_115-processed-gene-0.0&CDS=1-3402, augustus_masked-NODE_61_length_10872_cov_26.1179_ID_121-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_61_length_10872_cov_26.1179_ID_121-processed-gene-0.2&CDS=1-3615, snap_masked-NODE_42_length_51609_cov_28.3715_ID_83-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_42_length_51609_cov_28.3715_ID_83-processed-gene-0.14&CDS=1-2214, snap_masked-NODE_8_length_328496_cov_20.7582_ID_15-processed-gene-2.60-mRNA-1_1&gene=snap_masked-NODE_8_length_328496_cov_20.7582_ID_15-processed-gene-2.60&CDS=1-3456
1	OG0000001	YDR011W, YNR070W, YPL058C	augustus_masked-NODE_23_length_144753_cov_22.3047_ID_45-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_23_length_144753_cov_22.3047_ID_45-processed-gene-0.19&CDS=1-4461, augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-2.41&CDS=1-4488, augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-7.3-mRNA-1_1&gene=augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-7.3&CDS=1-4458, augustus_masked-NODE_53_length_20263_cov_25.8702_ID_105-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_53_length_20263_cov_25.8702_ID_105-processed-gene-0.21&CDS=1-4473, augustus_masked-NODE_8_length_328496_cov_20.7582_ID_15-processed-gene-2.186-mRNA-1_1&gene=augustus_masked-NODE_8_length_328496_cov_20.7582_ID_15-processed-gene-2.186&CDS=1-5034, maker-NODE_1_length_1340882_cov_20.2954_ID_1-augustus-gene-2.163-mRNA-1_1&gene=maker-NODE_1_length_1340882_cov_20.2954_ID_1-augustus-gene-2.163&CDS=1-6216
2	OG0000002	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_16_length_172938_cov_20.1079_ID_31-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_16_length_172938_cov_20.1079_ID_31-processed-gene-0.69&CDS=1-2646, augustus_masked-NODE_21_length_154617_cov_20.2003_ID_41-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-NODE_21_length_154617_cov_20.2003_ID_41-processed-gene-0.156&CDS=1-2670, genemark-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-3.112-mRNA-1_1&gene=genemark-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-3.112&CDS=1-2256, maker-NODE_1_length_1340882_cov_20.2954_ID_1-augustus-gene-8.170-mRNA-1_1&gene=maker-NODE_1_length_1340882_cov_20.2954_ID_1-augustus-gene-8.170&CDS=1-4122
3	OG0000003	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-NODE_59_length_11404_cov_47.5877_ID_117-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_59_length_11404_cov_47.5877_ID_117-processed-gene-0.6&CDS=1-798, snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.98-mRNA-1_1&gene=snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.98&CDS=1-366, snap_masked-NODE_69_length_6590_cov_45.7105_ID_137-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_69_length_6590_cov_45.7105_ID_137-processed-gene-0.2&CDS=1-711, snap_masked-NODE_77_length_4802_cov_99.2715_ID_153-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_77_length_4802_cov_99.2715_ID_153-processed-gene-0.2&CDS=1-1476
4	OG0000004	YGR212W, YPL272C	augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-9.155-mRNA-1_1&gene=augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-9.155&CDS=1-1416, augustus_masked-NODE_26_length_134196_cov_21.0216_ID_51-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-NODE_26_length_134196_cov_21.0216_ID_51-processed-gene-0.53&CDS=1-2679, augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-1.1&CDS=1-1413, snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-1.42-mRNA-1_1&gene=snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-1.42&CDS=1-1266, snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.51-mRNA-1_1&gene=snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.51&CDS=1-1332, snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.52-mRNA-1_1&gene=snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.52&CDS=1-1149
5	OG0000005	YHR179W, YPL171C	augustus_masked-NODE_169_length_632_cov_45.7162_ID_337-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_169_length_632_cov_45.7162_ID_337-processed-gene-0.1&CDS=1-573, augustus_masked-NODE_19_length_167265_cov_21.9052_ID_37-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-NODE_19_length_167265_cov_21.9052_ID_37-processed-gene-0.195&CDS=1-615, augustus_masked-NODE_89_length_2571_cov_39.5543_ID_177-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_89_length_2571_cov_39.5543_ID_177-processed-gene-0.2&CDS=1-609, genemark-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.158-mRNA-1_1&gene=genemark-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.158&CDS=1-1230, maker-NODE_39_length_59137_cov_20.6451_ID_77-snap-gene-0.67-mRNA-1_1&gene=maker-NODE_39_length_59137_cov_20.6451_ID_77-snap-gene-0.67&CDS=1-2397, snap_masked-NODE_19_length_167265_cov_21.9052_ID_37-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_19_length_167265_cov_21.9052_ID_37-processed-gene-0.98&CDS=1-288
6	OG0000006	YNR063W	augustus_masked-NODE_11_length_282380_cov_21.34_ID_21-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_11_length_282380_cov_21.34_ID_21-processed-gene-1.52&CDS=1-3171, augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-12.187-mRNA-1_1&gene=augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-12.187&CDS=1-2661, augustus_masked-NODE_28_length_117100_cov_20.6555_ID_55-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_28_length_117100_cov_20.6555_ID_55-processed-gene-0.61&CDS=1-3057, augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-7.38-mRNA-1_1&gene=augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-7.38&CDS=1-2634, augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-7.39-mRNA-1_1&gene=augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-7.39&CDS=1-2940, augustus_masked-NODE_44_length_49650_cov_20.786_ID_87-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_44_length_49650_cov_20.786_ID_87-processed-gene-0.41&CDS=1-3156, augustus_masked-NODE_60_length_11290_cov_32.3277_ID_119-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_60_length_11290_cov_32.3277_ID_119-processed-gene-0.4&CDS=1-2823
7	OG0000007	YOL119C, YOR306C	augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-6.97&CDS=1-372, augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.275-mRNA-1_1&gene=augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.275&CDS=1-1596, augustus_masked-NODE_57_length_13567_cov_20.2887_ID_113-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_57_length_13567_cov_20.2887_ID_113-processed-gene-0.3&CDS=1-1581, genemark-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.25-mRNA-1_1&gene=genemark-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.25&CDS=1-1335, maker-NODE_17_length_169313_cov_21.3871_ID_33-augustus-gene-0.162-mRNA-1_1&gene=maker-NODE_17_length_169313_cov_21.3871_ID_33-augustus-gene-0.162&CDS=1-2169, maker-NODE_22_length_145697_cov_19.7927_ID_43-snap-gene-0.166-mRNA-1_1&gene=maker-NODE_22_length_145697_cov_19.7927_ID_43-snap-gene-0.166&CDS=1-2628
8	OG0000008	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
9	OG0000009	YBR015C, YJL186W	augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-0.118&CDS=1-2010, augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-2.18&CDS=1-1953, genemark-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-12.11-mRNA-1_1&gene=genemark-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-12.11&CDS=1-2358, maker-NODE_7_length_338824_cov_20.1904_ID_13-augustus-gene-2.4-mRNA-1_1&gene=maker-NODE_7_length_338824_cov_20.1904_ID_13-augustus-gene-2.4&CDS=1-2610
