	OrthologID	Kazachstania_africana	Saccharomyces_cerevisiae
0	OG0000000		YBL111C, YBL112C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W
1	OG0000001	genemark-scaffold_1-processed-gene-11.98-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-11.98&CDS=1-1692, genemark-scaffold_3-processed-gene-7.135-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-7.135&CDS=1-1740, genemark-scaffold_4-processed-gene-1.54-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.54&CDS=1-1683, genemark-scaffold_4-processed-gene-1.66-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-1.66&CDS=1-1674, genemark-scaffold_5-processed-gene-4.15-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-4.15&CDS=1-1644, genemark-scaffold_5-processed-gene-8.127-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-8.127&CDS=1-1689, genemark-scaffold_6-processed-gene-5.98-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.98&CDS=1-1653, genemark-scaffold_6-processed-gene-7.268-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-7.268&CDS=1-1647, genemark-scaffold_7-processed-gene-0.35-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.35&CDS=1-1662, maker-scaffold_4-snap-gene-1.103-mRNA-1_1&gene=maker-scaffold_4-snap-gene-1.103&CDS=1-1695, snap_masked-scaffold_3-processed-gene-0.67-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.67&CDS=1-1743	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YLR081W
2	OG0000002	augustus_masked-scaffold_12-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-scaffold_12-processed-gene-3.28&CDS=1-10242, augustus_masked-scaffold_3-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-5.65&CDS=1-1956, augustus_masked-scaffold_6-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.45&CDS=1-891, augustus_masked-scaffold_6-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.73&CDS=1-2673, augustus_masked-scaffold_7-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.61&CDS=1-1395, augustus_masked-scaffold_9-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-0.86&CDS=1-3216, augustus_masked-scaffold_9-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-3.95&CDS=1-2415, snap_masked-scaffold_11-processed-gene-4.44-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-4.44&CDS=1-4638, snap_masked-scaffold_2-processed-gene-13.66-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.66&CDS=1-2763, snap_masked-scaffold_3-processed-gene-4.36-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.36&CDS=1-1878, snap_masked-scaffold_7-processed-gene-1.35-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.35&CDS=1-1527, snap_masked-scaffold_9-processed-gene-5.140-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.140&CDS=1-2310	
3	OG0000003	augustus_masked-scaffold_2-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.13&CDS=1-522, augustus_masked-scaffold_2-processed-gene-13.216-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.216&CDS=1-558, augustus_masked-scaffold_5-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.15&CDS=1-2397, augustus_masked-scaffold_5-processed-gene-8.94-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.94&CDS=1-519, augustus_masked-scaffold_7-processed-gene-7.76-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-7.76&CDS=1-3420, snap_masked-scaffold_2-processed-gene-13.55-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.55&CDS=1-1095, snap_masked-scaffold_2-processed-gene-13.57-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.57&CDS=1-195, snap_masked-scaffold_2-processed-gene-6.19-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.19&CDS=1-747, snap_masked-scaffold_2-processed-gene-6.20-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.20&CDS=1-210, snap_masked-scaffold_7-processed-gene-0.11-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.11&CDS=1-384, snap_masked-scaffold_7-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.14&CDS=1-372	
4	OG0000004	augustus_masked-scaffold_2-processed-gene-8.130-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.130&CDS=1-678	YAR023C, YAR027W, YAR028W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W
5	OG0000005	augustus_masked-scaffold_4-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.90&CDS=1-3690, genemark-scaffold_1-processed-gene-2.77-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-2.77&CDS=1-1776, genemark-scaffold_3-processed-gene-0.12-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-0.12&CDS=1-1746, genemark-scaffold_4-processed-gene-0.135-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.135&CDS=1-1794	YBR068C, YCL025C, YDR046C, YDR508C
6	OG0000006	snap_masked-scaffold_12-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scaffold_12-processed-gene-0.73&CDS=1-300, snap_masked-scaffold_4-processed-gene-9.24-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.24&CDS=1-765, snap_masked-scaffold_6-processed-gene-0.59-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.59&CDS=1-660, snap_masked-scaffold_7-processed-gene-4.21-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.21&CDS=1-1050, snap_masked-scaffold_7-processed-gene-4.42-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.42&CDS=1-705, snap_masked-scaffold_7-processed-gene-6.42-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.42&CDS=1-741	YBR230C, YFR020W
7	OG0000007	genemark-scaffold_3-processed-gene-1.130-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-1.130&CDS=1-8937, genemark-scaffold_3-processed-gene-10.65-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.65&CDS=1-8925, maker-scaffold_5-snap-gene-7.93-mRNA-1_1&gene=maker-scaffold_5-snap-gene-7.93&CDS=1-18345	YDR011W, YDR406W, YNR070W, YOR153W, YOR328W
8	OG0000008	genemark-scaffold_1-processed-gene-6.43-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-6.43&CDS=1-1143, genemark-scaffold_10-processed-gene-3.104-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-3.104&CDS=1-1317, genemark-scaffold_4-processed-gene-5.144-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.144&CDS=1-1083	YIL123W, YJL116C, YKR042W, YNL066W
9	OG0000009	genemark-scaffold_11-processed-gene-0.95-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.95&CDS=1-1587, genemark-scaffold_11-processed-gene-0.97-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-0.97&CDS=1-1590, genemark-scaffold_2-processed-gene-0.47-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.47&CDS=1-1590, genemark-scaffold_4-processed-gene-9.115-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.115&CDS=1-1617, snap_masked-scaffold_2-processed-gene-1.25-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-1.25&CDS=1-894, snap_masked-scaffold_5-processed-gene-0.78-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.78&CDS=1-1518	YBR008C
