	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035301_Pichia_terricola
0	OG0000000	YBR240C	augustus_masked-NODE_10_length_264277_cov_16.7563_ID_5024-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-NODE_10_length_264277_cov_16.7563_ID_5024-processed-gene-1.66&CDS=1-2382, augustus_masked-NODE_13_length_217194_cov_15.3271_ID_4613-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_13_length_217194_cov_15.3271_ID_4613-processed-gene-0.25&CDS=1-2460, augustus_masked-NODE_23_length_150847_cov_29.6526_ID_4401-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_23_length_150847_cov_29.6526_ID_4401-processed-gene-0.32&CDS=1-1704, augustus_masked-NODE_3_length_481115_cov_15.4763_ID_3968-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-NODE_3_length_481115_cov_15.4763_ID_3968-processed-gene-3.103&CDS=1-1662, augustus_masked-NODE_41_length_94344_cov_34.6904_ID_3793-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_41_length_94344_cov_34.6904_ID_3793-processed-gene-0.57&CDS=1-1992, augustus_masked-NODE_62_length_60072_cov_17.9103_ID_8360-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-NODE_62_length_60072_cov_17.9103_ID_8360-processed-gene-0.60&CDS=1-2133, augustus_masked-NODE_6_length_345093_cov_18.5582_ID_5167-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-NODE_6_length_345093_cov_18.5582_ID_5167-processed-gene-2.92&CDS=1-2061, genemark-NODE_12_length_247577_cov_16.8422_ID_9877-processed-gene-1.129-mRNA-1_1&gene=genemark-NODE_12_length_247577_cov_16.8422_ID_9877-processed-gene-1.129&CDS=1-2475, maker-NODE_33_length_124450_cov_17.0632_ID_7542-snap-gene-0.48-mRNA-1_1&gene=maker-NODE_33_length_124450_cov_17.0632_ID_7542-snap-gene-0.48&CDS=1-2823, snap_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-2.1-mRNA-1_1&gene=snap_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-2.1&CDS=1-2460, snap_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-1.30-mRNA-1_1&gene=snap_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-1.30&CDS=1-2508, snap_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-1.31-mRNA-1_1&gene=snap_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-1.31&CDS=1-2550, snap_masked-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-0.92-mRNA-1_1&gene=snap_masked-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-0.92&CDS=1-396
1	OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YMR011W	augustus_masked-NODE_21_length_183206_cov_15.8523_ID_4214-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-NODE_21_length_183206_cov_15.8523_ID_4214-processed-gene-0.175&CDS=1-1608, augustus_masked-NODE_30_length_132727_cov_23.8497_ID_10233-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_30_length_132727_cov_23.8497_ID_10233-processed-gene-0.116&CDS=1-1659
2	OG0000002	YLL057C	augustus_masked-NODE_19_length_186176_cov_16.9616_ID_3084-processed-gene-0.222-mRNA-1_1&gene=augustus_masked-NODE_19_length_186176_cov_16.9616_ID_3084-processed-gene-0.222&CDS=1-1203, augustus_masked-NODE_29_length_134260_cov_32.1059_ID_4476-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_29_length_134260_cov_32.1059_ID_4476-processed-gene-0.148&CDS=1-594, augustus_masked-NODE_29_length_134260_cov_32.1059_ID_4476-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-NODE_29_length_134260_cov_32.1059_ID_4476-processed-gene-0.149&CDS=1-555, augustus_masked-NODE_41_length_94344_cov_34.6904_ID_3793-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_41_length_94344_cov_34.6904_ID_3793-processed-gene-0.56&CDS=1-1203, augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-2.195-mRNA-1_1&gene=augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-2.195&CDS=1-1173, augustus_masked-NODE_90_length_13560_cov_33.878_ID_8932-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_90_length_13560_cov_33.878_ID_8932-processed-gene-0.8&CDS=1-1203, augustus_masked-NODE_94_length_12208_cov_32.3992_ID_9049-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_94_length_12208_cov_32.3992_ID_9049-processed-gene-0.11&CDS=1-1203, snap_masked-NODE_30_length_132727_cov_23.8497_ID_10233-processed-gene-0.165-mRNA-1_1&gene=snap_masked-NODE_30_length_132727_cov_23.8497_ID_10233-processed-gene-0.165&CDS=1-1203, snap_masked-NODE_30_length_132727_cov_23.8497_ID_10233-processed-gene-0.166-mRNA-1_1&gene=snap_masked-NODE_30_length_132727_cov_23.8497_ID_10233-processed-gene-0.166&CDS=1-1197
3	OG0000003	YER001W, YGL257C, YIL014W, YNR059W	augustus_masked-NODE_29_length_134260_cov_32.1059_ID_4476-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-NODE_29_length_134260_cov_32.1059_ID_4476-processed-gene-0.177&CDS=1-2652, augustus_masked-NODE_49_length_78294_cov_16.9504_ID_6217-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-NODE_49_length_78294_cov_16.9504_ID_6217-processed-gene-0.57&CDS=1-234, augustus_masked-NODE_4_length_475427_cov_15.6432_ID_2663-processed-gene-3.103-mRNA-1_1&gene=augustus_masked-NODE_4_length_475427_cov_15.6432_ID_2663-processed-gene-3.103&CDS=1-2175, genemark-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-0.51-mRNA-1_1&gene=genemark-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-0.51&CDS=1-1584, snap_masked-NODE_32_length_126459_cov_15.3937_ID_4335-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_32_length_126459_cov_15.3937_ID_4335-processed-gene-0.28&CDS=1-3717
4	OG0000004	YLR256W	augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-11.59-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-11.59&CDS=1-1167, augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-4.72&CDS=1-3177, augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-4.73&CDS=1-4251, augustus_masked-NODE_34_length_120455_cov_17.2599_ID_4974-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-NODE_34_length_120455_cov_17.2599_ID_4974-processed-gene-0.128&CDS=1-3768, augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-2.200-mRNA-1_1&gene=augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-2.200&CDS=1-3129, snap_masked-NODE_11_length_252831_cov_22.8798_ID_3225-processed-gene-1.61-mRNA-1_1&gene=snap_masked-NODE_11_length_252831_cov_22.8798_ID_3225-processed-gene-1.61&CDS=1-2871, snap_masked-NODE_14_length_212763_cov_20.3796_ID_11122-processed-gene-1.175-mRNA-1_1&gene=snap_masked-NODE_14_length_212763_cov_20.3796_ID_11122-processed-gene-1.175&CDS=1-3306, snap_masked-NODE_52_length_77233_cov_32.8956_ID_5396-processed-gene-0.37-mRNA-1_1&gene=snap_masked-NODE_52_length_77233_cov_32.8956_ID_5396-processed-gene-0.37&CDS=1-2022
5	OG0000005	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_24_length_149241_cov_17.0227_ID_4700-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-NODE_24_length_149241_cov_17.0227_ID_4700-processed-gene-0.196&CDS=1-2808, augustus_masked-NODE_2_length_601386_cov_16.6954_ID_7452-processed-gene-5.75-mRNA-1_1&gene=augustus_masked-NODE_2_length_601386_cov_16.6954_ID_7452-processed-gene-5.75&CDS=1-2262, augustus_masked-NODE_59_length_60427_cov_17.6587_ID_5723-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_59_length_60427_cov_17.6587_ID_5723-processed-gene-0.12&CDS=1-2907, snap_masked-NODE_52_length_77233_cov_32.8956_ID_5396-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_52_length_77233_cov_32.8956_ID_5396-processed-gene-0.7&CDS=1-2799
6	OG0000006	YJR061W, YKL201C	augustus_masked-NODE_10_length_264277_cov_16.7563_ID_5024-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NODE_10_length_264277_cov_16.7563_ID_5024-processed-gene-1.55&CDS=1-2484, augustus_masked-NODE_44_length_86156_cov_30.2292_ID_4462-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_44_length_86156_cov_30.2292_ID_4462-processed-gene-0.64&CDS=1-2157, augustus_masked-NODE_50_length_78000_cov_17.1_ID_6454-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_50_length_78000_cov_17.1_ID_6454-processed-gene-0.50&CDS=1-2355, augustus_masked-NODE_87_length_15588_cov_13.9757_ID_8566-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_87_length_15588_cov_13.9757_ID_8566-processed-gene-0.4&CDS=1-2520, genemark-NODE_30_length_132727_cov_23.8497_ID_10233-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_30_length_132727_cov_23.8497_ID_10233-processed-gene-0.10&CDS=1-2466, snap_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-1.64-mRNA-1_1&gene=snap_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-1.64&CDS=1-2535
7	OG0000007	YMR169C, YMR170C, YOR374W	augustus_masked-NODE_15_length_209250_cov_20.7183_ID_3273-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_15_length_209250_cov_20.7183_ID_3273-processed-gene-1.118&CDS=1-1500, augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-12.96-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-12.96&CDS=1-1491, augustus_masked-NODE_34_length_120455_cov_17.2599_ID_4974-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_34_length_120455_cov_17.2599_ID_4974-processed-gene-0.106&CDS=1-1506, augustus_masked-NODE_37_length_104968_cov_16.3109_ID_5690-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_37_length_104968_cov_16.3109_ID_5690-processed-gene-0.40&CDS=1-1503, augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-2.209-mRNA-1_1&gene=augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-2.209&CDS=1-1575
8	OG0000008		augustus_masked-NODE_111_length_5372_cov_37.6428_ID_14573-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_111_length_5372_cov_37.6428_ID_14573-processed-gene-0.2&CDS=1-4323, augustus_masked-NODE_131_length_2570_cov_16.3059_ID_10944-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_131_length_2570_cov_16.3059_ID_10944-processed-gene-0.2&CDS=1-2121, augustus_masked-NODE_137_length_1874_cov_45.5211_ID_14557-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_137_length_1874_cov_45.5211_ID_14557-processed-gene-0.0&CDS=1-1785, augustus_masked-NODE_159_length_762_cov_53.084_ID_14633-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_159_length_762_cov_53.084_ID_14633-processed-gene-0.1&CDS=1-567, augustus_masked-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-1.88&CDS=1-843, genemark-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-1.48&CDS=1-1155, maker-NODE_122_length_3969_cov_81.6799_ID_14559-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_122_length_3969_cov_81.6799_ID_14559-snap-gene-0.1&CDS=1-2577, snap_masked-NODE_36_length_112574_cov_17.3785_ID_4914-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_36_length_112574_cov_17.3785_ID_4914-processed-gene-0.7&CDS=1-210
9	OG0000009	YML111W, YMR275C, YNR069C	augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-11.73-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-11.73&CDS=1-2013, augustus_masked-NODE_66_length_49028_cov_29.314_ID_6574-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_66_length_49028_cov_29.314_ID_6574-processed-gene-0.9&CDS=1-2079, maker-NODE_18_length_188892_cov_15.7508_ID_5326-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_18_length_188892_cov_15.7508_ID_5326-snap-gene-0.6&CDS=1-4545, snap_masked-NODE_13_length_217194_cov_15.3271_ID_4613-processed-gene-0.102-mRNA-1_1&gene=snap_masked-NODE_13_length_217194_cov_15.3271_ID_4613-processed-gene-0.102&CDS=1-2040
