	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035045_Barnettozyma_hawaiiensis
0	OG0000000	YBR240C, YDR207C, YHR001W-A	genemark-flattened_line_134-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_134-processed-gene-0.22&CDS=1-558, genemark-flattened_line_18-processed-gene-1.254-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.254&CDS=1-2313, maker-flattened_line_50-snap-gene-0.245-mRNA-1_1&gene=maker-flattened_line_50-snap-gene-0.245&CDS=1-1779, snap_masked-flattened_line_10-processed-gene-2.228-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.228&CDS=1-2061, snap_masked-flattened_line_12-processed-gene-2.149-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.149&CDS=1-1626, snap_masked-flattened_line_14-processed-gene-1.226-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.226&CDS=1-1842, snap_masked-flattened_line_2-processed-gene-2.43-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.43&CDS=1-2007, snap_masked-flattened_line_2-processed-gene-4.195-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.195&CDS=1-891, snap_masked-flattened_line_32-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-0.119&CDS=1-1644, snap_masked-flattened_line_36-processed-gene-1.147-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.147&CDS=1-699, snap_masked-flattened_line_36-processed-gene-1.178-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.178&CDS=1-1284, snap_masked-flattened_line_38-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.139&CDS=1-1449, snap_masked-flattened_line_40-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.120&CDS=1-819, snap_masked-flattened_line_54-processed-gene-0.159-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.159&CDS=1-1650
1	OG0000001	YBR068C, YCL025C, YDR046C, YDR508C, YGR191W, YKR039W	augustus_masked-flattened_line_6-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.26&CDS=1-1857, maker-flattened_line_60-augustus-gene-0.151-mRNA-1_1&gene=maker-flattened_line_60-augustus-gene-0.151&CDS=1-2112, snap_masked-flattened_line_20-processed-gene-1.59-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.59&CDS=1-1779, snap_masked-flattened_line_28-processed-gene-1.190-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.190&CDS=1-1782
2	OG0000002	YBR199W, YIL085C, YNL029C, YOR099W	augustus_masked-flattened_line_28-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.118&CDS=1-2271, snap_masked-flattened_line_12-processed-gene-1.118-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.118&CDS=1-1236, snap_masked-flattened_line_12-processed-gene-2.184-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.184&CDS=1-1275, snap_masked-flattened_line_18-processed-gene-1.160-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.160&CDS=1-1212, snap_masked-flattened_line_38-processed-gene-0.190-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.190&CDS=1-1008, snap_masked-flattened_line_8-processed-gene-2.222-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.222&CDS=1-1410
3	OG0000003	YDL037C, YIR019C	augustus_masked-flattened_line_137-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_137-processed-gene-0.2&CDS=1-1206, augustus_masked-flattened_line_219-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_219-processed-gene-0.1&CDS=1-1071, augustus_masked-flattened_line_259-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_259-processed-gene-0.1&CDS=1-549, augustus_masked-flattened_line_271-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_271-processed-gene-0.1&CDS=1-447, augustus_masked-flattened_line_64-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.149&CDS=1-1050, genemark-flattened_line_195-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_195-processed-gene-0.1&CDS=1-267, snap_masked-flattened_line_110-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.26&CDS=1-555
4	OG0000004	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YLR081W, YNL318C	snap_masked-flattened_line_4-processed-gene-2.57-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.57&CDS=1-1668, snap_masked-flattened_line_86-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.81&CDS=1-1638
5	OG0000005	YKL055C	augustus_masked-flattened_line_44-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.37&CDS=1-768, maker-flattened_line_98-augustus-gene-0.93-mRNA-1_1&gene=maker-flattened_line_98-augustus-gene-0.93&CDS=1-1545, snap_masked-flattened_line_0-processed-gene-1.36-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.36&CDS=1-768, snap_masked-flattened_line_2-processed-gene-4.160-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.160&CDS=1-747, snap_masked-flattened_line_22-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.11&CDS=1-831, snap_masked-flattened_line_26-processed-gene-1.43-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.43&CDS=1-774, snap_masked-flattened_line_34-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.86&CDS=1-777, snap_masked-flattened_line_6-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-0.63&CDS=1-822
6	OG0000006	YLR256W	augustus_masked-flattened_line_8-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.17&CDS=1-2706, genemark-flattened_line_10-processed-gene-2.77-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.77&CDS=1-2166, genemark-flattened_line_8-processed-gene-1.140-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.140&CDS=1-2682, genemark-flattened_line_8-processed-gene-1.141-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.141&CDS=1-3726, snap_masked-flattened_line_0-processed-gene-3.88-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.88&CDS=1-2673, snap_masked-flattened_line_58-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_58-processed-gene-0.71&CDS=1-1863, snap_masked-flattened_line_8-processed-gene-1.102-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.102&CDS=1-3258, snap_masked-flattened_line_82-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.61&CDS=1-2610
7	OG0000007	YBR015C	maker-flattened_line_14-snap-gene-0.104-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-0.104&CDS=1-4926, snap_masked-flattened_line_0-processed-gene-3.77-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.77&CDS=1-1629, snap_masked-flattened_line_10-processed-gene-0.119-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.119&CDS=1-1470, snap_masked-flattened_line_38-processed-gene-0.143-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.143&CDS=1-1773, snap_masked-flattened_line_44-processed-gene-0.151-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.151&CDS=1-1734, snap_masked-flattened_line_76-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.47&CDS=1-1608, snap_masked-flattened_line_82-processed-gene-0.67-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.67&CDS=1-1908
8	OG0000008	YDL229W, YER103W, YJL034W, YNL209W	maker-flattened_line_22-snap-gene-1.79-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.79&CDS=1-2745, snap_masked-flattened_line_4-processed-gene-1.164-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.164&CDS=1-1944, snap_masked-flattened_line_40-processed-gene-0.155-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.155&CDS=1-2031, snap_masked-flattened_line_6-processed-gene-2.168-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.168&CDS=1-1839
9	OG0000009	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_42-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.89&CDS=1-942, snap_masked-flattened_line_108-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.41&CDS=1-1062, snap_masked-flattened_line_14-processed-gene-0.138-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.138&CDS=1-1059, snap_masked-flattened_line_76-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.20&CDS=1-1032
