	OrthologID	Metschnikowia_bowlesiae	Saccharomyces_cerevisiae
0	OG0000000	augustus_masked-bow-b_C23603-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_C23603-processed-gene-0.1&CDS=1-546, augustus_masked-bow-b_C23939-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_C23939-processed-gene-0.0&CDS=1-507, augustus_masked-bow-b_C24819-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_C24819-processed-gene-0.2&CDS=1-702, augustus_masked-bow-b_C24821-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_C24821-processed-gene-0.1&CDS=1-984, augustus_masked-bow-b_C25657-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_C25657-processed-gene-0.2&CDS=1-426, augustus_masked-bow-b_s120-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-bow-b_s120-processed-gene-1.58&CDS=1-2604, augustus_masked-bow-b_s127-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-bow-b_s127-processed-gene-1.53&CDS=1-747, augustus_masked-bow-b_s132-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_s132-processed-gene-0.2&CDS=1-957, augustus_masked-bow-b_s132-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bow-b_s132-processed-gene-0.3&CDS=1-1581, augustus_masked-bow-b_s21-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-bow-b_s21-processed-gene-0.7&CDS=1-2187, augustus_masked-bow-b_s295-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s295-processed-gene-0.1&CDS=1-1095, augustus_masked-bow-b_s373-processed-gene-4.130-mRNA-1_1&gene=augustus_masked-bow-b_s373-processed-gene-4.130&CDS=1-1497, augustus_masked-bow-b_s509-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-bow-b_s509-processed-gene-0.75&CDS=1-951, augustus_masked-bow-b_s51-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s51-processed-gene-0.1&CDS=1-1266, augustus_masked-bow-b_s541-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_s541-processed-gene-0.0&CDS=1-1125, augustus_masked-bow-b_s547-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s547-processed-gene-0.1&CDS=1-855, augustus_masked-bow-b_s92-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-bow-b_s92-processed-gene-0.63&CDS=1-657, maker-bow-b_s11-augustus-gene-0.123-mRNA-1_1&gene=maker-bow-b_s11-augustus-gene-0.123&CDS=1-5298, snap_masked-bow-b_C24197-processed-gene-0.0-mRNA-1_1&gene=snap_masked-bow-b_C24197-processed-gene-0.0&CDS=1-606, snap_masked-bow-b_C26237-processed-gene-0.6-mRNA-1_1&gene=snap_masked-bow-b_C26237-processed-gene-0.6&CDS=1-714, snap_masked-bow-b_s118-processed-gene-0.32-mRNA-1_1&gene=snap_masked-bow-b_s118-processed-gene-0.32&CDS=1-447	
1	OG0000001	augustus_masked-bow-b_C19833-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_C19833-processed-gene-0.1&CDS=1-246, augustus_masked-bow-b_s29-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_s29-processed-gene-0.0&CDS=1-342, augustus_masked-bow-b_s371-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bow-b_s371-processed-gene-0.3&CDS=1-951, augustus_masked-bow-b_s372-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s372-processed-gene-0.1&CDS=1-570, augustus_masked-bow-b_s401-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s401-processed-gene-0.1&CDS=1-225, augustus_masked-bow-b_s608-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-bow-b_s608-processed-gene-0.39&CDS=1-861, augustus_masked-bow-b_s636-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-bow-b_s636-processed-gene-0.91&CDS=1-882, snap_masked-bow-b_s387-processed-gene-0.2-mRNA-1_1&gene=snap_masked-bow-b_s387-processed-gene-0.2&CDS=1-867	YKL096W
2	OG0000002	augustus_masked-bow-b_s11-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-bow-b_s11-processed-gene-0.104&CDS=1-2109, augustus_masked-bow-b_s530-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-bow-b_s530-processed-gene-1.136&CDS=1-2364, augustus_masked-bow-b_s568-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.87&CDS=1-2172, augustus_masked-bow-b_s609-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bow-b_s609-processed-gene-0.31&CDS=1-2139	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
3	OG0000003	augustus_masked-bow-b_C18481-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_C18481-processed-gene-0.0&CDS=1-201, augustus_masked-bow-b_C23821-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_C23821-processed-gene-0.2&CDS=1-606, augustus_masked-bow-b_s2-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bow-b_s2-processed-gene-0.9&CDS=1-1284, augustus_masked-bow-b_s275-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_s275-processed-gene-0.2&CDS=1-471, augustus_masked-bow-b_s351-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s351-processed-gene-0.1&CDS=1-375, augustus_masked-bow-b_s509-processed-gene-1.66-mRNA-1_1&gene=augustus_masked-bow-b_s509-processed-gene-1.66&CDS=1-1974, augustus_masked-bow-b_s576-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s576-processed-gene-0.1&CDS=1-471	YOR049C
4	OG0000004	augustus_masked-bow-b_s26-processed-gene-2.95-mRNA-1_1&gene=augustus_masked-bow-b_s26-processed-gene-2.95&CDS=1-1692	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
5	OG0000005	augustus_masked-bow-b_s278-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-bow-b_s278-processed-gene-1.113&CDS=1-1782, augustus_masked-bow-b_s431-processed-gene-1.129-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.129&CDS=1-1731, genemark-bow-b_s462-processed-gene-0.109-mRNA-1_1&gene=genemark-bow-b_s462-processed-gene-0.109&CDS=1-345, genemark-bow-b_s614-processed-gene-0.121-mRNA-1_1&gene=genemark-bow-b_s614-processed-gene-0.121&CDS=1-1350	YCL069W, YGR224W, YKR105C, YPR198W
6	OG0000006	augustus_masked-bow-b_s211-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_s211-processed-gene-0.2&CDS=1-1002, genemark-bow-b_C24833-processed-gene-0.1-mRNA-1_1&gene=genemark-bow-b_C24833-processed-gene-0.1&CDS=1-414, maker-bow-b_s211-snap-gene-0.16-mRNA-1_1&gene=maker-bow-b_s211-snap-gene-0.16&CDS=1-1926, maker-bow-b_s470-augustus-gene-0.132-mRNA-1_1&gene=maker-bow-b_s470-augustus-gene-0.132&CDS=1-2052, snap_masked-bow-b_s291-processed-gene-0.56-mRNA-1_1&gene=snap_masked-bow-b_s291-processed-gene-0.56&CDS=1-1017	YDR541C, YOL151W
7	OG0000007	augustus_masked-bow-b_C26721-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bow-b_C26721-processed-gene-0.11&CDS=1-1593, augustus_masked-bow-b_s166-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-bow-b_s166-processed-gene-0.74&CDS=1-1650, augustus_masked-bow-b_s617-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s617-processed-gene-0.34&CDS=1-1758, maker-bow-b_s319-snap-gene-0.53-mRNA-1_1&gene=maker-bow-b_s319-snap-gene-0.53&CDS=1-1941, maker-bow-b_s617-augustus-gene-0.0-mRNA-1_1&gene=maker-bow-b_s617-augustus-gene-0.0&CDS=1-2760	YPL243W, YPL244C
8	OG0000008	augustus_masked-bow-b_C21593-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_C21593-processed-gene-0.0&CDS=1-264, augustus_masked-bow-b_s373-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-bow-b_s373-processed-gene-0.97&CDS=1-2574, genemark-bow-b_s374-processed-gene-0.8-mRNA-1_1&gene=genemark-bow-b_s374-processed-gene-0.8&CDS=1-2175, snap_masked-bow-b_C21971-processed-gene-0.0-mRNA-1_1&gene=snap_masked-bow-b_C21971-processed-gene-0.0&CDS=1-267	YJL082W, YKR018C
9	OG0000009	augustus_masked-bow-b_s24-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-bow-b_s24-processed-gene-1.64&CDS=1-591, augustus_masked-bow-b_s333-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s333-processed-gene-0.12&CDS=1-594, augustus_masked-bow-b_s470-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bow-b_s470-processed-gene-0.62&CDS=1-561, maker-bow-b_s128-augustus-gene-0.23-mRNA-1_1&gene=maker-bow-b_s128-augustus-gene-0.23&CDS=1-1206, snap_masked-bow-b_s43-processed-gene-0.93-mRNA-1_1&gene=snap_masked-bow-b_s43-processed-gene-0.93&CDS=1-645	YLR435W
