	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034967_Candida_freyschussii
0	OG0000000	YKR064W, YLR256W	augustus_masked-flattened_line_56-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.14&CDS=1-2055, genemark-flattened_line_0-processed-gene-0.143-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.143&CDS=1-1179, genemark-flattened_line_14-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.47&CDS=1-2682, genemark-flattened_line_2-processed-gene-3.110-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.110&CDS=1-2223, genemark-flattened_line_22-processed-gene-1.168-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.168&CDS=1-2502, genemark-flattened_line_28-processed-gene-0.129-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.129&CDS=1-2601, genemark-flattened_line_28-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.130&CDS=1-3228, genemark-flattened_line_28-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.131&CDS=1-2763, genemark-flattened_line_28-processed-gene-0.181-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.181&CDS=1-2967, genemark-flattened_line_30-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.127&CDS=1-2637, genemark-flattened_line_4-processed-gene-1.161-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.161&CDS=1-2343, maker-flattened_line_0-snap-gene-11.0-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-11.0&CDS=1-2595, maker-flattened_line_4-snap-gene-5.107-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-5.107&CDS=1-3366, snap_masked-flattened_line_0-processed-gene-10.80-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.80&CDS=1-2487, snap_masked-flattened_line_0-processed-gene-5.78-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.78&CDS=1-2247
1	OG0000001	YCL025C, YDR508C, YGR191W, YKR039W, YLL061W, YPL274W	genemark-flattened_line_0-processed-gene-6.83-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.83&CDS=1-1770, genemark-flattened_line_2-processed-gene-6.37-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.37&CDS=1-1746, genemark-flattened_line_2-processed-gene-7.148-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.148&CDS=1-1773, genemark-flattened_line_6-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.63&CDS=1-1749, genemark-flattened_line_8-processed-gene-3.87-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.87&CDS=1-1737, snap_masked-flattened_line_24-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.4&CDS=1-1752, snap_masked-flattened_line_24-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.5&CDS=1-1794
2	OG0000002	YGL120C, YGR240C, YKR086W, YMR205C, YNR011C	genemark-flattened_line_16-processed-gene-3.245-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.245&CDS=1-2679, genemark-flattened_line_6-processed-gene-5.39-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.39&CDS=1-2511, genemark-flattened_line_8-processed-gene-3.93-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.93&CDS=1-2175, maker-flattened_line_16-augustus-gene-3.4-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-3.4&CDS=1-4386, maker-flattened_line_24-augustus-gene-1.219-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-1.219&CDS=1-6126
3	OG0000003	YDR242W	augustus_masked-flattened_line_20-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-3.60&CDS=1-1644, genemark-flattened_line_0-processed-gene-11.76-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.76&CDS=1-1623, genemark-flattened_line_0-processed-gene-3.62-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.62&CDS=1-1566, genemark-flattened_line_14-processed-gene-1.166-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.166&CDS=1-1713, genemark-flattened_line_4-processed-gene-1.138-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.138&CDS=1-1629, genemark-flattened_line_42-processed-gene-0.180-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.180&CDS=1-1602, maker-flattened_line_4-augustus-gene-4.126-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-4.126&CDS=1-2868, maker-flattened_line_4-snap-gene-5.106-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-5.106&CDS=1-3270
4	OG0000004	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-flattened_line_18-processed-gene-3.189-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.189&CDS=1-1734
5	OG0000005	YGL257C, YNR059W	genemark-flattened_line_0-processed-gene-1.121-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.121&CDS=1-2658, genemark-flattened_line_12-processed-gene-2.96-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.96&CDS=1-2097, genemark-flattened_line_18-processed-gene-3.182-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.182&CDS=1-1761, genemark-flattened_line_20-processed-gene-1.71-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.71&CDS=1-2301, genemark-flattened_line_8-processed-gene-5.64-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.64&CDS=1-1968, maker-flattened_line_36-snap-gene-0.100-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-0.100&CDS=1-3486
6	OG0000006	YJL089W	augustus_masked-flattened_line_22-processed-gene-0.128-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.128&CDS=1-2952, genemark-flattened_line_0-processed-gene-9.121-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.121&CDS=1-867, genemark-flattened_line_16-processed-gene-0.130-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.130&CDS=1-837, genemark-flattened_line_22-processed-gene-1.166-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.166&CDS=1-774, genemark-flattened_line_28-processed-gene-0.154-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.154&CDS=1-753, genemark-flattened_line_4-processed-gene-6.171-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.171&CDS=1-825, genemark-flattened_line_6-processed-gene-4.146-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.146&CDS=1-762
7	OG0000007	YBR015C	genemark-flattened_line_0-processed-gene-9.138-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.138&CDS=1-1947, genemark-flattened_line_12-processed-gene-1.56-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.56&CDS=1-1665, genemark-flattened_line_14-processed-gene-4.69-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.69&CDS=1-1749, genemark-flattened_line_16-processed-gene-3.199-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.199&CDS=1-1767, genemark-flattened_line_2-processed-gene-7.147-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.147&CDS=1-1926, genemark-flattened_line_6-processed-gene-3.141-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.141&CDS=1-1626
8	OG0000008	YDR338C, YHR032W	genemark-flattened_line_20-processed-gene-1.99-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.99&CDS=1-1791, genemark-flattened_line_24-processed-gene-1.107-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.107&CDS=1-1581, genemark-flattened_line_24-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.76&CDS=1-1908, genemark-flattened_line_28-processed-gene-0.195-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.195&CDS=1-1470, genemark-flattened_line_40-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.111&CDS=1-1647
9	OG0000009	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_0-processed-gene-4.26-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.26&CDS=1-1041, genemark-flattened_line_0-processed-gene-7.137-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.137&CDS=1-1071, genemark-flattened_line_2-processed-gene-4.151-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.151&CDS=1-1047
