	OrthologID	Saccharomyces_cerevisiae	Scheffersomyces_stipitis
0	OG0000000	YCL075W	augustus_masked-chr_1.2-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-chr_1.2-processed-gene-1.32&CDS=1-1542, augustus_masked-chr_2.1-processed-gene-16.63-mRNA-1_1&gene=augustus_masked-chr_2.1-processed-gene-16.63&CDS=1-4092, augustus_masked-chr_2.1-processed-gene-17.39-mRNA-1_1&gene=augustus_masked-chr_2.1-processed-gene-17.39&CDS=1-7548, augustus_masked-chr_3.1-processed-gene-14.50-mRNA-1_1&gene=augustus_masked-chr_3.1-processed-gene-14.50&CDS=1-1800, augustus_masked-chr_3.1-processed-gene-14.59-mRNA-1_1&gene=augustus_masked-chr_3.1-processed-gene-14.59&CDS=1-5238, augustus_masked-chr_4.1-processed-gene-10.101-mRNA-1_1&gene=augustus_masked-chr_4.1-processed-gene-10.101&CDS=1-3909, augustus_masked-chr_5.1-processed-gene-6.14-mRNA-1_1&gene=augustus_masked-chr_5.1-processed-gene-6.14&CDS=1-3855, augustus_masked-chr_5.1-processed-gene-6.27-mRNA-1_1&gene=augustus_masked-chr_5.1-processed-gene-6.27&CDS=1-1446, augustus_masked-chr_6.1-processed-gene-9.5-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-9.5&CDS=1-1584, augustus_masked-chr_8.1-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-chr_8.1-processed-gene-3.71&CDS=1-1446, augustus_masked-chr_8.1-processed-gene-3.73-mRNA-1_1&gene=augustus_masked-chr_8.1-processed-gene-3.73&CDS=1-1767, augustus_masked-chr_8.1-processed-gene-3.74-mRNA-1_1&gene=augustus_masked-chr_8.1-processed-gene-3.74&CDS=1-3456, augustus_masked-chr_8.1-processed-gene-3.86-mRNA-1_1&gene=augustus_masked-chr_8.1-processed-gene-3.86&CDS=1-6861, snap_masked-chr_1.2-processed-gene-0.28-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-0.28&CDS=1-3384, snap_masked-chr_1.2-processed-gene-1.2-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-1.2&CDS=1-5340, snap_masked-chr_1.2-processed-gene-1.3-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-1.3&CDS=1-678, snap_masked-chr_3.1-processed-gene-14.13-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-14.13&CDS=1-2802, snap_masked-chr_3.1-processed-gene-14.25-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-14.25&CDS=1-192, snap_masked-chr_4.1-processed-gene-10.20-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-10.20&CDS=1-2241, snap_masked-chr_5.1-processed-gene-6.104-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-6.104&CDS=1-648, snap_masked-chr_6.1-processed-gene-9.68-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-9.68&CDS=1-2181, snap_masked-chr_6.1-processed-gene-9.88-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-9.88&CDS=1-1257, snap_masked-chr_7.1-processed-gene-2.77-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-2.77&CDS=1-747, snap_masked-chr_7.1-processed-gene-2.86-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-2.86&CDS=1-5607, snap_masked-chr_7.1-processed-gene-2.87-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-2.87&CDS=1-3426, snap_masked-chr_7.1-processed-gene-3.4-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-3.4&CDS=1-4095, snap_masked-chr_7.1-processed-gene-3.5-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-3.5&CDS=1-270, snap_masked-chr_8.1-processed-gene-3.8-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-3.8&CDS=1-2703
1	OG0000001	YKR064W, YML015C	augustus_masked-chr_3.1-processed-gene-17.24-mRNA-1_1&gene=augustus_masked-chr_3.1-processed-gene-17.24&CDS=1-2295, maker-chr_2.1-snap-gene-19.41-mRNA-1_1&gene=maker-chr_2.1-snap-gene-19.41&CDS=1-6723, snap_masked-chr_1.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-0.11&CDS=1-2574, snap_masked-chr_1.2-processed-gene-0.19-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-0.19&CDS=1-2238, snap_masked-chr_2.1-processed-gene-19.1-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-19.1&CDS=1-3120, snap_masked-chr_2.1-processed-gene-2.106-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-2.106&CDS=1-3405, snap_masked-chr_3.1-processed-gene-17.116-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-17.116&CDS=1-3099, snap_masked-chr_3.1-processed-gene-3.97-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-3.97&CDS=1-3765, snap_masked-chr_3.1-processed-gene-9.86-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-9.86&CDS=1-2277, snap_masked-chr_8.1-processed-gene-4.12-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-4.12&CDS=1-3858
2	OG0000002	YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B	
3	OG0000003	YNL275W	augustus_masked-chr_1.1-processed-gene-19.60-mRNA-1_1&gene=augustus_masked-chr_1.1-processed-gene-19.60&CDS=1-4800, augustus_masked-chr_2.1-processed-gene-26.127-mRNA-1_1&gene=augustus_masked-chr_2.1-processed-gene-26.127&CDS=1-8502, augustus_masked-chr_3.1-processed-gene-6.68-mRNA-1_1&gene=augustus_masked-chr_3.1-processed-gene-6.68&CDS=1-4932, snap_masked-chr_1.1-processed-gene-17.104-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-17.104&CDS=1-2559, snap_masked-chr_1.1-processed-gene-17.108-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-17.108&CDS=1-3468, snap_masked-chr_3.1-processed-gene-14.4-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-14.4&CDS=1-4485, snap_masked-chr_3.1-processed-gene-17.141-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-17.141&CDS=1-2475, snap_masked-chr_3.1-processed-gene-4.17-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-4.17&CDS=1-2511
4	OG0000004	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-chr_5.1-augustus-gene-5.2-mRNA-1_1&gene=maker-chr_5.1-augustus-gene-5.2&CDS=1-2787, snap_masked-chr_5.1-processed-gene-0.83-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-0.83&CDS=1-1383, snap_masked-chr_5.1-processed-gene-5.7-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-5.7&CDS=1-1395
5	OG0000005	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-chr_6.1-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-0.58&CDS=1-1743, snap_masked-chr_2.1-processed-gene-7.18-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-7.18&CDS=1-1743, snap_masked-chr_5.1-processed-gene-0.80-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-0.80&CDS=1-1755, snap_masked-chr_6.1-processed-gene-5.32-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-5.32&CDS=1-1749
6	OG0000006	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	maker-chr_5.1-augustus-gene-0.97-mRNA-1_1&gene=maker-chr_5.1-augustus-gene-0.97&CDS=1-3849
7	OG0000007	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	
8	OG0000008	YHR179W, YPL171C	maker-chr_3.1-augustus-gene-17.158-mRNA-1_1&gene=maker-chr_3.1-augustus-gene-17.158&CDS=1-2406, maker-chr_4.1-snap-gene-5.135-mRNA-1_1&gene=maker-chr_4.1-snap-gene-5.135&CDS=1-3645, maker-chr_5.1-snap-gene-3.37-mRNA-1_1&gene=maker-chr_5.1-snap-gene-3.37&CDS=1-3612, snap_masked-chr_2.1-processed-gene-5.19-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-5.19&CDS=1-1203, snap_masked-chr_4.1-processed-gene-8.13-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-8.13&CDS=1-1218
9	OG0000009	YJR061W, YKL201C	augustus_masked-chr_5.1-processed-gene-14.73-mRNA-1_1&gene=augustus_masked-chr_5.1-processed-gene-14.73&CDS=1-2223, maker-chr_1.1-snap-gene-2.6-mRNA-1_1&gene=maker-chr_1.1-snap-gene-2.6&CDS=1-2925, snap_masked-chr_3.1-processed-gene-7.28-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-7.28&CDS=1-2361, snap_masked-chr_3.1-processed-gene-8.43-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-8.43&CDS=1-2397, snap_masked-chr_3.1-processed-gene-9.85-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-9.85&CDS=1-2391
