	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034613_Saturnispora_serradocipensis
0	OG0000000	YCL074W	augustus_masked-flattened_line_283-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_283-processed-gene-0.0&CDS=1-456, augustus_masked-flattened_line_563-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_563-processed-gene-0.1&CDS=1-462, augustus_masked-flattened_line_623-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_623-processed-gene-0.2&CDS=1-399, augustus_masked-flattened_line_647-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_647-processed-gene-0.1&CDS=1-285, augustus_masked-flattened_line_803-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_803-processed-gene-0.1&CDS=1-285, genemark-flattened_line_933-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_933-processed-gene-0.0&CDS=1-150, snap_masked-flattened_line_231-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_231-processed-gene-0.0&CDS=1-1209, snap_masked-flattened_line_30-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.81&CDS=1-417, snap_masked-flattened_line_307-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_307-processed-gene-0.3&CDS=1-375, snap_masked-flattened_line_367-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_367-processed-gene-0.0&CDS=1-417, snap_masked-flattened_line_399-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_399-processed-gene-0.1&CDS=1-336, snap_masked-flattened_line_48-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.137&CDS=1-423, snap_masked-flattened_line_629-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_629-processed-gene-0.1&CDS=1-243, snap_masked-flattened_line_76-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.70&CDS=1-231
1	OG0000001		augustus_masked-flattened_line_100-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.34&CDS=1-1533, augustus_masked-flattened_line_116-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.44&CDS=1-1764, augustus_masked-flattened_line_149-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_149-processed-gene-0.6&CDS=1-1815, augustus_masked-flattened_line_155-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_155-processed-gene-0.1&CDS=1-1254, augustus_masked-flattened_line_179-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_179-processed-gene-0.0&CDS=1-1590, augustus_masked-flattened_line_185-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_185-processed-gene-0.1&CDS=1-2376, augustus_masked-flattened_line_187-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_187-processed-gene-0.1&CDS=1-849, augustus_masked-flattened_line_199-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_199-processed-gene-0.3&CDS=1-1530, augustus_masked-flattened_line_213-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_213-processed-gene-0.0&CDS=1-1278, augustus_masked-flattened_line_343-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_343-processed-gene-0.1&CDS=1-1608, snap_masked-flattened_line_136-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.10&CDS=1-2181, snap_masked-flattened_line_153-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.2&CDS=1-2346, snap_masked-flattened_line_169-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_169-processed-gene-0.1&CDS=1-1128, snap_masked-flattened_line_193-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_193-processed-gene-0.0&CDS=1-1233
2	OG0000002	YHR179W, YPL171C	augustus_masked-flattened_line_110-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.22&CDS=1-906, augustus_masked-flattened_line_110-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.23&CDS=1-1236, augustus_masked-flattened_line_203-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_203-processed-gene-0.8&CDS=1-399, augustus_masked-flattened_line_795-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_795-processed-gene-0.0&CDS=1-309, augustus_masked-flattened_line_94-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.49&CDS=1-423, genemark-flattened_line_100-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.12&CDS=1-1230, genemark-flattened_line_151-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_151-processed-gene-0.2&CDS=1-1230, maker-flattened_line_203-snap-gene-0.13-mRNA-1_1&gene=maker-flattened_line_203-snap-gene-0.13&CDS=1-705
3	OG0000003	YDR346C, YOL119C, YOR306C	augustus_masked-flattened_line_12-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.103&CDS=1-2226, genemark-flattened_line_0-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.32&CDS=1-1356, genemark-flattened_line_116-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.7&CDS=1-1581, genemark-flattened_line_2-processed-gene-1.116-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.116&CDS=1-1593, maker-flattened_line_0-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-0.0&CDS=1-2448
4	OG0000004	YOR049C	genemark-flattened_line_100-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.3&CDS=1-1032, genemark-flattened_line_138-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_138-processed-gene-0.12&CDS=1-975, genemark-flattened_line_138-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_138-processed-gene-0.18&CDS=1-975, genemark-flattened_line_32-processed-gene-0.50-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.50&CDS=1-1005, genemark-flattened_line_36-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.62&CDS=1-1026, genemark-flattened_line_38-processed-gene-0.36-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.36&CDS=1-951, genemark-flattened_line_82-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.23&CDS=1-1053
5	OG0000005	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_0-processed-gene-4.23-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.23&CDS=1-1122, genemark-flattened_line_0-processed-gene-4.129-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.129&CDS=1-837, genemark-flattened_line_0-processed-gene-4.130-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.130&CDS=1-516
6	OG0000006	YCL024W, YDR477W, YDR507C, YKL101W	genemark-flattened_line_10-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.123&CDS=1-1575, genemark-flattened_line_14-processed-gene-1.208-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.208&CDS=1-2832, genemark-flattened_line_2-processed-gene-3.16-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.16&CDS=1-3468
7	OG0000007	YCR105W, YMR318C	augustus_masked-flattened_line_60-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.55&CDS=1-873, genemark-flattened_line_0-processed-gene-3.38-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.38&CDS=1-1095, genemark-flattened_line_16-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.88&CDS=1-1086, genemark-flattened_line_2-processed-gene-0.98-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.98&CDS=1-1080, genemark-flattened_line_267-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_267-processed-gene-0.3&CDS=1-1086
8	OG0000008	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_205-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_205-processed-gene-0.0&CDS=1-2793, snap_masked-flattened_line_2-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-0.2&CDS=1-192, snap_masked-flattened_line_60-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.42&CDS=1-546
9	OG0000009	YGR212W, YPL272C	augustus_masked-flattened_line_2-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.68&CDS=1-1779, augustus_masked-flattened_line_2-processed-gene-3.130-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.130&CDS=1-1266, augustus_masked-flattened_line_2-processed-gene-3.131-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.131&CDS=1-1413, genemark-flattened_line_6-processed-gene-2.29-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.29&CDS=1-1416, snap_masked-flattened_line_34-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.89&CDS=1-1338
