	OrthologID	Saccharomyces_cerevisiae	Torulaspora_delbrueckii
0	OG0000000	YBL111C, YBL113C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
1	OG0000001	YBR302C, YCR102W-A, YDL248W, YFL062W, YGL263W, YGR295C, YHL042W, YHL043W, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	
2	OG0000002	YDR342C, YDR343C, YFL011W, YHR092C, YIL170W, YJL219W, YLR081W, YMR011W, YOL138C, YOL156W	genemark-scaffold_1-processed-gene-0.120-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-0.120&CDS=1-5313, maker-scaffold_5-snap-gene-4.138-mRNA-1_1&gene=maker-scaffold_5-snap-gene-4.138&CDS=1-5220, snap_masked-scaffold_1-processed-gene-7.70-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.70&CDS=1-1716, snap_masked-scaffold_5-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.21&CDS=1-1704, snap_masked-scaffold_5-processed-gene-4.18-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-4.18&CDS=1-1701
3	OG0000003	YMR152W, YNL078W	augustus_masked-scaffold_3-processed-gene-7.62-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.62&CDS=1-1635, augustus_masked-scaffold_6-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-2.4&CDS=1-354, genemark-scaffold_5-processed-gene-3.122-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-3.122&CDS=1-1356, snap_masked-scaffold_1-processed-gene-2.55-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.55&CDS=1-1332, snap_masked-scaffold_2-processed-gene-2.91-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.91&CDS=1-234, snap_masked-scaffold_3-processed-gene-0.58-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.58&CDS=1-1485, snap_masked-scaffold_4-processed-gene-0.71-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.71&CDS=1-951, snap_masked-scaffold_7-processed-gene-5.111-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.111&CDS=1-2586, snap_masked-scaffold_7-processed-gene-6.31-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.31&CDS=1-1458, snap_masked-scaffold_8-processed-gene-2.46-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.46&CDS=1-1329
4	OG0000004	YBL100W-A, YCL020W, YDR034C-C, YDR210W-A, YDR261W-A, YFL002W-B, YGR161W-A, YLR410W-A, YLR410W-B, YOR192C-A, YOR343W-A	
5	OG0000005	YAL005C, YBL076C, YDL229W, YJL034W, YLL024C, YNL209W	maker-scaffold_3-augustus-gene-2.59-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-2.59&CDS=1-5157, snap_masked-scaffold_1-processed-gene-1.132-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.132&CDS=1-1839, snap_masked-scaffold_5-processed-gene-7.38-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.38&CDS=1-2019, snap_masked-scaffold_6-processed-gene-3.48-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.48&CDS=1-1956
6	OG0000006	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	augustus_masked-scaffold_6-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-0.72&CDS=1-2448, snap_masked-scaffold_7-processed-gene-8.136-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.136&CDS=1-2424
7	OG0000007	YEL063C, YNL268W, YPL265W	snap_masked-scaffold_1-processed-gene-13.168-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.168&CDS=1-1542, snap_masked-scaffold_3-processed-gene-11.196-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.196&CDS=1-1749, snap_masked-scaffold_3-processed-gene-11.243-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.243&CDS=1-1719, snap_masked-scaffold_4-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.73&CDS=1-1701, snap_masked-scaffold_5-processed-gene-9.164-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.164&CDS=1-1644
8	OG0000008	YER013W, YGL120C, YKR086W, YNR011C	maker-scaffold_1-augustus-gene-12.167-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-12.167&CDS=1-3492, snap_masked-scaffold_1-processed-gene-3.68-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-3.68&CDS=1-2328, snap_masked-scaffold_2-processed-gene-4.95-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.95&CDS=1-3219, snap_masked-scaffold_8-processed-gene-4.113-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.113&CDS=1-3366
9	OG0000009	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-scaffold_6-processed-gene-0.36-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.36&CDS=1-1326, snap_masked-scaffold_6-processed-gene-9.155-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-9.155&CDS=1-1395
10	OG0000010	YBR155W, YKR008W, YOR099W	augustus_masked-scaffold_1-processed-gene-5.76-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.76&CDS=1-3369, maker-scaffold_2-augustus-gene-2.117-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-2.117&CDS=1-2601, maker-scaffold_2-augustus-gene-5.152-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-5.152&CDS=1-3432, snap_masked-scaffold_6-processed-gene-2.87-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.87&CDS=1-1170
11	OG0000011	YGR287C, YIL172C, YJL221C, YOL157C	snap_masked-scaffold_1-processed-gene-0.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.56&CDS=1-1605, snap_masked-scaffold_2-processed-gene-12.44-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.44&CDS=1-1788, snap_masked-scaffold_4-processed-gene-11.24-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.24&CDS=1-1812
