	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041822_Dipodascus_geniculatus
0	OG0000000	YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YNR072W, YOL156W	genemark-flattened_line_70-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.21&CDS=1-1578
1	OG0000001	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-flattened_line_108-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.21&CDS=1-1866, augustus_masked-flattened_line_52-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.194&CDS=1-1983, augustus_masked-flattened_line_6-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.145&CDS=1-2172, genemark-flattened_line_2-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.63&CDS=1-2010, maker-flattened_line_14-snap-gene-1.42-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.42&CDS=1-2013, snap_masked-flattened_line_26-processed-gene-2.125-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.125&CDS=1-2154
2	OG0000002	YCL075W	augustus_masked-flattened_line_108-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.22&CDS=1-1047, augustus_masked-flattened_line_118-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.79&CDS=1-1047, augustus_masked-flattened_line_122-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_122-processed-gene-0.114&CDS=1-1014, augustus_masked-flattened_line_203-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_203-processed-gene-0.4&CDS=1-822, augustus_masked-flattened_line_311-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_311-processed-gene-0.1&CDS=1-360, augustus_masked-flattened_line_321-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_321-processed-gene-0.0&CDS=1-360, augustus_masked-flattened_line_347-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_347-processed-gene-0.1&CDS=1-318, augustus_masked-flattened_line_82-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.177&CDS=1-1047, snap_masked-flattened_line_175-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.10&CDS=1-993
3	OG0000003	YDR034C	augustus_masked-flattened_line_66-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.169&CDS=1-1866, genemark-flattened_line_126-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_126-processed-gene-0.51&CDS=1-1911, genemark-flattened_line_2-processed-gene-3.116-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.116&CDS=1-1884, genemark-flattened_line_50-processed-gene-0.141-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.141&CDS=1-2391, genemark-flattened_line_54-processed-gene-0.143-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.143&CDS=1-639, genemark-flattened_line_58-processed-gene-0.152-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.152&CDS=1-1743, maker-flattened_line_94-augustus-gene-0.7-mRNA-1_1&gene=maker-flattened_line_94-augustus-gene-0.7&CDS=1-1545, snap_masked-flattened_line_24-processed-gene-2.91-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.91&CDS=1-1302
4	OG0000004	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_2-processed-gene-3.101-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.101&CDS=1-1395, snap_masked-flattened_line_100-processed-gene-0.102-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.102&CDS=1-1431, snap_masked-flattened_line_14-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.109&CDS=1-1290
5	OG0000005	YDR144C, YDR349C, YLR120C, YLR121C	augustus_masked-flattened_line_42-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.120&CDS=1-1686, genemark-flattened_line_16-processed-gene-1.145-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.145&CDS=1-1527, genemark-flattened_line_6-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.55&CDS=1-1656, snap_masked-flattened_line_24-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.61&CDS=1-1773
6	OG0000006	YGR260W	augustus_masked-flattened_line_26-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.108&CDS=1-1161, genemark-flattened_line_0-processed-gene-5.59-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.59&CDS=1-1521, genemark-flattened_line_0-processed-gene-7.124-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.124&CDS=1-1533, genemark-flattened_line_160-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.45&CDS=1-1527, genemark-flattened_line_24-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.93&CDS=1-1545, genemark-flattened_line_56-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.43&CDS=1-1560, genemark-flattened_line_60-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.1&CDS=1-1584
7	OG0000007	YBL042C, YBR021W, YGR110W, YIR028W	augustus_masked-flattened_line_64-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.213&CDS=1-2805, genemark-flattened_line_144-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.3&CDS=1-1266, genemark-flattened_line_28-processed-gene-1.156-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.156&CDS=1-1419
8	OG0000008	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_106-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.95&CDS=1-654, augustus_masked-flattened_line_20-processed-gene-1.88-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.88&CDS=1-606, snap_masked-flattened_line_8-processed-gene-0.54-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.54&CDS=1-1791
9	OG0000009	YIL123W, YJL116C, YKR042W, YNL066W	genemark-flattened_line_20-processed-gene-2.55-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.55&CDS=1-1050, genemark-flattened_line_38-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.127&CDS=1-1470, snap_masked-flattened_line_28-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.41&CDS=1-1218
