	OrthologID	Saccharomyces_cerevisiae	Wickerhamomyces_ciferrii
0	OG0000000	YAL068C, YAR020C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	genemark-NW_011887706.1-processed-gene-0.137-mRNA-1_1&gene=genemark-NW_011887706.1-processed-gene-0.137&CDS=1-582
1	OG0000001	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W	maker-NW_011887726.1-snap-gene-0.4-mRNA-1_1&gene=maker-NW_011887726.1-snap-gene-0.4&CDS=1-3195
2	OG0000002	YBR240C, YDR207C	augustus_masked-NW_011887415.1-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-NW_011887415.1-processed-gene-0.20&CDS=1-1695, genemark-NW_011887506.1-processed-gene-0.5-mRNA-1_1&gene=genemark-NW_011887506.1-processed-gene-0.5&CDS=1-1788, genemark-NW_011887546.1-processed-gene-0.48-mRNA-1_1&gene=genemark-NW_011887546.1-processed-gene-0.48&CDS=1-594, genemark-NW_011887592.1-processed-gene-0.38-mRNA-1_1&gene=genemark-NW_011887592.1-processed-gene-0.38&CDS=1-1644, genemark-NW_011887688.1-processed-gene-0.10-mRNA-1_1&gene=genemark-NW_011887688.1-processed-gene-0.10&CDS=1-936, genemark-NW_011887690.1-processed-gene-0.42-mRNA-1_1&gene=genemark-NW_011887690.1-processed-gene-0.42&CDS=1-1551, genemark-NW_011887690.1-processed-gene-0.44-mRNA-1_1&gene=genemark-NW_011887690.1-processed-gene-0.44&CDS=1-1479, genemark-NW_011887711.1-processed-gene-1.177-mRNA-1_1&gene=genemark-NW_011887711.1-processed-gene-1.177&CDS=1-930, maker-NW_011887714.1-snap-gene-0.112-mRNA-1_1&gene=maker-NW_011887714.1-snap-gene-0.112&CDS=1-1638, snap_masked-NW_011887532.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NW_011887532.1-processed-gene-0.63&CDS=1-414, snap_masked-NW_011887723.1-processed-gene-0.109-mRNA-1_1&gene=snap_masked-NW_011887723.1-processed-gene-0.109&CDS=1-606
3	OG0000003	YCL025C, YDR508C, YGR191W, YKR039W	genemark-NW_011887501.1-processed-gene-0.20-mRNA-1_1&gene=genemark-NW_011887501.1-processed-gene-0.20&CDS=1-1788, genemark-NW_011887521.1-processed-gene-0.81-mRNA-1_1&gene=genemark-NW_011887521.1-processed-gene-0.81&CDS=1-1776, genemark-NW_011887624.1-processed-gene-0.2-mRNA-1_1&gene=genemark-NW_011887624.1-processed-gene-0.2&CDS=1-1743, genemark-NW_011887689.1-processed-gene-0.53-mRNA-1_1&gene=genemark-NW_011887689.1-processed-gene-0.53&CDS=1-1767, genemark-NW_011887711.1-processed-gene-1.109-mRNA-1_1&gene=genemark-NW_011887711.1-processed-gene-1.109&CDS=1-1749, genemark-NW_011887720.1-processed-gene-1.128-mRNA-1_1&gene=genemark-NW_011887720.1-processed-gene-1.128&CDS=1-1812, genemark-NW_011887727.1-processed-gene-1.152-mRNA-1_1&gene=genemark-NW_011887727.1-processed-gene-1.152&CDS=1-1770
4	OG0000004	YGR194C	augustus_masked-NW_011887540.1-processed-gene-0.143-mRNA-1_1&gene=augustus_masked-NW_011887540.1-processed-gene-0.143&CDS=1-1467, genemark-NW_011887479.1-processed-gene-0.2-mRNA-1_1&gene=genemark-NW_011887479.1-processed-gene-0.2&CDS=1-1479, genemark-NW_011887511.1-processed-gene-0.14-mRNA-1_1&gene=genemark-NW_011887511.1-processed-gene-0.14&CDS=1-1467, genemark-NW_011887513.1-processed-gene-0.2-mRNA-1_1&gene=genemark-NW_011887513.1-processed-gene-0.2&CDS=1-1551, genemark-NW_011887542.1-processed-gene-0.103-mRNA-1_1&gene=genemark-NW_011887542.1-processed-gene-0.103&CDS=1-1395, genemark-NW_011887590.1-processed-gene-0.13-mRNA-1_1&gene=genemark-NW_011887590.1-processed-gene-0.13&CDS=1-1488, genemark-NW_011887594.1-processed-gene-0.13-mRNA-1_1&gene=genemark-NW_011887594.1-processed-gene-0.13&CDS=1-1494, genemark-NW_011887657.1-processed-gene-0.77-mRNA-1_1&gene=genemark-NW_011887657.1-processed-gene-0.77&CDS=1-1521, genemark-NW_011887686.1-processed-gene-0.187-mRNA-1_1&gene=genemark-NW_011887686.1-processed-gene-0.187&CDS=1-1470, maker-NW_011887668.1-snap-gene-0.11-mRNA-1_1&gene=maker-NW_011887668.1-snap-gene-0.11&CDS=1-3297
5	OG0000005	YBR150C, YER184C, YOL089C	genemark-NW_011887584.1-processed-gene-0.124-mRNA-1_1&gene=genemark-NW_011887584.1-processed-gene-0.124&CDS=1-2688, genemark-NW_011887628.1-processed-gene-0.30-mRNA-1_1&gene=genemark-NW_011887628.1-processed-gene-0.30&CDS=1-1017, genemark-NW_011887727.1-processed-gene-0.98-mRNA-1_1&gene=genemark-NW_011887727.1-processed-gene-0.98&CDS=1-780, genemark-NW_011887727.1-processed-gene-1.173-mRNA-1_1&gene=genemark-NW_011887727.1-processed-gene-1.173&CDS=1-801, genemark-NW_011887727.1-processed-gene-1.174-mRNA-1_1&gene=genemark-NW_011887727.1-processed-gene-1.174&CDS=1-2883, maker-NW_011887592.1-snap-gene-0.114-mRNA-1_1&gene=maker-NW_011887592.1-snap-gene-0.114&CDS=1-2529, maker-NW_011887592.1-snap-gene-0.115-mRNA-1_1&gene=maker-NW_011887592.1-snap-gene-0.115&CDS=1-1107
6	OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NW_011887660.1-processed-gene-0.47-mRNA-1_1&gene=genemark-NW_011887660.1-processed-gene-0.47&CDS=1-1713, genemark-NW_011887720.1-processed-gene-1.102-mRNA-1_1&gene=genemark-NW_011887720.1-processed-gene-1.102&CDS=1-1725, genemark-NW_011887720.1-processed-gene-1.82-mRNA-1_1&gene=genemark-NW_011887720.1-processed-gene-1.82&CDS=1-1731
7	OG0000007	YOL119C, YOR306C	genemark-NW_011887509.1-processed-gene-0.40-mRNA-1_1&gene=genemark-NW_011887509.1-processed-gene-0.40&CDS=1-1521, genemark-NW_011887509.1-processed-gene-0.41-mRNA-1_1&gene=genemark-NW_011887509.1-processed-gene-0.41&CDS=1-1425, genemark-NW_011887582.1-processed-gene-0.10-mRNA-1_1&gene=genemark-NW_011887582.1-processed-gene-0.10&CDS=1-1509, genemark-NW_011887582.1-processed-gene-0.17-mRNA-1_1&gene=genemark-NW_011887582.1-processed-gene-0.17&CDS=1-1563, genemark-NW_011887632.1-processed-gene-0.18-mRNA-1_1&gene=genemark-NW_011887632.1-processed-gene-0.18&CDS=1-1506, genemark-NW_011887735.1-processed-gene-0.101-mRNA-1_1&gene=genemark-NW_011887735.1-processed-gene-0.101&CDS=1-1494, maker-NW_011887620.1-snap-gene-0.179-mRNA-1_1&gene=maker-NW_011887620.1-snap-gene-0.179&CDS=1-2979, maker-NW_011887632.1-snap-gene-0.1-mRNA-1_1&gene=maker-NW_011887632.1-snap-gene-0.1&CDS=1-4596
8	OG0000008	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NW_011887438.1-processed-gene-0.20-mRNA-1_1&gene=genemark-NW_011887438.1-processed-gene-0.20&CDS=1-1356, genemark-NW_011887592.1-processed-gene-0.6-mRNA-1_1&gene=genemark-NW_011887592.1-processed-gene-0.6&CDS=1-1389, genemark-NW_011887631.1-processed-gene-0.23-mRNA-1_1&gene=genemark-NW_011887631.1-processed-gene-0.23&CDS=1-1374, maker-NW_011887701.1-snap-gene-1.209-mRNA-1_1&gene=maker-NW_011887701.1-snap-gene-1.209&CDS=1-2661
9	OG0000009	YKL071W	genemark-NW_011887509.1-processed-gene-0.30-mRNA-1_1&gene=genemark-NW_011887509.1-processed-gene-0.30&CDS=1-780, genemark-NW_011887542.1-processed-gene-0.60-mRNA-1_1&gene=genemark-NW_011887542.1-processed-gene-0.60&CDS=1-759, genemark-NW_011887592.1-processed-gene-0.11-mRNA-1_1&gene=genemark-NW_011887592.1-processed-gene-0.11&CDS=1-744, genemark-NW_011887592.1-processed-gene-0.14-mRNA-1_1&gene=genemark-NW_011887592.1-processed-gene-0.14&CDS=1-759, genemark-NW_011887668.1-processed-gene-0.18-mRNA-1_1&gene=genemark-NW_011887668.1-processed-gene-0.18&CDS=1-711, genemark-NW_011887686.1-processed-gene-0.148-mRNA-1_1&gene=genemark-NW_011887686.1-processed-gene-0.148&CDS=1-759, genemark-NW_011887733.1-processed-gene-1.23-mRNA-1_1&gene=genemark-NW_011887733.1-processed-gene-1.23&CDS=1-759, maker-NW_011887691.1-snap-gene-0.126-mRNA-1_1&gene=maker-NW_011887691.1-snap-gene-0.126&CDS=1-1479
